name@price@price_after_sell
Atlanta 2017 Cobblestone Souvenir Package@2672.00@2618.56
Autograph Capsule | Challengers (Foil) | Atlanta 2017@70.00@68.6
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@70.00@68.6
Autograph Capsule | Cloud9 G2A | Cologne 2015@18.00@17.64
Autograph Capsule | Cloud9 | Cluj-Napoca 2015@19.00@18.62
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015@5.12@5.0176
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016@7.00@6.859999999999999
Autograph Capsule | Fnatic | Cluj-Napoca 2015@9.00@8.82
Autograph Capsule | Gambit Gaming | Atlanta 2017@16.00@15.68
Autograph Capsule | Gambit Gaming | MLG Columbus 2016@11.00@10.78
Autograph Capsule | Group D (Foil) | Cologne 2015@47.00@46.06
Autograph Capsule | Legends (Foil) | MLG Columbus 2016@50.00@49.0
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015@5.51@5.3998
Autograph Capsule | Natus Vincere | Cologne 2015@5.00@4.9
Autograph Capsule | Ninjas in Pyjamas | Cologne 2015@7.00@6.859999999999999
Autograph Capsule | Renegades | Cologne 2015@18.00@17.64
Autograph Capsule | Team Dignitas | Cluj-Napoca 2015@15.62@15.307599999999999
Autograph Capsule | Team EnVyUs | Atlanta 2017@24.00@23.52
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015@10.00@9.8
Autograph Capsule | Team EnVyUs | Cologne 2015@11.00@10.78
Autograph Capsule | Team Kinguin | Cologne 2015@4.70@4.606
Autograph Capsule | Team Liquid | Cologne 2016@10.00@9.8
Autograph Capsule | Titan | Cluj-Napoca 2015@35.00@34.3
Autograph Capsule | Titan | Cologne 2015@35.00@34.3
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@20.00@19.6
Baggage Pin@4.75@4.655
Bravo Pin@5.50@5.39
CS:GO Weapon Case@86.00@84.28
CS:GO Weapon Case 3@8.73@8.5554
