name@price@price_after_sell
Souvenir Sawed-Off | Rust Coat (Factory New)@5.00@4.9
Souvenir Sawed-Off | Rust Coat (Field-Tested)@2.00@1.96
Souvenir Sawed-Off | Sage Spray (Minimal Wear)@0.26@0.2548
Souvenir Tec-9 | Red Quartz (Minimal Wear)@19.99@19.5902
Souvenir Tec-9 | Toxic (Field-Tested)@12.99@12.7302
Souvenir Tec-9 | Toxic (Minimal Wear)@29.99@29.390199999999997
Souvenir Tec-9 | VariCamo (Factory New)@9.99@9.7902
Souvenir UMP-45 | Blaze (Factory New)@38.96@38.1808
Souvenir UMP-45 | Indigo (Battle-Scarred)@1.00@0.98
Souvenir UMP-45 | Indigo (Field-Tested)@1.25@1.225
Souvenir UMP-45 | Indigo (Minimal Wear)@3.00@2.94
Souvenir UMP-45 | Urban DDPAT (Battle-Scarred)@1.00@0.98
Souvenir UMP-45 | Urban DDPAT (Field-Tested)@1.00@0.98
Souvenir UMP-45 | Urban DDPAT (Well-Worn)@1.00@0.98
Souvenir XM1014 | VariCamo Blue (Field-Tested)@1.00@0.98
Souvenir XM1014 | VariCamo Blue (Minimal Wear)@0.45@0.441
Spectrum Case@1.75@1.7149999999999999
StatTrak™ AK-47 | Blue Laminate (Field-Tested)@24.09@23.6082
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)@26.49@25.960199999999997
StatTrak™ AK-47 | Cartel (Field-Tested)@25.99@25.4702
StatTrak™ AK-47 | Elite Build (Battle-Scarred)@2.73@2.6754
StatTrak™ AK-47 | Elite Build (Field-Tested)@3.30@3.234
StatTrak™ AK-47 | Elite Build (Minimal Wear)@9.22@9.0356
StatTrak™ AK-47 | Elite Build (Well-Worn)@2.68@2.6264000000000003
StatTrak™ AK-47 | Frontside Misty (Field-Tested)@28.00@27.439999999999998
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)@179.99@176.3902
StatTrak™ AK-47 | Fuel Injector (Field-Tested)@349.99@342.9902
StatTrak™ AK-47 | Neon Revolution (Minimal Wear)@68.59@67.2182
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)@20.57@20.1586
StatTrak™ AK-47 | Red Laminate (Battle-Scarred)@109.90@107.702
StatTrak™ AK-47 | Redline (Battle-Scarred)@24.07@23.5886
StatTrak™ AK-47 | Redline (Field-Tested)@45.00@44.1
StatTrak™ AK-47 | Vulcan (Minimal Wear)@1049.99@1028.9902
StatTrak™ AUG | Bengal Tiger (Field-Tested)@7.72@7.5656
StatTrak™ AUG | Ricochet (Battle-Scarred)@0.59@0.5781999999999999
StatTrak™ AUG | Ricochet (Factory New)@25.00@24.5
StatTrak™ AUG | Syd Mead (Field-Tested)@8.00@7.84
StatTrak™ AUG | Torque (Field-Tested)@12.99@12.7302
StatTrak™ AUG | Wings (Factory New)@15.00@14.7
StatTrak™ AUG | Wings (Minimal Wear)@40.00@39.2
StatTrak™ AWP | Asiimov (Battle-Scarred)@164.78@161.4844
StatTrak™ AWP | Asiimov (Field-Tested)@445.33@436.42339999999996
StatTrak™ AWP | BOOM (Minimal Wear)@242.90@238.042
StatTrak™ AWP | Corticera (Field-Tested)@25.86@25.3428
StatTrak™ AWP | Corticera (Minimal Wear)@35.00@34.3
StatTrak™ AWP | Electric Hive (Field-Tested)@60.99@59.7702
StatTrak™ AWP | Hyper Beast (Minimal Wear)@149.99@146.99020000000002
StatTrak™ AWP | Phobos (Factory New)@6.00@5.88
StatTrak™ AWP | Phobos (Minimal Wear)@11.00@10.78
StatTrak™ AWP | Redline (Field-Tested)@70.00@68.6
StatTrak™ AWP | Worm God (Field-Tested)@4.01@3.9297999999999997
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear)@2.95@2.891
StatTrak™ CZ75-Auto | Imprint (Factory New)@12.00@11.76
StatTrak™ CZ75-Auto | Imprint (Field-Tested)@0.49@0.48019999999999996
StatTrak™ CZ75-Auto | Imprint (Minimal Wear)@0.59@0.5781999999999999
StatTrak™ CZ75-Auto | Poison Dart (Factory New)@13.99@13.7102
StatTrak™ CZ75-Auto | Pole Position (Battle-Scarred)@1.20@1.176
StatTrak™ CZ75-Auto | Pole Position (Well-Worn)@1.70@1.666
StatTrak™ CZ75-Auto | Polymer (Factory New)@9.00@8.82
StatTrak™ CZ75-Auto | Polymer (Minimal Wear)@0.79@0.7742
StatTrak™ CZ75-Auto | Red Astor (Factory New)@19.99@19.5902
StatTrak™ CZ75-Auto | Red Astor (Field-Tested)@0.66@0.6468
StatTrak™ CZ75-Auto | Tigris (Field-Tested)@1.29@1.2642
StatTrak™ CZ75-Auto | Twist (Factory New)@3.80@3.7239999999999998
StatTrak™ CZ75-Auto | Twist (Minimal Wear)@1.45@1.421
StatTrak™ Desert Eagle | Bronze Deco (Factory New)@3.08@3.0184
StatTrak™ Desert Eagle | Conspiracy (Factory New)@27.62@27.0676
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear)@22.75@22.294999999999998
StatTrak™ Desert Eagle | Corinthian (Field-Tested)@1.57@1.5386
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)@16.17@15.846600000000002
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)@50.00@49.0
StatTrak™ Desert Eagle | Crimson Web (Well-Worn)@13.99@13.7102
StatTrak™ Desert Eagle | Directive (Battle-Scarred)@1.49@1.4602
StatTrak™ Desert Eagle | Directive (Well-Worn)@3.00@2.94
StatTrak™ Desert Eagle | Golden Koi (Minimal Wear)@134.99@132.2902
StatTrak™ Desert Eagle | Heirloom (Field-Tested)@8.80@8.624
StatTrak™ Desert Eagle | Hypnotic (Factory New)@199.29@195.30419999999998
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)@40.99@40.1702
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear)@49.99@48.9902
StatTrak™ Desert Eagle | Naga (Battle-Scarred)@9.00@8.82
StatTrak™ Desert Eagle | Naga (Field-Tested)@3.10@3.038
StatTrak™ Dual Berettas | Black Limba (Battle-Scarred)@13.00@12.74
StatTrak™ Dual Berettas | Cartel (Battle-Scarred)@0.32@0.3136
StatTrak™ Dual Berettas | Cartel (Factory New)@30.00@29.4
StatTrak™ Dual Berettas | Cartel (Field-Tested)@0.79@0.7742
StatTrak™ Dual Berettas | Dualing Dragons (Battle-Scarred)@1.20@1.176
StatTrak™ Dual Berettas | Dualing Dragons (Minimal Wear)@1.23@1.2054
StatTrak™ Dual Berettas | Hemoglobin (Factory New)@26.00@25.48
StatTrak™ Dual Berettas | Panther (Factory New)@17.00@16.66
StatTrak™ Dual Berettas | Panther (Field-Tested)@2.11@2.0677999999999996
StatTrak™ Dual Berettas | Urban Shock (Factory New)@6.23@6.1054
StatTrak™ Dual Berettas | Urban Shock (Well-Worn)@2.55@2.4989999999999997
StatTrak™ Dual Berettas | Ventilators (Factory New)@12.00@11.76
StatTrak™ FAMAS | Afterimage (Minimal Wear)@26.00@25.48
StatTrak™ FAMAS | Doomkitty (Minimal Wear)@3.13@3.0673999999999997
StatTrak™ FAMAS | Mecha Industries (Field-Tested)@5.35@5.242999999999999
StatTrak™ FAMAS | Neural Net (Field-Tested)@1.27@1.2446
StatTrak™ FAMAS | Neural Net (Minimal Wear)@3.66@3.5868
StatTrak™ FAMAS | Pulse (Field-Tested)@12.74@12.4852
StatTrak™ FAMAS | Sergeant (Battle-Scarred)@2.61@2.5578
StatTrak™ FAMAS | Survivor Z (Factory New)@1.79@1.7542
StatTrak™ FAMAS | Survivor Z (Minimal Wear)@1.13@1.1074
StatTrak™ Five-SeveN | Case Hardened (Factory New)@111.33@109.1034
StatTrak™ Five-SeveN | Copper Galaxy (Factory New)@44.54@43.6492
StatTrak™ Five-SeveN | Fowl Play (Minimal Wear)@9.38@9.192400000000001
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)@10.00@9.8
StatTrak™ Five-SeveN | Kami (Field-Tested)@3.00@2.94
StatTrak™ Five-SeveN | Kami (Minimal Wear)@1.74@1.7052
StatTrak™ Five-SeveN | Monkey Business (Well-Worn)@10.00@9.8
StatTrak™ Five-SeveN | Nightshade (Battle-Scarred)@8.00@7.84
StatTrak™ Five-SeveN | Nightshade (Factory New)@10.00@9.8
StatTrak™ Five-SeveN | Nightshade (Field-Tested)@3.08@3.0184
StatTrak™ Five-SeveN | Retrobution (Battle-Scarred)@1.26@1.2348
StatTrak™ Five-SeveN | Retrobution (Field-Tested)@1.54@1.5092
StatTrak™ Five-SeveN | Scumbria (Factory New)@10.00@9.8
StatTrak™ Five-SeveN | Scumbria (Well-Worn)@0.49@0.48019999999999996
StatTrak™ Five-SeveN | Urban Hazard (Factory New)@3.10@3.038
StatTrak™ Five-SeveN | Urban Hazard (Minimal Wear)@1.46@1.4307999999999998
StatTrak™ Five-SeveN | Violent Daimyo (Factory New)@2.32@2.2735999999999996
StatTrak™ Five-SeveN | Violent Daimyo (Field-Tested)@0.80@0.784
StatTrak™ G3SG1 | Azure Zebra (Factory New)@4.54@4.4492
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)@4.58@4.4884
StatTrak™ G3SG1 | Demeter (Minimal Wear)@16.00@15.68
StatTrak™ G3SG1 | Orange Crash (Factory New)@12.00@11.76
StatTrak™ G3SG1 | The Executioner (Field-Tested)@8.00@7.84
StatTrak™ G3SG1 | Ventilator (Factory New)@1.90@1.8619999999999999
StatTrak™ G3SG1 | Ventilator (Minimal Wear)@0.59@0.5781999999999999
StatTrak™ G3SG1 | Ventilator (Well-Worn)@0.59@0.5781999999999999
StatTrak™ Galil AR | Blue Titanium (Factory New)@6.32@6.1936
StatTrak™ Galil AR | Chatterbox (Well-Worn)@35.00@34.3
StatTrak™ Galil AR | Eco (Well-Worn)@3.93@3.8514
StatTrak™ Galil AR | Firefight (Battle-Scarred)@0.51@0.4998
StatTrak™ Galil AR | Firefight (Factory New)@5.00@4.9
StatTrak™ Galil AR | Firefight (Field-Tested)@0.62@0.6076
StatTrak™ Galil AR | Firefight (Well-Worn)@0.99@0.9702
StatTrak™ Galil AR | Kami (Minimal Wear)@1.82@1.7836
StatTrak™ Galil AR | Rocket Pop (Battle-Scarred)@0.39@0.3822
StatTrak™ Galil AR | Rocket Pop (Field-Tested)@0.89@0.8722
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@7.00@6.859999999999999
StatTrak™ Galil AR | Rocket Pop (Well-Worn)@0.73@0.7153999999999999
StatTrak™ Galil AR | Sandstorm (Field-Tested)@2.00@1.96
StatTrak™ Galil AR | Sandstorm (Minimal Wear)@14.00@13.719999999999999
StatTrak™ Galil AR | Stone Cold (Field-Tested)@3.22@3.1556
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)@3.32@3.2535999999999996
StatTrak™ Glock-18 | Bunsen Burner (Factory New)@16.00@15.68
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)@0.66@0.6468
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)@1.27@1.2446
StatTrak™ Glock-18 | Catacombs (Factory New)@17.00@16.66
StatTrak™ Glock-18 | Catacombs (Field-Tested)@0.56@0.5488000000000001
StatTrak™ Glock-18 | Catacombs (Minimal Wear)@1.13@1.1074
StatTrak™ Glock-18 | Dragon Tattoo (Factory New)@229.99@225.3902
StatTrak™ Glock-18 | Ironwork (Battle-Scarred)@0.28@0.27440000000000003
StatTrak™ Glock-18 | Ironwork (Factory New)@20.00@19.6
StatTrak™ Glock-18 | Ironwork (Field-Tested)@1.30@1.274
StatTrak™ Glock-18 | Ironwork (Well-Worn)@0.59@0.5781999999999999
StatTrak™ Glock-18 | Royal Legion (Well-Worn)@6.00@5.88
StatTrak™ Glock-18 | Wasteland Rebel (Factory New)@55666.88@54553.5424
StatTrak™ Glock-18 | Water Elemental (Factory New)@55.00@53.9
StatTrak™ Glock-18 | Water Elemental (Field-Tested)@16.53@16.1994
StatTrak™ Glock-18 | Weasel (Battle-Scarred)@10.00@9.8
StatTrak™ Glock-18 | Weasel (Well-Worn)@1.37@1.3426
StatTrak™ Glock-18 | Wraiths (Battle-Scarred)@0.79@0.7742
StatTrak™ Glock-18 | Wraiths (Factory New)@25.00@24.5
StatTrak™ M249 | Nebula Crusader (Field-Tested)@2.69@2.6362
StatTrak™ M249 | System Lock (Factory New)@1.92@1.8816
StatTrak™ M4A1-S | Atomic Alloy (Battle-Scarred)@30.00@29.4
StatTrak™ M4A1-S | Basilisk (Factory New)@35.00@34.3
StatTrak™ M4A1-S | Basilisk (Field-Tested)@12.99@12.7302
StatTrak™ M4A1-S | Blood Tiger (Factory New)@15.99@15.6702
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)@46.49@45.5602
StatTrak™ M4A1-S | Cyrex (Minimal Wear)@85.90@84.182
StatTrak™ M4A1-S | Flashback (Field-Tested)@2.66@2.6068000000000002
StatTrak™ M4A1-S | Golden Coil (Factory New)@410.00@401.8
StatTrak™ M4A1-S | Golden Coil (Field-Tested)@129.90@127.302
StatTrak™ M4A1-S | Guardian (Factory New)@94.99@93.0902
StatTrak™ M4A4 | Buzz Kill (Factory New)@86.32@84.5936
StatTrak™ M4A4 | Buzz Kill (Field-Tested)@27.99@27.4302
StatTrak™ M4A4 | Buzz Kill (Minimal Wear)@50.66@49.6468
StatTrak™ M4A4 | Desert-Strike (Field-Tested)@11.46@11.2308
StatTrak™ M4A4 | Evil Daimyo (Factory New)@14.99@14.6902
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)@10.00@9.8
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)@7.91@7.7518
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@5.00@4.9
StatTrak™ M4A4 | Faded Zebra (Minimal Wear)@4.72@4.6255999999999995
StatTrak™ M4A4 | Royal Paladin (Battle-Scarred)@25.99@25.4702
StatTrak™ M4A4 | Royal Paladin (Minimal Wear)@89.99@88.19019999999999
StatTrak™ M4A4 | Royal Paladin (Well-Worn)@28.00@27.439999999999998
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested)@15.99@15.6702
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)@39.99@39.190200000000004
StatTrak™ MAC-10 | Carnivore (Factory New)@17.00@16.66
StatTrak™ MAC-10 | Carnivore (Minimal Wear)@1.00@0.98
StatTrak™ MAC-10 | Carnivore (Well-Worn)@0.42@0.41159999999999997
StatTrak™ MAC-10 | Curse (Minimal Wear)@13.84@13.5632
StatTrak™ MAC-10 | Heat (Battle-Scarred)@3.20@3.136
StatTrak™ MAC-10 | Heat (Minimal Wear)@1670.00@1636.6
StatTrak™ MAC-10 | Lapis Gator (Factory New)@3.00@2.94
StatTrak™ MAC-10 | Lapis Gator (Field-Tested)@0.45@0.441
StatTrak™ MAC-10 | Rangeen (Factory New)@3.00@2.94
StatTrak™ MAC-10 | Rangeen (Field-Tested)@0.33@0.3234
StatTrak™ MAC-10 | Rangeen (Minimal Wear)@0.77@0.7546
StatTrak™ MAC-10 | Rangeen (Well-Worn)@0.48@0.4704
StatTrak™ MAG-7 | Cobalt Core (Factory New)@20.00@19.6
StatTrak™ MAG-7 | Cobalt Core (Field-Tested)@0.70@0.6859999999999999
StatTrak™ MAG-7 | Heat (Battle-Scarred)@1.40@1.3719999999999999
StatTrak™ MAG-7 | Heaven Guard (Factory New)@0.94@0.9211999999999999
StatTrak™ MAG-7 | Heaven Guard (Field-Tested)@1.00@0.98
StatTrak™ MAG-7 | Memento (Factory New)@17.00@16.66
StatTrak™ MAG-7 | Petroglyph (Factory New)@2.59@2.5382
StatTrak™ MAG-7 | Praetorian (Factory New)@4453.35@4364.283
StatTrak™ MAG-7 | Praetorian (Field-Tested)@3.03@2.9694
StatTrak™ MAG-7 | Praetorian (Well-Worn)@4.00@3.92
StatTrak™ MAG-7 | Sonar (Factory New)@1.06@1.0388
StatTrak™ MAG-7 | Sonar (Field-Tested)@0.28@0.27440000000000003
StatTrak™ MP7 | Armor Core (Factory New)@1.80@1.764
StatTrak™ MP7 | Armor Core (Field-Tested)@0.59@0.5781999999999999
StatTrak™ MP7 | Cirrus (Battle-Scarred)@0.59@0.5781999999999999
StatTrak™ MP7 | Cirrus (Factory New)@7.00@6.859999999999999
StatTrak™ MP7 | Special Delivery (Field-Tested)@3.06@2.9988
StatTrak™ MP7 | Urban Hazard (Factory New)@0.76@0.7448
StatTrak™ MP7 | Urban Hazard (Field-Tested)@0.23@0.22540000000000002
StatTrak™ MP7 | Urban Hazard (Minimal Wear)@0.39@0.3822
StatTrak™ MP9 | Bioleak (Factory New)@1.12@1.0976000000000001
StatTrak™ MP9 | Bioleak (Field-Tested)@0.59@0.5781999999999999
StatTrak™ MP9 | Bioleak (Minimal Wear)@0.99@0.9702
StatTrak™ MP9 | Dart (Field-Tested)@1.00@0.98
StatTrak™ MP9 | Deadly Poison (Factory New)@35.00@34.3
StatTrak™ MP9 | Deadly Poison (Field-Tested)@0.45@0.441
StatTrak™ MP9 | Deadly Poison (Minimal Wear)@0.79@0.7742
StatTrak™ MP9 | Deadly Poison (Well-Worn)@0.79@0.7742
StatTrak™ MP9 | Ruby Poison Dart (Factory New)@28.95@28.371
StatTrak™ MP9 | Ruby Poison Dart (Minimal Wear)@2.48@2.4304
StatTrak™ MP9 | Sand Scale (Factory New)@6.00@5.88
StatTrak™ Music Kit | Kelly Bailey, Hazardous Environments@15.00@14.7
StatTrak™ Music Kit | Mord Fustang, Diamonds@6.99@6.8502
StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You@15.00@14.7
StatTrak™ Music Kit | New Beat Fund, Sponge Fingerz@15.00@14.7
StatTrak™ Music Kit | Roam, Backbone@2.26@2.2148
StatTrak™ Music Kit | Troels Folmann, Uber Blasto Phone@15.00@14.7
StatTrak™ Music Kit | Twin Atlantic, GLA@3.00@2.94
StatTrak™ Music Kit | Various Artists, Hotline Miami@15.00@14.7
StatTrak™ Negev | Bratatat (Field-Tested)@1.42@1.3916
StatTrak™ Negev | Bratatat (Well-Worn)@1.06@1.0388
StatTrak™ Negev | Dazzle (Field-Tested)@0.36@0.3528
StatTrak™ Negev | Dazzle (Minimal Wear)@11.00@10.78
StatTrak™ Negev | Desert-Strike (Factory New)@10.00@9.8
StatTrak™ Negev | Man-o'-war (Field-Tested)@0.34@0.3332
StatTrak™ Negev | Man-o'-war (Minimal Wear)@0.79@0.7742
StatTrak™ Negev | Power Loader (Factory New)@25.84@25.3232
StatTrak™ Negev | Power Loader (Field-Tested)@9.00@8.82
StatTrak™ Negev | Power Loader (Minimal Wear)@7.11@6.9678
StatTrak™ Negev | Terrain (Factory New)@0.92@0.9016000000000001
StatTrak™ Nova | Exo (Battle-Scarred)@0.74@0.7252
StatTrak™ Nova | Exo (Factory New)@10.00@9.8
StatTrak™ Nova | Exo (Field-Tested)@0.60@0.588
StatTrak™ Nova | Exo (Minimal Wear)@1.00@0.98
StatTrak™ Nova | Ghost Camo (Minimal Wear)@35.00@34.3
StatTrak™ Nova | Gila (Minimal Wear)@3.00@2.94
StatTrak™ Nova | Koi (Factory New)@10.00@9.8
StatTrak™ Nova | Ranger (Factory New)@14.00@13.719999999999999
StatTrak™ Nova | Ranger (Field-Tested)@0.28@0.27440000000000003
StatTrak™ Nova | Ranger (Minimal Wear)@0.70@0.6859999999999999
StatTrak™ P2000 | Corticera (Field-Tested)@11.67@11.4366
StatTrak™ P2000 | Fire Elemental (Field-Tested)@55.00@53.9
StatTrak™ P2000 | Imperial (Factory New)@1.30@1.274
StatTrak™ P2000 | Imperial (Minimal Wear)@0.85@0.833
StatTrak™ P2000 | Ivory (Factory New)@8.00@7.84
StatTrak™ P2000 | Ivory (Well-Worn)@0.59@0.5781999999999999
StatTrak™ P2000 | Oceanic (Factory New)@11.00@10.78
StatTrak™ P2000 | Oceanic (Field-Tested)@0.36@0.3528
StatTrak™ P2000 | Pulse (Factory New)@5.00@4.9
StatTrak™ P2000 | Pulse (Minimal Wear)@1.78@1.7444
StatTrak™ P2000 | Turf (Factory New)@12.00@11.76
StatTrak™ P2000 | Turf (Field-Tested)@0.59@0.5781999999999999
StatTrak™ P250 | Asiimov (Well-Worn)@21.00@20.58
StatTrak™ P250 | Hive (Field-Tested)@3.69@3.6162
StatTrak™ P250 | Iron Clad (Battle-Scarred)@0.46@0.45080000000000003
StatTrak™ P250 | Iron Clad (Field-Tested)@0.20@0.196
StatTrak™ P250 | Iron Clad (Well-Worn)@0.59@0.5781999999999999
StatTrak™ P250 | Mehndi (Factory New)@59.99@58.7902
StatTrak™ P250 | Muertos (Field-Tested)@24.00@23.52
StatTrak™ P250 | Muertos (Minimal Wear)@14.00@13.719999999999999
StatTrak™ P250 | Supernova (Minimal Wear)@2.23@2.1854
StatTrak™ P250 | Supernova (Well-Worn)@2.35@2.303
StatTrak™ P250 | Undertow (Minimal Wear)@77.93@76.37140000000001
StatTrak™ P250 | Valence (Battle-Scarred)@0.28@0.27440000000000003
StatTrak™ P250 | Valence (Factory New)@24.00@23.52
StatTrak™ P250 | Valence (Field-Tested)@0.59@0.5781999999999999
StatTrak™ P250 | Valence (Minimal Wear)@0.74@0.7252
StatTrak™ P250 | Valence (Well-Worn)@1.90@1.8619999999999999
StatTrak™ P250 | Wingshot (Well-Worn)@1.99@1.9502
StatTrak™ P90 | Asiimov (Field-Tested)@22.99@22.530199999999997
StatTrak™ P90 | Chopper (Battle-Scarred)@2.00@1.96
StatTrak™ P90 | Elite Build (Battle-Scarred)@0.18@0.1764
StatTrak™ P90 | Elite Build (Field-Tested)@0.56@0.5488000000000001
StatTrak™ P90 | Grim (Battle-Scarred)@0.59@0.5781999999999999
StatTrak™ P90 | Grim (Factory New)@26.00@25.48
StatTrak™ P90 | Grim (Field-Tested)@0.80@0.784
StatTrak™ P90 | Module (Factory New)@3.29@3.2242
StatTrak™ P90 | Module (Minimal Wear)@1.79@1.7542
StatTrak™ P90 | Virus (Field-Tested)@5.00@4.9
StatTrak™ PP-Bizon | Fuel Rod (Field-Tested)@4.00@3.92
StatTrak™ PP-Bizon | Harvester (Factory New)@9.00@8.82
StatTrak™ PP-Bizon | Harvester (Field-Tested)@0.48@0.4704
StatTrak™ PP-Bizon | Judgement of Anubis (Minimal Wear)@19.82@19.4236
StatTrak™ PP-Bizon | Photic Zone (Factory New)@60.00@58.8
StatTrak™ PP-Bizon | Water Sigil (Minimal Wear)@3.41@3.3418
StatTrak™ R8 Revolver | Fade (Factory New)@65.00@63.699999999999996
StatTrak™ SCAR-20 | Bloodsport (Field-Tested)@11.00@10.78
StatTrak™ SCAR-20 | Crimson Web (Field-Tested)@3.24@3.1752000000000002
StatTrak™ SCAR-20 | Crimson Web (Well-Worn)@4.24@4.1552
StatTrak™ SCAR-20 | Cyrex (Field-Tested)@65.69@64.3762
StatTrak™ SCAR-20 | Green Marine (Battle-Scarred)@0.48@0.4704
StatTrak™ SCAR-20 | Green Marine (Factory New)@10.00@9.8
StatTrak™ SCAR-20 | Grotto (Minimal Wear)@0.63@0.6174
StatTrak™ SCAR-20 | Outbreak (Factory New)@1.25@1.225
StatTrak™ SCAR-20 | Outbreak (Field-Tested)@0.59@0.5781999999999999
StatTrak™ SCAR-20 | Outbreak (Minimal Wear)@0.55@0.539
StatTrak™ SCAR-20 | Powercore (Minimal Wear)@1.50@1.47
StatTrak™ SG 553 | Aerial (Battle-Scarred)@0.46@0.45080000000000003
StatTrak™ SG 553 | Aerial (Factory New)@13.00@12.74
StatTrak™ SG 553 | Aerial (Minimal Wear)@0.50@0.49
StatTrak™ SG 553 | Atlas (Factory New)@18.00@17.64
StatTrak™ SG 553 | Atlas (Field-Tested)@0.30@0.294
StatTrak™ SG 553 | Atlas (Minimal Wear)@0.59@0.5781999999999999
StatTrak™ SG 553 | Cyrex (Factory New)@45.00@44.1
StatTrak™ SG 553 | Pulse (Minimal Wear)@45.00@44.1
StatTrak™ SG 553 | Tiger Moth (Factory New)@17.00@16.66
StatTrak™ SG 553 | Tiger Moth (Field-Tested)@1.03@1.0094
StatTrak™ SG 553 | Tiger Moth (Minimal Wear)@7.00@6.859999999999999
StatTrak™ SG 553 | Triarch (Field-Tested)@0.50@0.49
StatTrak™ SG 553 | Ultraviolet (Field-Tested)@27.83@27.2734
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)@12.00@11.76
StatTrak™ SSG 08 | Abyss (Battle-Scarred)@0.51@0.4998
StatTrak™ SSG 08 | Abyss (Field-Tested)@0.72@0.7056
StatTrak™ SSG 08 | Abyss (Minimal Wear)@2.25@2.205
StatTrak™ SSG 08 | Abyss (Well-Worn)@0.99@0.9702
StatTrak™ SSG 08 | Big Iron (Factory New)@222.66@218.2068
StatTrak™ SSG 08 | Dragonfire (Field-Tested)@39.99@39.190200000000004
StatTrak™ SSG 08 | Ghost Crusader (Well-Worn)@0.97@0.9506
StatTrak™ SSG 08 | Necropos (Field-Tested)@0.74@0.7252
StatTrak™ SSG 08 | Necropos (Minimal Wear)@1.01@0.9898
StatTrak™ SSG 08 | Necropos (Well-Worn)@0.47@0.46059999999999995
StatTrak™ SSG 08 | Slashed (Battle-Scarred)@3.00@2.94
StatTrak™ SSG 08 | Slashed (Field-Tested)@1.62@1.5876000000000001
StatTrak™ Sawed-Off | Fubar (Battle-Scarred)@0.24@0.2352
StatTrak™ Sawed-Off | Limelight (Field-Tested)@2.00@1.96
StatTrak™ Sawed-Off | Limelight (Well-Worn)@0.98@0.9603999999999999
StatTrak™ Sawed-Off | Origami (Factory New)@8.00@7.84
StatTrak™ Sawed-Off | Origami (Field-Tested)@0.59@0.5781999999999999
StatTrak™ Sawed-Off | Origami (Minimal Wear)@0.79@0.7742
StatTrak™ Sawed-Off | Serenity (Minimal Wear)@9.00@8.82
StatTrak™ Sawed-Off | Yorick (Factory New)@2.09@2.0482
StatTrak™ Sawed-Off | Yorick (Field-Tested)@0.59@0.5781999999999999
StatTrak™ Sawed-Off | Yorick (Well-Worn)@0.59@0.5781999999999999
StatTrak™ Tec-9 | Avalanche (Battle-Scarred)@3.00@2.94
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred)@9.00@8.82
StatTrak™ Tec-9 | Fuel Injector (Factory New)@35.00@34.3
StatTrak™ Tec-9 | Ice Cap (Factory New)@3.50@3.4299999999999997
StatTrak™ Tec-9 | Ice Cap (Field-Tested)@0.90@0.882
StatTrak™ Tec-9 | Ice Cap (Minimal Wear)@2.00@1.96
StatTrak™ Tec-9 | Isaac (Field-Tested)@1.73@1.6954
StatTrak™ Tec-9 | Sandstorm (Battle-Scarred)@0.34@0.3332
StatTrak™ Tec-9 | Sandstorm (Field-Tested)@0.41@0.4018
StatTrak™ Tec-9 | Sandstorm (Minimal Wear)@2.77@2.7146
StatTrak™ UMP-45 | Corporal (Minimal Wear)@1.60@1.568
StatTrak™ UMP-45 | Delusion (Factory New)@11.00@10.78
StatTrak™ UMP-45 | Delusion (Minimal Wear)@2.00@1.96
StatTrak™ UMP-45 | Grand Prix (Field-Tested)@0.78@0.7644
StatTrak™ UMP-45 | Labyrinth (Factory New)@1.90@1.8619999999999999
StatTrak™ UMP-45 | Labyrinth (Field-Tested)@0.20@0.196
StatTrak™ UMP-45 | Labyrinth (Minimal Wear)@1.00@0.98
StatTrak™ UMP-45 | Primal Saber (Factory New)@30.00@29.4
StatTrak™ UMP-45 | Riot (Factory New)@2.00@1.96
StatTrak™ UMP-45 | Riot (Minimal Wear)@0.99@0.9702
StatTrak™ USP-S | Blood Tiger (Factory New)@20.00@19.6
StatTrak™ USP-S | Caiman (Minimal Wear)@90.00@88.2
StatTrak™ USP-S | Cyrex (Field-Tested)@2.95@2.891
StatTrak™ USP-S | Cyrex (Minimal Wear)@7.77@7.614599999999999
StatTrak™ USP-S | Dark Water (Minimal Wear)@125.95@123.431
