name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Bowie Knife | Autotronic (Battle-Scarred)@184.23@175.0185
★ Bowie Knife | Autotronic (Factory New)@713.23@677.5685
★ Bowie Knife | Autotronic (Field-Tested)@204.76@194.522
★ Bowie Knife | Autotronic (Minimal Wear)@251.65@239.0675
★ Bowie Knife | Autotronic (Well-Worn)@199.00@189.04999999999998
★ Bowie Knife | Black Laminate (Battle-Scarred)@159.00@151.04999999999998
★ Bowie Knife | Black Laminate (Factory New)@299.00@284.05
★ Bowie Knife | Black Laminate (Field-Tested)@153.36@145.692
★ Bowie Knife | Black Laminate (Minimal Wear)@159.64@151.658
★ Bowie Knife | Black Laminate (Well-Worn)@152.64@145.00799999999998
★ Bowie Knife | Blue Steel (Battle-Scarred)@189.19@179.73049999999998
★ Bowie Knife | Blue Steel (Field-Tested)@174.89@166.14549999999997
★ Bowie Knife | Blue Steel (Minimal Wear)@192.99@183.3405
★ Bowie Knife | Blue Steel (Well-Worn)@250.96@238.412
★ Bowie Knife | Boreal Forest (Field-Tested)@144.02@136.81900000000002
★ Bowie Knife | Boreal Forest (Minimal Wear)@170.00@161.5
★ Bowie Knife | Bright Water (Battle-Scarred)@140.61@133.5795
★ Bowie Knife | Bright Water (Factory New)@165.00@156.75
★ Bowie Knife | Bright Water (Field-Tested)@133.09@126.43549999999999
★ Bowie Knife | Bright Water (Minimal Wear)@160.58@152.55100000000002
★ Bowie Knife | Case Hardened (Battle-Scarred)@349.90@332.405
★ Bowie Knife | Case Hardened (Field-Tested)@259.00@246.04999999999998
★ Bowie Knife | Case Hardened (Minimal Wear)@288.98@274.531
★ Bowie Knife | Case Hardened (Well-Worn)@262.00@248.89999999999998
★ Bowie Knife | Crimson Web (Battle-Scarred)@198.74@188.803
★ Bowie Knife | Crimson Web (Field-Tested)@236.20@224.39
★ Bowie Knife | Damascus Steel (Battle-Scarred)@168.07@159.66649999999998
★ Bowie Knife | Damascus Steel (Factory New)@299.00@284.05
★ Bowie Knife | Damascus Steel (Field-Tested)@164.71@156.4745
★ Bowie Knife | Damascus Steel (Minimal Wear)@196.94@187.093
★ Bowie Knife | Damascus Steel (Well-Worn)@180.00@171.0
★ Bowie Knife | Doppler (Factory New)@410.00@389.5
★ Bowie Knife | Doppler (Minimal Wear)@520.00@494.0
★ Bowie Knife | Forest DDPAT (Battle-Scarred)@130.16@123.65199999999999
★ Bowie Knife | Forest DDPAT (Field-Tested)@126.97@120.6215
★ Bowie Knife | Forest DDPAT (Minimal Wear)@135.56@128.78199999999998
★ Bowie Knife | Freehand (Battle-Scarred)@170.71@162.1745
★ Bowie Knife | Freehand (Factory New)@274.99@261.2405
★ Bowie Knife | Freehand (Field-Tested)@157.90@150.005
★ Bowie Knife | Freehand (Minimal Wear)@201.18@191.121
★ Bowie Knife | Freehand (Well-Worn)@172.77@164.1315
★ Bowie Knife | Gamma Doppler (Factory New)@385.06@365.80699999999996
★ Bowie Knife | Lore (Battle-Scarred)@215.10@204.345
★ Bowie Knife | Lore (Factory New)@792.00@752.4
★ Bowie Knife | Lore (Field-Tested)@263.99@250.7905
★ Bowie Knife | Lore (Well-Worn)@255.00@242.25
★ Bowie Knife | Marble Fade (Factory New)@381.99@362.8905
★ Bowie Knife | Marble Fade (Minimal Wear)@490.00@465.5
