name@price@price_after_sell
10 Year Birthday Sticker Capsule@1.1@0.9680000000000001
1st Lieutenant Farlow | SWAT@3.38@2.9743999999999997
AK-47 | Jet Set (Factory New)@1055.98@929.2624000000001
AK-47 | Jet Set (Field-Tested)@314.57@276.8216
AK-47 | Jet Set (Minimal Wear)@@
AK-47 | Jet Set (Well-Worn)@@
AK-47 | Jungle Spray (Battle-Scarred)@10.0@8.8
AK-47 | Jungle Spray (Factory New)@165.82@145.92159999999998
AK-47 | Jungle Spray (Field-Tested)@6.37@5.6056
AK-47 | Jungle Spray (Minimal Wear)@16.2@14.256
AK-47 | Jungle Spray (Well-Worn)@6.12@5.3856
AK-47 | Leet Museo (Battle-Scarred)@16.68@14.6784
AK-47 | Leet Museo (Factory New)@54.53@47.9864
AK-47 | Leet Museo (Field-Tested)@16.89@14.8632
AK-47 | Leet Museo (Minimal Wear)@25.52@22.4576
AK-47 | Leet Museo (Well-Worn)@18.91@16.6408
AK-47 | Legion of Anubis (Battle-Scarred)@7.78@6.8464
AK-47 | Legion of Anubis (Factory New)@20.91@18.4008
AK-47 | Legion of Anubis (Field-Tested)@8.74@7.6912
AK-47 | Legion of Anubis (Minimal Wear)@13.05@11.484
AK-47 | Legion of Anubis (Well-Worn)@10.21@8.984800000000002
AK-47 | Neon Revolution (Battle-Scarred)@14.0@12.32
AK-47 | Neon Revolution (Factory New)@58.85@51.788000000000004
AK-47 | Neon Revolution (Field-Tested)@15.0@13.2
AK-47 | Neon Revolution (Minimal Wear)@23.99@21.1112
AK-47 | Neon Revolution (Well-Worn)@20.59@18.1192
AK-47 | Neon Rider (Battle-Scarred)@21.79@19.1752
AK-47 | Neon Rider (Factory New)@118.3@104.104
AK-47 | Neon Rider (Field-Tested)@32.0@28.16
AK-47 | Neon Rider (Minimal Wear)@56.75@49.94
AK-47 | Neon Rider (Well-Worn)@32.39@28.5032
AK-47 | Nightwish (Battle-Scarred)@8.56@7.532800000000001
AK-47 | Nightwish (Factory New)@122.42@107.7296
AK-47 | Nightwish (Field-Tested)@16.77@14.7576
AK-47 | Nightwish (Minimal Wear)@39.59@34.839200000000005
AK-47 | Nightwish (Well-Worn)@12.8@11.264000000000001
AK-47 | Orbit Mk01 (Battle-Scarred)@10.37@9.125599999999999
AK-47 | Orbit Mk01 (Factory New)@20.0@17.6
AK-47 | Orbit Mk01 (Field-Tested)@11.65@10.252
AK-47 | Orbit Mk01 (Minimal Wear)@11.9@10.472
AK-47 | Orbit Mk01 (Well-Worn)@26.32@23.1616
AK-47 | Panthera onca (Battle-Scarred)@136.87@120.4456
AK-47 | Panthera onca (Factory New)@405.56@356.8928
AK-47 | Panthera onca (Field-Tested)@210.0@184.8
AK-47 | Panthera onca (Minimal Wear)@259.29@228.17520000000002
AK-47 | Panthera onca (Well-Worn)@180.73@159.0424
AK-47 | Phantom Disruptor (Battle-Scarred)@4.45@3.9160000000000004
AK-47 | Phantom Disruptor (Factory New)@10.87@9.5656
AK-47 | Phantom Disruptor (Field-Tested)@4.5@3.96
AK-47 | Phantom Disruptor (Minimal Wear)@6.02@5.2976
AK-47 | Phantom Disruptor (Well-Worn)@6.0@5.28
AK-47 | Point Disarray (Battle-Scarred)@6.82@6.001600000000001
AK-47 | Point Disarray (Factory New)@23.79@20.9352
AK-47 | Point Disarray (Field-Tested)@9.09@7.9992
AK-47 | Point Disarray (Minimal Wear)@15.04@13.235199999999999
AK-47 | Point Disarray (Well-Worn)@10.8@9.504000000000001
AK-47 | Predator (Battle-Scarred)@13.17@11.5896
AK-47 | Predator (Factory New)@81.0@71.28
AK-47 | Predator (Field-Tested)@15.52@13.6576
AK-47 | Predator (Minimal Wear)@17.44@15.3472
AK-47 | Predator (Well-Worn)@14.96@13.164800000000001
AK-47 | Rat Rod (Battle-Scarred)@3.9@3.432
AK-47 | Rat Rod (Factory New)@9.17@8.0696
AK-47 | Rat Rod (Field-Tested)@3.33@2.9304
AK-47 | Rat Rod (Minimal Wear)@4.23@3.7224000000000004
AK-47 | Rat Rod (Well-Worn)@3.16@2.7808
AK-47 | Red Laminate (Battle-Scarred)@35.22@30.9936
AK-47 | Red Laminate (Factory New)@721.82@635.2016000000001
AK-47 | Red Laminate (Field-Tested)@28.81@25.3528
AK-47 | Red Laminate (Minimal Wear)@55.58@48.910399999999996
AK-47 | Red Laminate (Well-Worn)@33.38@29.3744
AK-47 | Redline (Battle-Scarred)@11.52@10.137599999999999
AK-47 | Redline (Field-Tested)@15.52@13.6576
AK-47 | Redline (Minimal Wear)@71.66@63.0608
AK-47 | Redline (Well-Worn)@14.63@12.874400000000001
AK-47 | Safari Mesh (Battle-Scarred)@0.12@0.1056
AK-47 | Safari Mesh (Factory New)@5.56@4.892799999999999
AK-47 | Safari Mesh (Field-Tested)@0.11@0.0968
AK-47 | Safari Mesh (Minimal Wear)@0.41@0.36079999999999995
AK-47 | Safari Mesh (Well-Worn)@0.23@0.2024
AK-47 | Safety Net (Battle-Scarred)@6.57@5.7816
AK-47 | Safety Net (Factory New)@10.75@9.46
AK-47 | Safety Net (Field-Tested)@4.24@3.7312000000000003
AK-47 | Safety Net (Minimal Wear)@6.72@5.9136
AK-47 | Safety Net (Well-Worn)@6.55@5.764
AK-47 | Slate (Battle-Scarred)@2.35@2.068
AK-47 | Slate (Factory New)@7.58@6.6704
AK-47 | Slate (Field-Tested)@2.31@2.0328
AK-47 | Slate (Minimal Wear)@3.68@3.2384
AK-47 | Slate (Well-Worn)@2.19@1.9272
AK-47 | Steel Delta (Battle-Scarred)@1.74@1.5312
AK-47 | Steel Delta (Factory New)@4.65@4.0920000000000005
AK-47 | Steel Delta (Field-Tested)@1.76@1.5488
AK-47 | Steel Delta (Minimal Wear)@3.1@2.728
AK-47 | Steel Delta (Well-Worn)@3.25@2.86
AK-47 | The Empress (Battle-Scarred)@17.78@15.646400000000002
AK-47 | The Empress (Factory New)@122.42@107.7296
AK-47 | The Empress (Field-Tested)@25.25@22.22
AK-47 | The Empress (Minimal Wear)@41.69@36.6872
AK-47 | The Empress (Well-Worn)@19.13@16.8344
AK-47 | Uncharted (Battle-Scarred)@0.2@0.17600000000000002
AK-47 | Uncharted (Factory New)@1.0@0.88
AK-47 | Uncharted (Field-Tested)@0.2@0.17600000000000002
AK-47 | Uncharted (Minimal Wear)@0.4@0.35200000000000004
AK-47 | Uncharted (Well-Worn)@0.56@0.49280000000000007
AK-47 | Vulcan (Battle-Scarred)@80.68@70.9984
AK-47 | Vulcan (Factory New)@759.3@668.184
AK-47 | Vulcan (Field-Tested)@228.0@200.64000000000001
AK-47 | Vulcan (Minimal Wear)@454.01@399.5288
AK-47 | Vulcan (Well-Worn)@153.0@134.64000000000001
AK-47 | Wasteland Rebel (Battle-Scarred)@31.22@27.473599999999998
AK-47 | Wasteland Rebel (Factory New)@289.34@254.61919999999998
AK-47 | Wasteland Rebel (Field-Tested)@23.62@20.785600000000002
AK-47 | Wasteland Rebel (Minimal Wear)@38.95@34.276
AK-47 | Wasteland Rebel (Well-Worn)@36.28@31.9264
AK-47 | Wild Lotus (Battle-Scarred)@@
AK-47 | Wild Lotus (Factory New)@12148.92@10691.0496
AK-47 | Wild Lotus (Field-Tested)@11685.35@10283.108
AK-47 | Wild Lotus (Minimal Wear)@@
AK-47 | Wild Lotus (Well-Worn)@5542.94@4877.7872
AK-47 | X-Ray (Battle-Scarred)@356.12@313.3856
AK-47 | X-Ray (Factory New)@2531.02@2227.2976
AK-47 | X-Ray (Field-Tested)@1435.71@1263.4248
AK-47 | X-Ray (Minimal Wear)@2099.0@1847.1200000000001
AK-47 | X-Ray (Well-Worn)@500.0@440.0
Alyx Pin@32.0@28.16
Antwerp 2022 Ancient Souvenir Package@4.67@4.1096
Antwerp 2022 Challengers Autograph Capsule@0.5@0.44
Antwerp 2022 Challengers Sticker Capsule@0.61@0.5367999999999999
Antwerp 2022 Champions Autograph Capsule@0.5@0.44
Antwerp 2022 Contenders Autograph Capsule@0.77@0.6776
Antwerp 2022 Contenders Sticker Capsule@0.66@0.5808
Antwerp 2022 Dust II Souvenir Package@15.91@14.0008
Antwerp 2022 Inferno Souvenir Package@3.27@2.8776
Antwerp 2022 Legends Autograph Capsule@0.48@0.4224
Antwerp 2022 Legends Sticker Capsule@0.99@0.8712
Antwerp 2022 Mirage Souvenir Package@4.77@4.1975999999999996
Antwerp 2022 Nuke Souvenir Package@4.04@3.5552
Antwerp 2022 Overpass Souvenir Package@5.56@4.892799999999999
Antwerp 2022 Vertigo Souvenir Package@7.62@6.7056000000000004
Antwerp 2022 Viewer Pass@13.35@11.748
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens@44.48@39.142399999999995
Anubis Collection Package@1.69@1.4871999999999999
Arno The Overgrown | Guerrilla Warfare@4.17@3.6696
Aspirant | Gendarmerie Nationale@2.23@1.9624
Atlanta 2017 Cache Souvenir Package@@
Atlanta 2017 Challengers (Holo-Foil)@@
Atlanta 2017 Cobblestone Souvenir Package@1203.95@1059.476
Atlanta 2017 Dust II Souvenir Package@@
Atlanta 2017 Legends (Holo-Foil)@89.03@78.3464
Atlanta 2017 Mirage Souvenir Package@@
Atlanta 2017 Nuke Souvenir Package@49.27@43.357600000000005
Atlanta 2017 Overpass Souvenir Package@50.08@44.0704
Atlanta 2017 Train Souvenir Package@11.59@10.1992
Audience Participation Parcel@@
AUG | Akihabara Accept (Battle-Scarred)@288.04@253.47520000000003
AUG | Akihabara Accept (Factory New)@6232.18@5484.3184
AUG | Akihabara Accept (Field-Tested)@834.66@734.5008
AUG | Akihabara Accept (Minimal Wear)@1669.34@1469.0192
AUG | Akihabara Accept (Well-Worn)@399.99@351.9912
AUG | Amber Fade (Factory New)@2.98@2.6224
AUG | Amber Fade (Field-Tested)@0.88@0.7744
AUG | Amber Fade (Minimal Wear)@1.01@0.8888
AUG | Amber Fade (Well-Worn)@0.86@0.7568
AUG | Amber Slipstream (Battle-Scarred)@0.08@0.0704
AUG | Amber Slipstream (Factory New)@0.26@0.2288
AUG | Amber Slipstream (Field-Tested)@0.09@0.07919999999999999
AUG | Amber Slipstream (Minimal Wear)@0.14@0.12320000000000002
AUG | Amber Slipstream (Well-Worn)@0.09@0.07919999999999999
AUG | Anodized Navy (Factory New)@32.26@28.3888
AUG | Anodized Navy (Minimal Wear)@1093.2@962.0160000000001
AUG | Arctic Wolf (Battle-Scarred)@1.88@1.6543999999999999
AUG | Arctic Wolf (Factory New)@7.37@6.4856
AUG | Arctic Wolf (Field-Tested)@2.03@1.7863999999999998
AUG | Arctic Wolf (Minimal Wear)@3.88@3.4144
AUG | Arctic Wolf (Well-Worn)@3.34@2.9392
AUG | Aristocrat (Battle-Scarred)@0.31@0.2728
AUG | Aristocrat (Factory New)@2.44@2.1471999999999998
AUG | Aristocrat (Field-Tested)@0.34@0.2992
AUG | Aristocrat (Minimal Wear)@0.87@0.7656
AUG | Aristocrat (Well-Worn)@1.02@0.8976000000000001
AUG | Bengal Tiger (Battle-Scarred)@@
AUG | Bengal Tiger (Factory New)@@
AUG | Bengal Tiger (Field-Tested)@4.61@4.0568
AUG | Bengal Tiger (Minimal Wear)@7.78@6.8464
AUG | Bengal Tiger (Well-Worn)@@
AUG | Carved Jade (Factory New)@32.87@28.9256
AUG | Carved Jade (Field-Tested)@14.4@12.672
AUG | Carved Jade (Minimal Wear)@13.35@11.748
AUG | Chameleon (Battle-Scarred)@3.77@3.3176
AUG | Chameleon (Factory New)@5.56@4.892799999999999
AUG | Chameleon (Field-Tested)@4.62@4.0656
AUG | Chameleon (Minimal Wear)@4.13@3.6344
AUG | Chameleon (Well-Worn)@3.66@3.2208
AUG | Colony (Battle-Scarred)@1.46@1.2848
AUG | Colony (Factory New)@@
AUG | Colony (Field-Tested)@0.67@0.5896
AUG | Colony (Minimal Wear)@1.25@1.1
AUG | Colony (Well-Worn)@1.05@0.924
AUG | Condemned (Battle-Scarred)@0.1@0.08800000000000001
AUG | Condemned (Factory New)@0.95@0.836
AUG | Condemned (Field-Tested)@0.08@0.0704
AUG | Condemned (Minimal Wear)@0.13@0.1144
AUG | Condemned (Well-Worn)@0.07@0.06160000000000001
AUG | Contractor (Battle-Scarred)@0.02@0.0176
AUG | Contractor (Factory New)@0.55@0.48400000000000004
AUG | Contractor (Field-Tested)@0.02@0.0176
AUG | Contractor (Minimal Wear)@0.02@0.0176
AUG | Contractor (Well-Worn)@0.02@0.0176
AUG | Copperhead (Field-Tested)@@
AUG | Copperhead (Minimal Wear)@222.58@195.87040000000002
AUG | Daedalus (Battle-Scarred)@2.44@2.1471999999999998
AUG | Daedalus (Factory New)@3.34@2.9392
AUG | Daedalus (Field-Tested)@2.77@2.4376
AUG | Daedalus (Minimal Wear)@2.6@2.2880000000000003
AUG | Daedalus (Well-Worn)@2.36@2.0768
AUG | Death by Puppy (Factory New)@10.82@9.521600000000001
AUG | Death by Puppy (Field-Tested)@5.23@4.6024
AUG | Death by Puppy (Minimal Wear)@6.17@5.4296
AUG | Death by Puppy (Well-Worn)@6.67@5.8696
AUG | Flame Jörmungandr (Battle-Scarred)@@
AUG | Flame Jörmungandr (Factory New)@303.82@267.3616
AUG | Flame Jörmungandr (Field-Tested)@274.66@241.70080000000002
AUG | Flame Jörmungandr (Minimal Wear)@@
AUG | Flame Jörmungandr (Well-Worn)@@
AUG | Fleet Flock (Battle-Scarred)@1.93@1.6984
AUG | Fleet Flock (Factory New)@14.46@12.7248
AUG | Fleet Flock (Field-Tested)@2.39@2.1032
AUG | Fleet Flock (Minimal Wear)@4.05@3.564
AUG | Fleet Flock (Well-Worn)@2.08@1.8304
AUG | Hot Rod (Factory New)@354.46@311.9248
AUG | Hot Rod (Minimal Wear)@@
AUG | Midnight Lily (Battle-Scarred)@@
AUG | Midnight Lily (Factory New)@249.73@219.76239999999999
AUG | Midnight Lily (Field-Tested)@@
AUG | Midnight Lily (Minimal Wear)@326.88@287.6544
AUG | Midnight Lily (Well-Worn)@@
AUG | Momentum (Battle-Scarred)@1.38@1.2144
AUG | Momentum (Factory New)@25.0@22.0
AUG | Momentum (Field-Tested)@1.85@1.6280000000000001
AUG | Momentum (Minimal Wear)@5.66@4.9808
AUG | Momentum (Well-Worn)@2.03@1.7863999999999998
AUG | Navy Murano (Battle-Scarred)@0.73@0.6424
AUG | Navy Murano (Factory New)@5.55@4.8839999999999995
AUG | Navy Murano (Field-Tested)@1.19@1.0472
AUG | Navy Murano (Minimal Wear)@1.56@1.3728
AUG | Navy Murano (Well-Worn)@1.55@1.364
AUG | Plague (Battle-Scarred)@0.23@0.2024
AUG | Plague (Factory New)@0.76@0.6688000000000001
AUG | Plague (Field-Tested)@0.28@0.24640000000000004
AUG | Plague (Minimal Wear)@0.49@0.43119999999999997
AUG | Plague (Well-Worn)@0.55@0.48400000000000004
AUG | Radiation Hazard (Battle-Scarred)@1.35@1.1880000000000002
AUG | Radiation Hazard (Factory New)@1.78@1.5664
AUG | Radiation Hazard (Field-Tested)@1.0@0.88
AUG | Radiation Hazard (Minimal Wear)@1.36@1.1968
AUG | Radiation Hazard (Well-Worn)@@
AUG | Random Access (Battle-Scarred)@@
AUG | Random Access (Factory New)@10.67@9.3896
AUG | Random Access (Field-Tested)@2.44@2.1471999999999998
AUG | Random Access (Minimal Wear)@4.76@4.1888
AUG | Random Access (Well-Worn)@@
AUG | Ricochet (Battle-Scarred)@0.2@0.17600000000000002
AUG | Ricochet (Factory New)@1.46@1.2848
AUG | Ricochet (Field-Tested)@0.22@0.1936
AUG | Ricochet (Minimal Wear)@0.18@0.15839999999999999
AUG | Ricochet (Well-Worn)@0.17@0.1496
AUG | Sand Storm (Battle-Scarred)@@
AUG | Sand Storm (Factory New)@73.44@64.6272
AUG | Sand Storm (Field-Tested)@57.87@50.925599999999996
AUG | Sand Storm (Minimal Wear)@66.76@58.7488
AUG | Sand Storm (Well-Worn)@@
AUG | Snake Pit (Battle-Scarred)@0.03@0.0264
AUG | Snake Pit (Factory New)@0.12@0.1056
AUG | Snake Pit (Field-Tested)@0.02@0.0176
AUG | Snake Pit (Minimal Wear)@0.1@0.08800000000000001
AUG | Snake Pit (Well-Worn)@0.11@0.0968
AUG | Spalted Wood (Battle-Scarred)@@
AUG | Spalted Wood (Factory New)@2.88@2.5343999999999998
AUG | Spalted Wood (Field-Tested)@3.43@3.0184
AUG | Spalted Wood (Minimal Wear)@3.12@2.7456
AUG | Spalted Wood (Well-Worn)@@
AUG | Storm (Battle-Scarred)@0.02@0.0176
AUG | Storm (Factory New)@0.12@0.1056
AUG | Storm (Field-Tested)@0.02@0.0176
AUG | Storm (Minimal Wear)@0.02@0.0176
AUG | Storm (Well-Worn)@0.02@0.0176
AUG | Stymphalian (Battle-Scarred)@1.1@0.9680000000000001
AUG | Stymphalian (Factory New)@10.39@9.1432
AUG | Stymphalian (Field-Tested)@1.49@1.3112
AUG | Stymphalian (Minimal Wear)@3.33@2.9304
AUG | Stymphalian (Well-Worn)@1.15@1.012
AUG | Surveillance (Battle-Scarred)@0.22@0.1936
AUG | Surveillance (Factory New)@0.38@0.33440000000000003
AUG | Surveillance (Field-Tested)@0.16@0.1408
AUG | Surveillance (Minimal Wear)@0.37@0.3256
AUG | Surveillance (Well-Worn)@@
AUG | Sweeper (Battle-Scarred)@0.02@0.0176
AUG | Sweeper (Factory New)@0.03@0.0264
AUG | Sweeper (Field-Tested)@0.02@0.0176
AUG | Sweeper (Minimal Wear)@0.02@0.0176
AUG | Sweeper (Well-Worn)@0.02@0.0176
AUG | Syd Mead (Battle-Scarred)@1.41@1.2408
AUG | Syd Mead (Factory New)@8.73@7.6824
AUG | Syd Mead (Field-Tested)@1.52@1.3376000000000001
AUG | Syd Mead (Minimal Wear)@4.44@3.9072000000000005
AUG | Syd Mead (Well-Worn)@2.53@2.2264
AUG | Tom Cat (Battle-Scarred)@0.04@0.0352
AUG | Tom Cat (Factory New)@0.26@0.2288
AUG | Tom Cat (Field-Tested)@0.04@0.0352
AUG | Tom Cat (Minimal Wear)@0.08@0.0704
AUG | Tom Cat (Well-Worn)@0.04@0.0352
AUG | Torque (Battle-Scarred)@@
AUG | Torque (Factory New)@10.0@8.8
AUG | Torque (Field-Tested)@6.42@5.6496
AUG | Torque (Minimal Wear)@7.49@6.591200000000001
AUG | Torque (Well-Worn)@6.0@5.28
AUG | Triqua (Battle-Scarred)@0.04@0.0352
AUG | Triqua (Factory New)@0.9@0.792
AUG | Triqua (Field-Tested)@0.04@0.0352
AUG | Triqua (Minimal Wear)@0.09@0.07919999999999999
AUG | Triqua (Well-Worn)@0.04@0.0352
AUG | Wings (Factory New)@17.49@15.3912
AUG | Wings (Minimal Wear)@17.16@15.1008
Autograph Capsule | Astralis | Atlanta 2017@8.24@7.2512
Autograph Capsule | Astralis | Cologne 2016@13.66@12.0208
Autograph Capsule | Astralis | MLG Columbus 2016@8.24@7.2512
Autograph Capsule | Challengers (Foil) | Atlanta 2017@103.62@91.18560000000001
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015@50.07@44.0616
Autograph Capsule | Challengers (Foil) | Cologne 2016@69.0@60.72
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@34.53@30.386400000000002
Autograph Capsule | Cloud9 | Cluj-Napoca 2015@8.46@7.444800000000001
Autograph Capsule | Cloud9 G2A | Cologne 2015@7.85@6.9079999999999995
Autograph Capsule | Cloud9 | MLG Columbus 2016@@
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015@3.64@3.2032000000000003
Autograph Capsule | Counter Logic Gaming | Cologne 2015@4.45@3.9160000000000004
Autograph Capsule | Counter Logic Gaming | Cologne 2016@10.0@8.8
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016@9.47@8.3336
Autograph Capsule | FaZe Clan | Atlanta 2017@8.64@7.6032
Autograph Capsule | FaZe Clan | Cologne 2016@7.0@6.16
Autograph Capsule | FaZe Clan | MLG Columbus 2016@3.44@3.0272
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017@10.0@8.8
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015@7.61@6.6968000000000005
Autograph Capsule | Flipsid3 Tactics | Cologne 2015@6.24@5.4912
Autograph Capsule | Flipsid3 Tactics | Cologne 2016@11.13@9.794400000000001
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016@5.11@4.4968
Autograph Capsule | Fnatic | Atlanta 2017@13.56@11.9328
Autograph Capsule | Fnatic | Cluj-Napoca 2015@4.7@4.136
Autograph Capsule | Fnatic | Cologne 2015@3.47@3.0536000000000003
Autograph Capsule | Fnatic | Cologne 2016@8.0@7.04
Autograph Capsule | Fnatic | MLG Columbus 2016@@
Autograph Capsule | G2 Esports | Atlanta 2017@10.67@9.3896
Autograph Capsule | G2 Esports | Cluj-Napoca 2015@3.84@3.3792
Autograph Capsule | G2 Esports | Cologne 2016@@
Autograph Capsule | G2 Esports | MLG Columbus 2016@@
Autograph Capsule | Gambit Gaming | Atlanta 2017@7.87@6.9256
Autograph Capsule | Gambit Gaming | Cologne 2016@@
Autograph Capsule | Gambit Gaming | MLG Columbus 2016@5.55@4.8839999999999995
Autograph Capsule | GODSENT | Atlanta 2017@9.27@8.1576
Autograph Capsule | Group A (Foil) | Cologne 2015@17.33@15.250399999999999
Autograph Capsule | Group B (Foil) | Cologne 2015@20.39@17.9432
Autograph Capsule | Group C (Foil) | Cologne 2015@20.5@18.04
