name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785
AUG | Amber Slipstream (Factory New)@0.22@0.209
AUG | Amber Slipstream (Field-Tested)@0.14@0.133
AUG | Amber Slipstream (Minimal Wear)@0.2@0.19
AUG | Arctic Wolf (Field-Tested)@1.26@1.1969999999999998
AUG | Arctic Wolf (Minimal Wear)@1.93@1.8335
AUG | Arctic Wolf (Well-Worn)@1.31@1.2445
AUG | Aristocrat (Battle-Scarred)@0.3@0.285
AUG | Aristocrat (Factory New)@1.19@1.1304999999999998
AUG | Aristocrat (Field-Tested)@0.29@0.27549999999999997
AUG | Aristocrat (Minimal Wear)@0.63@0.5984999999999999
AUG | Aristocrat (Well-Worn)@0.59@0.5605
AUG | Chameleon (Field-Tested)@2.55@2.4225
AUG | Chameleon (Minimal Wear)@2.69@2.5555
AUG | Condemned (Battle-Scarred)@0.15@0.1425
AUG | Condemned (Factory New)@0.61@0.5795
AUG | Condemned (Field-Tested)@0.11@0.1045
AUG | Condemned (Minimal Wear)@0.2@0.19
AUG | Contractor (Battle-Scarred)@0.03@0.028499999999999998
AUG | Contractor (Field-Tested)@0.03@0.028499999999999998
AUG | Contractor (Minimal Wear)@0.03@0.028499999999999998
AUG | Contractor (Well-Worn)@0.03@0.028499999999999998
AUG | Daedalus (Factory New)@2.29@2.1755
AUG | Daedalus (Field-Tested)@1.83@1.7385
AUG | Daedalus (Minimal Wear)@2.07@1.9664999999999997
AUG | Fleet Flock (Battle-Scarred)@1.12@1.064
AUG | Fleet Flock (Field-Tested)@1.87@1.7765
AUG | Fleet Flock (Minimal Wear)@2.48@2.356
AUG | Fleet Flock (Well-Worn)@1.28@1.216
AUG | Momentum (Battle-Scarred)@1.14@1.083
AUG | Momentum (Field-Tested)@1.31@1.2445
AUG | Momentum (Minimal Wear)@4.03@3.8285
AUG | Momentum (Well-Worn)@1.13@1.0735
AUG | Navy Murano (Field-Tested)@0.66@0.627
AUG | Navy Murano (Minimal Wear)@0.82@0.7789999999999999
AUG | Navy Murano (Well-Worn)@0.64@0.608
AUG | Plague (Factory New)@0.67@0.6365
AUG | Plague (Field-Tested)@0.24@0.22799999999999998
AUG | Plague (Minimal Wear)@0.39@0.3705
AUG | Radiation Hazard (Factory New)@1.32@1.254
AUG | Radiation Hazard (Field-Tested)@0.89@0.8454999999999999
AUG | Radiation Hazard (Minimal Wear)@1.2@1.14
AUG | Radiation Hazard (Well-Worn)@0.74@0.703
AUG | Random Access (Field-Tested)@1.26@1.1969999999999998
AUG | Ricochet (Factory New)@0.51@0.4845
AUG | Ricochet (Minimal Wear)@0.17@0.1615
AUG | Spalted Wood (Field-Tested)@2.59@2.4604999999999997
AUG | Storm (Battle-Scarred)@0.03@0.028499999999999998
AUG | Storm (Factory New)@0.2@0.19
AUG | Storm (Field-Tested)@0.03@0.028499999999999998
AUG | Storm (Minimal Wear)@0.03@0.028499999999999998
AUG | Storm (Well-Worn)@0.03@0.028499999999999998
AUG | Stymphalian (Battle-Scarred)@0.99@0.9405
AUG | Stymphalian (Factory New)@16.87@16.0265
AUG | Stymphalian (Field-Tested)@1.07@1.0165
AUG | Stymphalian (Minimal Wear)@2.25@2.1374999999999997
AUG | Surveillance (Factory New)@0.21@0.19949999999999998
AUG | Sweeper (Battle-Scarred)@0.03@0.028499999999999998
AUG | Sweeper (Factory New)@0.09@0.08549999999999999
AUG | Sweeper (Field-Tested)@0.03@0.028499999999999998
AUG | Syd Mead (Factory New)@7.86@7.467
AUG | Syd Mead (Field-Tested)@1.23@1.1684999999999999
AUG | Syd Mead (Minimal Wear)@2.09@1.9854999999999998
AUG | Syd Mead (Well-Worn)@1.9@1.805
AUG | Tom Cat (Factory New)@0.26@0.247
AUG | Tom Cat (Field-Tested)@0.09@0.08549999999999999
AUG | Triqua (Battle-Scarred)@0.09@0.08549999999999999
AUG | Triqua (Factory New)@0.26@0.247
AUG | Triqua (Field-Tested)@0.15@0.1425
AUG | Triqua (Minimal Wear)@0.16@0.152
AUG | Triqua (Well-Worn)@0.15@0.1425
AWP | Acheron (Battle-Scarred)@0.52@0.494
AWP | Acheron (Factory New)@4.7@4.465
AWP | Acheron (Field-Tested)@0.56@0.532
AWP | Acheron (Minimal Wear)@0.96@0.9119999999999999
AWP | Acheron (Well-Worn)@0.86@0.817
AWP | Asiimov (Battle-Scarred)@67.31@63.9445
AWP | Asiimov (Well-Worn)@86.23@81.9185
AWP | Atheris (Battle-Scarred)@1.25@1.1875
AWP | Atheris (Factory New)@8.76@8.322
AWP | Atheris (Field-Tested)@1.53@1.4535
AWP | Atheris (Minimal Wear)@3.55@3.3724999999999996
AWP | Atheris (Well-Worn)@1.22@1.159
AWP | Black Nile (Factory New)@5.43@5.158499999999999
AWP | Black Nile (Field-Tested)@1.52@1.444
AWP | Capillary (Battle-Scarred)@0.17@0.1615
AWP | Capillary (Factory New)@1.23@1.1684999999999999
AWP | Capillary (Field-Tested)@0.16@0.152
AWP | Capillary (Minimal Wear)@0.22@0.209
AWP | Capillary (Well-Worn)@0.24@0.22799999999999998
AWP | Chromatic Aberration (Field-Tested)@9.24@8.778
AWP | Corticera (Minimal Wear)@33.76@32.071999999999996
AWP | Duality (Battle-Scarred)@5.29@5.0255
AWP | Duality (Field-Tested)@6.64@6.308
AWP | Duality (Minimal Wear)@12.46@11.837
AWP | Duality (Well-Worn)@7.74@7.353
AWP | Electric Hive (Factory New)@110.0@104.5
AWP | Elite Build (Battle-Scarred)@9.32@8.854
AWP | Exoskeleton (Battle-Scarred)@1.27@1.2065
AWP | Exoskeleton (Field-Tested)@1.58@1.501
AWP | Exoskeleton (Minimal Wear)@2.58@2.451
AWP | Exoskeleton (Well-Worn)@1.37@1.3015
AWP | Fever Dream (Field-Tested)@5.84@5.548
AWP | Fever Dream (Minimal Wear)@8.38@7.961
AWP | Graphite (Minimal Wear)@294.79@280.0505
AWP | Hyper Beast (Factory New)@78.87@74.9265
AWP | Hyper Beast (Field-Tested)@26.13@24.8235
AWP | Hyper Beast (Well-Worn)@18.28@17.366
AWP | Man-o'-war (Field-Tested)@27.9@26.505
AWP | Man-o'-war (Minimal Wear)@29.93@28.4335
AWP | Mortis (Battle-Scarred)@1.16@1.1019999999999999
AWP | Mortis (Factory New)@5.3@5.034999999999999
AWP | Mortis (Field-Tested)@1.13@1.0735
AWP | Mortis (Minimal Wear)@2.48@2.356
AWP | Mortis (Well-Worn)@1.72@1.634
AWP | Neo-Noir (Factory New)@29.13@27.673499999999997
AWP | PAW (Battle-Scarred)@1.49@1.4155
AWP | PAW (Factory New)@3.08@2.9259999999999997
AWP | PAW (Field-Tested)@0.96@0.9119999999999999
AWP | PAW (Minimal Wear)@1.66@1.577
AWP | PAW (Well-Worn)@1.11@1.0545
AWP | Phobos (Factory New)@1.28@1.216
AWP | Phobos (Field-Tested)@0.74@0.703
AWP | Phobos (Minimal Wear)@0.79@0.7505
AWP | Pit Viper (Battle-Scarred)@0.59@0.5605
AWP | Pit Viper (Field-Tested)@0.29@0.27549999999999997
AWP | Pit Viper (Minimal Wear)@0.49@0.46549999999999997
AWP | Pit Viper (Well-Worn)@0.45@0.4275
AWP | POP AWP (Factory New)@4.07@3.8665000000000003
AWP | POP AWP (Field-Tested)@1.67@1.5864999999999998
AWP | POP AWP (Minimal Wear)@2.35@2.2325
AWP | Redline (Field-Tested)@48.42@45.999
AWP | Redline (Minimal Wear)@400.0@380.0
AWP | Safari Mesh (Factory New)@2.17@2.0614999999999997
AWP | Safari Mesh (Field-Tested)@0.12@0.11399999999999999
AWP | Safari Mesh (Minimal Wear)@0.18@0.17099999999999999
AWP | Sun in Leo (Minimal Wear)@12.42@11.799
AWP | Wildfire (Field-Tested)@47.15@44.7925
AWP | Worm God (Factory New)@1.53@1.4535
AWP | Worm God (Field-Tested)@0.87@0.8265
AWP | Worm God (Minimal Wear)@1.04@0.988
AWP | Worm God (Well-Worn)@0.91@0.8644999999999999
B Squadron Officer | SAS@2.97@2.8215
Baggage Pin@2.24@2.128
Berlin 2019 Minor Challengers (Holo-Foil)@1.08@1.026
Berlin 2019 Returning Challengers (Holo-Foil)@2.49@2.3655
Bio-Haz Specialist | SWAT@2.48@2.356
Blackwolf | Sabre@1.56@1.482
Bloodhound Pin@4.74@4.503
Boston 2018 Legends (Holo-Foil)@137.09@130.2355
Buckshot | NSWC SEAL@1.27@1.2065
Canals Pin@2.07@1.9664999999999997
Chem-Haz Capitaine | Gendarmerie Nationale@4.96@4.712
Chem-Haz Specialist | SWAT@3.49@3.3155
Chroma 2 Case@1.66@1.577
Chroma 3 Case@1.64@1.5579999999999998
Chroma Case@1.74@1.653
City 17 Pin@2.36@2.242
Clutch Case@0.52@0.494
CMB Pin@2.54@2.413
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@27.85@26.4575
Cmdr. Mae 'Dead Cold' Jamison | SWAT@5.26@4.997
Cologne 2016 Challengers (Holo-Foil)@29.61@28.129499999999997
Community Capsule 2018@4.0@3.8
Community Sticker Capsule 1@3.4@3.23
Crasswater The Forgotten | Guerrilla Warfare@5.27@5.006499999999999
CS20 Case@0.5@0.475
CS20 Sticker Capsule@0.63@0.5984999999999999
CS:GO Weapon Case@63.89@60.695499999999996
CS:GO Weapon Case 2@8.98@8.531
CS:GO Weapon Case 3@5.85@5.557499999999999
CZ75-Auto | Army Sheen (Factory New)@1.78@1.6909999999999998
CZ75-Auto | Army Sheen (Minimal Wear)@1.0@0.95
CZ75-Auto | Circaetus (Factory New)@0.29@0.27549999999999997
CZ75-Auto | Circaetus (Field-Tested)@0.14@0.133
CZ75-Auto | Circaetus (Minimal Wear)@0.22@0.209
CZ75-Auto | Crimson Web (Field-Tested)@1.19@1.1304999999999998
CZ75-Auto | Crimson Web (Minimal Wear)@1.44@1.3679999999999999
CZ75-Auto | Distressed (Battle-Scarred)@0.14@0.133
CZ75-Auto | Distressed (Factory New)@0.36@0.34199999999999997
CZ75-Auto | Eco (Battle-Scarred)@0.34@0.323
CZ75-Auto | Eco (Factory New)@2.15@2.0425
CZ75-Auto | Eco (Field-Tested)@0.5@0.475
CZ75-Auto | Eco (Minimal Wear)@1.05@0.9974999999999999
CZ75-Auto | Eco (Well-Worn)@0.43@0.4085
CZ75-Auto | Emerald (Factory New)@17.31@16.444499999999998
CZ75-Auto | Green Plaid (Field-Tested)@1.09@1.0355
CZ75-Auto | Hexane (Field-Tested)@1.54@1.4629999999999999
CZ75-Auto | Imprint (Battle-Scarred)@0.08@0.076
CZ75-Auto | Indigo (Battle-Scarred)@0.7@0.6649999999999999
CZ75-Auto | Indigo (Factory New)@3.69@3.5054999999999996
CZ75-Auto | Indigo (Field-Tested)@0.7@0.6649999999999999
CZ75-Auto | Jungle Dashed (Battle-Scarred)@0.14@0.133
CZ75-Auto | Jungle Dashed (Field-Tested)@0.13@0.1235
CZ75-Auto | Jungle Dashed (Minimal Wear)@0.14@0.133
CZ75-Auto | Midnight Palm (Factory New)@1.24@1.178
CZ75-Auto | Midnight Palm (Field-Tested)@1.11@1.0545
CZ75-Auto | Midnight Palm (Minimal Wear)@1.12@1.064
CZ75-Auto | Pole Position (Battle-Scarred)@0.24@0.22799999999999998
CZ75-Auto | Pole Position (Factory New)@1.19@1.1304999999999998
CZ75-Auto | Pole Position (Field-Tested)@0.24@0.22799999999999998
CZ75-Auto | Pole Position (Minimal Wear)@0.44@0.418
CZ75-Auto | Polymer (Factory New)@0.18@0.17099999999999999
CZ75-Auto | Polymer (Minimal Wear)@0.19@0.1805
CZ75-Auto | Polymer (Well-Worn)@0.14@0.133
CZ75-Auto | Red Astor (Battle-Scarred)@0.19@0.1805
CZ75-Auto | Red Astor (Field-Tested)@0.23@0.2185
CZ75-Auto | Red Astor (Minimal Wear)@0.5@0.475
CZ75-Auto | Red Astor (Well-Worn)@0.29@0.27549999999999997
CZ75-Auto | Silver (Factory New)@1.9@1.805
CZ75-Auto | Syndicate (Minimal Wear)@1.7@1.615
CZ75-Auto | Syndicate (Well-Worn)@1.55@1.4725
CZ75-Auto | Tacticat (Battle-Scarred)@0.36@0.34199999999999997
CZ75-Auto | Tacticat (Factory New)@0.9@0.855
CZ75-Auto | Tacticat (Field-Tested)@0.26@0.247
CZ75-Auto | Tacticat (Minimal Wear)@0.47@0.44649999999999995
CZ75-Auto | Tacticat (Well-Worn)@0.25@0.2375
CZ75-Auto | Tigris (Battle-Scarred)@0.34@0.323
CZ75-Auto | Tigris (Factory New)@1.68@1.5959999999999999
CZ75-Auto | Tigris (Field-Tested)@0.38@0.361
CZ75-Auto | Tigris (Minimal Wear)@0.59@0.5605
CZ75-Auto | Tigris (Well-Worn)@0.36@0.34199999999999997
CZ75-Auto | Tuxedo (Battle-Scarred)@0.64@0.608
CZ75-Auto | Tuxedo (Factory New)@1.43@1.3584999999999998
CZ75-Auto | Tuxedo (Field-Tested)@0.7@0.6649999999999999
CZ75-Auto | Tuxedo (Minimal Wear)@0.98@0.9309999999999999
CZ75-Auto | Twist (Battle-Scarred)@1.77@1.6815
CZ75-Auto | Twist (Factory New)@1.85@1.7575
CZ75-Auto | Twist (Field-Tested)@1.83@1.7385
CZ75-Auto | Twist (Minimal Wear)@1.42@1.349
CZ75-Auto | Twist (Well-Worn)@1.43@1.3584999999999998
CZ75-Auto | Vendetta (Field-Tested)@0.36@0.34199999999999997
CZ75-Auto | Vendetta (Minimal Wear)@0.4@0.38
CZ75-Auto | Victoria (Field-Tested)@4.35@4.132499999999999
CZ75-Auto | Yellow Jacket (Battle-Scarred)@2.16@2.052
Death Sentence Pin@2.19@2.0805
Desert Eagle | Blue Ply (Factory New)@0.64@0.608
Desert Eagle | Blue Ply (Field-Tested)@0.54@0.513
Desert Eagle | Blue Ply (Minimal Wear)@0.18@0.17099999999999999
Desert Eagle | Blue Ply (Well-Worn)@0.44@0.418
Desert Eagle | Bronze Deco (Factory New)@1.17@1.1115
Desert Eagle | Bronze Deco (Field-Tested)@0.16@0.152
Desert Eagle | Bronze Deco (Minimal Wear)@0.5@0.475
Desert Eagle | Code Red (Field-Tested)@16.93@16.083499999999997
Desert Eagle | Conspiracy (Factory New)@6.15@5.8425
Desert Eagle | Conspiracy (Field-Tested)@3.53@3.3534999999999995
Desert Eagle | Conspiracy (Minimal Wear)@4.27@4.0565
Desert Eagle | Corinthian (Factory New)@0.45@0.4275
Desert Eagle | Corinthian (Field-Tested)@0.16@0.152
Desert Eagle | Corinthian (Minimal Wear)@0.23@0.2185
Desert Eagle | Corinthian (Well-Worn)@0.27@0.2565
Desert Eagle | Directive (Battle-Scarred)@0.17@0.1615
Desert Eagle | Directive (Field-Tested)@0.25@0.2375
Desert Eagle | Directive (Minimal Wear)@0.7@0.6649999999999999
Desert Eagle | Directive (Well-Worn)@0.2@0.19
Desert Eagle | Emerald Jörmungandr (Factory New)@239.02@227.069
Desert Eagle | Golden Koi (Factory New)@99.8@94.80999999999999
Desert Eagle | Heirloom (Field-Tested)@250.0@237.5
Desert Eagle | Kumicho Dragon (Field-Tested)@10.99@10.4405
Desert Eagle | Light Rail (Battle-Scarred)@0.33@0.3135
Desert Eagle | Light Rail (Field-Tested)@0.36@0.34199999999999997
Desert Eagle | Light Rail (Minimal Wear)@0.83@0.7885
Desert Eagle | Light Rail (Well-Worn)@0.35@0.33249999999999996
Desert Eagle | Mecha Industries (Battle-Scarred)@2.56@2.432
Desert Eagle | Mecha Industries (Factory New)@6.66@6.327
Desert Eagle | Mecha Industries (Field-Tested)@2.79@2.6505
Desert Eagle | Mecha Industries (Minimal Wear)@4.06@3.8569999999999993
Desert Eagle | Mecha Industries (Well-Worn)@3.0@2.8499999999999996
Desert Eagle | Meteorite (Factory New)@1.4@1.3299999999999998
Desert Eagle | Meteorite (Minimal Wear)@1.05@0.9974999999999999
Desert Eagle | Midnight Storm (Factory New)@19.7@18.715
Desert Eagle | Mudder (Battle-Scarred)@0.44@0.418
Desert Eagle | Mudder (Factory New)@0.81@0.7695
Desert Eagle | Mudder (Field-Tested)@0.09@0.08549999999999999
Desert Eagle | Naga (Battle-Scarred)@0.83@0.7885
Desert Eagle | Naga (Field-Tested)@0.85@0.8075
Desert Eagle | Naga (Minimal Wear)@2.03@1.9284999999999997
Desert Eagle | Naga (Well-Worn)@0.82@0.7789999999999999
Desert Eagle | Night Heist (Field-Tested)@7.53@7.1535
Desert Eagle | Ocean Drive (Well-Worn)@15.1@14.344999999999999
Desert Eagle | Oxide Blaze (Factory New)@0.3@0.285
Desert Eagle | Oxide Blaze (Minimal Wear)@0.16@0.152
Desert Eagle | Oxide Blaze (Well-Worn)@0.21@0.19949999999999998
Desert Eagle | Printstream (Battle-Scarred)@28.17@26.7615
Desert Eagle | Printstream (Field-Tested)@37.42@35.549
Desert Eagle | Printstream (Minimal Wear)@52.26@49.647
Desert Eagle | Sputnik (Battle-Scarred)@0.37@0.3515
Desert Eagle | Sputnik (Factory New)@0.91@0.8644999999999999
Desert Eagle | Sputnik (Field-Tested)@0.32@0.304
Desert Eagle | Sputnik (Minimal Wear)@0.5@0.475
Desert Eagle | Sputnik (Well-Worn)@0.34@0.323
Desert Eagle | The Bronze (Factory New)@1.44@1.3679999999999999
Desert Eagle | The Bronze (Field-Tested)@1.39@1.3204999999999998
Desert Eagle | The Bronze (Minimal Wear)@1.22@1.159
Desert Eagle | Trigger Discipline (Battle-Scarred)@0.17@0.1615
Desert Eagle | Trigger Discipline (Factory New)@1.65@1.5675
Desert Eagle | Trigger Discipline (Field-Tested)@0.24@0.22799999999999998
Desert Eagle | Trigger Discipline (Minimal Wear)@0.64@0.608
Desert Eagle | Trigger Discipline (Well-Worn)@0.17@0.1615
Desert Eagle | Urban DDPAT (Battle-Scarred)@1.07@1.0165
Desert Eagle | Urban DDPAT (Field-Tested)@0.92@0.874
Desert Eagle | Urban DDPAT (Minimal Wear)@1.6@1.52
Desert Eagle | Urban DDPAT (Well-Worn)@1.09@1.0355
Desert Eagle | Urban Rubble (Factory New)@0.79@0.7505
Desert Eagle | Urban Rubble (Field-Tested)@0.39@0.3705
Desert Eagle | Urban Rubble (Minimal Wear)@0.59@0.5605
Desert Eagle | Urban Rubble (Well-Worn)@0.39@0.3705
Dragomir | Sabre@0.89@0.8454999999999999
Dragomir | Sabre Footsoldier@1.39@1.3204999999999998
Dreams & Nightmares Case@1.1@1.045
Dual Berettas | Anodized Navy (Factory New)@0.91@0.8644999999999999
Dual Berettas | Balance (Battle-Scarred)@0.89@0.8454999999999999
Dual Berettas | Balance (Field-Tested)@0.86@0.817
Dual Berettas | Balance (Minimal Wear)@0.77@0.7314999999999999
Dual Berettas | Black Limba (Field-Tested)@5.0@4.75
Dual Berettas | Briar (Factory New)@2.12@2.014
Dual Berettas | Briar (Minimal Wear)@1.32@1.254
Dual Berettas | Cartel (Factory New)@1.19@1.1304999999999998
Dual Berettas | Cartel (Field-Tested)@0.5@0.475
Dual Berettas | Cartel (Minimal Wear)@0.45@0.4275
Dual Berettas | Cobalt Quartz (Factory New)@0.35@0.33249999999999996
Dual Berettas | Cobalt Quartz (Field-Tested)@0.17@0.1615
Dual Berettas | Cobalt Quartz (Minimal Wear)@0.17@0.1615
Dual Berettas | Colony (Battle-Scarred)@0.03@0.028499999999999998
Dual Berettas | Colony (Field-Tested)@0.03@0.028499999999999998
Dual Berettas | Colony (Minimal Wear)@0.03@0.028499999999999998
Dual Berettas | Colony (Well-Worn)@0.03@0.028499999999999998
Dual Berettas | Contractor (Battle-Scarred)@0.03@0.028499999999999998
Dual Berettas | Contractor (Field-Tested)@0.03@0.028499999999999998
Dual Berettas | Contractor (Minimal Wear)@0.03@0.028499999999999998
Dual Berettas | Contractor (Well-Worn)@0.03@0.028499999999999998
Dual Berettas | Dezastre (Field-Tested)@1.61@1.5295
Dual Berettas | Dezastre (Well-Worn)@1.67@1.5864999999999998
Dual Berettas | Drift Wood (Factory New)@1.2@1.14
Dual Berettas | Drift Wood (Field-Tested)@1.1@1.045
Dual Berettas | Drift Wood (Minimal Wear)@1.13@1.0735
Dual Berettas | Dualing Dragons (Factory New)@1.22@1.159
Dual Berettas | Dualing Dragons (Field-Tested)@0.26@0.247
