name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015@45.43@39.9784@67.5@64.125@skinport@shadowpay@18.7
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@37.67@33.1496@54.74@52.003@skinport@shadowpay@14.33
Autograph Capsule | Cloud9 | MLG Columbus 2016@19.0@16.72@82.55@78.4225@skinport@shadowpay@59.42
Autograph Capsule | FaZe Clan | MLG Columbus 2016@6.03@5.3064@25.0@23.75@skinport@shadowpay@17.72
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016@11.0@9.68@44.65@42.4175@skinport@shadowpay@31.42
Autograph Capsule | G2 Esports | Cologne 2016@19.35@17.028000000000002@50.42@47.899@skinport@shadowpay@28.55
Autograph Capsule | HellRaisers | Atlanta 2017@9.07@7.9816@33.8@32.10999999999999@skinport@shadowpay@23.04
Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015@23.69@20.8472@41.01@38.9595@skinport@shadowpay@15.27
Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015@60.2@52.976000000000006@80.05@76.0475@skinport@shadowpay@15.85
Autograph Capsule | Natus Vincere | Atlanta 2017@14.5@12.76@45.45@43.1775@skinport@shadowpay@28.68
Autograph Capsule | North | Atlanta 2017@10.32@9.0816@29.99@28.4905@skinport@shadowpay@18.17
Autograph Capsule | SK Gaming | Atlanta 2017@6.5@5.72@29.99@28.4905@skinport@shadowpay@21.99
Autograph Capsule | Titan | Cluj-Napoca 2015@23.8@20.944@80.0@76.0@skinport@shadowpay@52.2
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@16.0@14.08@84.15@79.9425@skinport@shadowpay@63.94
AWP | Asiimov (Field-Tested)@131.05@115.324@150.94@143.393@skinport@shadowpay@12.34
AWP | Asiimov (Well-Worn)@94.32@83.0016@119.7@113.715@skinport@shadowpay@19.4
AWP | Chrome Cannon (Factory New)@119.99@105.5912@140.54@133.51299999999998@skinport@shadowpay@13.52
AWP | Containment Breach (Factory New)@267.05@235.004@319.47@303.4965@skinport@shadowpay@36.45
AWP | Containment Breach (Minimal Wear)@126.87@111.6456@152.84@145.198@skinport@shadowpay@18.33
AWP | Desert Hydra (Battle-Scarred)@1280.94@1127.2272@1520.75@1444.7125@skinport@shadowpay@163.77
AWP | Desert Hydra (Factory New)@2344.21@2062.9048000000003@2567.85@2439.4575@skinport@shadowpay@95.25
AWP | Desert Hydra (Field-Tested)@1577.99@1388.6312@1800.0@1710.0@skinport@shadowpay@132.01
AWP | Desert Hydra (Well-Worn)@1399.0@1231.12@1619.99@1538.9905@skinport@shadowpay@139.99
AWP | Dragon Lore (Battle-Scarred)@4780.72@4207.033600000001@6088.5@5784.075@skinport@shadowpay@1003.35
AWP | Dragon Lore (Field-Tested)@6260.0@5508.8@7895.17@7500.4115@skinport@shadowpay@1240.41
AWP | Dragon Lore (Minimal Wear)@9250.0@8140.0@13854.7@13161.965@skinport@shadowpay@3911.96
AWP | Dragon Lore (Well-Worn)@5769.03@5076.7464@23962.7@22764.565@skinport@shadowpay@16995.54
AWP | Fade (Factory New)@810.0@712.8@917.73@871.8435@skinport@shadowpay@61.84
AWP | Fever Dream (Well-Worn)@12.09@10.6392@68.9@65.455@skinport@shadowpay@53.36
