name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Gut Knife | Slaughter (Minimal Wear)@180.98@159.2624@227.4@216.03@skinport@shadowpay@35.05
★ Gut Knife | Tiger Tooth (Factory New)@175.6@154.528@195.99@186.1905@skinport@shadowpay@10.59
★ Gut Knife | Tiger Tooth (Minimal Wear)@190.0@167.2@302.93@287.7835@skinport@shadowpay@97.78
★ Gut Knife | Ultraviolet (Minimal Wear)@150.0@132.0@195.02@185.269@skinport@shadowpay@35.27
★ Gut Knife | Urban Masked (Field-Tested)@110.68@97.3984@138.74@131.803@skinport@shadowpay@21.12
★ Hand Wraps | Arboreal (Factory New)@319.77@281.3976@360.64@342.60799999999995@skinport@shadowpay@22.84
★ Hand Wraps | Arboreal (Minimal Wear)@135.71@119.4248@154.87@147.1265@skinport@shadowpay@11.42
★ Hand Wraps | CAUTION! (Battle-Scarred)@160.55@141.28400000000002@204.66@194.427@skinport@shadowpay@33.88
★ Hand Wraps | CAUTION! (Field-Tested)@224.96@197.9648@248.32@235.904@skinport@shadowpay@10.94
★ Hand Wraps | CAUTION! (Minimal Wear)@369.21@324.9048@416.1@395.295@skinport@shadowpay@26.09
★ Hand Wraps | Cobalt Skulls (Battle-Scarred)@297.0@261.36@359.99@341.9905@skinport@shadowpay@44.99
★ Hand Wraps | Cobalt Skulls (Field-Tested)@395.0@347.6@461.8@438.71@skinport@shadowpay@43.71
★ Hand Wraps | Cobalt Skulls (Minimal Wear)@775.0@682.0@868.64@825.208@skinport@shadowpay@50.21
★ Hand Wraps | Constrictor (Well-Worn)@98.49@86.6712@122.39@116.2705@skinport@shadowpay@17.78
★ Hand Wraps | Duct Tape (Minimal Wear)@129.32@113.8016@153.96@146.262@skinport@shadowpay@16.94
★ Hand Wraps | Giraffe (Factory New)@425.13@374.1144@508.45@483.0275@skinport@shadowpay@57.9
★ Hand Wraps | Overprint (Field-Tested)@191.72@168.7136@217.39@206.5205@skinport@shadowpay@14.8
★ Hand Wraps | Overprint (Minimal Wear)@315.68@277.7984@355.49@337.7155@skinport@shadowpay@22.04
★ Hand Wraps | Slaughter (Field-Tested)@323.64@284.8032@358.06@340.157@skinport@shadowpay@16.52
★ Hand Wraps | Slaughter (Minimal Wear)@619.71@545.3448000000001@692.68@658.0459999999999@skinport@shadowpay@38.34
★ Hand Wraps | Spruce DDPAT (Field-Tested)@145.38@127.9344@164.47@156.2465@skinport@shadowpay@10.87
★ Huntsman Knife | Autotronic (Battle-Scarred)@178.21@156.8248@202.47@192.3465@skinport@shadowpay@14.14
★ Huntsman Knife | Autotronic (Factory New)@335.0@294.8@405.0@384.75@skinport@shadowpay@49.75
★ Huntsman Knife | Autotronic (Field-Tested)@201.0@176.88@224.24@213.028@skinport@shadowpay@12.03
★ Huntsman Knife | Black Laminate (Battle-Scarred)@140.59@123.7192@166.78@158.441@skinport@shadowpay@17.85
★ Huntsman Knife | Black Laminate (Field-Tested)@149.44@131.5072@175.02@166.269@skinport@shadowpay@16.83
★ Huntsman Knife | Black Laminate (Minimal Wear)@168.77@148.51760000000002@192.0@182.4@skinport@shadowpay@13.63
★ Huntsman Knife | Blue Steel (Battle-Scarred)@182.16@160.3008@253.99@241.2905@skinport@shadowpay@59.13
★ Huntsman Knife | Blue Steel (Field-Tested)@195.57@172.1016@249.92@237.424@skinport@shadowpay@41.85
★ Huntsman Knife | Blue Steel (Minimal Wear)@234.08@205.9904@290.7@276.165@skinport@shadowpay@42.09
★ Huntsman Knife | Boreal Forest (Field-Tested)@129.0@113.52@150.8@143.26@skinport@shadowpay@14.26
★ Huntsman Knife | Bright Water (Minimal Wear)@150.08@132.0704@168.78@160.34099999999998@skinport@shadowpay@10.26
★ Huntsman Knife | Case Hardened (Field-Tested)@235.86@207.5568@346.29@328.9755@skinport@shadowpay@93.12
★ Huntsman Knife | Case Hardened (Minimal Wear)@300.0@264.0@329.45@312.9775@skinport@shadowpay@12.98
★ Huntsman Knife | Crimson Web (Field-Tested)@165.05@145.244@223.29@212.1255@skinport@shadowpay@47.08
★ Huntsman Knife | Crimson Web (Minimal Wear)@310.32@273.0816@1785.45@1696.1775@skinport@shadowpay@1385.86
★ Huntsman Knife | Damascus Steel (Battle-Scarred)@156.91@138.0808@186.58@177.251@skinport@shadowpay@20.34
★ Huntsman Knife | Damascus Steel (Field-Tested)@169.95@149.55599999999998@194.98@185.231@skinport@shadowpay@15.28
★ Huntsman Knife | Doppler (Factory New)@470.0@413.6@699.9@664.905@skinport@shadowpay@194.9
★ Huntsman Knife | Doppler (Factory New)@470.0@413.6@554.87@527.1265@skinport@shadowpay@57.13
★ Huntsman Knife | Doppler (Factory New)@470.0@413.6@698.05@663.1474999999999@skinport@shadowpay@193.15
★ Huntsman Knife | Doppler (Factory New)@470.0@413.6@1250.0@1187.5@skinport@shadowpay@717.5
★ Huntsman Knife | Fade (Factory New)@388.79@342.1352@528.0@501.6@skinport@shadowpay@112.81
★ Huntsman Knife | Fade (Minimal Wear)@515.0@453.2@874.66@830.9269999999999@skinport@shadowpay@315.93
★ Huntsman Knife | Forest DDPAT (Field-Tested)@142.96@125.8048@174.2@165.48999999999998@skinport@shadowpay@22.53
★ Huntsman Knife | Forest DDPAT (Minimal Wear)@147.96@130.2048@186.06@176.757@skinport@shadowpay@28.8
★ Huntsman Knife | Freehand (Battle-Scarred)@140.0@123.2@167.13@158.77349999999998@skinport@shadowpay@18.77
★ Huntsman Knife | Gamma Doppler (Factory New)@443.05@389.884@522.0@495.9@skinport@shadowpay@52.85
★ Huntsman Knife | Gamma Doppler (Factory New)@443.05@389.884@484.5@460.275@skinport@shadowpay@17.22
★ Huntsman Knife | Gamma Doppler (Factory New)@443.05@389.884@487.5@463.125@skinport@shadowpay@20.07
★ Huntsman Knife | Gamma Doppler (Factory New)@443.05@389.884@1472.5@1398.875@skinport@shadowpay@955.82
★ Huntsman Knife | Gamma Doppler (Minimal Wear)@510.0@448.8@1550.0@1472.5@skinport@shadowpay@962.5
★ Huntsman Knife | Lore (Battle-Scarred)@149.79@131.8152@187.31@177.9445@skinport@shadowpay@28.15
★ Huntsman Knife | Lore (Factory New)@259.0@227.92@313.04@297.38800000000003@skinport@shadowpay@38.39
★ Huntsman Knife | Lore (Field-Tested)@184.47@162.3336@219.16@208.202@skinport@shadowpay@23.73
★ Huntsman Knife | Marble Fade (Factory New)@314.41@276.68080000000003@387.4@368.03@skinport@shadowpay@53.62
★ Huntsman Knife | Marble Fade (Minimal Wear)@370.15@325.732@476.55@452.7225@skinport@shadowpay@82.57
★ Huntsman Knife | Safari Mesh (Field-Tested)@126.93@111.6984@154.5@146.775@skinport@shadowpay@19.84
★ Huntsman Knife | Safari Mesh (Minimal Wear)@131.05@115.324@278.67@264.7365@skinport@shadowpay@133.69
★ Huntsman Knife | Scorched (Minimal Wear)@139.13@122.4344@174.43@165.7085@skinport@shadowpay@26.58
★ Huntsman Knife | Slaughter (Factory New)@404.0@355.52@466.67@443.3365@skinport@shadowpay@39.34
★ Huntsman Knife | Slaughter (Minimal Wear)@298.28@262.4864@359.99@341.9905@skinport@shadowpay@43.71
★ Huntsman Knife | Stained (Field-Tested)@160.01@140.8088@192.95@183.3025@skinport@shadowpay@23.29
★ Huntsman Knife | Stained (Minimal Wear)@182.39@160.5032@243.59@231.4105@skinport@shadowpay@49.02
★ Huntsman Knife | Stained (Well-Worn)@153.18@134.79840000000002@191.5@181.925@skinport@shadowpay@28.75
★ Huntsman Knife | Tiger Tooth (Factory New)@270.31@237.8728@335.6@318.82@skinport@shadowpay@48.51
★ Huntsman Knife | Ultraviolet (Minimal Wear)@175.72@154.6336@204.42@194.199@skinport@shadowpay@18.48
★ Huntsman Knife | Ultraviolet (Well-Worn)@145.0@127.6@171.49@162.9155@skinport@shadowpay@17.92
★ Huntsman Knife | Urban Masked (Field-Tested)@130.71@115.0248@153.84@146.148@skinport@shadowpay@15.44
★ Hydra Gloves | Case Hardened (Battle-Scarred)@117.69@103.5672@148.02@140.619@skinport@shadowpay@22.93
★ Hydra Gloves | Case Hardened (Well-Worn)@126.58@111.3904@143.8@136.61@skinport@shadowpay@10.03
★ Hydra Gloves | Emerald (Minimal Wear)@113.69@100.0472@132.6@125.96999999999998@skinport@shadowpay@12.28
★ Karambit@1700.0@1496.0@1986.15@1886.8425@skinport@shadowpay@186.84
★ Karambit | Autotronic (Battle-Scarred)@1111.11@977.7768@1229.28@1167.816@skinport@shadowpay@56.71
★ Karambit | Autotronic (Field-Tested)@1358.09@1195.1192@1646.07@1563.7665@skinport@shadowpay@205.68
★ Karambit | Autotronic (Minimal Wear)@1675.15@1474.132@2025.0@1923.75@skinport@shadowpay@248.6
★ Karambit | Black Laminate (Field-Tested)@1200.44@1056.3872@1282.5@1218.375@skinport@shadowpay@17.93
★ Karambit | Black Laminate (Minimal Wear)@1097.06@965.4128@1304.85@1239.6074999999998@skinport@shadowpay@142.55
★ Karambit | Black Laminate (Well-Worn)@1000.0@880.0@1125.36@1069.092@skinport@shadowpay@69.09
★ Karambit | Blue Steel (Battle-Scarred)@1097.76@966.0288@1332.76@1266.1219999999998@skinport@shadowpay@168.36
★ Karambit | Blue Steel (Field-Tested)@1118.7@984.456@1333.09@1266.4354999999998@skinport@shadowpay@147.74
★ Karambit | Blue Steel (Minimal Wear)@1266.14@1114.2032000000002@1438.78@1366.841@skinport@shadowpay@100.7
★ Karambit | Bright Water (Factory New)@984.86@866.6768000000001@1048.49@996.0655@skinport@shadowpay@11.21
★ Karambit | Bright Water (Field-Tested)@839.95@739.1560000000001@903.72@858.534@skinport@shadowpay@18.58
★ Karambit | Bright Water (Minimal Wear)@849.99@747.9912@972.79@924.1505@skinport@shadowpay@74.16
★ Karambit | Case Hardened (Battle-Scarred)@1010.64@889.3632@1121.35@1065.2824999999998@skinport@shadowpay@54.64
★ Karambit | Case Hardened (Factory New)@1999.0@1759.12@4000.0@3800.0@skinport@shadowpay@1801.0
★ Karambit | Case Hardened (Field-Tested)@1069.0@940.72@1175.0@1116.25@skinport@shadowpay@47.25
★ Karambit | Case Hardened (Minimal Wear)@1199.93@1055.9384@1358.0@1290.1@skinport@shadowpay@90.17
★ Karambit | Case Hardened (Well-Worn)@1020.2@897.7760000000001@1181.47@1122.3965@skinport@shadowpay@102.2
★ Karambit | Crimson Web (Battle-Scarred)@850.17@748.1496@1209.43@1148.9585@skinport@shadowpay@298.79
★ Karambit | Crimson Web (Minimal Wear)@1500.0@1320.0@1686.51@1602.1844999999998@skinport@shadowpay@102.18
★ Karambit | Crimson Web (Well-Worn)@972.28@855.6064@1126.29@1069.9755@skinport@shadowpay@97.7
★ Karambit | Damascus Steel (Factory New)@1015.32@893.4816000000001@1236.41@1174.5895@skinport@shadowpay@159.27
★ Karambit | Damascus Steel (Field-Tested)@930.0@818.4@1070.9@1017.355@skinport@shadowpay@87.36
★ Karambit | Damascus Steel (Minimal Wear)@969.55@853.204@1136.0@1079.2@skinport@shadowpay@109.65
★ Karambit | Damascus Steel (Well-Worn)@910.0@800.8@1184.85@1125.6074999999998@skinport@shadowpay@215.61
★ Karambit | Doppler (Factory New)@1900.73@1672.6424@2316.41@2200.5895@skinport@shadowpay@299.86
★ Karambit | Doppler (Factory New)@1900.73@1672.6424@3375.0@3206.25@skinport@shadowpay@1305.52
★ Karambit | Doppler (Factory New)@1900.73@1672.6424@2316.42@2200.599@skinport@shadowpay@299.87
★ Karambit | Doppler (Factory New)@1900.73@1672.6424@2231.0@2119.45@skinport@shadowpay@218.72
★ Karambit | Fade (Factory New)@2756.97@2426.1336@3330.0@3163.5@skinport@shadowpay@406.53
★ Karambit | Fade (Minimal Wear)@2630.61@2314.9368@2999.84@2849.848@skinport@shadowpay@219.24
★ Karambit | Forest DDPAT (Field-Tested)@666.91@586.8808@723.13@686.9735@skinport@shadowpay@20.06
★ Karambit | Forest DDPAT (Minimal Wear)@745.0@655.6@854.66@811.9269999999999@skinport@shadowpay@66.93
★ Karambit | Freehand (Factory New)@900.0@792.0@1098.97@1044.0215@skinport@shadowpay@144.02
★ Karambit | Freehand (Field-Tested)@881.32@775.5616@954.86@907.117@skinport@shadowpay@25.8
★ Karambit | Freehand (Minimal Wear)@903.69@795.2472@1027.16@975.802@skinport@shadowpay@72.11
★ Karambit | Gamma Doppler (Factory New)@2900.0@2552.0@3694.35@3509.6325@skinport@shadowpay@609.63
★ Karambit | Gamma Doppler (Factory New)@2900.0@2552.0@5100.0@4845.0@skinport@shadowpay@1945.0
★ Karambit | Gamma Doppler (Factory New)@2900.0@2552.0@3900.0@3705.0@skinport@shadowpay@805.0
★ Karambit | Lore (Factory New)@2062.07@1814.6216@2249.38@2136.911@skinport@shadowpay@74.84
★ Karambit | Lore (Field-Tested)@1000.0@880.0@1110.0@1054.5@skinport@shadowpay@54.5
★ Karambit | Lore (Minimal Wear)@1484.99@1306.7912@1593.0@1513.35@skinport@shadowpay@28.36
★ Karambit | Marble Fade (Factory New)@1622.21@1427.5448@1929.99@1833.4905@skinport@shadowpay@211.28
★ Karambit | Night (Field-Tested)@839.0@738.32@926.57@880.2415@skinport@shadowpay@41.24
★ Karambit | Night (Minimal Wear)@926.3@815.144@1387.24@1317.878@skinport@shadowpay@391.58
★ Karambit | Night (Well-Worn)@733.15@645.172@935.32@888.554@skinport@shadowpay@155.4
★ Karambit | Rust Coat (Battle-Scarred)@770.72@678.2336@901.21@856.1495@skinport@shadowpay@85.43
★ Karambit | Scorched (Minimal Wear)@840.87@739.9656@1028.33@976.9135@skinport@shadowpay@136.04
★ Karambit | Slaughter (Factory New)@1663.98@1464.3024@1946.88@1849.536@skinport@shadowpay@185.56
★ Karambit | Slaughter (Field-Tested)@1199.93@1055.9384@1400.28@1330.2659999999998@skinport@shadowpay@130.34
★ Karambit | Slaughter (Minimal Wear)@1300.0@1144.0@1579.04@1500.088@skinport@shadowpay@200.09
★ Karambit | Stained (Field-Tested)@900.0@792.0@1017.43@966.5585@skinport@shadowpay@66.56
★ Karambit | Stained (Minimal Wear)@912.06@802.6128@1136.79@1079.9505@skinport@shadowpay@167.89
★ Karambit | Tiger Tooth (Factory New)@1312.0@1154.56@1590.96@1511.412@skinport@shadowpay@199.41
★ Karambit | Ultraviolet (Field-Tested)@825.0@726.0@988.54@939.113@skinport@shadowpay@114.11
★ Karambit | Ultraviolet (Minimal Wear)@1014.1@892.408@1154.99@1097.2405@skinport@shadowpay@83.14
★ Karambit | Urban Masked (Battle-Scarred)@656.43@577.6583999999999@776.68@737.8459999999999@skinport@shadowpay@81.42
★ Karambit | Urban Masked (Factory New)@910.03@800.8264@1020.0@969.0@skinport@shadowpay@58.97
★ Karambit | Urban Masked (Field-Tested)@682.07@600.2216000000001@759.73@721.7435@skinport@shadowpay@39.67
Katowice 2019 Overpass Souvenir Package@17.55@15.444@34.0@32.3@skinport@shadowpay@14.75
Krakow 2017 Cobblestone Souvenir Package@1387.75@1221.22@1862.0@1768.9@skinport@shadowpay@381.15
★ Kukri Knife@300.0@264.0@347.83@330.4385@skinport@shadowpay@30.44
★ Kukri Knife | Blue Steel (Field-Tested)@215.02@189.2176@244.37@232.1515@skinport@shadowpay@17.13
★ Kukri Knife | Blue Steel (Minimal Wear)@235.71@207.4248@273.41@259.7395@skinport@shadowpay@24.03
★ Kukri Knife | Blue Steel (Well-Worn)@211.17@185.8296@237.2@225.34@skinport@shadowpay@14.17
★ Kukri Knife | Boreal Forest (Battle-Scarred)@128.0@112.64@148.55@141.1225@skinport@shadowpay@13.12
★ Kukri Knife | Boreal Forest (Field-Tested)@135.74@119.4512@158.26@150.34699999999998@skinport@shadowpay@14.61
★ Kukri Knife | Case Hardened (Factory New)@391.48@344.5024@472.65@449.0175@skinport@shadowpay@57.54
★ Kukri Knife | Case Hardened (Field-Tested)@230.76@203.0688@276.55@262.7225@skinport@shadowpay@31.96
★ Kukri Knife | Case Hardened (Minimal Wear)@266.39@234.4232@321.99@305.8905@skinport@shadowpay@39.5
★ Kukri Knife | Case Hardened (Well-Worn)@209.77@184.5976@237.92@226.024@skinport@shadowpay@16.25
★ Kukri Knife | Crimson Web (Battle-Scarred)@162.82@143.2816@202.48@192.356@skinport@shadowpay@29.54
★ Kukri Knife | Crimson Web (Field-Tested)@244.6@215.248@279.27@265.3065@skinport@shadowpay@20.71
★ Kukri Knife | Crimson Web (Minimal Wear)@372.43@327.7384@428.51@407.0845@skinport@shadowpay@34.65
★ Kukri Knife | Fade (Factory New)@526.12@462.9856@614.99@584.2405@skinport@shadowpay@58.12
★ Kukri Knife | Fade (Minimal Wear)@629.91@554.3208@679.66@645.6769999999999@skinport@shadowpay@15.77
★ Kukri Knife | Forest DDPAT (Field-Tested)@136.8@120.384@165.12@156.864@skinport@shadowpay@20.06
★ Kukri Knife | Night Stripe (Factory New)@323.06@284.2928@353.99@336.2905@skinport@shadowpay@13.23
★ Kukri Knife | Safari Mesh (Battle-Scarred)@129.81@114.2328@151.65@144.0675@skinport@shadowpay@14.26
★ Kukri Knife | Safari Mesh (Minimal Wear)@130.0@114.4@160.32@152.30399999999997@skinport@shadowpay@22.3
★ Kukri Knife | Safari Mesh (Well-Worn)@122.05@107.404@150.58@143.05100000000002@skinport@shadowpay@21.0
★ Kukri Knife | Scorched (Battle-Scarred)@122.78@108.0464@153.43@145.7585@skinport@shadowpay@22.98
★ Kukri Knife | Scorched (Minimal Wear)@162.16@142.7008@182.23@173.11849999999998@skinport@shadowpay@10.96
★ Kukri Knife | Scorched (Well-Worn)@130.0@114.4@156.3@148.485@skinport@shadowpay@18.49
★ Kukri Knife | Slaughter (Factory New)@368.77@324.5176@445.87@423.5765@skinport@shadowpay@54.81
★ Kukri Knife | Slaughter (Minimal Wear)@346.41@304.8408@391.98@372.381@skinport@shadowpay@25.97
★ Kukri Knife | Stained (Battle-Scarred)@158.19@139.2072@182.85@173.70749999999998@skinport@shadowpay@15.52
★ Kukri Knife | Stained (Field-Tested)@170.14@149.7232@205.49@195.2155@skinport@shadowpay@25.08
★ Kukri Knife | Urban Masked (Battle-Scarred)@133.66@117.6208@154.2@146.48999999999998@skinport@shadowpay@12.83
★ Kukri Knife | Urban Masked (Factory New)@273.0@240.24@333.3@316.635@skinport@shadowpay@43.63
London 2018 Overpass Souvenir Package@25.45@22.396@60.32@57.304@skinport@shadowpay@31.85
M249 | Blizzard Marbleized (Factory New)@140.0@123.2@195.36@185.592@skinport@shadowpay@45.59
M249 | Blizzard Marbleized (Minimal Wear)@16.61@14.6168@29.4@27.93@skinport@shadowpay@11.32
M4A1-S | Blue Phosphor (Factory New)@500.18@440.1584@600.33@570.3135@skinport@shadowpay@70.13
M4A1-S | Blue Phosphor (Minimal Wear)@542.07@477.0216@630.0@598.5@skinport@shadowpay@56.43
M4A1-S | Chantico's Fire (Factory New)@124.72@109.7536@149.24@141.778@skinport@shadowpay@17.06
M4A1-S | Dark Water (Minimal Wear)@76.0@66.88@92.49@87.8655@skinport@shadowpay@11.87
M4A1-S | Fade (Factory New)@376.27@331.1176@440.68@418.646@skinport@shadowpay@42.38
M4A1-S | Fade (Minimal Wear)@379.34@333.8192@489.47@464.9965@skinport@shadowpay@85.66
M4A1-S | Golden Coil (Factory New)@149.0@131.12@175.05@166.2975@skinport@shadowpay@17.3
M4A1-S | Golden Coil (Minimal Wear)@94.75@83.38@113.42@107.749@skinport@shadowpay@13.0
M4A1-S | Hot Rod (Factory New)@1000.0@880.0@1244.0@1181.8@skinport@shadowpay@181.8
M4A1-S | Hyper Beast (Factory New)@124.0@109.12@155.79@148.0005@skinport@shadowpay@24.0
M4A1-S | Icarus Fell (Factory New)@450.0@396.0@532.49@505.8655@skinport@shadowpay@55.87
M4A1-S | Icarus Fell (Minimal Wear)@551.89@485.6632@616.63@585.7985@skinport@shadowpay@33.91
M4A1-S | Imminent Danger (Field-Tested)@687.74@605.2112@771.0@732.4499999999999@skinport@shadowpay@44.71
M4A1-S | Imminent Danger (Minimal Wear)@989.62@870.8656@1305.81@1240.5195@skinport@shadowpay@250.9
M4A1-S | Knight (Factory New)@3103.59@2731.1592@4141.0@3933.95@skinport@shadowpay@830.36
M4A1-S | Master Piece (Battle-Scarred)@104.24@91.7312@120.47@114.4465@skinport@shadowpay@10.21
M4A1-S | Master Piece (Factory New)@309.52@272.3776@1000.0@950.0@skinport@shadowpay@640.48
M4A1-S | Master Piece (Field-Tested)@129.26@113.7488@150.0@142.5@skinport@shadowpay@13.24
M4A1-S | Master Piece (Minimal Wear)@193.9@170.632@226.27@214.9565@skinport@shadowpay@21.06
M4A1-S | Master Piece (Well-Worn)@102.02@89.77759999999999@126.83@120.4885@skinport@shadowpay@18.47
M4A1-S | Mecha Industries (Factory New)@92.84@81.6992@108.53@103.1035@skinport@shadowpay@10.26
M4A1-S | Printstream (Battle-Scarred)@150.95@132.83599999999998@178.05@169.1475@skinport@shadowpay@18.2
M4A1-S | Printstream (Factory New)@436.16@383.8208@524.99@498.7405@skinport@shadowpay@62.58
M4A1-S | Printstream (Field-Tested)@208.49@183.4712@238.76@226.822@skinport@shadowpay@18.33
M4A1-S | Printstream (Minimal Wear)@299.98@263.98240000000004@335.92@319.124@skinport@shadowpay@19.14
M4A1-S | Printstream (Well-Worn)@196.0@172.48@259.17@246.2115@skinport@shadowpay@50.21
M4A1-S | Vaporwave (Field-Tested)@86.6@76.208@102.73@97.5935@skinport@shadowpay@10.99
M4A1-S | Vaporwave (Minimal Wear)@118.65@104.412@137.05@130.1975@skinport@shadowpay@11.55
M4A1-S | Vaporwave (Well-Worn)@79.82@70.24159999999999@95.96@91.162@skinport@shadowpay@11.34
M4A1-S | Welcome to the Jungle (Battle-Scarred)@626.03@550.9064@738.81@701.8694999999999@skinport@shadowpay@75.84
M4A1-S | Welcome to the Jungle (Factory New)@2300.0@2024.0@2624.84@2493.598@skinport@shadowpay@193.6
M4A1-S | Welcome to the Jungle (Minimal Wear)@1499.99@1319.9912@1873.95@1780.2525@skinport@shadowpay@280.26
M4A1-S | Welcome to the Jungle (Well-Worn)@638.73@562.0824@986.31@936.9945@skinport@shadowpay@298.26
M4A4 | Asiimov (Well-Worn)@116.73@102.7224@136.22@129.409@skinport@shadowpay@12.68
M4A4 | Daybreak (Factory New)@320.0@281.6@358.55@340.6225@skinport@shadowpay@20.62
M4A4 | Desert Storm (Factory New)@35.99@31.6712@53.2@50.54@skinport@shadowpay@14.55
M4A4 | Desert-Strike (Well-Worn)@5.72@5.0336@19.58@18.601@skinport@shadowpay@12.88
M4A4 | Eye of Horus (Factory New)@550.95@484.83600000000007@621.19@590.1305@skinport@shadowpay@39.18
M4A4 | Eye of Horus (Field-Tested)@192.68@169.5584@216.75@205.9125@skinport@shadowpay@13.23
M4A4 | Howl (Factory New)@6200.0@5456.0@7500.0@7125.0@skinport@shadowpay@925.0
M4A4 | Howl (Field-Tested)@3991.05@3512.1240000000003@4950.0@4702.5@skinport@shadowpay@711.45
M4A4 | Jungle Tiger (Battle-Scarred)@8.09@7.1192@20.72@19.684@skinport@shadowpay@11.59
M4A4 | Modern Hunter (Minimal Wear)@84.49@74.35119999999999@104.8@99.56@skinport@shadowpay@15.07
M4A4 | Poseidon (Factory New)@1086.64@956.2432@1297.5@1232.625@skinport@shadowpay@145.98
M4A4 | Poseidon (Field-Tested)@750.0@660.0@984.51@935.2845@skinport@shadowpay@185.28
M4A4 | Poseidon (Minimal Wear)@774.38@681.4544@914.5@868.775@skinport@shadowpay@94.39
M4A4 | Red DDPAT (Battle-Scarred)@138.45@121.83599999999998@195.0@185.25@skinport@shadowpay@46.8
M4A4 | Red DDPAT (Factory New)@81.22@71.4736@118.58@112.651@skinport@shadowpay@31.43
M4A4 | Red DDPAT (Field-Tested)@71.6@63.008@94.33@89.61349999999999@skinport@shadowpay@18.01
M4A4 | Red DDPAT (Minimal Wear)@76.03@66.9064@94.32@89.60399999999998@skinport@shadowpay@13.57
M4A4 | Temukau (Factory New)@114.99@101.1912@133.95@127.25249999999998@skinport@shadowpay@12.26
M4A4 | The Emperor (Factory New)@133.84@117.7792@158.94@150.993@skinport@shadowpay@17.15
M4A4 | Tornado (Factory New)@169.09@148.7992@221.98@210.881@skinport@shadowpay@41.79
★ M9 Bayonet@1379.0@1213.52@1544.99@1467.7405@skinport@shadowpay@88.74
★ M9 Bayonet | Autotronic (Field-Tested)@1201.78@1057.5664@1349.99@1282.4905@skinport@shadowpay@80.71
★ M9 Bayonet | Autotronic (Minimal Wear)@1292.23@1137.1624@1571.99@1493.3905@skinport@shadowpay@201.16
★ M9 Bayonet | Black Laminate (Battle-Scarred)@780.0@686.4@948.78@901.341@skinport@shadowpay@121.34
★ M9 Bayonet | Black Laminate (Factory New)@1072.22@943.5536@1215.0@1154.25@skinport@shadowpay@82.03
★ M9 Bayonet | Black Laminate (Field-Tested)@835.7@735.416@1014.0@963.3@skinport@shadowpay@127.6
★ M9 Bayonet | Black Laminate (Minimal Wear)@950.94@836.8272000000001@1035.32@983.554@skinport@shadowpay@32.61
★ M9 Bayonet | Black Laminate (Well-Worn)@820.0@721.6@933.0@886.3499999999999@skinport@shadowpay@66.35
★ M9 Bayonet | Blue Steel (Well-Worn)@807.0@710.16@971.54@922.963@skinport@shadowpay@115.96
★ M9 Bayonet | Boreal Forest (Field-Tested)@500.0@440.0@616.97@586.1215@skinport@shadowpay@86.12
★ M9 Bayonet | Case Hardened (Factory New)@1107.96@975.0048@1446.6@1374.2699999999998@skinport@shadowpay@266.31
★ M9 Bayonet | Case Hardened (Field-Tested)@870.97@766.4536@928.2@881.79@skinport@shadowpay@10.82
★ M9 Bayonet | Case Hardened (Well-Worn)@907.9@798.952@1434.57@1362.8414999999998@skinport@shadowpay@454.94
★ M9 Bayonet | Crimson Web (Battle-Scarred)@767.93@675.7783999999999@858.2@815.29@skinport@shadowpay@47.36
★ M9 Bayonet | Crimson Web (Field-Tested)@790.52@695.6576@891.36@846.792@skinport@shadowpay@56.27
★ M9 Bayonet | Crimson Web (Minimal Wear)@1207.64@1062.7232@1455.99@1383.1905@skinport@shadowpay@175.55
★ M9 Bayonet | Crimson Web (Well-Worn)@725.87@638.7656000000001@780.0@741.0@skinport@shadowpay@15.13
★ M9 Bayonet | Damascus Steel (Field-Tested)@784.57@690.4216@865.02@821.7689999999999@skinport@shadowpay@37.2
★ M9 Bayonet | Damascus Steel (Minimal Wear)@799.99@703.9912@891.41@846.8394999999999@skinport@shadowpay@46.85
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0@1739.85@1652.8574999999998@skinport@shadowpay@202.86
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0@2259.9@2146.905@skinport@shadowpay@696.91
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0@1728.0@1641.6@skinport@shadowpay@191.6
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0@2017.35@1916.4825@skinport@shadowpay@466.48
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0@10785.0@10245.75@skinport@shadowpay@8795.75
★ M9 Bayonet | Fade (Factory New)@1787.04@1572.5952@2152.6@2044.97@skinport@shadowpay@257.93
★ M9 Bayonet | Freehand (Factory New)@754.43@663.8983999999999@828.0@786.5999999999999@skinport@shadowpay@32.17
★ M9 Bayonet | Freehand (Field-Tested)@695.71@612.2248000000001@757.5@719.625@skinport@shadowpay@23.91
★ M9 Bayonet | Gamma Doppler (Factory New)@2100.0@1848.0@2457.94@2335.043@skinport@shadowpay@235.04
★ M9 Bayonet | Gamma Doppler (Factory New)@2100.0@1848.0@3355.5@3187.725@skinport@shadowpay@1087.72
★ M9 Bayonet | Gamma Doppler (Factory New)@2100.0@1848.0@2490.0@2365.5@skinport@shadowpay@265.5
