name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Predator (Factory New)@63.41@62.1418@85.0@74.8@csdeals@skinport@11.39
Desert Eagle | Sunset Storm 弐 (Field-Tested)@370.0@362.6@540.99@476.0712@csdeals@skinport@106.07
Desert Eagle | Sunset Storm 弐 (Minimal Wear)@349.99@342.9902@416.98@366.9424@csdeals@skinport@16.95
DreamHack Cluj-Napoca 2015 Inferno Souvenir Package@42.9@42.042@106.02@93.2976@csdeals@skinport@50.4
G3SG1 | Chronos (Minimal Wear)@280.0@274.4@352.59@310.2792@csdeals@skinport@30.28
MP9 | Dry Season (Battle-Scarred)@26.29@25.7642@79.99@70.3912@csdeals@skinport@44.1
Nova | Bloomstick (Minimal Wear)@22.0@21.56@40.81@35.912800000000004@csdeals@skinport@13.91
SG 553 | Traveler (Minimal Wear)@15.06@14.7588@29.99@26.3912@csdeals@skinport@11.33
Souvenir Tec-9 | Red Quartz (Minimal Wear)@13.99@13.7102@36.0@31.68@csdeals@skinport@17.69
Sticker | EliGE | Cologne 2016@7.0@6.859999999999999@20.91@18.4008@csdeals@skinport@11.4
Sticker | Keyd Stars | Katowice 2015@22.5@22.05@154.8@136.22400000000002@csdeals@skinport@113.72
Sticker | TACO (Foil) | Atlanta 2017@26.0@25.48@47.1@41.448@csdeals@skinport@15.45
Sticker | Windy Walking Club@2.0@1.96@17.92@15.769600000000002@csdeals@skinport@13.77
Sticker | aizy | Cologne 2016@8.0@7.84@41.51@36.5288@csdeals@skinport@28.53
Sticker | mousesports (Holo) | Atlanta 2017@71.49@70.0602@340.0@299.2@csdeals@skinport@227.71
Sticker | mousesports | Atlanta 2017@20.0@19.6@35.0@30.8@csdeals@skinport@10.8
★ Moto Gloves | Cool Mint (Battle-Scarred)@229.99@225.3902@360.0@316.8@csdeals@skinport@86.81
★ StatTrak™ Karambit | Safari Mesh (Battle-Scarred)@658.31@645.1437999999999@830.72@731.0336@csdeals@skinport@72.72
