name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AWP | Hyper Beast (Minimal Wear)@39.72@34.9536@51.0@49.98@skinport@csdeals@10.26
AWP | Lightning Strike (Factory New)@497.32@437.6416@635.0@622.3@skinport@csdeals@124.98
AWP | Medusa (Field-Tested)@1850.0@1628.0@2299.99@2253.9902@skinport@csdeals@403.99
AWP | Oni Taiji (Factory New)@414.43@364.6984@599.99@587.9902@skinport@csdeals@173.56
AWP | Oni Taiji (Field-Tested)@208.61@183.5768@349.99@342.9902@skinport@csdeals@134.38
AWP | Oni Taiji (Minimal Wear)@315.0@277.2@439.99@431.1902@skinport@csdeals@116.19
AWP | Oni Taiji (Well-Worn)@149.21@131.3048@239.99@235.1902@skinport@csdeals@85.98
AWP | Phobos (Factory New)@2.38@2.0944@13.0@12.74@skinport@csdeals@10.36
AWP | Redline (Field-Tested)@40.12@35.3056@51.55@50.519@skinport@csdeals@10.4
AWP | Wildfire (Field-Tested)@47.43@41.7384@66.06@64.7388@skinport@csdeals@17.31
★ Bayonet | Autotronic (Factory New)@848.12@746.3456@939.0@920.22@skinport@csdeals@72.1
★ Bayonet | Autotronic (Field-Tested)@418.62@368.3856@599.99@587.9902@skinport@csdeals@169.37
★ Bayonet | Black Laminate (Minimal Wear)@333.68@293.6384@449.99@440.9902@skinport@csdeals@107.31
★ Bayonet | Boreal Forest (Minimal Wear)@237.66@209.1408@279.99@274.3902@skinport@csdeals@36.73
★ Bayonet | Case Hardened (Well-Worn)@333.14@293.1632@355.09@347.98819999999995@skinport@csdeals@14.85
★ Bayonet | Crimson Web (Field-Tested)@278.99@245.5112@330.0@323.4@skinport@csdeals@44.41
★ Bayonet | Crimson Web (Minimal Wear)@465.0@409.2@590.0@578.2@skinport@csdeals@113.2
★ Bayonet | Crimson Web (Well-Worn)@304.26@267.7488@400.0@392.0@skinport@csdeals@87.74
★ Bayonet | Damascus Steel (Field-Tested)@293.34@258.1392@389.99@382.1902@skinport@csdeals@88.85
★ Bayonet | Fade (Factory New)@670.0@589.6@1149.99@1126.9902@skinport@csdeals@456.99
★ Bayonet | Forest DDPAT (Field-Tested)@203.91@179.4408@246.59@241.6582@skinport@csdeals@37.75
★ Bayonet | Night (Field-Tested)@253.47@223.0536@299.99@293.9902@skinport@csdeals@40.52
★ Bayonet | Safari Mesh (Field-Tested)@192.0@168.96@210.59@206.3782@skinport@csdeals@14.38
★ Bayonet | Scorched (Field-Tested)@194.54@171.1952@240.0@235.2@skinport@csdeals@40.66
★ Bayonet | Slaughter (Factory New)@557.98@491.0224@729.99@715.3902@skinport@csdeals@157.41
★ Bayonet | Slaughter (Minimal Wear)@490.76@431.8688@599.99@587.9902@skinport@csdeals@97.23
★ Bloodhound Gloves | Bronzed (Minimal Wear)@157.5@138.6@179.0@175.42@skinport@csdeals@17.92
Boston 2018 Cobblestone Souvenir Package@1280.0@1126.4@2099.0@2057.02@skinport@csdeals@777.02
★ Bowie Knife@177.99@156.6312@199.0@195.02@skinport@csdeals@17.03
★ Bowie Knife | Crimson Web (Field-Tested)@216.43@190.4584@255.0@249.9@skinport@csdeals@33.47
★ Bowie Knife | Freehand (Factory New)@180.0@158.4@205.0@200.9@skinport@csdeals@20.9
★ Bowie Knife | Lore (Minimal Wear)@227.33@200.0504@325.0@318.5@skinport@csdeals@91.17
★ Bowie Knife | Marble Fade (Factory New)@330.66@290.98080000000004@375.0@367.5@skinport@csdeals@36.84
★ Bowie Knife | Rust Coat (Battle-Scarred)@138.56@121.9328@152.0@148.96@skinport@csdeals@10.4
★ Bowie Knife | Scorched (Minimal Wear)@160.8@141.50400000000002@190.0@186.2@skinport@csdeals@25.4
★ Bowie Knife | Slaughter (Minimal Wear)@325.0@286.0@345.0@338.1@skinport@csdeals@13.1
★ Butterfly Knife@2199.0@1935.12@2343.63@2296.7574@skinport@csdeals@97.76
★ Butterfly Knife | Autotronic (Minimal Wear)@1790.55@1575.684@1999.99@1959.9902@skinport@csdeals@169.44
★ Butterfly Knife | Boreal Forest (Minimal Wear)@859.1@756.008@899.99@881.9902@skinport@csdeals@22.89
★ Butterfly Knife | Bright Water (Field-Tested)@920.96@810.4448@1049.99@1028.9902@skinport@csdeals@108.03
★ Butterfly Knife | Bright Water (Minimal Wear)@981.42@863.6496@1149.99@1126.9902@skinport@csdeals@145.57
★ Butterfly Knife | Case Hardened (Minimal Wear)@1288.43@1133.8184@1349.99@1322.9902@skinport@csdeals@34.56
★ Butterfly Knife | Damascus Steel (Factory New)@1276.66@1123.4608@1425.0@1396.5@skinport@csdeals@119.84
★ Butterfly Knife | Fade (Factory New)@3615.5@3181.64@3764.0@3688.72@skinport@csdeals@73.22
★ Butterfly Knife | Freehand (Factory New)@1144.12@1006.8256@1256.66@1231.5268@skinport@csdeals@87.41
★ Butterfly Knife | Freehand (Minimal Wear)@1036.08@911.7504@1199.99@1175.9902@skinport@csdeals@139.91
★ Butterfly Knife | Lore (Battle-Scarred)@960.0@844.8@999.99@979.9902@skinport@csdeals@19.99
★ Butterfly Knife | Lore (Factory New)@3580.7@3151.016@6499.99@6369.990199999999@skinport@csdeals@2789.29
★ Butterfly Knife | Lore (Field-Tested)@1263.21@1111.6248@1643.93@1611.0514@skinport@csdeals@347.84
★ Butterfly Knife | Lore (Well-Worn)@1045.29@919.8552@1899.99@1861.9902@skinport@csdeals@816.7
★ Butterfly Knife | Marble Fade (Factory New)@2275.0@2002.0@2435.0@2386.3@skinport@csdeals@111.3
★ Butterfly Knife | Slaughter (Minimal Wear)@1953.82@1719.3616@2350.0@2303.0@skinport@csdeals@349.18
★ Butterfly Knife | Tiger Tooth (Factory New)@1730.0@1522.4@1999.99@1959.9902@skinport@csdeals@229.99
★ Butterfly Knife | Ultraviolet (Field-Tested)@974.84@857.8592@1099.99@1077.9902@skinport@csdeals@103.15
★ Butterfly Knife | Urban Masked (Field-Tested)@743.66@654.4208@875.0@857.5@skinport@csdeals@113.84
★ Classic Knife@309.84@272.6592@425.0@416.5@skinport@csdeals@106.66
★ Classic Knife | Blue Steel (Field-Tested)@203.52@179.0976@223.22@218.7556@skinport@csdeals@15.24
★ Classic Knife | Crimson Web (Field-Tested)@261.93@230.4984@352.4@345.352@skinport@csdeals@83.42
Col. Mangos Dabisi | Guerrilla Warfare@19.0@16.72@30.0@29.4@skinport@csdeals@10.4
Cologne 2016 Cobblestone Souvenir Package@1415.24@1245.4112@2399.99@2351.9902@skinport@csdeals@936.75
CS20 Case Key@15.62@13.7456@35.0@34.3@skinport@csdeals@18.68
CS:GO Weapon Case@90.08@79.2704@139.99@137.1902@skinport@csdeals@47.11
CZ75-Auto | Distressed (Minimal Wear)@0.09@0.0791999999999999@50.0@49.0@skinport@csdeals@48.91
CZ75-Auto | Eco (Factory New)@3.52@3.0976@18.0@17.64@skinport@csdeals@14.12
CZ75-Auto | Pole Position (Factory New)@2.6@2.2880000000000003@20.0@19.6@skinport@csdeals@17.0
CZ75-Auto | Red Astor (Factory New)@2.1@1.848@17.0@16.66@skinport@csdeals@14.56
CZ75-Auto | Tacticat (Factory New)@1.48@1.3024@14.0@13.72@skinport@csdeals@12.24
CZ75-Auto | Tuxedo (Factory New)@2.19@1.9272@16.0@15.68@skinport@csdeals@13.49
Desert Eagle | Cobalt Disruption (Factory New)@68.69@60.4472@95.69@93.7762@skinport@csdeals@25.09
Desert Eagle | Code Red (Factory New)@65.86@57.9568@77.72@76.1656@skinport@csdeals@10.31
Desert Eagle | Emerald Jörmungandr (Factory New)@382.2@336.336@425.0@416.5@skinport@csdeals@34.3
Desert Eagle | Fennec Fox (Battle-Scarred)@330.0@290.4@450.0@441.0@skinport@csdeals@111.0
Desert Eagle | Fennec Fox (Factory New)@354.0@311.52@499.99@489.9902@skinport@csdeals@135.99
Desert Eagle | Hypnotic (Factory New)@82.89@72.9432@129.99@127.3902@skinport@csdeals@44.5
Desert Eagle | Ocean Drive (Factory New)@106.0@93.28@139.99@137.1902@skinport@csdeals@31.19
Desert Eagle | Ocean Drive (Minimal Wear)@35.0@30.8@47.99@47.0302@skinport@csdeals@12.03
Desert Eagle | Printstream (Factory New)@87.49@76.99119999999999@105.0@102.9@skinport@csdeals@15.41
