name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Souvenir P2000 | Chainmail (Factory New)@11.84@11.248@30.0@29.4@shadowpay@csdeals@17.56
StatTrak™ Galil AR | Eco (Field-Tested)@13.9@13.205@39.99@39.1902@shadowpay@csdeals@25.29
Operation Bravo Case@47.21@44.8495@69.99@68.5902@shadowpay@csdeals@21.38
Desert Eagle | Sunset Storm 壱 (Field-Tested)@368.39@349.9705@400.0@392.0@shadowpay@csdeals@23.61
Operation Bloodhound Access Pass@37.78@35.891@55.0@53.9@shadowpay@csdeals@16.12
Souvenir Nova | Walnut (Factory New)@16.62@15.789@35.0@34.3@shadowpay@csdeals@17.68
M4A4 | Bullet Rain (Minimal Wear)@28.5@27.075@42.99@42.1302@shadowpay@csdeals@13.63
P90 | Cold Blooded (Factory New)@57.52@54.644@69.99@68.5902@shadowpay@csdeals@11.07
eSports 2013 Case@78.77@74.83149999999999@99.99@97.9902@shadowpay@csdeals@19.22
Sticker | Cloud9 (Holo) | DreamHack 2014@439.58@417.601@635.0@622.3@shadowpay@csdeals@182.72
P90 | Virus (Factory New)@4.05@3.8475@25.0@24.5@shadowpay@csdeals@20.45
P90 | Trigon (Minimal Wear)@10.6@10.07@28.0@27.44@shadowpay@csdeals@16.84
CS:GO Weapon Case@89.5@85.02499999999999@139.99@137.1902@shadowpay@csdeals@47.69
Sawed-Off | The Kraken (Factory New)@6.25@5.9375@19.0@18.62@shadowpay@csdeals@12.37
Five-SeveN | Candy Apple (Minimal Wear)@94.34@89.623@119.71@117.3158@shadowpay@csdeals@22.98
StatTrak™ SG 553 | Pulse (Minimal Wear)@14.22@13.509@45.0@44.1@shadowpay@csdeals@29.88
StatTrak™ P90 | Blind Spot (Factory New)@18.51@17.584500000000002@39.99@39.1902@shadowpay@csdeals@20.68
StatTrak™ P250 | Valence (Factory New)@3.09@2.9355@24.0@23.52@shadowpay@csdeals@20.43
Sticker | Team EnVyUs (Holo) | Katowice 2015@78.0@74.1@150.0@147.0@shadowpay@csdeals@69.0
SG 553 | Wave Spray (Factory New)@14.01@13.3095@50.0@49.0@shadowpay@csdeals@34.99
SCAR-20 | Crimson Web (Factory New)@15.01@14.2595@30.0@29.4@shadowpay@csdeals@14.39
Sticker | Fnatic (Holo) | DreamHack 2014@347.04@329.688@735.21@720.5058@shadowpay@csdeals@373.47
SCAR-20 | Emerald (Factory New)@26.17@24.8615@42.75@41.895@shadowpay@csdeals@15.73
StatTrak™ AK-47 | Elite Build (Battle-Scarred)@4.48@4.256@24.99@24.4902@shadowpay@csdeals@20.01
Desert Eagle | Cobalt Disruption (Factory New)@78.82@74.87899999999999@95.69@93.7762@shadowpay@csdeals@14.96
StatTrak™ Dual Berettas | Hemoglobin (Minimal Wear)@23.89@22.6955@1983.0@1943.34@shadowpay@csdeals@1919.45
Sticker | HellRaisers (Holo) | Katowice 2015@239.0@227.05@300.0@294.0@shadowpay@csdeals@55.0
Dual Berettas | Marina (Factory New)@19.15@18.1925@45.0@44.1@shadowpay@csdeals@24.95
StatTrak™ Tec-9 | Blue Titanium (Factory New)@9.64@9.158@25.0@24.5@shadowpay@csdeals@14.86
StatTrak™ P250 | Hive (Factory New)@9.28@8.815999999999999@11713.59@11479.3182@shadowpay@csdeals@11470.04
StatTrak™ AUG | Wings (Factory New)@29.31@27.8445@11691.67@11457.8366@shadowpay@csdeals@11428.53
M4A4 | X-Ray (Minimal Wear)@17.85@16.9575@438.39@429.6222@shadowpay@csdeals@411.77
M4A1-S | Blood Tiger (Factory New)@5.39@5.1205@24.0@23.52@shadowpay@csdeals@18.13
Sticker | Stupid Banana (Foil)@23.38@22.211@49.99@48.9902@shadowpay@csdeals@25.61
Nova | Tempest (Factory New)@13.5@12.825@25.0@24.5@shadowpay@csdeals@11.0
StatTrak™ MP9 | Deadly Poison (Factory New)@8.14@7.733@35.0@34.3@shadowpay@csdeals@26.16
Five-SeveN | Copper Galaxy (Minimal Wear)@8.05@7.6475@23.0@22.54@shadowpay@csdeals@14.49
MAC-10 | Ultraviolet (Factory New)@42.13@40.0235@70.0@68.6@shadowpay@csdeals@26.47
ESL One Cologne 2014 Challengers@66.31@62.9945@79.99@78.3902@shadowpay@csdeals@12.08
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@4.48@4.256@49.28@48.2944@shadowpay@csdeals@43.81
Nova | Walnut (Factory New)@21.95@20.8525@35.0@34.3@shadowpay@csdeals@12.35
StatTrak™ Nova | Ranger (Factory New)@2.36@2.242@14.0@13.72@shadowpay@csdeals@11.36
AK-47 | Blue Laminate (Minimal Wear)@14.98@14.231@500.0@490.0@shadowpay@csdeals@475.02
StatTrak™ CZ75-Auto | Twist (Factory New)@4.03@3.8285@18.0@17.64@shadowpay@csdeals@13.61
P90 | Elite Build (Factory New)@1.05@0.9975@12.0@11.76@shadowpay@csdeals@10.71
XM1014 | Heaven Guard (Factory New)@12.33@11.7135@30.0@29.4@shadowpay@csdeals@17.07
StatTrak™ Glock-18 | Catacombs (Factory New)@2.16@2.052@17.0@16.66@shadowpay@csdeals@14.5
SG 553 | Damascus Steel (Factory New)@1.45@1.3775@20.0@19.6@shadowpay@csdeals@18.15
MAG-7 | Heat (Factory New)@3.41@3.2395@16.0@15.68@shadowpay@csdeals@12.27
Glock-18 | Reactor (Well-Worn)@9.86@9.367@24.99@24.4902@shadowpay@csdeals@14.63
StatTrak™ Galil AR | Blue Titanium (Factory New)@12.6@11.97@25.0@24.5@shadowpay@csdeals@11.9
Dual Berettas | Panther (Factory New)@2.53@2.4035@22.0@21.56@shadowpay@csdeals@19.03
StatTrak™ G3SG1 | Azure Zebra (Factory New)@6.75@6.4125@19.0@18.62@shadowpay@csdeals@11.87
SG 553 | Pulse (Minimal Wear)@7.2@6.84@18.0@17.64@shadowpay@csdeals@10.44
