name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
G3SG1 | Contractor (Factory New)@13.72@13.034@59.99@52.7912@shadowpay@skinport@39.07
Sticker | Keyd Stars | Katowice 2015@22.5@21.375@154.8@136.22400000000002@shadowpay@skinport@113.72
Souvenir Tec-9 | Army Mesh (Field-Tested)@15.11@14.354499999999998@91.38@80.4144@shadowpay@skinport@65.3
Souvenir XM1014 | Blue Spruce (Battle-Scarred)@22.0@20.9@106.15@93.412@shadowpay@skinport@71.41
UMP-45 | Gunsmoke (Factory New)@0.79@0.7505@13.54@11.9152@shadowpay@skinport@11.13
P90 | Virus (Well-Worn)@3.0@2.85@92.42@81.3296@shadowpay@skinport@78.33
StatTrak™ MAG-7 | Firestarter (Battle-Scarred)@1.93@1.8335@66.46@58.48479999999999@shadowpay@skinport@56.55
Souvenir AUG | Storm (Field-Tested)@18.94@17.993000000000002@88.0@77.44@shadowpay@skinport@58.5
Souvenir Dual Berettas | Contractor (Battle-Scarred)@18.9@17.955@230.76@203.0688@shadowpay@skinport@184.17
AUG | Torque (Battle-Scarred)@9.67@9.1865@207.75@182.82@shadowpay@skinport@173.15
SG 553 | Traveler (Minimal Wear)@11.27@10.706499999999998@29.99@26.3912@shadowpay@skinport@15.12
Dual Berettas | Urban Shock (Battle-Scarred)@2.14@2.033@47.09@41.43920000000001@shadowpay@skinport@39.3
MAG-7 | Seabird (Factory New)@4.99@4.7405@28.5@25.08@shadowpay@skinport@20.09
M249 | Jungle DDPAT (Minimal Wear)@5.57@5.2915@38.78@34.126400000000004@shadowpay@skinport@28.56
Dual Berettas | Retribution (Field-Tested)@5.45@5.1775@19.9@17.512@shadowpay@skinport@12.06
StatTrak™ MAG-7 | Heaven Guard (Well-Worn)@2.32@2.204@19.99@17.591199999999997@shadowpay@skinport@15.27
Glock-18 | Groundwater (Well-Worn)@23.66@22.477@323.06@284.2928@shadowpay@skinport@260.63
FAMAS | Contrast Spray (Battle-Scarred)@3.78@3.591@19.99@17.591199999999997@shadowpay@skinport@13.81
MP9 | Dry Season (Battle-Scarred)@22.31@21.1945@79.99@70.3912@shadowpay@skinport@48.08
★ Flip Knife | Blue Steel (Battle-Scarred)@278.99@265.0405@399.0@351.12@shadowpay@skinport@72.13
P90 | Glacier Mesh (Minimal Wear)@4.97@4.7215@19.9@17.512@shadowpay@skinport@12.54
XM1014 | Jungle (Well-Worn)@4.15@3.9425@19.99@17.591199999999997@shadowpay@skinport@13.44
StatTrak™ AK-47 | Wasteland Rebel (Factory New)@1062.78@1009.641@5199.0@4575.12@shadowpay@skinport@3512.34
Souvenir Tec-9 | Brass (Factory New)@260.49@247.4655@839.91@739.1208@shadowpay@skinport@478.63
Sticker | fer (Foil) | Cologne 2015@11.5@10.925@24.99@21.9912@shadowpay@skinport@10.49
Sticker | hazed | Cologne 2015@8.93@8.4835@22.5@19.8@shadowpay@skinport@10.87
Sticker | jdm64 (Foil) | Cologne 2015@29.4@27.93@68.8@60.544@shadowpay@skinport@31.14
Sticker | Furlan | Cologne 2015@17.49@16.615499999999997@75.17@66.1496@shadowpay@skinport@48.66
Sticker | reltuC | Cologne 2015@55.7@52.915@94.45@83.116@shadowpay@skinport@27.42
Sticker | Cloud9 G2A (Foil) | Cologne 2015@31.27@29.7065@66.48@58.5024@shadowpay@skinport@27.23
★ Shadow Daggers | Stained (Well-Worn)@130.55@124.0225@160.54@141.27519999999998@shadowpay@skinport@10.73
★ Shadow Daggers | Night (Battle-Scarred)@124.97@118.7215@323.06@284.2928@shadowpay@skinport@159.32
★ Shadow Daggers | Case Hardened (Battle-Scarred)@165.92@157.62399999999997@332.29@292.4152@shadowpay@skinport@126.5
★ StatTrak™ Shadow Daggers | Case Hardened (Battle-Scarred)@225.0@213.75@267.68@235.5584@shadowpay@skinport@10.56
★ StatTrak™ Shadow Daggers | Safari Mesh (Minimal Wear)@176.4@167.57999999999998@260.48@229.2224@shadowpay@skinport@52.82
★ StatTrak™ Shadow Daggers | Case Hardened (Minimal Wear)@246.26@233.947@324.29@285.3752@shadowpay@skinport@39.12
★ Shadow Daggers | Safari Mesh (Factory New)@150.0@142.5@188.0@165.44@shadowpay@skinport@15.44
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)@34.85@33.1075@277.0@243.76@shadowpay@skinport@208.91
Sticker | friberg | Cluj-Napoca 2015@4.72@4.484@34.04@29.9552@shadowpay@skinport@25.24
Sticker | jdm64 | Cluj-Napoca 2015@17.9@17.005@61.09@53.7592@shadowpay@skinport@35.86
Autograph Capsule | G2 Esports | Cluj-Napoca 2015@12.33@11.7135@64.5@56.76@shadowpay@skinport@44.43
Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015@8.8@8.36@22.65@19.932@shadowpay@skinport@11.13
Sticker | DavCost | Cluj-Napoca 2015@16.16@15.352@49.25@43.34@shadowpay@skinport@27.18
Sticker | NEO | Cluj-Napoca 2015@9.0@8.549999999999999@42.68@37.5584@shadowpay@skinport@28.56
Sticker | tarik | Cluj-Napoca 2015@20.0@19.0@47.71@41.9848@shadowpay@skinport@21.98
Sticker | peet (Foil) | Cluj-Napoca 2015@24.11@22.9045@78.95@69.476@shadowpay@skinport@45.37
★ Bowie Knife | Crimson Web (Battle-Scarred)@290.8@276.26@375.0@330.0@shadowpay@skinport@39.2
StatTrak™ Five-SeveN | Triumvirate (Battle-Scarred)@4.99@4.7405@92.94@81.7872@shadowpay@skinport@76.8
