name@price@price_after_sell
CZ75-Auto | Emerald (Factory New)@42.99@42.1302
CZ75-Auto | Emerald (Minimal Wear)@39.99@39.190200000000004
CZ75-Auto | Hexane (Factory New)@11.00@10.78
CZ75-Auto | Hexane (Field-Tested)@2.82@2.7636
CZ75-Auto | Hexane (Minimal Wear)@2.94@2.8811999999999998
CZ75-Auto | Imprint (Factory New)@0.90@0.882
CZ75-Auto | Imprint (Minimal Wear)@0.25@0.245
CZ75-Auto | Pole Position (Factory New)@20.00@19.6
CZ75-Auto | Pole Position (Field-Tested)@0.45@0.441
CZ75-Auto | Polymer (Factory New)@7.00@6.859999999999999
CZ75-Auto | Polymer (Well-Worn)@0.20@0.196
CZ75-Auto | Red Astor (Factory New)@17.00@16.66
CZ75-Auto | Tigris (Factory New)@12.00@11.76
CZ75-Auto | Tread Plate (Factory New)@6.59@6.4582
CZ75-Auto | Tread Plate (Minimal Wear)@7.22@7.0756
CZ75-Auto | Tuxedo (Factory New)@16.00@15.68
CZ75-Auto | Tuxedo (Field-Tested)@2.00@1.96
CZ75-Auto | Twist (Battle-Scarred)@2.00@1.96
CZ75-Auto | Twist (Factory New)@8.00@7.84
CZ75-Auto | Twist (Field-Tested)@2.78@2.7243999999999997
CZ75-Auto | Twist (Minimal Wear)@2.76@2.7047999999999996
CZ75-Auto | Victoria (Factory New)@16.43@16.101399999999998
CZ75-Auto | Yellow Jacket (Field-Tested)@4.96@4.8608
CZ75-Auto | Yellow Jacket (Well-Worn)@4.28@4.1944
Chroma 2 Case@3.50@3.4299999999999997
Chroma 2 Case Key@11.15@10.927
Chroma 3 Case@3.10@3.038
Chroma 3 Case Key@13.04@12.7792
Chroma Case@7.00@6.859999999999999
Chroma Case Key@11.29@11.0642
Collectible Pins Capsule Series 1@9.44@9.251199999999999
Cologne 2016 Cobblestone Souvenir Package@2399.99@2351.9901999999997
Community Sticker Capsule 1@3.28@3.2144
Desert Eagle | Blaze (Factory New)@627.00@614.46
Desert Eagle | Blaze (Minimal Wear)@700.00@686.0
Desert Eagle | Bronze Deco (Factory New)@0.39@0.3822
Desert Eagle | Bronze Deco (Minimal Wear)@0.18@0.1764
Desert Eagle | Cobalt Disruption (Factory New)@95.69@93.7762
Desert Eagle | Conspiracy (Factory New)@10.38@10.172400000000001
Desert Eagle | Conspiracy (Field-Tested)@6.50@6.37
Desert Eagle | Conspiracy (Minimal Wear)@7.12@6.9776
Desert Eagle | Corinthian (Factory New)@10.00@9.8
Desert Eagle | Corinthian (Minimal Wear)@0.34@0.3332
Desert Eagle | Crimson Web (Field-Tested)@16.44@16.1112
Desert Eagle | Directive (Factory New)@10.90@10.682
Desert Eagle | Directive (Well-Worn)@0.68@0.6664
Desert Eagle | Heirloom (Field-Tested)@12.00@11.76
Desert Eagle | Hypnotic (Factory New)@129.99@127.39020000000001
Desert Eagle | Kumicho Dragon (Field-Tested)@24.99@24.490199999999998
Desert Eagle | Meteorite (Factory New)@2.20@2.156
Desert Eagle | Meteorite (Minimal Wear)@0.84@0.8231999999999999
Desert Eagle | Midnight Storm (Factory New)@34.99@34.2902
Desert Eagle | Midnight Storm (Minimal Wear)@31.99@31.350199999999997
Desert Eagle | Mudder (Factory New)@6.00@5.88
Desert Eagle | Mudder (Field-Tested)@0.30@0.294
Desert Eagle | Naga (Battle-Scarred)@3.00@2.94
Desert Eagle | Sunset Storm 壱 (Factory New)@365.00@357.7
Desert Eagle | Sunset Storm 壱 (Field-Tested)@400.00@392.0
Desert Eagle | Sunset Storm 壱 (Minimal Wear)@378.89@371.31219999999996
Desert Eagle | Sunset Storm 弐 (Factory New)@359.99@352.7902
Desert Eagle | Sunset Storm 弐 (Field-Tested)@370.00@362.59999999999997
Desert Eagle | Sunset Storm 弐 (Minimal Wear)@349.99@342.9902
Desert Eagle | Urban DDPAT (Battle-Scarred)@2.60@2.548
Desert Eagle | Urban DDPAT (Field-Tested)@2.50@2.45
Desert Eagle | Urban DDPAT (Minimal Wear)@5.00@4.9
Desert Eagle | Urban DDPAT (Well-Worn)@2.83@2.7734
Desert Eagle | Urban Rubble (Factory New)@9.00@8.82
Desert Eagle | Urban Rubble (Field-Tested)@0.40@0.392
DreamHack Cluj-Napoca 2015 Inferno Souvenir Package@42.75@41.894999999999996
DreamHack Cluj-Napoca 2015 Legends (Foil)@38.35@37.583
Dual Berettas | Black Limba (Factory New)@60.00@58.8
Dual Berettas | Black Limba (Field-Tested)@8.13@7.9674000000000005
Dual Berettas | Briar (Field-Tested)@4.17@4.0866
Dual Berettas | Briar (Minimal Wear)@3.73@3.6553999999999998
Dual Berettas | Cartel (Factory New)@11.00@10.78
Dual Berettas | Cartel (Well-Worn)@0.37@0.3626
Dual Berettas | Cobalt Quartz (Factory New)@1.70@1.666
Dual Berettas | Cobalt Quartz (Minimal Wear)@1.10@1.078
Dual Berettas | Contractor (Field-Tested)@6.00@5.88
Dual Berettas | Contractor (Minimal Wear)@0.70@0.6859999999999999
Dual Berettas | Dualing Dragons (Factory New)@12.00@11.76
Dual Berettas | Dualing Dragons (Field-Tested)@0.22@0.21559999999999999
Dual Berettas | Dualing Dragons (Well-Worn)@0.40@0.392
Dual Berettas | Duelist (Factory New)@200.00@196.0
Dual Berettas | Marina (Factory New)@45.00@44.1
Dual Berettas | Moon in Libra (Minimal Wear)@5.50@5.39
Dual Berettas | Panther (Factory New)@22.00@21.56
Dual Berettas | Royal Consorts (Battle-Scarred)@0.70@0.6859999999999999
Dual Berettas | Royal Consorts (Factory New)@26.00@25.48
Dual Berettas | Stained (Battle-Scarred)@0.30@0.294
Dual Berettas | Stained (Factory New)@4.00@3.92
Dual Berettas | Stained (Field-Tested)@0.30@0.294
Dual Berettas | Stained (Minimal Wear)@0.40@0.392
Dual Berettas | Urban Shock (Factory New)@4.23@4.1454
Dual Berettas | Ventilators (Factory New)@0.70@0.6859999999999999
ESL One Cologne 2014 Challengers@79.99@78.3902
ESL One Cologne 2014 Cobblestone Souvenir Package@2049.00@2008.02
ESL One Cologne 2014 Legends@77.00@75.46
ESL One Cologne 2015 Cobblestone Souvenir Package@2299.00@2253.02
ESL One Cologne 2015 Inferno Souvenir Package@43.00@42.14
ESL One Katowice 2015 Cobblestone Souvenir Package@2099.00@2057.02
ESL One Katowice 2015 Nuke Souvenir Package@140.00@137.2
Enfu Sticker Capsule@2.00@1.96
FAMAS | Colony (Field-Tested)@0.28@0.27440000000000003
FAMAS | Cyanospatter (Battle-Scarred)@1.10@1.078
FAMAS | Cyanospatter (Factory New)@4.00@3.92
FAMAS | Djinn (Minimal Wear)@4.47@4.380599999999999
FAMAS | Doomkitty (Minimal Wear)@5.57@5.458600000000001
FAMAS | Mecha Industries (Field-Tested)@5.29@5.1842
FAMAS | Roll Cage (Battle-Scarred)@6.00@5.88
FAMAS | Roll Cage (Minimal Wear)@15.00@14.7
FAMAS | Sergeant (Minimal Wear)@8.00@7.84
FAMAS | Survivor Z (Factory New)@6.00@5.88
FAMAS | Survivor Z (Field-Tested)@0.31@0.3038
FAMAS | Teardown (Battle-Scarred)@0.61@0.5978
FAMAS | Teardown (Factory New)@9.00@8.82
