name@price@price_after_sell
StatTrak™ Galil AR | Rocket Pop (Factory New)@27.00@26.46
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@8.00@7.84
StatTrak™ Galil AR | Sandstorm (Field-Tested)@3.00@2.94
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)@8.00@7.84
StatTrak™ Glock-18 | Bunsen Burner (Factory New)@16.00@15.68
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)@4.19@4.1062
StatTrak™ Glock-18 | Catacombs (Factory New)@17.00@16.66
StatTrak™ Glock-18 | Grinder (Factory New)@9.04@8.8592
StatTrak™ Glock-18 | Royal Legion (Well-Worn)@8.00@7.84
StatTrak™ Glock-18 | Wraiths (Factory New)@25.00@24.5
StatTrak™ M249 | Magma (Minimal Wear)@1.68@1.6463999999999999
StatTrak™ M249 | Nebula Crusader (Factory New)@10.43@10.2214
StatTrak™ M249 | Nebula Crusader (Field-Tested)@6.00@5.88
StatTrak™ M249 | Nebula Crusader (Well-Worn)@2.75@2.695
StatTrak™ M249 | Spectre (Factory New)@20.00@19.6
StatTrak™ M249 | System Lock (Factory New)@16.00@15.68
StatTrak™ M249 | System Lock (Minimal Wear)@0.89@0.8722
StatTrak™ M4A1-S | Cyrex (Factory New)@137.03@134.2894
StatTrak™ M4A1-S | Cyrex (Well-Worn)@64.80@63.504
StatTrak™ M4A1-S | Flashback (Factory New)@13.86@13.582799999999999
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear)@131.43@128.8014
StatTrak™ M4A4 | Buzz Kill (Field-Tested)@34.99@34.2902
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)@12.00@11.76
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred)@6.69@6.5562000000000005
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@49.28@48.2944
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested)@24.99@24.490199999999998
StatTrak™ MAC-10 | Carnivore (Factory New)@17.00@16.66
StatTrak™ MAC-10 | Rangeen (Factory New)@10.00@9.8
StatTrak™ MAG-7 | Cobalt Core (Factory New)@20.00@19.6
StatTrak™ MAG-7 | Cobalt Core (Field-Tested)@0.70@0.6859999999999999
StatTrak™ MAG-7 | Cobalt Core (Minimal Wear)@1.14@1.1172
StatTrak™ MAG-7 | Firestarter (Minimal Wear)@2.15@2.1069999999999998
StatTrak™ MAG-7 | Heaven Guard (Factory New)@3.00@2.94
StatTrak™ MAG-7 | Memento (Factory New)@18.00@17.64
StatTrak™ MAG-7 | Praetorian (Field-Tested)@4.49@4.4002
StatTrak™ MAG-7 | Sonar (Factory New)@1.06@1.0388
StatTrak™ MP7 | Cirrus (Factory New)@20.00@19.6
StatTrak™ MP7 | Special Delivery (Battle-Scarred)@2.71@2.6557999999999997
StatTrak™ MP7 | Special Delivery (Factory New)@40.00@39.2
StatTrak™ MP7 | Urban Hazard (Factory New)@8.00@7.84
StatTrak™ MP7 | Urban Hazard (Minimal Wear)@1.00@0.98
StatTrak™ MP9 | Airlock (Minimal Wear)@12.88@12.6224
StatTrak™ MP9 | Deadly Poison (Factory New)@35.00@34.3
StatTrak™ Music Kit | AWOLNATION, I Am@6.95@6.811
StatTrak™ Music Kit | Daniel Sadowski, The 8-Bit Kit@5.47@5.3606
StatTrak™ Music Kit | Kelly Bailey, Hazardous Environments@15.00@14.7
StatTrak™ Music Kit | Michael Bross, Invasion!@6.36@6.2328
StatTrak™ Music Kit | Mord Fustang, Diamonds@6.47@6.340599999999999
StatTrak™ Music Kit | New Beat Fund, Sponge Fingerz@15.00@14.7
StatTrak™ Music Kit | Roam, Backbone@2.38@2.3324
StatTrak™ Music Kit | Troels Folmann, Uber Blasto Phone@15.00@14.7
StatTrak™ Music Kit | Twin Atlantic, GLA@2.95@2.891
StatTrak™ Music Kit | Various Artists, Hotline Miami@15.00@14.7
StatTrak™ Negev | Bratatat (Minimal Wear)@6.58@6.4484
StatTrak™ Negev | Bratatat (Well-Worn)@3.35@3.283
StatTrak™ Negev | Dazzle (Minimal Wear)@11.00@10.78
StatTrak™ Negev | Desert-Strike (Factory New)@0.86@0.8428
StatTrak™ Negev | Man-o'-war (Field-Tested)@0.34@0.3332
StatTrak™ Negev | Power Loader (Battle-Scarred)@2.85@2.793
StatTrak™ Negev | Power Loader (Field-Tested)@5.75@5.635
StatTrak™ Negev | Power Loader (Well-Worn)@3.60@3.528
StatTrak™ Negev | Terrain (Factory New)@2.00@1.96
StatTrak™ Negev | Terrain (Minimal Wear)@1.39@1.3621999999999999
StatTrak™ Nova | Exo (Battle-Scarred)@0.80@0.784
StatTrak™ Nova | Exo (Factory New)@0.96@0.9408
StatTrak™ Nova | Exo (Minimal Wear)@1.50@1.47
StatTrak™ Nova | Ghost Camo (Field-Tested)@5.99@5.8702000000000005
StatTrak™ Nova | Gila (Minimal Wear)@1.55@1.519
StatTrak™ Nova | Koi (Factory New)@4.91@4.8118
StatTrak™ Nova | Ranger (Factory New)@14.00@13.719999999999999
StatTrak™ P2000 | Fire Elemental (Minimal Wear)@85.00@83.3
StatTrak™ P2000 | Handgun (Battle-Scarred)@1.23@1.2054
StatTrak™ P2000 | Handgun (Well-Worn)@1.47@1.4405999999999999
StatTrak™ P2000 | Imperial (Factory New)@1.75@1.7149999999999999
StatTrak™ P2000 | Ivory (Factory New)@8.00@7.84
StatTrak™ P2000 | Ivory (Minimal Wear)@0.53@0.5194
StatTrak™ P2000 | Ivory (Well-Worn)@0.22@0.21559999999999999
StatTrak™ P2000 | Ocean Foam (Factory New)@431.50@422.87
StatTrak™ P2000 | Oceanic (Factory New)@11.00@10.78
StatTrak™ P2000 | Pulse (Factory New)@7.00@6.859999999999999
StatTrak™ P2000 | Red FragCam (Field-Tested)@2.40@2.352
StatTrak™ P2000 | Turf (Factory New)@12.00@11.76
StatTrak™ P250 | Asiimov (Well-Worn)@21.00@20.58
StatTrak™ P250 | Hive (Factory New)@11713.59@11479.3182
StatTrak™ P250 | Iron Clad (Battle-Scarred)@0.40@0.392
StatTrak™ P250 | Muertos (Field-Tested)@20.00@19.6
StatTrak™ P250 | Muertos (Minimal Wear)@17.49@17.140199999999997
StatTrak™ P250 | Supernova (Field-Tested)@3.86@3.7828
StatTrak™ P250 | Supernova (Minimal Wear)@3.77@3.6946
StatTrak™ P250 | Valence (Battle-Scarred)@0.28@0.27440000000000003
StatTrak™ P250 | Valence (Factory New)@24.00@23.52
StatTrak™ P250 | Wingshot (Minimal Wear)@27.77@27.2146
StatTrak™ P250 | Wingshot (Well-Worn)@5.00@4.9
StatTrak™ P90 | Asiimov (Battle-Scarred)@27.50@26.95
StatTrak™ P90 | Blind Spot (Factory New)@39.99@39.190200000000004
StatTrak™ P90 | Chopper (Battle-Scarred)@3.00@2.94
StatTrak™ P90 | Elite Build (Battle-Scarred)@0.49@0.48019999999999996
StatTrak™ P90 | Elite Build (Field-Tested)@1.00@0.98
StatTrak™ P90 | Grim (Battle-Scarred)@0.70@0.6859999999999999
StatTrak™ P90 | Grim (Factory New)@23.00@22.54
StatTrak™ P90 | Module (Factory New)@3.35@3.283
StatTrak™ P90 | Module (Field-Tested)@2.52@2.4696
StatTrak™ P90 | Module (Minimal Wear)@2.63@2.5774
StatTrak™ PP-Bizon | Antique (Minimal Wear)@16.91@16.5718
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested)@1.56@1.5288
StatTrak™ PP-Bizon | Cobalt Halftone (Minimal Wear)@1.70@1.666
StatTrak™ PP-Bizon | Fuel Rod (Field-Tested)@4.00@3.92
StatTrak™ PP-Bizon | Harvester (Factory New)@9.00@8.82
StatTrak™ PP-Bizon | Osiris (Field-Tested)@2.15@2.1069999999999998
StatTrak™ PP-Bizon | Photic Zone (Factory New)@60.00@58.8
StatTrak™ PP-Bizon | Photic Zone (Well-Worn)@0.44@0.43119999999999997
StatTrak™ R8 Revolver | Crimson Web (Well-Worn)@0.51@0.4998
StatTrak™ R8 Revolver | Fade (Factory New)@100.00@98.0
StatTrak™ SCAR-20 | Green Marine (Battle-Scarred)@0.50@0.49
StatTrak™ SCAR-20 | Green Marine (Factory New)@11.00@10.78
StatTrak™ SCAR-20 | Green Marine (Minimal Wear)@1.11@1.0878
StatTrak™ SCAR-20 | Grotto (Factory New)@1.53@1.4994
StatTrak™ SCAR-20 | Outbreak (Factory New)@3.00@2.94
StatTrak™ SG 553 | Aerial (Battle-Scarred)@0.40@0.392
StatTrak™ SG 553 | Aerial (Factory New)@13.00@12.74
StatTrak™ SG 553 | Atlas (Factory New)@1.11@1.0878
StatTrak™ SG 553 | Pulse (Minimal Wear)@45.00@44.1
StatTrak™ SG 553 | Tiger Moth (Factory New)@17.00@16.66
StatTrak™ SG 553 | Triarch (Field-Tested)@1.50@1.47
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)@12.00@11.76
StatTrak™ SSG 08 | Abyss (Factory New)@15.00@14.7
StatTrak™ SSG 08 | Abyss (Minimal Wear)@5.00@4.9
StatTrak™ SSG 08 | Big Iron (Factory New)@70.32@68.91359999999999
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear)@182.41@178.7618
StatTrak™ SSG 08 | Necropos (Field-Tested)@1.90@1.8619999999999999
StatTrak™ SSG 08 | Necropos (Minimal Wear)@1.26@1.2348
StatTrak™ SSG 08 | Slashed (Field-Tested)@4.00@3.92
StatTrak™ Sawed-Off | Origami (Factory New)@0.92@0.9016000000000001
StatTrak™ Sawed-Off | Origami (Minimal Wear)@1.00@0.98
StatTrak™ Sawed-Off | Serenity (Minimal Wear)@12.00@11.76
StatTrak™ Sawed-Off | Yorick (Factory New)@20.00@19.6
StatTrak™ Swap Tool@0.32@0.3136
StatTrak™ Tec-9 | Blue Titanium (Factory New)@25.00@24.5
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred)@9.00@8.82
StatTrak™ Tec-9 | Ice Cap (Minimal Wear)@2.00@1.96
StatTrak™ Tec-9 | Isaac (Factory New)@35.00@34.3
StatTrak™ Tec-9 | Jambiya (Factory New)@12.00@11.76
StatTrak™ Tec-9 | Jambiya (Well-Worn)@0.53@0.5194
StatTrak™ Tec-9 | Re-Entry (Well-Worn)@1.79@1.7542
StatTrak™ Tec-9 | Sandstorm (Minimal Wear)@6.00@5.88
StatTrak™ UMP-45 | Briefing (Factory New)@11.00@10.78
StatTrak™ UMP-45 | Corporal (Minimal Wear)@1.60@1.568
StatTrak™ UMP-45 | Delusion (Factory New)@11.00@10.78
StatTrak™ UMP-45 | Delusion (Field-Tested)@1.42@1.3916
StatTrak™ UMP-45 | Delusion (Minimal Wear)@4.00@3.92
StatTrak™ UMP-45 | Labyrinth (Factory New)@2.00@1.96
StatTrak™ UMP-45 | Labyrinth (Field-Tested)@0.50@0.49
StatTrak™ UMP-45 | Labyrinth (Minimal Wear)@1.00@0.98
StatTrak™ UMP-45 | Riot (Factory New)@1.38@1.3523999999999998
StatTrak™ UMP-45 | Riot (Minimal Wear)@1.40@1.3719999999999999
StatTrak™ USP-S | Blood Tiger (Factory New)@13.43@13.161399999999999
StatTrak™ USP-S | Caiman (Minimal Wear)@90.00@88.2
StatTrak™ USP-S | Cyrex (Minimal Wear)@7.60@7.4479999999999995
StatTrak™ USP-S | Dark Water (Minimal Wear)@170.97@167.5506
StatTrak™ USP-S | Lead Conduit (Battle-Scarred)@4.00@3.92
StatTrak™ USP-S | Orion (Field-Tested)@113.94@111.6612
StatTrak™ XM1014 | Heaven Guard (Field-Tested)@14.63@14.3374
StatTrak™ XM1014 | Quicksilver (Factory New)@10.00@9.8
StatTrak™ XM1014 | Quicksilver (Minimal Wear)@0.85@0.833
StatTrak™ XM1014 | Red Python (Minimal Wear)@3.91@3.8318
StatTrak™ XM1014 | Scumbria (Factory New)@9.00@8.82
StatTrak™ XM1014 | Scumbria (Minimal Wear)@0.96@0.9408
StatTrak™ XM1014 | Slipstream (Factory New)@9.50@9.31
StatTrak™ XM1014 | Teclu Burner (Battle-Scarred)@2.50@2.45
StatTrak™ XM1014 | Teclu Burner (Field-Tested)@5.00@4.9
Sticker Capsule@0.75@0.735
Sticker Capsule 2@16.70@16.366
Sticker | 3DMAX (Foil) | Katowice 2015@300.00@294.0
Sticker | 3DMAX (Holo) | Katowice 2015@275.00@269.5
Sticker | ANGE1 | Atlanta 2017@15.00@14.7
Sticker | Astralis (Holo) | Atlanta 2017@54.80@53.70399999999999
Sticker | Astralis (Holo) | Cologne 2016@23.54@23.0692
Sticker | Astralis | Atlanta 2017@7.40@7.252
Sticker | Astralis | Cologne 2016@16.00@15.68
Sticker | Banana@0.93@0.9114
Sticker | Black Dog@2.00@1.96
Sticker | Blitzkrieg@2.00@1.96
Sticker | Bombsquad (Foil)@1.65@1.617
Sticker | Boom (Holo)@3.00@2.94
Sticker | Boris@0.50@0.49
Sticker | Boris (Holo)@2.00@1.96
Sticker | Burn Them All@1.37@1.3426
Sticker | CS On The Mind@0.85@0.833
Sticker | Chabo@1.50@1.47
Sticker | Chi Bomb@2.00@1.96
Sticker | Cloud9 (Holo) | Cologne 2014@89.99@88.19019999999999
Sticker | Cloud9 (Holo) | DreamHack 2014@635.00@622.3
Sticker | Cloud9 (Holo) | MLG Columbus 2016@54.80@53.70399999999999
Sticker | Cloud9 G2A | Cologne 2015@3.54@3.4692
Sticker | Cloud9 | MLG Columbus 2016@10.00@9.8
Sticker | Countdown (Holo)@3.00@2.94
Sticker | Counter Logic Gaming (Foil) | MLG Columbus 2016@54.80@53.70399999999999
Sticker | Counter Logic Gaming (Holo) | MLG Columbus 2016@41.78@40.9444
Sticker | Crown (Foil)@800.00@784.0
Sticker | Don't Worry (Holo)@2.00@1.96
Sticker | Doomed@1.10@1.078
Sticker | Dragon@1.40@1.3719999999999999
Sticker | DreamHack | Cluj-Napoca 2015@6.10@5.978
Sticker | ESL One | Katowice 2015@12.00@11.76
Sticker | ESL | Cologne 2015@5.54@5.4292
Sticker | ESL | Cologne 2016@4.00@3.92
Sticker | Edward | Cologne 2016@6.00@5.88
Sticker | EliGE | Cologne 2016@7.00@6.859999999999999
Sticker | EliGE | MLG Columbus 2016@6.00@5.88
Sticker | FaZe Clan (Foil) | Atlanta 2017@132.00@129.35999999999999
Sticker | FaZe Clan (Holo) | Atlanta 2017@65.76@64.4448
Sticker | FaZe Clan (Holo) | Cologne 2016@23.02@22.5596
Sticker | FaZe Clan | Atlanta 2017@8.39@8.2222
Sticker | FaZe Clan | Cologne 2016@10.00@9.8
Sticker | FalleN (Foil) | Atlanta 2017@55.00@53.9
Sticker | Fearsome (Holo)@4.00@3.92
Sticker | Flammable (Foil)@99.99@97.99019999999999
Sticker | Flipsid3 Tactics (Foil) | MLG Columbus 2016@36.17@35.446600000000004
Sticker | Flipsid3 Tactics (Holo) | Atlanta 2017@94.04@92.1592
Sticker | Flipsid3 Tactics | Cluj-Napoca 2015@20.00@19.6
Sticker | Flipsid3 Tactics | MLG Columbus 2016@13.00@12.74
Sticker | Fnatic (Foil) | Atlanta 2017@155.00@151.9
Sticker | Fnatic (Holo) | Atlanta 2017@65.76@64.4448
Sticker | Fnatic (Holo) | Cologne 2014@27.90@27.342
Sticker | Fnatic (Holo) | Cologne 2016@10.43@10.2214
Sticker | Fnatic (Holo) | DreamHack 2014@735.21@720.5058
Sticker | Fnatic (Holo) | MLG Columbus 2016@35.00@34.3
Sticker | Fnatic | Atlanta 2017@4.43@4.341399999999999
Sticker | Fnatic | Cluj-Napoca 2015@4.00@3.92
Sticker | Fnatic | Cologne 2014@5.79@5.6742
Sticker | Fnatic | Cologne 2016@6.00@5.88
Sticker | G2 Esports (Holo) | Atlanta 2017@160.00@156.8
Sticker | G2 Esports (Holo) | MLG Columbus 2016@26.31@25.7838
Sticker | G2 Esports | Atlanta 2017@7.28@7.1344
Sticker | G2 Esports | Cologne 2016@4.55@4.459
Sticker | GODSENT | Atlanta 2017@2.13@2.0873999999999997
Sticker | Gambit Gaming (Holo) | Atlanta 2017@21.92@21.4816
Sticker | Gambit Gaming (Holo) | MLG Columbus 2016@16.00@15.68
Sticker | Gambit Gaming | Atlanta 2017@4.00@3.92
Sticker | Gambit Gaming | Cologne 2016@3.69@3.6162
Sticker | GeT_RiGhT (Foil) | Cologne 2016@55.00@53.9
Sticker | GeT_RiGhT | Cologne 2015@14.00@13.719999999999999
Sticker | Good Luck@3.00@2.94
Sticker | GuardiaN | Cologne 2015@4.22@4.135599999999999
Sticker | GuardiaN | Cologne 2016@7.00@6.859999999999999
Sticker | Happy | Cluj-Napoca 2015@3.64@3.5672
Sticker | Hard Cluck Life (Holo)@1.20@1.176
Sticker | Have Fun@0.43@0.4214
Sticker | HellRaisers (Holo) | Katowice 2015@300.00@294.0
Sticker | HellRaisers | Atlanta 2017@20.00@19.6
Sticker | HellRaisers | Katowice 2014@550.00@539.0
Sticker | Hippocamp@0.20@0.196
Sticker | Hippocamp (Holo)@1.80@1.764
Sticker | Hostage Rescue@2.00@1.96
Sticker | Ivette (Holo)@8.00@7.84
Sticker | Jack@1.00@0.98
Sticker | Keyd Stars | Katowice 2015@22.50@22.05
Sticker | Kimberly (Holo)@5.00@4.9
Sticker | Lucky 13 (Foil)@10.95@10.731
Sticker | Luminosity Gaming (Foil) | MLG Columbus 2016@76.72@75.1856
Sticker | Luminosity Gaming (Holo) | MLG Columbus 2016@97.54@95.5892
Sticker | Luminosity Gaming | MLG Columbus 2016@17.00@16.66
Sticker | Maikelele (Foil) | Cologne 2015@20.00@19.6
Sticker | Maniac | Cologne 2015@10.13@9.9274
Sticker | Manticore (Holo)@2.00@1.96
Sticker | Martha (Holo)@2.00@1.96
Sticker | Max (Holo)@3.00@2.94
Sticker | Merietta@0.50@0.49
Sticker | Metal@0.60@0.588
Sticker | My Little Friend@2.00@1.96
Sticker | NBK- (Foil) | Atlanta 2017@75.00@73.5
Sticker | NEO (Foil) | Atlanta 2017@34.75@34.055
Sticker | NEO | Cologne 2015@15.00@14.7
Sticker | Natus Vincere (Foil) | Atlanta 2017@125.00@122.5
Sticker | Natus Vincere (Foil) | MLG Columbus 2016@27.15@26.607
Sticker | Natus Vincere (Holo) | Atlanta 2017@48.23@47.26539999999999
Sticker | Natus Vincere | Cologne 2015@7.00@6.859999999999999
Sticker | Natus Vincere | Cologne 2016@8.00@7.84
Sticker | Natus Vincere | MLG Columbus 2016@3.00@2.94
Sticker | Nelu the Bear@2.00@1.96
Sticker | Ninjas in Pyjamas (Holo) | Cologne 2016@7.47@7.3206
Sticker | Ninjas in Pyjamas (Holo) | DreamHack 2014@135.00@132.3
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014@5000.00@4900.0
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2015@85.00@83.3
Sticker | Ninjas in Pyjamas | Cologne 2014@6.00@5.88
Sticker | North | Atlanta 2017@5.00@4.9
Sticker | PENTA Sports (Holo) | Katowice 2015@59.99@58.7902
Sticker | Pandamonium@3.00@2.94
Sticker | Pegasus (Holo)@5.00@4.9
Sticker | Pimp | Atlanta 2017@21.37@20.942600000000002
Sticker | Queen Of Pain@2.00@1.96
Sticker | RUBINO | Atlanta 2017@6.18@6.0564
Sticker | Rekt (Holo)@4.00@3.92
Sticker | Rising Skull@1.02@0.9996
Sticker | RpK (Foil) | Atlanta 2017@60.00@58.8
Sticker | RpK | Cluj-Napoca 2015@15.00@14.7
Sticker | SK Gaming (Holo) | Atlanta 2017@131.52@128.8896
Sticker | SK Gaming | Cologne 2016@8.00@7.84
Sticker | Shave Master@3.00@2.94
Sticker | Sherry@0.22@0.21559999999999999
Sticker | Shooting Star Return@2.00@1.96
Sticker | Skull Lil Boney@1.50@1.47
Sticker | SmithZz | Atlanta 2017@5.00@4.9
Sticker | Sphinx@0.60@0.588
Sticker | Sphinx (Holo)@2.00@1.96
Sticker | Stan@0.41@0.4018
Sticker | Stay Frosty@3.00@2.94
Sticker | Stupid Banana (Foil)@49.99@48.9902
Sticker | TACO (Foil) | Atlanta 2017@26.00@25.48
Sticker | TaZ | Atlanta 2017@3.22@3.1556
Sticker | Tamara (Holo)@12.00@11.76
Sticker | Team Dignitas (Foil) | Cluj-Napoca 2015@75.00@73.5
Sticker | Team Dignitas (Foil) | DreamHack 2014@249.99@244.99020000000002
Sticker | Team Dignitas (Holo) | Cologne 2014@899.99@881.9902
Sticker | Team Dignitas (Holo) | DreamHack 2014@420.95@412.531
Sticker | Team Dignitas | DreamHack 2014@75.45@73.941
Sticker | Team EnVyUs (Holo) | Atlanta 2017@59.19@58.0062
Sticker | Team EnVyUs (Holo) | Katowice 2015@150.00@147.0
Sticker | Team EnVyUs | Atlanta 2017@11.00@10.78
Sticker | Team EnVyUs | Cluj-Napoca 2015@3.65@3.577
Sticker | Team EnVyUs | Cologne 2015@3.42@3.3516
Sticker | Team EnVyUs | Cologne 2016@10.00@9.8
Sticker | Team EnVyUs | Katowice 2015@25.00@24.5
Sticker | Team EnVyUs | MLG Columbus 2016@7.00@6.859999999999999
Sticker | Team Kinguin | Cologne 2015@5.00@4.9
Sticker | Team LDLC.com (Holo) | Cologne 2014@149.99@146.99020000000002
Sticker | Team Liquid (Foil) | MLG Columbus 2016@74.53@73.0394
Sticker | Team Liquid (Holo) | Atlanta 2017@153.44@150.3712
Sticker | Team Liquid | Atlanta 2017@27.00@26.46
Sticker | Team Liquid | Cluj-Napoca 2015@5.06@4.958799999999999
Sticker | Team Liquid | MLG Columbus 2016@15.00@14.7
Sticker | Team SoloMid | Cologne 2015@4.00@3.92
Sticker | The 'Nader@0.70@0.6859999999999999
Sticker | The Awper@2.00@1.96
Sticker | The Leader@1.00@0.98
Sticker | The Spartan@0.40@0.392
Sticker | Thug Life@2.00@1.96
Sticker | Till Death Do Us Part@2.00@1.96
Sticker | Titan (Foil) | Katowice 2015@350.71@343.69579999999996
Sticker | Titan (Holo) | Cologne 2014@148.86@145.8828
Sticker | Titan | Katowice 2014@6000.00@5880.0
Sticker | Titan | Katowice 2015@86.63@84.89739999999999
Sticker | To B or not to B@0.12@0.1176
Sticker | Trick Or Treat@1.10@1.078
Sticker | Virtus.Pro (Holo) | Cologne 2014@30.99@30.370199999999997
Sticker | Virtus.Pro (Holo) | DreamHack 2014@305.00@298.9
Sticker | Virtus.Pro | Atlanta 2017@5.89@5.7722
Sticker | Virtus.Pro | Cologne 2015@6.00@5.88
Sticker | Vox Eminor  | Katowice 2015@150.00@147.0
Sticker | Vox Eminor | Cologne 2014@25.12@24.6176
Sticker | Windy Walking Club@2.00@1.96
Sticker | Winged Defuser@600.00@588.0
Sticker | Witchcraft@2.00@1.96
Sticker | WorldEdit | Cologne 2015@15.00@14.7
Sticker | Xizt (Foil) | MLG Columbus 2016@15.00@14.7
Sticker | Xyp9x | MLG Columbus 2016@5.00@4.9
Sticker | Zeus | Cologne 2015@10.00@9.8
Sticker | aizy | Cologne 2016@8.00@7.84
Sticker | apEX (Foil) | Atlanta 2017@96.00@94.08
Sticker | apEX | Cologne 2015@5.00@4.9
Sticker | chrisJ (Foil) | Atlanta 2017@30.00@29.4
Sticker | coldzera | Cluj-Napoca 2015@20.00@19.6
Sticker | coldzera | Cologne 2016@10.00@9.8
Sticker | dennis (Foil) | Atlanta 2017@60.00@58.8
Sticker | device | Cluj-Napoca 2015@10.00@9.8
Sticker | dupreeh | Atlanta 2017@11.00@10.78
Sticker | f0rest | Cologne 2015@4.00@3.92
Sticker | flamie (Foil) | Atlanta 2017@75.00@73.5
Sticker | fox | MLG Columbus 2016@10.00@9.8
Sticker | iBUYPOWER (Holo) | Cologne 2014@299.00@293.02
Sticker | jdm64 | MLG Columbus 2016@9.00@8.82
Sticker | karrigan (Foil) | Cluj-Napoca 2015@15.27@14.964599999999999
Sticker | karrigan | Atlanta 2017@15.00@14.7
Sticker | loWel | Atlanta 2017@3.90@3.822
Sticker | markeloff (Foil) | Atlanta 2017@100.00@98.0
Sticker | mou (Foil) | Atlanta 2017@20.00@19.6
Sticker | mousesports (Holo) | Atlanta 2017@71.24@69.81519999999999
Sticker | mousesports | Atlanta 2017@20.00@19.6
Sticker | mousesports | MLG Columbus 2016@8.00@7.84
Sticker | n0thing | Cluj-Napoca 2015@10.00@9.8
Sticker | nitr0 | Atlanta 2017@30.00@29.4
Sticker | olofmeister | Cologne 2015@2.90@2.842
Sticker | rain | Cluj-Napoca 2015@8.86@8.682799999999999
Sticker | rain | Cologne 2016@35.00@34.3
"Sticker | seang@res (Foil) | Cluj-Napoca 2015"@45.99@45.0702
Sticker | seized (Foil) | Atlanta 2017@50.00@49.0
Tactics Pin@4.99@4.8902
Tec-9 | Army Mesh (Field-Tested)@0.10@0.098
Tec-9 | Avalanche (Factory New)@25.00@24.5
Tec-9 | Avalanche (Field-Tested)@2.00@1.96
Tec-9 | Bamboo Forest (Field-Tested)@6.00@5.88
Tec-9 | Bamboo Forest (Minimal Wear)@9.00@8.82
Tec-9 | Fuel Injector (Field-Tested)@6.00@5.88
Tec-9 | Groundwater (Battle-Scarred)@0.10@0.098
Tec-9 | Groundwater (Field-Tested)@0.10@0.098
Tec-9 | Groundwater (Well-Worn)@0.01@0.0098
Tec-9 | Hades (Factory New)@34.99@34.2902
Tec-9 | Ice Cap (Field-Tested)@0.20@0.196
Tec-9 | Isaac (Field-Tested)@6.00@5.88
Tec-9 | Isaac (Well-Worn)@3.30@3.234
Tec-9 | Jambiya (Factory New)@3.75@3.675
Tec-9 | Jambiya (Minimal Wear)@1.50@1.47
Tec-9 | Jambiya (Well-Worn)@0.36@0.3528
Tec-9 | Re-Entry (Factory New)@10.00@9.8
Tec-9 | Red Quartz (Factory New)@12.00@11.76
Tec-9 | Red Quartz (Field-Tested)@0.50@0.49
Tec-9 | Sandstorm (Field-Tested)@0.53@0.5194
Tec-9 | Sandstorm (Minimal Wear)@2.50@2.45
Tec-9 | Terrace (Factory New)@160.00@156.8
Tec-9 | Terrace (Well-Worn)@147.95@144.99099999999999
Tec-9 | Tornado (Field-Tested)@9.94@9.7412
Tec-9 | Toxic (Field-Tested)@10.00@9.8
Tec-9 | Toxic (Minimal Wear)@10.79@10.5742
Tec-9 | VariCamo (Factory New)@10.00@9.8
Tec-9 | VariCamo (Field-Tested)@0.10@0.098
Tec-9 | VariCamo (Minimal Wear)@1.17@1.1465999999999998
Train Pin@3.59@3.5181999999999998
UMP-45 | Briefing (Factory New)@6.00@5.88
UMP-45 | Briefing (Field-Tested)@0.30@0.294
UMP-45 | Caramel (Field-Tested)@11.00@10.78
UMP-45 | Caramel (Minimal Wear)@19.92@19.521600000000003
UMP-45 | Carbon Fiber (Factory New)@0.60@0.588
UMP-45 | Carbon Fiber (Minimal Wear)@0.50@0.49
UMP-45 | Delusion (Factory New)@8.00@7.84
UMP-45 | Delusion (Minimal Wear)@0.47@0.46059999999999995
UMP-45 | Fallout Warning (Field-Tested)@11.00@10.78
UMP-45 | Grand Prix (Field-Tested)@0.80@0.784
UMP-45 | Gunsmoke (Minimal Wear)@0.30@0.294
UMP-45 | Indigo (Field-Tested)@3.41@3.3418
UMP-45 | Indigo (Minimal Wear)@4.01@3.9297999999999997
UMP-45 | Labyrinth (Factory New)@2.00@1.96
UMP-45 | Labyrinth (Minimal Wear)@0.30@0.294
UMP-45 | Minotaur's Labyrinth (Factory New)@139.99@137.1902
UMP-45 | Primal Saber (Factory New)@13.99@13.7102
UMP-45 | Primal Saber (Well-Worn)@2.57@2.5185999999999997
UMP-45 | Riot (Factory New)@18.00@17.64
UMP-45 | Riot (Field-Tested)@0.49@0.48019999999999996
UMP-45 | Riot (Minimal Wear)@0.60@0.588
UMP-45 | Urban DDPAT (Field-Tested)@0.98@0.9603999999999999
USP-S | Blood Tiger (Factory New)@7.25@7.1049999999999995
USP-S | Caiman (Factory New)@60.00@58.8
