name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
M4A1-S | Guardian (Minimal Wear)@22.99@20.231199999999998
M4A1-S | Guardian (Well-Worn)@23.0@20.24
M4A1-S | Hot Rod (Factory New)@1000.0@880.0
M4A1-S | Hot Rod (Minimal Wear)@@
M4A1-S | Hyper Beast (Battle-Scarred)@16.68@14.6784
M4A1-S | Hyper Beast (Factory New)@124.0@109.12
M4A1-S | Hyper Beast (Field-Tested)@18.99@16.711199999999998
M4A1-S | Hyper Beast (Minimal Wear)@46.48@40.9024
M4A1-S | Hyper Beast (Well-Worn)@18.82@16.561600000000002
M4A1-S | Icarus Fell (Factory New)@480.0@422.4
M4A1-S | Icarus Fell (Minimal Wear)@550.66@484.58079999999995
M4A1-S | Imminent Danger (Battle-Scarred)@752.86@662.5168
M4A1-S | Imminent Danger (Factory New)@@
M4A1-S | Imminent Danger (Field-Tested)@720.56@634.0928
M4A1-S | Imminent Danger (Minimal Wear)@992.35@873.268
M4A1-S | Imminent Danger (Well-Worn)@820.0@721.6
M4A1-S | Knight (Factory New)@2815.45@2477.596
M4A1-S | Knight (Minimal Wear)@@
M4A1-S | Leaded Glass (Battle-Scarred)@4.66@4.1008000000000004
M4A1-S | Leaded Glass (Factory New)@11.5@10.12
M4A1-S | Leaded Glass (Field-Tested)@4.97@4.3736
M4A1-S | Leaded Glass (Minimal Wear)@6.48@5.702400000000001
M4A1-S | Leaded Glass (Well-Worn)@6.2@5.456
M4A1-S | Master Piece (Battle-Scarred)@104.24@91.7312
M4A1-S | Master Piece (Factory New)@309.52@272.3776
M4A1-S | Master Piece (Field-Tested)@128.97@113.4936
M4A1-S | Master Piece (Minimal Wear)@180.82@159.1216
M4A1-S | Master Piece (Well-Worn)@102.68@90.3584
M4A1-S | Mecha Industries (Battle-Scarred)@21.94@19.3072
M4A1-S | Mecha Industries (Factory New)@92.63@81.5144
M4A1-S | Mecha Industries (Field-Tested)@24.91@21.9208
M4A1-S | Mecha Industries (Minimal Wear)@44.0@38.72
M4A1-S | Mecha Industries (Well-Worn)@30.0@26.4
M4A1-S | Moss Quartz (Battle-Scarred)@38.07@33.5016
M4A1-S | Moss Quartz (Factory New)@65.96@58.044799999999995
M4A1-S | Moss Quartz (Field-Tested)@35.0@30.8
M4A1-S | Moss Quartz (Minimal Wear)@40.58@35.7104
M4A1-S | Moss Quartz (Well-Worn)@40.0@35.2
M4A1-S | Mud-Spec (Battle-Scarred)@0.27@0.2376
M4A1-S | Mud-Spec (Factory New)@1.0@0.88
M4A1-S | Mud-Spec (Field-Tested)@0.15@0.132
M4A1-S | Mud-Spec (Minimal Wear)@0.27@0.2376
M4A1-S | Mud-Spec (Well-Worn)@0.32@0.2816
M4A1-S | Nightmare (Battle-Scarred)@7.7@6.776
M4A1-S | Nightmare (Factory New)@39.36@34.6368
M4A1-S | Nightmare (Field-Tested)@8.98@7.9024
M4A1-S | Nightmare (Minimal Wear)@18.17@15.989600000000001
M4A1-S | Nightmare (Well-Worn)@7.83@6.8904000000000005
M4A1-S | Night Terror (Battle-Scarred)@1.19@1.0472
M4A1-S | Night Terror (Factory New)@1.55@1.364
M4A1-S | Night Terror (Field-Tested)@0.36@0.31679999999999997
M4A1-S | Night Terror (Minimal Wear)@0.68@0.5984
M4A1-S | Night Terror (Well-Worn)@0.84@0.7392
M4A1-S | Nitro (Battle-Scarred)@0.25@0.22
M4A1-S | Nitro (Factory New)@4.09@3.5991999999999997
M4A1-S | Nitro (Field-Tested)@0.3@0.264
M4A1-S | Nitro (Minimal Wear)@1.08@0.9504
M4A1-S | Nitro (Well-Worn)@0.55@0.48400000000000004
M4A1-S | Player Two (Battle-Scarred)@15.75@13.86
M4A1-S | Player Two (Factory New)@105.48@92.8224
M4A1-S | Player Two (Field-Tested)@20.14@17.723200000000002
M4A1-S | Player Two (Minimal Wear)@42.0@36.96
M4A1-S | Player Two (Well-Worn)@21.57@18.9816
M4A1-S | Printstream (Battle-Scarred)@169.0@148.72
M4A1-S | Printstream (Factory New)@447.07@393.4216
M4A1-S | Printstream (Field-Tested)@218.54@192.3152
M4A1-S | Printstream (Minimal Wear)@296.15@260.61199999999997
M4A1-S | Printstream (Well-Worn)@196.0@172.48
M4A1-S | Rose Hex (Factory New)@@
M4A1-S | Rose Hex (Field-Tested)@@
M4A1-S | Rose Hex (Minimal Wear)@@
M4A1-S | Stratosphere (Battle-Scarred)@34.23@30.1224
M4A1-S | Stratosphere (Field-Tested)@78.0@68.64
M4A1-S | Stratosphere (Minimal Wear)@132.9@116.95200000000001
M4A1-S | Stratosphere (Well-Worn)@@
M4A1-S | Vaporwave (Battle-Scarred)@63.0@55.44
M4A1-S | Vaporwave (Factory New)@184.18@162.07840000000002
M4A1-S | Vaporwave (Field-Tested)@90.49@79.63119999999999
M4A1-S | Vaporwave (Minimal Wear)@120.0@105.6
M4A1-S | Vaporwave (Well-Worn)@79.84@70.2592
M4A1-S | VariCamo (Battle-Scarred)@0.42@0.3696
M4A1-S | VariCamo (Factory New)@1.34@1.1792
M4A1-S | VariCamo (Field-Tested)@0.46@0.4048
M4A1-S | VariCamo (Minimal Wear)@1.13@0.9944
M4A1-S | VariCamo (Well-Worn)@0.62@0.5456
M4A1-S | Wash me plz (Battle-Scarred)@0.07@0.06160000000000001
M4A1-S | Wash me plz (Factory New)@0.39@0.3432
M4A1-S | Wash me plz (Field-Tested)@0.11@0.0968
M4A1-S | Wash me plz (Minimal Wear)@0.13@0.1144
M4A1-S | Wash me plz (Well-Worn)@0.39@0.3432
M4A1-S | Welcome to the Jungle (Battle-Scarred)@630.51@554.8488
M4A1-S | Welcome to the Jungle (Factory New)@2300.0@2024.0
M4A1-S | Welcome to the Jungle (Field-Tested)@995.57@876.1016000000001
M4A1-S | Welcome to the Jungle (Minimal Wear)@1499.99@1319.9912
M4A1-S | Welcome to the Jungle (Well-Worn)@640.07@563.2616
M4A4 | Asiimov (Battle-Scarred)@83.94@73.8672
M4A4 | Asiimov (Field-Tested)@154.44@135.9072
M4A4 | Asiimov (Well-Worn)@119.42@105.0896
M4A4 | Bullet Rain (Battle-Scarred)@67.0@58.96
M4A4 | Bullet Rain (Factory New)@98.89@87.0232
M4A4 | Bullet Rain (Field-Tested)@18.0@15.84
M4A4 | Bullet Rain (Minimal Wear)@28.58@25.150399999999998
M4A4 | Bullet Rain (Well-Worn)@18.96@16.6848
M4A4 | Buzz Kill (Battle-Scarred)@10.99@9.6712
M4A4 | Buzz Kill (Factory New)@38.44@33.8272
M4A4 | Buzz Kill (Field-Tested)@10.45@9.196
M4A4 | Buzz Kill (Minimal Wear)@15.0@13.2
M4A4 | Buzz Kill (Well-Worn)@10.89@9.5832
M4A4 | Converter (Factory New)@1.03@0.9064
M4A4 | Converter (Field-Tested)@0.39@0.3432
M4A4 | Converter (Minimal Wear)@0.48@0.4224
M4A4 | Converter (Well-Worn)@0.62@0.5456
M4A4 | Cyber Security (Battle-Scarred)@19.9@17.512
M4A4 | Cyber Security (Factory New)@48.56@42.732800000000005
M4A4 | Cyber Security (Field-Tested)@22.22@19.5536
M4A4 | Cyber Security (Minimal Wear)@31.99@28.1512
M4A4 | Cyber Security (Well-Worn)@20.0@17.6
M4A4 | Dark Blossom (Battle-Scarred)@@
M4A4 | Dark Blossom (Factory New)@33.54@29.5152
M4A4 | Dark Blossom (Field-Tested)@33.93@29.8584
M4A4 | Dark Blossom (Minimal Wear)@28.48@25.0624
M4A4 | Dark Blossom (Well-Worn)@29.95@26.355999999999998
M4A4 | Daybreak (Battle-Scarred)@337.39@296.90319999999997
M4A4 | Daybreak (Factory New)@310.0@272.8
M4A4 | Daybreak (Field-Tested)@290.1@255.288
M4A4 | Daybreak (Minimal Wear)@303.89@267.4232
M4A4 | Daybreak (Well-Worn)@@
M4A4 | Desert Storm (Battle-Scarred)@@
M4A4 | Desert Storm (Factory New)@35.99@31.671200000000002
M4A4 | Desert Storm (Field-Tested)@17.8@15.664000000000001
M4A4 | Desert Storm (Minimal Wear)@22.59@19.8792
M4A4 | Desert Storm (Well-Worn)@20.26@17.8288
M4A4 | Desert-Strike (Battle-Scarred)@5.03@4.4264
M4A4 | Desert-Strike (Factory New)@13.09@11.5192
M4A4 | Desert-Strike (Field-Tested)@5.26@4.6288
M4A4 | Desert-Strike (Minimal Wear)@5.0@4.4
M4A4 | Desert-Strike (Well-Worn)@5.72@5.0336
M4A4 | Desolate Space (Battle-Scarred)@4.98@4.3824000000000005
M4A4 | Desolate Space (Factory New)@25.84@22.7392
M4A4 | Desolate Space (Field-Tested)@7.2@6.336
M4A4 | Desolate Space (Minimal Wear)@11.24@9.8912
M4A4 | Desolate Space (Well-Worn)@6.33@5.5704
M4A4 | Etch Lord (Battle-Scarred)@0.6@0.528
M4A4 | Etch Lord (Factory New)@2.65@2.332
M4A4 | Etch Lord (Field-Tested)@0.75@0.66
M4A4 | Etch Lord (Minimal Wear)@1.29@1.1352
M4A4 | Etch Lord (Well-Worn)@0.69@0.6072
M4A4 | Evil Daimyo (Battle-Scarred)@2.03@1.7863999999999998
M4A4 | Evil Daimyo (Factory New)@4.86@4.276800000000001
M4A4 | Evil Daimyo (Field-Tested)@2.12@1.8656000000000001
M4A4 | Evil Daimyo (Minimal Wear)@3.06@2.6928
M4A4 | Evil Daimyo (Well-Worn)@2.09@1.8392
M4A4 | Eye of Horus (Battle-Scarred)@130.0@114.4
M4A4 | Eye of Horus (Factory New)@550.95@484.83600000000007
M4A4 | Eye of Horus (Field-Tested)@194.58@171.2304
M4A4 | Eye of Horus (Minimal Wear)@339.03@298.34639999999996
M4A4 | Eye of Horus (Well-Worn)@183.07@161.1016
M4A4 | Faded Zebra (Battle-Scarred)@5.49@4.8312
M4A4 | Faded Zebra (Factory New)@29.99@26.391199999999998
M4A4 | Faded Zebra (Field-Tested)@3.34@2.9392
M4A4 | Faded Zebra (Minimal Wear)@7.79@6.8552
M4A4 | Faded Zebra (Well-Worn)@4.19@3.6872000000000003
M4A4 | Global Offensive (Battle-Scarred)@32.64@28.723200000000002
M4A4 | Global Offensive (Factory New)@23.0@20.24
M4A4 | Global Offensive (Field-Tested)@21.95@19.316
M4A4 | Global Offensive (Minimal Wear)@21.12@18.5856
M4A4 | Global Offensive (Well-Worn)@35.6@31.328000000000003
M4A4 | Griffin (Battle-Scarred)@2.5@2.2
M4A4 | Griffin (Factory New)@6.04@5.3152
M4A4 | Griffin (Field-Tested)@1.89@1.6632
M4A4 | Griffin (Minimal Wear)@2.83@2.4904
M4A4 | Griffin (Well-Worn)@3.88@3.4144
M4A4 | Hellfire (Battle-Scarred)@45.67@40.1896
M4A4 | Hellfire (Factory New)@73.76@64.9088
M4A4 | Hellfire (Field-Tested)@48.0@42.24
M4A4 | Hellfire (Minimal Wear)@46.0@40.48
M4A4 | Hellfire (Well-Worn)@49.7@43.736000000000004
M4A4 | Howl (Factory New)@6200.0@5456.0
M4A4 | Howl (Field-Tested)@3992.23@3513.1624
M4A4 | Howl (Minimal Wear)@5060.0@4452.8
M4A4 | Howl (Well-Worn)@@
M4A4 | In Living Color (Battle-Scarred)@4.97@4.3736
M4A4 | In Living Color (Factory New)@32.61@28.6968
M4A4 | In Living Color (Field-Tested)@5.93@5.2184
M4A4 | In Living Color (Minimal Wear)@12.17@10.7096
M4A4 | In Living Color (Well-Worn)@8.0@7.04
M4A4 | Jungle Tiger (Battle-Scarred)@8.09@7.1192
M4A4 | Jungle Tiger (Factory New)@@
M4A4 | Jungle Tiger (Field-Tested)@7.25@6.38
M4A4 | Jungle Tiger (Minimal Wear)@11.18@9.8384
M4A4 | Jungle Tiger (Well-Worn)@@
M4A4 | Magnesium (Battle-Scarred)@0.14@0.12320000000000002
M4A4 | Magnesium (Factory New)@2.73@2.4024
M4A4 | Magnesium (Field-Tested)@0.31@0.2728
M4A4 | Magnesium (Minimal Wear)@0.6@0.528
M4A4 | Magnesium (Well-Worn)@0.15@0.132
M4A4 | Mainframe (Battle-Scarred)@0.04@0.0352
M4A4 | Mainframe (Factory New)@0.12@0.1056
M4A4 | Mainframe (Field-Tested)@0.04@0.0352
M4A4 | Mainframe (Minimal Wear)@0.06@0.0528
M4A4 | Mainframe (Well-Worn)@0.04@0.0352
M4A4 | Modern Hunter (Battle-Scarred)@@
M4A4 | Modern Hunter (Factory New)@@
M4A4 | Modern Hunter (Field-Tested)@@
M4A4 | Modern Hunter (Minimal Wear)@84.49@74.35119999999999
M4A4 | Modern Hunter (Well-Worn)@@
M4A4 | Naval Shred Camo (Battle-Scarred)@5.0@4.4
M4A4 | Naval Shred Camo (Factory New)@@
M4A4 | Naval Shred Camo (Field-Tested)@@
M4A4 | Naval Shred Camo (Minimal Wear)@10.0@8.8
M4A4 | Naval Shred Camo (Well-Worn)@@
M4A4 | Neo-Noir (Battle-Scarred)@7.25@6.38
M4A4 | Neo-Noir (Factory New)@49.89@43.9032
M4A4 | Neo-Noir (Field-Tested)@7.59@6.6792
M4A4 | Neo-Noir (Minimal Wear)@15.0@13.2
M4A4 | Neo-Noir (Well-Worn)@7.38@6.4944
M4A4 | Poly Mag (Battle-Scarred)@0.04@0.0352
M4A4 | Poly Mag (Factory New)@0.3@0.264
M4A4 | Poly Mag (Field-Tested)@0.04@0.0352
M4A4 | Poly Mag (Minimal Wear)@0.09@0.07919999999999999
M4A4 | Poly Mag (Well-Worn)@0.04@0.0352
M4A4 | Polysoup (Battle-Scarred)@5.39@4.7432
M4A4 | Polysoup (Factory New)@18.42@16.209600000000002
M4A4 | Polysoup (Field-Tested)@5.39@4.7432
M4A4 | Polysoup (Minimal Wear)@8.49@7.4712000000000005
M4A4 | Polysoup (Well-Worn)@4.26@3.7487999999999997
M4A4 | Poseidon (Factory New)@1140.61@1003.7367999999999
M4A4 | Poseidon (Field-Tested)@750.0@660.0
M4A4 | Poseidon (Minimal Wear)@774.61@681.6568
M4A4 | Radiation Hazard (Battle-Scarred)@@
M4A4 | Radiation Hazard (Factory New)@528.33@464.9304
M4A4 | Radiation Hazard (Field-Tested)@39.76@34.9888
M4A4 | Radiation Hazard (Minimal Wear)@98.66@86.82079999999999
M4A4 | Radiation Hazard (Well-Worn)@@
M4A4 | Red DDPAT (Battle-Scarred)@138.14@121.5632
M4A4 | Red DDPAT (Factory New)@81.22@71.4736
M4A4 | Red DDPAT (Field-Tested)@72.11@63.4568
M4A4 | Red DDPAT (Minimal Wear)@76.03@66.9064
M4A4 | Red DDPAT (Well-Worn)@399.13@351.2344
M4A4 | Royal Paladin (Battle-Scarred)@10.36@9.1168
M4A4 | Royal Paladin (Factory New)@78.05@68.684
M4A4 | Royal Paladin (Field-Tested)@6.33@5.5704
M4A4 | Royal Paladin (Minimal Wear)@18.83@16.5704
M4A4 | Royal Paladin (Well-Worn)@12.93@11.3784
M4A4 | Sheet Lightning (Battle-Scarred)@@
M4A4 | Sheet Lightning (Factory New)@52.5@46.2
M4A4 | Sheet Lightning (Field-Tested)@@
M4A4 | Sheet Lightning (Minimal Wear)@@
M4A4 | Spider Lily (Battle-Scarred)@5.29@4.6552
M4A4 | Spider Lily (Factory New)@22.76@20.0288
M4A4 | Spider Lily (Field-Tested)@4.58@4.0304
M4A4 | Spider Lily (Minimal Wear)@8.98@7.9024
M4A4 | Spider Lily (Well-Worn)@3.87@3.4056
M4A4 | Steel Work (Battle-Scarred)@@
M4A4 | Steel Work (Factory New)@5.0@4.4
M4A4 | Steel Work (Field-Tested)@@
M4A4 | Steel Work (Minimal Wear)@@
M4A4 | Steel Work (Well-Worn)@@
M4A4 | Temukau (Battle-Scarred)@6.57@5.7816
M4A4 | Temukau (Factory New)@114.99@101.1912
M4A4 | Temukau (Field-Tested)@11.9@10.472
M4A4 | Temukau (Minimal Wear)@42.65@37.532
M4A4 | Temukau (Well-Worn)@12.12@10.6656
M4A4 | The Battlestar (Battle-Scarred)@5.99@5.2712
M4A4 | The Battlestar (Factory New)@13.8@12.144
M4A4 | The Battlestar (Field-Tested)@5.03@4.4264
M4A4 | The Battlestar (Minimal Wear)@7.07@6.2216000000000005
M4A4 | The Battlestar (Well-Worn)@@
M4A4 | The Coalition (Battle-Scarred)@14.0@12.32
M4A4 | The Coalition (Factory New)@320.0@281.6
M4A4 | The Coalition (Field-Tested)@27.25@23.98
M4A4 | The Coalition (Minimal Wear)@67.55@59.443999999999996
M4A4 | The Coalition (Well-Worn)@14.01@12.3288
M4A4 | The Emperor (Battle-Scarred)@13.23@11.6424
M4A4 | The Emperor (Factory New)@133.54@117.5152
M4A4 | The Emperor (Field-Tested)@13.6@11.968
M4A4 | The Emperor (Minimal Wear)@44.99@39.5912
M4A4 | The Emperor (Well-Worn)@13.38@11.7744
M4A4 | Tooth Fairy (Battle-Scarred)@2.59@2.2792
M4A4 | Tooth Fairy (Factory New)@7.97@7.013599999999999
M4A4 | Tooth Fairy (Field-Tested)@2.56@2.2528
M4A4 | Tooth Fairy (Minimal Wear)@4.5@3.96
M4A4 | Tooth Fairy (Well-Worn)@2.62@2.3056
M4A4 | Tornado (Battle-Scarred)@8.99@7.9112
M4A4 | Tornado (Factory New)@169.09@148.7992
M4A4 | Tornado (Field-Tested)@6.59@5.7992
M4A4 | Tornado (Minimal Wear)@23.15@20.372
M4A4 | Tornado (Well-Worn)@@
M4A4 | Turbine (Battle-Scarred)@0.53@0.46640000000000004
M4A4 | Turbine (Factory New)@5.18@4.5584
M4A4 | Turbine (Field-Tested)@0.66@0.5808
M4A4 | Turbine (Minimal Wear)@1.9@1.672
M4A4 | Turbine (Well-Worn)@1.03@0.9064
M4A4 | Urban DDPAT (Battle-Scarred)@0.11@0.0968
M4A4 | Urban DDPAT (Factory New)@7.12@6.2656
M4A4 | Urban DDPAT (Field-Tested)@0.14@0.12320000000000002
M4A4 | Urban DDPAT (Minimal Wear)@0.44@0.3872
M4A4 | Urban DDPAT (Well-Worn)@0.3@0.264
M4A4 | X-Ray (Factory New)@26.99@23.751199999999997
M4A4 | X-Ray (Field-Tested)@19.21@16.9048
M4A4 | X-Ray (Minimal Wear)@16.81@14.7928
M4A4 | Zirka (Factory New)@40.62@35.745599999999996
M4A4 | Zirka (Field-Tested)@23.26@20.4688
M4A4 | Zirka (Minimal Wear)@24.1@21.208000000000002
M4A4 | Zirka (Well-Worn)@@
M4A4 | 龍王 (Dragon King) (Battle-Scarred)@10.76@9.4688
M4A4 | 龍王 (Dragon King) (Factory New)@28.69@25.247200000000003
M4A4 | 龍王 (Dragon King) (Field-Tested)@9.07@7.9816
M4A4 | 龍王 (Dragon King) (Minimal Wear)@14.71@12.9448
M4A4 | 龍王 (Dragon King) (Well-Worn)@10.99@9.6712
★ M9 Bayonet@1379.0@1213.52
★ M9 Bayonet | Autotronic (Battle-Scarred)@1081.82@952.0015999999999
★ M9 Bayonet | Autotronic (Factory New)@@
★ M9 Bayonet | Autotronic (Field-Tested)@1199.75@1055.78
★ M9 Bayonet | Autotronic (Minimal Wear)@1250.0@1100.0
★ M9 Bayonet | Autotronic (Well-Worn)@@
★ M9 Bayonet | Black Laminate (Battle-Scarred)@785.0@690.8
★ M9 Bayonet | Black Laminate (Factory New)@1072.54@943.8352
★ M9 Bayonet | Black Laminate (Field-Tested)@853.28@750.8864
★ M9 Bayonet | Black Laminate (Minimal Wear)@953.57@839.1416
★ M9 Bayonet | Black Laminate (Well-Worn)@890.0@783.2
★ M9 Bayonet | Blue Steel (Battle-Scarred)@@
★ M9 Bayonet | Blue Steel (Factory New)@@
★ M9 Bayonet | Blue Steel (Field-Tested)@942.8@829.664
★ M9 Bayonet | Blue Steel (Minimal Wear)@958.05@843.084
★ M9 Bayonet | Blue Steel (Well-Worn)@807.0@710.16
★ M9 Bayonet | Boreal Forest (Battle-Scarred)@@
★ M9 Bayonet | Boreal Forest (Factory New)@@
★ M9 Bayonet | Boreal Forest (Field-Tested)@550.0@484.0
★ M9 Bayonet | Boreal Forest (Minimal Wear)@501.19@441.0472
★ M9 Bayonet | Boreal Forest (Well-Worn)@@
★ M9 Bayonet | Bright Water (Battle-Scarred)@@
★ M9 Bayonet | Bright Water (Factory New)@920.96@810.4448
★ M9 Bayonet | Bright Water (Field-Tested)@735.23@647.0024
★ M9 Bayonet | Bright Water (Minimal Wear)@755.38@664.7344
★ M9 Bayonet | Bright Water (Well-Worn)@@
★ M9 Bayonet | Case Hardened (Battle-Scarred)@815.0@717.2
★ M9 Bayonet | Case Hardened (Factory New)@1108.29@975.2952
★ M9 Bayonet | Case Hardened (Field-Tested)@894.05@786.764
★ M9 Bayonet | Case Hardened (Minimal Wear)@1000.0@880.0
★ M9 Bayonet | Case Hardened (Well-Worn)@1050.0@924.0
★ M9 Bayonet | Crimson Web (Battle-Scarred)@766.21@674.2648
★ M9 Bayonet | Crimson Web (Factory New)@5800.0@5104.0
★ M9 Bayonet | Crimson Web (Field-Tested)@795.64@700.1632
★ M9 Bayonet | Crimson Web (Minimal Wear)@1205.59@1060.9192
★ M9 Bayonet | Crimson Web (Well-Worn)@725.87@638.7656000000001
★ M9 Bayonet | Damascus Steel (Battle-Scarred)@@
★ M9 Bayonet | Damascus Steel (Factory New)@915.4@805.552
★ M9 Bayonet | Damascus Steel (Field-Tested)@782.82@688.8816
★ M9 Bayonet | Damascus Steel (Minimal Wear)@799.99@703.9912
★ M9 Bayonet | Damascus Steel (Well-Worn)@@
★ M9 Bayonet | Doppler (Factory New)@1450.0@1276.0
★ M9 Bayonet | Doppler (Minimal Wear)@@
★ M9 Bayonet | Fade (Factory New)@1787.56@1573.0528
★ M9 Bayonet | Fade (Minimal Wear)@@
★ M9 Bayonet | Forest DDPAT (Battle-Scarred)@567.52@499.4176
★ M9 Bayonet | Forest DDPAT (Factory New)@@
★ M9 Bayonet | Forest DDPAT (Field-Tested)@604.2@531.696
★ M9 Bayonet | Forest DDPAT (Minimal Wear)@@
★ M9 Bayonet | Forest DDPAT (Well-Worn)@@
★ M9 Bayonet | Freehand (Battle-Scarred)@@
★ M9 Bayonet | Freehand (Factory New)@780.3@686.664
★ M9 Bayonet | Freehand (Field-Tested)@695.71@612.2248000000001
★ M9 Bayonet | Freehand (Minimal Wear)@738.64@650.0032
★ M9 Bayonet | Freehand (Well-Worn)@@
★ M9 Bayonet | Gamma Doppler (Factory New)@2100.0@1848.0
★ M9 Bayonet | Gamma Doppler (Minimal Wear)@1934.02@1701.9376
★ M9 Bayonet | Lore (Battle-Scarred)@855.67@752.9896
★ M9 Bayonet | Lore (Factory New)@2496.33@2196.7704
★ M9 Bayonet | Lore (Field-Tested)@1000.0@880.0
★ M9 Bayonet | Lore (Minimal Wear)@1849.99@1627.9912
★ M9 Bayonet | Lore (Well-Worn)@782.82@688.8816
★ M9 Bayonet | Marble Fade (Factory New)@1300.0@1144.0
★ M9 Bayonet | Marble Fade (Minimal Wear)@@
★ M9 Bayonet | Night (Battle-Scarred)@700.0@616.0
★ M9 Bayonet | Night (Factory New)@@
★ M9 Bayonet | Night (Field-Tested)@607.32@534.4416
★ M9 Bayonet | Night (Minimal Wear)@681.51@599.7288
★ M9 Bayonet | Night (Well-Worn)@@
★ M9 Bayonet | Rust Coat (Battle-Scarred)@635.53@559.2664
★ M9 Bayonet | Rust Coat (Well-Worn)@@
★ M9 Bayonet | Safari Mesh (Battle-Scarred)@@
★ M9 Bayonet | Safari Mesh (Factory New)@1000.0@880.0
★ M9 Bayonet | Safari Mesh (Field-Tested)@530.85@467.148
★ M9 Bayonet | Safari Mesh (Minimal Wear)@@
★ M9 Bayonet | Safari Mesh (Well-Worn)@813.89@716.2232
★ M9 Bayonet | Scorched (Battle-Scarred)@@
★ M9 Bayonet | Scorched (Factory New)@@
★ M9 Bayonet | Scorched (Field-Tested)@576.66@507.46079999999995
★ M9 Bayonet | Scorched (Minimal Wear)@@
★ M9 Bayonet | Scorched (Well-Worn)@@
★ M9 Bayonet | Slaughter (Factory New)@1381.43@1215.6584
★ M9 Bayonet | Slaughter (Field-Tested)@1010.4@889.1519999999999
★ M9 Bayonet | Slaughter (Minimal Wear)@1120.93@986.4184
★ M9 Bayonet | Stained (Battle-Scarred)@681.77@599.9576
★ M9 Bayonet | Stained (Factory New)@@
★ M9 Bayonet | Stained (Field-Tested)@@
★ M9 Bayonet | Stained (Minimal Wear)@686.51@604.1288
★ M9 Bayonet | Stained (Well-Worn)@740.0@651.2
★ M9 Bayonet | Tiger Tooth (Factory New)@1050.0@924.0
★ M9 Bayonet | Tiger Tooth (Minimal Wear)@@
★ M9 Bayonet | Ultraviolet (Battle-Scarred)@645.0@567.6
★ M9 Bayonet | Ultraviolet (Factory New)@@
★ M9 Bayonet | Ultraviolet (Field-Tested)@719.99@633.5912
★ M9 Bayonet | Ultraviolet (Minimal Wear)@910.0@800.8
★ M9 Bayonet | Ultraviolet (Well-Worn)@@
★ M9 Bayonet | Urban Masked (Battle-Scarred)@@
★ M9 Bayonet | Urban Masked (Factory New)@@
★ M9 Bayonet | Urban Masked (Field-Tested)@538.76@474.1088
★ M9 Bayonet | Urban Masked (Minimal Wear)@607.77@534.8376
★ M9 Bayonet | Urban Masked (Well-Worn)@@
MAC-10 | Acid Hex (Battle-Scarred)@@
MAC-10 | Acid Hex (Factory New)@@
MAC-10 | Acid Hex (Field-Tested)@0.34@0.2992
MAC-10 | Acid Hex (Minimal Wear)@15.0@13.2
MAC-10 | Acid Hex (Well-Worn)@@
MAC-10 | Allure (Battle-Scarred)@0.25@0.22
MAC-10 | Allure (Factory New)@1.86@1.6368
MAC-10 | Allure (Field-Tested)@0.3@0.264
MAC-10 | Allure (Minimal Wear)@0.66@0.5808
MAC-10 | Allure (Well-Worn)@0.24@0.2112
MAC-10 | Aloha (Battle-Scarred)@2.38@2.0944
MAC-10 | Aloha (Factory New)@4.2@3.696
MAC-10 | Aloha (Field-Tested)@2.62@2.3056
MAC-10 | Aloha (Minimal Wear)@3.35@2.948
MAC-10 | Aloha (Well-Worn)@@
MAC-10 | Amber Fade (Factory New)@18.8@16.544
MAC-10 | Amber Fade (Field-Tested)@16.77@14.7576
MAC-10 | Amber Fade (Minimal Wear)@14.98@13.182400000000001
MAC-10 | Amber Fade (Well-Worn)@@
MAC-10 | Bronzer (Battle-Scarred)@@
MAC-10 | Bronzer (Factory New)@@
MAC-10 | Bronzer (Field-Tested)@@
MAC-10 | Bronzer (Minimal Wear)@@
MAC-10 | Bronzer (Well-Worn)@@
MAC-10 | Button Masher (Battle-Scarred)@0.25@0.22
MAC-10 | Button Masher (Factory New)@1.58@1.3904
MAC-10 | Button Masher (Field-Tested)@0.28@0.24640000000000004
MAC-10 | Button Masher (Minimal Wear)@0.68@0.5984
MAC-10 | Button Masher (Well-Worn)@0.24@0.2112
MAC-10 | Calf Skin (Battle-Scarred)@0.04@0.0352
MAC-10 | Calf Skin (Factory New)@0.23@0.2024
MAC-10 | Calf Skin (Field-Tested)@0.04@0.0352
MAC-10 | Calf Skin (Minimal Wear)@0.07@0.06160000000000001
MAC-10 | Calf Skin (Well-Worn)@0.04@0.0352
MAC-10 | Candy Apple (Factory New)@0.49@0.43119999999999997
MAC-10 | Candy Apple (Field-Tested)@0.14@0.12320000000000002
MAC-10 | Candy Apple (Minimal Wear)@0.18@0.15839999999999999
MAC-10 | Carnivore (Battle-Scarred)@0.14@0.12320000000000002
MAC-10 | Carnivore (Factory New)@0.82@0.7215999999999999
MAC-10 | Carnivore (Field-Tested)@0.18@0.15839999999999999
MAC-10 | Carnivore (Minimal Wear)@0.17@0.1496
MAC-10 | Carnivore (Well-Worn)@0.13@0.1144
MAC-10 | Case Hardened (Battle-Scarred)@100.0@88.0
MAC-10 | Case Hardened (Factory New)@89.37@78.6456
MAC-10 | Case Hardened (Field-Tested)@77.45@68.156
