name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AK-47 | Ice Coaled (Battle-Scarred)@3.9@3.432
AK-47 | Ice Coaled (Factory New)@12.0@10.56
AK-47 | Ice Coaled (Field-Tested)@4.39@3.8631999999999995
AK-47 | Ice Coaled (Minimal Wear)@7.22@6.3536
AK-47 | Ice Coaled (Well-Worn)@4.93@4.3384
AK-47 | Inheritance (Battle-Scarred)@69.59@61.239200000000004
AK-47 | Inheritance (Factory New)@190.0@167.2
AK-47 | Inheritance (Field-Tested)@91.53@80.5464
AK-47 | Inheritance (Minimal Wear)@127.92@112.56960000000001
AK-47 | Inheritance (Well-Worn)@87.49@76.99119999999999
AK-47 | Jaguar (Battle-Scarred)@64.46@56.724799999999995
AK-47 | Jaguar (Factory New)@214.6@188.84799999999998
AK-47 | Jaguar (Field-Tested)@84.09@73.9992
AK-47 | Jaguar (Minimal Wear)@117.93@103.7784
AK-47 | Jaguar (Well-Worn)@59.83@52.6504
AK-47 | Jet Set (Battle-Scarred)@251.27@221.1176
AK-47 | Jet Set (Factory New)@839.08@738.3904
AK-47 | Jet Set (Field-Tested)@330.0@290.4
AK-47 | Jet Set (Minimal Wear)@408.05@359.084
AK-47 | Jet Set (Well-Worn)@256.7@225.896
AK-47 | Jungle Spray (Battle-Scarred)@5.78@5.0864
AK-47 | Jungle Spray (Factory New)@114.42@100.6896
AK-47 | Jungle Spray (Field-Tested)@5.53@4.8664000000000005
AK-47 | Jungle Spray (Minimal Wear)@12.0@10.56
AK-47 | Jungle Spray (Well-Worn)@5.62@4.9456
AK-47 | Leet Museo (Battle-Scarred)@24.4@21.471999999999998
AK-47 | Leet Museo (Factory New)@170.38@149.9344
AK-47 | Leet Museo (Field-Tested)@30.0@26.4
AK-47 | Leet Museo (Minimal Wear)@44.35@39.028
AK-47 | Leet Museo (Well-Worn)@27.99@24.6312
AK-47 | Legion of Anubis (Battle-Scarred)@4.77@4.1975999999999996
AK-47 | Legion of Anubis (Factory New)@13.84@12.1792
AK-47 | Legion of Anubis (Field-Tested)@6.0@5.28
AK-47 | Legion of Anubis (Minimal Wear)@8.98@7.9024
AK-47 | Legion of Anubis (Well-Worn)@7.34@6.4592
AK-47 | Midnight Laminate (Battle-Scarred)@18.99@16.711199999999998
AK-47 | Midnight Laminate (Factory New)@214.51@188.7688
AK-47 | Midnight Laminate (Field-Tested)@45.09@39.6792
AK-47 | Midnight Laminate (Minimal Wear)@@
AK-47 | Midnight Laminate (Well-Worn)@@
AK-47 | Neon Revolution (Battle-Scarred)@18.42@16.209600000000002
AK-47 | Neon Revolution (Factory New)@81.59@71.7992
AK-47 | Neon Revolution (Field-Tested)@18.99@16.711199999999998
AK-47 | Neon Revolution (Minimal Wear)@31.54@27.7552
AK-47 | Neon Revolution (Well-Worn)@23.13@20.3544
AK-47 | Neon Rider (Battle-Scarred)@34.41@30.280799999999996
AK-47 | Neon Rider (Factory New)@132.72@116.7936
AK-47 | Neon Rider (Field-Tested)@38.99@34.3112
AK-47 | Neon Rider (Minimal Wear)@74.27@65.35759999999999
AK-47 | Neon Rider (Well-Worn)@41.76@36.748799999999996
AK-47 | Nightwish (Battle-Scarred)@5.0@4.4
AK-47 | Nightwish (Factory New)@44.41@39.080799999999996
AK-47 | Nightwish (Field-Tested)@8.29@7.2951999999999995
AK-47 | Nightwish (Minimal Wear)@14.78@13.0064
AK-47 | Nightwish (Well-Worn)@6.7@5.896
AK-47 | Nouveau Rouge (Battle-Scarred)@@
AK-47 | Nouveau Rouge (Factory New)@@
AK-47 | Nouveau Rouge (Field-Tested)@199.99@175.99120000000002
AK-47 | Nouveau Rouge (Minimal Wear)@449.0@395.12
AK-47 | Nouveau Rouge (Well-Worn)@@
AK-47 | Olive Polycam (Battle-Scarred)@0.17@0.1496
AK-47 | Olive Polycam (Factory New)@0.6@0.528
AK-47 | Olive Polycam (Field-Tested)@0.2@0.17600000000000002
AK-47 | Olive Polycam (Minimal Wear)@0.28@0.24640000000000004
AK-47 | Olive Polycam (Well-Worn)@0.23@0.2024
AK-47 | Orbit Mk01 (Battle-Scarred)@23.19@20.4072
AK-47 | Orbit Mk01 (Factory New)@31.7@27.896
AK-47 | Orbit Mk01 (Field-Tested)@20.17@17.7496
AK-47 | Orbit Mk01 (Minimal Wear)@22.01@19.3688
AK-47 | Orbit Mk01 (Well-Worn)@24.99@21.9912
AK-47 | Panthera onca (Battle-Scarred)@198.6@174.768
AK-47 | Panthera onca (Factory New)@270.0@237.6
AK-47 | Panthera onca (Field-Tested)@194.27@170.9576
AK-47 | Panthera onca (Minimal Wear)@226.0@198.88
AK-47 | Panthera onca (Well-Worn)@269.0@236.72
