name@price@price_after_sell
Souvenir Glock-18 | Night (Battle-Scarred)@0.43@0.4085
StatTrak™ USP-S | Stainless (Minimal Wear)@37.29@35.4255
Souvenir XM1014 | VariCamo Blue (Field-Tested)@0.41@0.38949999999999996
StatTrak™ AUG | Chameleon (Field-Tested)@13.23@12.5685
AUG | Copperhead (Minimal Wear)@153.41@145.7395
M4A4 | Radiation Hazard (Minimal Wear)@113.59@107.9105
StatTrak™ Galil AR | Orange DDPAT (Field-Tested)@26.98@25.631
AK-47 | Predator (Factory New)@65.12@61.864000000000004
M4A4 | Tornado (Factory New)@221.98@210.88099999999997
StatTrak™ SSG 08 | Abyss (Factory New)@12.16@11.552
M4A4 | Bullet Rain (Minimal Wear)@28.31@26.894499999999997
StatTrak™ MP9 | Rose Iron (Factory New)@20.98@19.931
AK-47 | Emerald Pinstripe (Factory New)@11.17@10.6115
StatTrak™ Five-SeveN | Copper Galaxy (Field-Tested)@16.46@15.637
Souvenir MAG-7 | Silver (Minimal Wear)@25.85@24.5575
P250 | Cartel (Factory New)@22.5@21.375
AK-47 | Redline (Field-Tested)@37.09@35.2355
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)@5.58@5.301
P250 | Whiteout (Minimal Wear)@47.9@45.504999999999995
Glock-18 | Water Elemental (Minimal Wear)@7.58@7.201
G3SG1 | Demeter (Factory New)@21.67@20.5865
Souvenir XM1014 | VariCamo Blue (Minimal Wear)@0.87@0.8265
Glock-18 | Dragon Tattoo (Minimal Wear)@110.7@105.16499999999999
MP7 | Gunsmoke (Factory New)@40.8@38.76
FAMAS | Djinn (Minimal Wear)@5.37@5.1015
M4A1-S | Dark Water (Minimal Wear)@92.49@87.8655
StatTrak™ P2000 | Handgun (Field-Tested)@1.54@1.4629999999999999
Souvenir G3SG1 | Polar Camo (Minimal Wear)@1.63@1.5484999999999998
Souvenir CZ75-Auto | Nitro (Field-Tested)@0.41@0.38949999999999996
Souvenir Glock-18 | Groundwater (Minimal Wear)@27.75@26.362499999999997
StatTrak™ Glock-18 | Bunsen Burner (Factory New)@7.5@7.125
Sticker | Flashbang@0.87@0.8265
Souvenir P250 | Metallic DDPAT (Factory New)@5.02@4.768999999999999
Sticker | Witch@0.71@0.6745
Tec-9 | Toxic (Minimal Wear)@9.06@8.607
StatTrak™ Galil AR | Orange DDPAT (Well-Worn)@52.36@49.742
Souvenir AUG | Radiation Hazard (Factory New)@4.99@4.7405
StatTrak™ Sawed-Off | Orange DDPAT (Battle-Scarred)@29.13@27.673499999999997
Sticker | Bossy Burger@1.12@1.064
Souvenir MAC-10 | Nuclear Garden (Well-Worn)@21.01@19.959500000000002
AK-47 | Cartel (Factory New)@35.09@33.3355
StatTrak™ Dual Berettas | Hemoglobin (Factory New)@30.04@28.537999999999997
AK-47 | Red Laminate (Battle-Scarred)@63.7@60.515
StatTrak™ FAMAS | Neural Net (Factory New)@7.94@7.543
Sticker | Pandamonium@0.83@0.7885
StatTrak™ AK-47 | Elite Build (Field-Tested)@5.15@4.8925
USP-S | Serum (Factory New)@61.45@58.3775
Sticker | Robo@0.85@0.8075
Souvenir MP9 | Dark Age (Factory New)@21.46@20.387
AK-47 | Red Laminate (Field-Tested)@59.85@56.8575
StatTrak™ Nova | Rising Skull (Factory New)@19.59@18.6105
XM1014 | VariCamo Blue (Factory New)@15.9@15.105
StatTrak™ AUG | Torque (Factory New)@20.15@19.1425
Desert Eagle | Midnight Storm (Factory New)@31.0@29.45
Sticker | DreamHack Winter 2014 (Foil)@123.48@117.306
StatTrak™ MP9 | Hypnotic (Factory New)@70.0@66.5
Glock-18 | Dragon Tattoo (Factory New)@101.74@96.65299999999999
Desert Eagle | Pilot (Field-Tested)@84.53@80.3035
FAMAS | Styx (Minimal Wear)@7.46@7.087
Tec-9 | Nuclear Threat (Battle-Scarred)@82.85@78.7075
SCAR-20 | Cyrex (Factory New)@63.57@60.3915
StatTrak™ M4A4 | Griffin (Minimal Wear)@8.25@7.8374999999999995
M4A1-S | Nitro (Minimal Wear)@1.06@1.007
Souvenir XM1014 | Bone Machine (Well-Worn)@6.36@6.042
Sticker | War Penguin@1.16@1.1019999999999999
MP7 | Orange Peel (Factory New)@23.28@22.116
Souvenir Tec-9 | Brass (Battle-Scarred)@15.16@14.402
USP-S | Dark Water (Minimal Wear)@90.57@86.04149999999998
P90 | Cold Blooded (Factory New)@53.14@50.483
Souvenir AK-47 | Safari Mesh (Battle-Scarred)@13.78@13.091
FAMAS | Afterimage (Factory New)@49.93@47.433499999999995
AWP | Corticera (Field-Tested)@18.14@17.233
StatTrak™ PP-Bizon | Antique (Factory New)@20.86@19.817
Desert Eagle | Pilot (Well-Worn)@78.92@74.974
Operation Breakout All Access Pass@75.0@71.25
Music Kit | Daniel Sadowski, Total Domination@3.15@2.9924999999999997
SG 553 | Cyrex (Field-Tested)@5.23@4.968500000000001
Sticker | Flipsid3 Tactics (Holo) | Katowice 2015@421.22@400.159
Sticker | Terrorized@0.79@0.7505
CZ75-Auto | Yellow Jacket (Well-Worn)@4.12@3.9139999999999997
M4A1-S | Dark Water (Field-Tested)@85.2@80.94
StatTrak™ USP-S | Guardian (Factory New)@17.43@16.5585
Souvenir MP9 | Dark Age (Minimal Wear)@12.21@11.5995
PP-Bizon | Rust Coat (Battle-Scarred)@17.57@16.691499999999998
Souvenir AUG | Condemned (Field-Tested)@35.41@33.6395
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)@10.66@10.126999999999999
SG 553 | Cyrex (Well-Worn)@5.92@5.624
Five-SeveN | Candy Apple (Field-Tested)@165.62@157.339
eSports 2013 Case@78.4@74.48
StatTrak™ UMP-45 | Delusion (Factory New)@8.83@8.3885
Sticker | Till Death Do Us Part@0.74@0.703
AK-47 | Black Laminate (Minimal Wear)@44.73@42.4935
StatTrak™ Desert Eagle | Heirloom (Battle-Scarred)@25.59@24.310499999999998
P90 | Virus (Factory New)@4.28@4.066
Souvenir SG 553 | Damascus Steel (Battle-Scarred)@5.4@5.13
Sticker | Shooting Star Return@1.65@1.5675
Souvenir M4A4 | Urban DDPAT (Field-Tested)@8.6@8.17
Souvenir P90 | Fallout Warning (Minimal Wear)@17.31@16.444499999999998
USP-S | Caiman (Factory New)@61.16@58.102
Sticker | Trick Or Threat@0.54@0.513
StatTrak™ Nova | Graphite (Factory New)@40.94@38.892999999999994
Sticker | Virtus.pro (Holo) | Katowice 2015@343.1@325.945
Souvenir SCAR-20 | Sand Mesh (Factory New)@14.14@13.433
Galil AR | Chatterbox (Well-Worn)@17.09@16.2355
StatTrak™ M4A4 | Griffin (Well-Worn)@16.77@15.931499999999998
Souvenir Tec-9 | Brass (Well-Worn)@12.76@12.122
StatTrak™ M4A4 | Evil Daimyo (Battle-Scarred)@5.59@5.310499999999999
Souvenir MAC-10 | Nuclear Garden (Minimal Wear)@27.97@26.571499999999997
XM1014 | Tranquility (Factory New)@19.95@18.952499999999997
StatTrak™ CZ75-Auto | Tigris (Factory New)@7.31@6.9445
Souvenir MAG-7 | Storm (Factory New)@2.78@2.6409999999999996
SSG 08 | Detour (Factory New)@17.38@16.511
Sticker | Counter Logic Gaming (Holo) | Katowice 2015@349.99@332.4905
StatTrak™ Glock-18 | Grinder (Field-Tested)@5.62@5.3389999999999995
Souvenir PP-Bizon | Brass (Minimal Wear)@21.47@20.3965
Souvenir AK-47 | Safari Mesh (Field-Tested)@12.62@11.988999999999999
Souvenir Nova | Candy Apple (Field-Tested)@114.25@108.5375
P90 | Trigon (Minimal Wear)@10.6@10.069999999999999
Souvenir Tec-9 | VariCamo (Factory New)@8.1@7.694999999999999
MAG-7 | Hazard (Well-Worn)@23.45@22.2775
Souvenir Five-SeveN | Hot Shot (Minimal Wear)@10.8@10.26
StatTrak™ FAMAS | Pulse (Minimal Wear)@14.94@14.193
CZ75-Auto | Yellow Jacket (Battle-Scarred)@3.8@3.61
Sticker | T-Rekt@1.12@1.064
CS:GO Weapon Case@100.41@95.3895
StatTrak™ USP-S | Torque (Factory New)@5.22@4.959
AK-47 | First Class (Battle-Scarred)@93.95@89.2525
Galil AR | Cerberus (Field-Tested)@19.88@18.886
Sticker | Warowl@0.73@0.6935
CZ75-Auto | Victoria (Field-Tested)@6.06@5.757
Souvenir MAG-7 | Bulldozer (Field-Tested)@17.47@16.5965
Glock-18 | Groundwater (Factory New)@109.06@103.607
Sticker | Zombie Lover@1.13@1.0735
Desert Eagle | Pilot (Battle-Scarred)@85.02@80.76899999999999
AK-47 | First Class (Field-Tested)@94.5@89.77499999999999
P2000 | Corticera (Factory New)@35.11@33.354499999999994
Souvenir MAC-10 | Amber Fade (Field-Tested)@18.82@17.878999999999998
StatTrak™ USP-S | Stainless (Well-Worn)@21.42@20.349
Souvenir M4A4 | Radiation Hazard (Field-Tested)@58.49@55.5655
USP-S | Caiman (Well-Worn)@55.69@52.905499999999996
P250 | Mehndi (Minimal Wear)@15.34@14.572999999999999
StatTrak™ Glock-18 | Grinder (Factory New)@8.34@7.922999999999999
AK-47 | First Class (Well-Worn)@93.57@88.8915
Sawed-Off | The Kraken (Factory New)@7.18@6.821
StatTrak™ MP7 | Ocean Foam (Minimal Wear)@18.35@17.4325
StatTrak™ Desert Eagle | Crimson Web (Well-Worn)@23.76@22.572
Five-SeveN | Candy Apple (Minimal Wear)@90.91@86.36449999999999
StatTrak™ MAC-10 | Heat (Factory New)@24.65@23.417499999999997
Glock-18 | Water Elemental (Well-Worn)@7.87@7.4765
Souvenir P90 | Ash Wood (Minimal Wear)@4.89@4.645499999999999
StatTrak™ Desert Eagle | Heirloom (Field-Tested)@12.52@11.893999999999998
Sticker | Trick Or Treat@0.91@0.8644999999999999
Five-SeveN | Case Hardened (Minimal Wear)@9.96@9.462
UMP-45 | Blaze (Factory New)@17.02@16.169
StatTrak™ SG 553 | Pulse (Minimal Wear)@13.77@13.081499999999998
StatTrak™ AK-47 | Elite Build (Well-Worn)@4.3@4.085
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2015@132.68@126.046
Sawed-Off | Mosaico (Well-Worn)@16.16@15.351999999999999
Sticker | Ho Ho Ho@0.38@0.361
USP-S | Dark Water (Field-Tested)@84.95@80.7025
USP-S | Serum (Minimal Wear)@46.65@44.317499999999995
StatTrak™ MP9 | Ruby Poison Dart (Factory New)@7.27@6.906499999999999
Glock-18 | Blue Fissure (Factory New)@19.53@18.5535
USP-S | Serum (Field-Tested)@44.5@42.275
P2000 | Scorpion (Minimal Wear)@20.47@19.446499999999997
StatTrak™ SG 553 | Ultraviolet (Minimal Wear)@33.34@31.673000000000002
StatTrak™ MAC-10 | Curse (Battle-Scarred)@33.6@31.919999999999998
Sawed-Off | Copper (Factory New)@138.5@131.575
M4A1-S | Bright Water (Field-Tested)@29.16@27.701999999999998
FAMAS | Afterimage (Well-Worn)@34.0@32.3
StatTrak™ Dual Berettas | Panther (Factory New)@9.42@8.949
Sticker | PENTA Sports (Foil) | Katowice 2015@49.0@46.55
StatTrak™ P90 | Virus (Minimal Wear)@5.19@4.9305
PP-Bizon | Rust Coat (Minimal Wear)@29.3@27.835
SG 553 | Cyrex (Battle-Scarred)@5.48@5.206
USP-S | Caiman (Minimal Wear)@51.85@49.2575
Souvenir XM1014 | Bone Machine (Field-Tested)@5.74@5.453
Souvenir Glock-18 | Night (Field-Tested)@0.44@0.418
Music Kit | Feed Me, High Noon@4.81@4.5695
StatTrak™ MAC-10 | Tatter (Minimal Wear)@31.12@29.564
Galil AR | Aqua Terrace (Factory New)@184.49@175.2655
StatTrak™ Negev | Bratatat (Factory New)@44.55@42.3225
StatTrak™ P90 | Blind Spot (Factory New)@17.69@16.805500000000002
DreamHack 2014 Legends (Holo-Foil)@327.65@311.2675
P2000 | Handgun (Factory New)@4.28@4.066
StatTrak™ P250 | Valence (Factory New)@3.22@3.059
Sticker | Team EnVyUs (Holo) | Katowice 2015@78.0@74.1
Sticker | Ninjas in Pyjamas (Foil) | DreamHack 2014@194.99@185.2405
M4A1-S | Bright Water (Minimal Wear)@27.83@26.438499999999998
Tec-9 | Toxic (Well-Worn)@14.8@14.06
FAMAS | Afterimage (Minimal Wear)@25.31@24.0445
StatTrak™ Dual Berettas | Marina (Minimal Wear)@13.36@12.691999999999998
SCAR-20 | Cyrex (Battle-Scarred)@42.49@40.3655
Souvenir Glock-18 | Groundwater (Well-Worn)@6.55@6.222499999999999
Sticker | Natus Vincere (Foil) | DreamHack 2014@145.0@137.75
StatTrak™ Dual Berettas | Hemoglobin (Field-Tested)@23.69@22.5055
CZ75-Auto | Victoria (Battle-Scarred)@6.37@6.0515
Sticker | Rekt (Holo)@0.82@0.7789999999999999
StatTrak™ FAMAS | Sergeant (Minimal Wear)@34.18@32.471
Sticker | Work For Ammo@1.1@1.045
Sticker | Massive Pear@1.01@0.9594999999999999
M4A4 | X-Ray (Factory New)@26.96@25.612
StatTrak™ MAC-10 | Curse (Minimal Wear)@19.12@18.164
StatTrak™ Nova | Rising Skull (Minimal Wear)@12.64@12.008
M4A4 | Bullet Rain (Well-Worn)@26.46@25.137
SG 553 | Wave Spray (Factory New)@28.33@26.913499999999996
StatTrak™ Glock-18 | Blue Fissure (Well-Worn)@9.46@8.987
Souvenir M249 | Gator Mesh (Minimal Wear)@48.13@45.7235
SCAR-20 | Crimson Web (Factory New)@15.01@14.2595
StatTrak™ P2000 | Red FragCam (Factory New)@6.1@5.794999999999999
StatTrak™ CZ75-Auto | Pole Position (Factory New)@6.72@6.3839999999999995
Nova | Antique (Factory New)@14.51@13.7845
Souvenir SG 553 | Damascus Steel (Field-Tested)@4.29@4.0755
FAMAS | Spitfire (Field-Tested)@17.99@17.0905
StatTrak™ P2000 | Handgun (Well-Worn)@1.19@1.1304999999999998
StatTrak™ FAMAS | Pulse (Field-Tested)@14.88@14.136
Sticker | Fnatic (Holo) | DreamHack 2014@368.0@349.59999999999997
StatTrak™ MP9 | Rose Iron (Minimal Wear)@24.81@23.569499999999998
Souvenir USP-S | Forest Leaves (Field-Tested)@76.0@72.2
SCAR-20 | Emerald (Factory New)@26.33@25.013499999999997
Sticker | Blood Boiler@0.76@0.722
SCAR-20 | Cyrex (Minimal Wear)@52.92@50.274
StatTrak™ AK-47 | Elite Build (Battle-Scarred)@4.61@4.3795
StatTrak™ AUG | Torque (Minimal Wear)@15.82@15.029
P250 | Undertow (Factory New)@42.9@40.754999999999995
Desert Eagle | Cobalt Disruption (Factory New)@80.55@76.5225
Souvenir Sawed-Off | Rust Coat (Factory New)@20.25@19.2375
Souvenir Desert Eagle | Urban DDPAT (Well-Worn)@1.07@1.0165
FAMAS | Afterimage (Field-Tested)@25.49@24.2155
AK-47 | Black Laminate (Battle-Scarred)@49.25@46.787499999999994
Negev | Loudmouth (Minimal Wear)@8.14@7.7330000000000005
StatTrak™ XM1014 | Heaven Guard (Minimal Wear)@17.72@16.834
Sticker | Wanna Fight@0.92@0.874
AUG | Anodized Navy (Factory New)@27.83@26.438499999999998
M4A4 | Desert Storm (Factory New)@53.2@50.54
StatTrak™ Dual Berettas | Marina (Field-Tested)@13.5@12.825
MAC-10 | Amber Fade (Well-Worn)@42.0@39.9
Souvenir M4A4 | Tornado (Minimal Wear)@36.75@34.9125
StatTrak™ Glock-18 | Grinder (Minimal Wear)@6.03@5.7285
Souvenir MP9 | Setting Sun (Minimal Wear)@19.56@18.581999999999997
StatTrak™ PP-Bizon | Antique (Minimal Wear)@18.47@17.546499999999998
Nova | Antique (Field-Tested)@14.04@13.338
Sticker | Titan (Holo) | Cologne 2014@203.0@192.85
M4A1-S | Basilisk (Factory New)@13.03@12.378499999999999
Sticker | Silent Ninja (Foil)@1.49@1.4155
Desert Eagle | Cobalt Disruption (Minimal Wear)@73.13@69.47349999999999
Sticker | Cat Call@0.84@0.7979999999999999
StatTrak™ Dual Berettas | Hemoglobin (Minimal Wear)@23.63@22.4485
P250 | Mehndi (Field-Tested)@13.89@13.1955
Sticker | T On Cat@0.69@0.6555
MAC-10 | Neon Rider (Field-Tested)@8.32@7.904
M4A4 | Desert-Strike (Factory New)@12.77@12.131499999999999
Souvenir USP-S | Royal Blue (Well-Worn)@16.29@15.475499999999998
Desert Eagle | Cobalt Disruption (Field-Tested)@78.89@74.9455
StatTrak™ MP7 | Ocean Foam (Factory New)@11.28@10.716
StatTrak™ Nova | Graphite (Minimal Wear)@57.6@54.72
Galil AR | Cerberus (Well-Worn)@19.96@18.962
AK-47 | Black Laminate (Well-Worn)@58.16@55.251999999999995
Music Kit | Daniel Sadowski, Crimson Assault@3.34@3.1729999999999996
M4A4 | 龍王 (Dragon King) (Minimal Wear)@15.99@15.1905
StatTrak™ USP-S | Stainless (Field-Tested)@19.71@18.7245
Five-SeveN | Nitro (Minimal Wear)@50.0@47.5
StatTrak™ FAMAS | Hexane (Factory New)@9.13@8.6735
P90 | Trigon (Well-Worn)@11.16@10.602
USP-S | Caiman (Field-Tested)@51.38@48.811
Nova | Blaze Orange (Minimal Wear)@42.65@40.5175
Five-SeveN | Monkey Business (Field-Tested)@3.28@3.1159999999999997
SCAR-20 | Cyrex (Well-Worn)@44.21@41.9995
M4A1-S | Atomic Alloy (Well-Worn)@40.81@38.7695
M4A1-S | Atomic Alloy (Battle-Scarred)@41.08@39.025999999999996
Sticker | HellRaisers (Holo) | Katowice 2015@239.0@227.04999999999998
Souvenir SG 553 | Gator Mesh (Battle-Scarred)@3.68@3.496
MAC-10 | Neon Rider (Well-Worn)@10.12@9.613999999999999
StatTrak™ P250 | Supernova (Factory New)@5.24@4.978
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)@21.32@20.253999999999998
StatTrak™ Sawed-Off | Highwayman (Factory New)@9.7@9.214999999999998
P250 | Mehndi (Well-Worn)@13.46@12.787
Sawed-Off | Orange DDPAT (Minimal Wear)@26.44@25.118
StatTrak™ Glock-18 | Steel Disruption (Factory New)@18.21@17.2995
StatTrak™ Nova | Rising Skull (Well-Worn)@14.99@14.240499999999999
StatTrak™ USP-S | Guardian (Minimal Wear)@12.49@11.865499999999999
FAMAS | Djinn (Field-Tested)@2.54@2.413
StatTrak™ Dual Berettas | Marina (Battle-Scarred)@21.6@20.52
StatTrak™ USP-S | Stainless (Battle-Scarred)@19.8@18.81
AK-47 | Redline (Battle-Scarred)@27.49@26.115499999999997
Music Kit | Skog, Metal@3.75@3.5625
M4A4 | Bullet Rain (Field-Tested)@21.03@19.9785
Souvenir Five-SeveN | Forest Night (Minimal Wear)@1.92@1.8239999999999998
P90 | Trigon (Battle-Scarred)@10.18@9.671
Glock-18 | Water Elemental (Field-Tested)@5.04@4.787999999999999
P250 | Muertos (Factory New)@9.8@9.31
Sticker | My Little Friend@0.64@0.608
CZ75-Auto | The Fuschia Is Now (Factory New)@40.99@38.9405
AK-47 | Black Laminate (Field-Tested)@47.64@45.257999999999996
StatTrak™ USP-S | Torque (Minimal Wear)@3.77@3.5814999999999997
StatTrak™ FAMAS | Neural Net (Minimal Wear)@3.5@3.3249999999999997
Sticker | SAS Chicken@1.08@1.026
StatTrak™ MP9 | Rose Iron (Field-Tested)@36.69@34.8555
Souvenir P250 | Gunsmoke (Minimal Wear)@5.95@5.6525
AWP | Sun in Leo (Well-Worn)@25.53@24.2535
Music Kit | Mateo Messina, For No Mankind@3.08@2.9259999999999997
M4A1-S | Atomic Alloy (Field-Tested)@43.58@41.400999999999996
Souvenir Desert Eagle | Urban DDPAT (Battle-Scarred)@0.58@0.5509999999999999
StatTrak™ P2000 | Handgun (Battle-Scarred)@1.19@1.1304999999999998
StatTrak™ MAG-7 | Memento (Factory New)@9.0@8.549999999999999
Music Kit | Austin Wintory, Desert Fire@3.22@3.059
P250 | Mehndi (Battle-Scarred)@14.85@14.107499999999998
Souvenir USP-S | Royal Blue (Field-Tested)@13.14@12.483
USP-S | Business Class (Minimal Wear)@80.95@76.9025
P250 | Nuclear Threat (Field-Tested)@27.91@26.514499999999998
Dual Berettas | Marina (Factory New)@19.27@18.3065
Souvenir M4A4 | Radiation Hazard (Battle-Scarred)@61.03@57.9785
StatTrak™ PP-Bizon | Blue Streak (Minimal Wear)@7.86@7.467
CZ75-Auto | The Fuschia Is Now (Field-Tested)@36.77@34.9315
CZ75-Auto | The Fuschia Is Now (Minimal Wear)@27.11@25.754499999999997
Galil AR | Eco (Field-Tested)@6.74@6.403
XM1014 | Red Leather (Factory New)@53.0@50.349999999999994
PP-Bizon | Carbon Fiber (Factory New)@12.53@11.9035
Music Kit | Various Artists, Hotline Miami@4.05@3.8474999999999997
Souvenir Glock-18 | Groundwater (Battle-Scarred)@5.21@4.9495
Glock-18 | Brass (Minimal Wear)@41.48@39.40599999999999
P250 | Undertow (Minimal Wear)@32.35@30.732499999999998
Tec-9 | Terrace (Minimal Wear)@319.25@303.28749999999997
Sticker | Keyd Stars (Holo) | Katowice 2015@260.99@247.9405
Sawed-Off | The Kraken (Minimal Wear)@4.85@4.607499999999999
Nova | Bloomstick (Minimal Wear)@16.29@15.475499999999998
Nova | Antique (Minimal Wear)@10.35@9.8325
StatTrak™ SG 553 | Wave Spray (Minimal Wear)@10.6@10.069999999999999
Sticker | Unicorn (Holo)@2.68@2.546
Souvenir Nova | Green Apple (Field-Tested)@6.53@6.2035
SCAR-20 | Cyrex (Field-Tested)@45.77@43.481500000000004
Desert Eagle | Conspiracy (Factory New)@9.6@9.12
P90 | Asiimov (Battle-Scarred)@6.93@6.583499999999999
StatTrak™ Dual Berettas | Marina (Well-Worn)@25.31@24.0445
StatTrak™ Nova | Rising Skull (Field-Tested)@12.05@11.4475
M4A4 | 龍王 (Dragon King) (Well-Worn)@11.82@11.229
Five-SeveN | Monkey Business (Well-Worn)@3.78@3.5909999999999997
StatTrak™ Desert Eagle | Naga (Minimal Wear)@6.9@6.555
Souvenir SG 553 | Fallout Warning (Minimal Wear)@3.32@3.154
StatTrak™ G3SG1 | Demeter (Minimal Wear)@8.94@8.492999999999999
AUG | Bengal Tiger (Minimal Wear)@11.34@10.773
P90 | Trigon (Field-Tested)@9.18@8.721
Souvenir UMP-45 | Gunsmoke (Field-Tested)@28.52@27.093999999999998
AWP | Sun in Leo (Field-Tested)@24.51@23.2845
StatTrak™ M4A4 | Griffin (Battle-Scarred)@7.36@6.992
AK-47 | Cartel (Well-Worn)@19.99@18.990499999999997
Glock-18 | Water Elemental (Battle-Scarred)@5.38@5.111
Souvenir Dual Berettas | Anodized Navy (Factory New)@12.25@11.6375
StatTrak™ Glock-18 | Steel Disruption (Minimal Wear)@12.44@11.818
Desert Eagle | Heirloom (Factory New)@16.8@15.959999999999999
MP9 | Dark Age (Factory New)@166.24@157.928
Souvenir USP-S | Royal Blue (Battle-Scarred)@13.5@12.825
Souvenir MP7 | Gunsmoke (Well-Worn)@0.3@0.285
Five-SeveN | Case Hardened (Field-Tested)@8.35@7.932499999999999
Galil AR | Eco (Well-Worn)@4.3@4.085
Galil AR | Eco (Battle-Scarred)@4.29@4.0755
Sticker | Headless Chicken@0.66@0.627
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear)@4.95@4.7025
AUG | Chameleon (Factory New)@4.71@4.4745
Sticker | CS On The Mind@0.76@0.722
Glock-18 | Reactor (Minimal Wear)@10.05@9.5475
USP-S | Stainless (Factory New)@27.41@26.0395
M4A1-S | Nitro (Well-Worn)@0.45@0.4275
StatTrak™ M4A4 | Griffin (Field-Tested)@6.94@6.593
P2000 | Chainmail (Factory New)@135.64@128.85799999999998
Sticker | Virtus.Pro (Holo) | DreamHack 2014@243.7@231.515
SSG 08 | Detour (Minimal Wear)@11.33@10.763499999999999
MAG-7 | Counter Terrace (Factory New)@195.39@185.62049999999996
MAC-10 | Graven (Minimal Wear)@45.0@42.75
StatTrak™ AUG | Wings (Minimal Wear)@31.1@29.545
StatTrak™ FAMAS | Hexane (Well-Worn)@7.45@7.0775
Souvenir AUG | Radiation Hazard (Well-Worn)@4.5@4.2749999999999995
Five-SeveN | Monkey Business (Battle-Scarred)@3.49@3.3155
StatTrak™ Tec-9 | Blue Titanium (Factory New)@9.57@9.0915
Sticker | Nelu the Bear@0.71@0.6745
MP9 | Dark Age (Field-Tested)@133.2@126.53999999999998
Souvenir P90 | Ash Wood (Field-Tested)@2.47@2.3465000000000003
StatTrak™ CZ75-Auto | Tread Plate (Field-Tested)@18.71@17.7745
Tec-9 | Toxic (Field-Tested)@7.74@7.353
XM1014 | Tranquility (Well-Worn)@8.02@7.618999999999999
StatTrak™ Dual Berettas | Urban Shock (Factory New)@10.43@9.9085
Music Kit | Sasha, LNOE@3.62@3.439
Desert Eagle | Conspiracy (Field-Tested)@7.17@6.8115
SCAR-20 | Cardiac (Minimal Wear)@6.33@6.0135
Sticker | Doru The Fox@0.83@0.7885
AK-47 | Cartel (Minimal Wear)@19.49@18.5155
USP-S | Overgrowth (Minimal Wear)@31.04@29.488
P250 | Cartel (Minimal Wear)@7.22@6.858999999999999
Five-SeveN | Fowl Play (Minimal Wear)@4.4@4.18
StatTrak™ PP-Bizon | Osiris (Factory New)@5.16@4.902
FAMAS | Djinn (Well-Worn)@2.72@2.584
StatTrak™ PP-Bizon | Antique (Well-Worn)@18.9@17.955
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear)@2.44@2.318
Nova | Modern Hunter (Minimal Wear)@61.66@58.57699999999999
Desert Eagle | Conspiracy (Minimal Wear)@7.22@6.858999999999999
StatTrak™ MAC-10 | Malachite (Factory New)@10.96@10.412
StatTrak™ P250 | Hive (Factory New)@9.28@8.815999999999999
Souvenir SG 553 | Gator Mesh (Minimal Wear)@1.71@1.6244999999999998
StatTrak™ AUG | Wings (Factory New)@29.04@27.587999999999997
Music Kit | Matt Lange, IsoRhythm@5.51@5.2345
MP9 | Bulldozer (Well-Worn)@117.12@111.264
StatTrak™ MAC-10 | Curse (Field-Tested)@18.11@17.2045
Souvenir MP7 | Orange Peel (Minimal Wear)@2.38@2.2609999999999997
Sticker | Cloud9 G2A | Katowice 2015@30.15@28.6425
Music Kit | Robert Allaire, Insurgency@3.38@3.211
Souvenir Dual Berettas | Contractor (Minimal Wear)@30.0@28.5
StatTrak™ MAC-10 | Heat (Minimal Wear)@13.06@12.407
StatTrak™ Sawed-Off | Serenity (Factory New)@9.89@9.3955
Five-SeveN | Case Hardened (Well-Worn)@8.12@7.713999999999999
StatTrak™ M4A4 | Faded Zebra (Minimal Wear)@7.64@7.257999999999999
Souvenir SG 553 | Damascus Steel (Well-Worn)@4.95@4.7025
M4A4 | Evil Daimyo (Factory New)@5.03@4.7785
StatTrak™ Five-SeveN | Urban Hazard (Factory New)@5.66@5.377
MAG-7 | Hazard (Minimal Wear)@29.53@28.0535
Sticker | TSM Kinguin (Holo) | Katowice 2015@83.3@79.13499999999999
M4A4 | X-Ray (Minimal Wear)@18.14@17.233
MP9 | Bulldozer (Battle-Scarred)@106.84@101.498
StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred)@5.99@5.6905
StatTrak™ AUG | Torque (Field-Tested)@15.06@14.307
Sticker | Lucky 13 (Foil)@8.99@8.5405
Souvenir Galil AR | Hunting Blind (Factory New)@4.6@4.369999999999999
PP-Bizon | Carbon Fiber (Minimal Wear)@14.63@13.8985
Sticker | Cloud9 | DreamHack 2014@49.29@46.8255
USP-S | Overgrowth (Battle-Scarred)@30.77@29.231499999999997
Music Kit | Sean Murray, A*D*8@1.69@1.6055
StatTrak™ P90 | Elite Build (Minimal Wear)@0.69@0.6555
XM1014 | Tranquility (Battle-Scarred)@8.23@7.8185
MAC-10 | Curse (Well-Worn)@19.2@18.24
XM1014 | Tranquility (Minimal Wear)@10.21@9.6995
Galil AR | Orange DDPAT (Minimal Wear)@26.41@25.089499999999997
Five-SeveN | Fowl Play (Well-Worn)@2.14@2.033
