name@price@price_after_sell
★ M9 Bayonet | Blue Steel (Minimal Wear)@999.9@949.905
★ Falchion Knife | Fade (Minimal Wear)@480.64@456.60799999999995
★ M9 Bayonet | Ultraviolet (Minimal Wear)@926.42@880.0989999999999
★ StatTrak™ Falchion Knife | Slaughter (Field-Tested)@417.69@396.8055
★ StatTrak™ Huntsman Knife | Case Hardened (Minimal Wear)@531.67@505.08649999999994
★ Karambit | Rust Coat (Well-Worn)@937.5@890.625
★ StatTrak™ M9 Bayonet | Blue Steel (Well-Worn)@930.0@883.5
★ Karambit | Ultraviolet (Field-Tested)@988.54@939.1129999999999
★ M9 Bayonet | Damascus Steel (Factory New)@919.1@873.145
★ Karambit | Case Hardened (Battle-Scarred)@1121.35@1065.2824999999998
★ Karambit | Stained (Minimal Wear)@1136.79@1079.9505
★ StatTrak™ M9 Bayonet | Blue Steel (Field-Tested)@850.99@808.4404999999999
AUG | Akihabara Accept (Minimal Wear)@1300.0@1235.0
★ Karambit | Blue Steel (Battle-Scarred)@1332.76@1266.1219999999998
★ Karambit | Ultraviolet (Well-Worn)@900.0@855.0
★ Falchion Knife | Crimson Web (Minimal Wear)@273.87@260.1765
★ Huntsman Knife | Crimson Web (Minimal Wear)@1785.45@1696.1775
★ StatTrak™ Flip Knife | Slaughter (Factory New)@652.0@619.4
★ StatTrak™ M9 Bayonet@1411.0@1340.45
★ StatTrak™ Butterfly Knife@2250.0@2137.5
Sticker | iBUYPOWER | Katowice 2014@5000.0@4750.0
StatTrak™ AWP | Lightning Strike (Minimal Wear)@1234.0@1172.3
★ Butterfly Knife | Blue Steel (Factory New)@2030.0@1928.5
★ Flip Knife | Marble Fade (Minimal Wear)@586.09@556.7855
Glock-18 | Fade (Factory New)@1604.17@1523.9615
★ Huntsman Knife | Fade (Factory New)@528.0@501.59999999999997
★ Karambit | Night (Field-Tested)@926.57@880.2415
★ Karambit | Night (Well-Worn)@935.32@888.554
StatTrak™ AK-47 | Case Hardened (Factory New)@1099.99@1044.9904999999999
★ StatTrak™ M9 Bayonet | Boreal Forest (Minimal Wear)@750.0@712.5
★ StatTrak™ Huntsman Knife | Slaughter (Field-Tested)@419.99@398.9905
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear)@137.85@130.95749999999998
★ Butterfly Knife | Slaughter (Field-Tested)@2068.5@1965.0749999999998
★ Karambit | Stained (Field-Tested)@1017.43@966.5584999999999
★ StatTrak™ M9 Bayonet | Rust Coat (Battle-Scarred)@716.24@680.428
★ Flip Knife | Marble Fade (Factory New)@518.99@493.0405
★ StatTrak™ Butterfly Knife | Blue Steel (Field-Tested)@1555.29@1477.5255
★ M9 Bayonet | Damascus Steel (Minimal Wear)@891.41@846.8394999999999
★ Karambit | Night (Battle-Scarred)@869.99@826.4905
★ StatTrak™ Bayonet | Damascus Steel (Field-Tested)@394.37@374.6515
StatTrak™ AWP | Hyper Beast (Minimal Wear)@122.0@115.89999999999999
★ StatTrak™ Falchion Knife | Crimson Web (Well-Worn)@199.72@189.73399999999998
M4A1-S | Hot Rod (Minimal Wear)@2070.64@1967.1079999999997
★ Karambit | Stained (Well-Worn)@917.63@871.7484999999999
StatTrak™ AK-47 | Vulcan (Minimal Wear)@997.97@948.0715
AK-47 | Hydroponic (Factory New)@2515.72@2389.9339999999997
★ StatTrak™ Butterfly Knife | Case Hardened (Field-Tested)@1498.64@1423.708
★ StatTrak™ Falchion Knife | Case Hardened (Minimal Wear)@475.0@451.25
★ Falchion Knife | Slaughter (Factory New)@389.03@369.57849999999996
★ StatTrak™ M9 Bayonet | Ultraviolet (Field-Tested)@704.99@669.7405
★ M9 Bayonet | Rust Coat (Well-Worn)@779.99@740.9905
★ Karambit | Crimson Web (Battle-Scarred)@1209.43@1148.9585
★ Flip Knife | Tiger Tooth (Minimal Wear)@518.8@492.85999999999996
★ Karambit | Stained (Battle-Scarred)@1110.0@1054.5
