name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Specialist Gloves | Field Agent (Battle-Scarred)@148.94@131.0672@175.0@171.5@skinport@csdeals@22.56
★ Specialist Gloves | Fade (Minimal Wear)@920.91@810.4008@1089.68@1035.196@skinport@shadowpay@114.29
★ Specialist Gloves | Fade (Field-Tested)@329.73@290.1624@394.4@374.68@skinport@shadowpay@44.95
★ Specialist Gloves | Fade (Field-Tested)@329.73@290.1624@425.0@416.5@skinport@csdeals@86.77
★ Specialist Gloves | Fade (Field-Tested)@394.4@374.68@425.0@416.5@shadowpay@csdeals@22.1
★ Specialist Gloves | Emerald Web (Well-Worn)@761.49@670.1112@1231.54@1169.963@skinport@shadowpay@408.47
★ Specialist Gloves | Emerald Web (Minimal Wear)@3035.71@2671.4248@3302.7@3137.565@skinport@shadowpay@101.86
★ Specialist Gloves | Emerald Web (Minimal Wear)@3035.71@2671.4248@3250.0@3185.0@skinport@csdeals@149.29
★ Specialist Gloves | Emerald Web (Field-Tested)@1384.53@1218.3864@1798.99@1709.0404999999998@skinport@shadowpay@324.51
★ Specialist Gloves | Emerald Web (Battle-Scarred)@520.0@457.6@732.55@695.9224999999999@skinport@shadowpay@175.92
★ Specialist Gloves | Crimson Web (Minimal Wear)@602.16@529.9008@712.4@676.78@skinport@shadowpay@74.62
★ Specialist Gloves | Crimson Web (Field-Tested)@249.22@219.3136@287.42@273.049@skinport@shadowpay@23.83
★ Specialist Gloves | Crimson Web (Field-Tested)@249.22@219.3136@300.0@294.0@skinport@csdeals@44.78
★ Specialist Gloves | Crimson Kimono (Field-Tested)@2999.82@2639.8416@3809.48@3619.006@skinport@shadowpay@619.19
★ Specialist Gloves | Crimson Kimono (Battle-Scarred)@1699.0@1495.12@2066.07@1962.7665@skinport@shadowpay@263.77
★ Specialist Gloves | Buckshot (Factory New)@399.5@351.56@437.77@415.8815@skinport@shadowpay@16.38
★ Skeleton Knife | Urban Masked (Minimal Wear)@275.06@242.0528@312.0@296.4@skinport@shadowpay@21.34
★ Skeleton Knife | Urban Masked (Field-Tested)@250.24@220.2112@269.17@263.7866@skinport@csdeals@13.55
★ Skeleton Knife | Urban Masked (Factory New)@456.16@433.352@637.41@560.9208@shadowpay@skinport@104.76
★ Skeleton Knife | Stained (Well-Worn)@366.17@322.2296@385.1@377.398@skinport@csdeals@11.23
★ Skeleton Knife | Stained (Field-Tested)@394.43@347.0984@434.99@413.2405@skinport@shadowpay@18.81
★ Skeleton Knife | Stained (Factory New)@541.15@476.212@650.0@617.5@skinport@shadowpay@76.35
★ Skeleton Knife | Stained (Battle-Scarred)@330.13@290.5144@372.42@353.799@skinport@shadowpay@23.67
★ Skeleton Knife | Slaughter (Minimal Wear)@664.81@585.0328@772.5@733.875@skinport@shadowpay@69.07
★ Skeleton Knife | Slaughter (Minimal Wear)@664.81@585.0328@999.99@979.9902@skinport@csdeals@315.18
★ Skeleton Knife | Slaughter (Minimal Wear)@772.5@733.875@999.99@979.9902@shadowpay@csdeals@207.49
★ Skeleton Knife | Slaughter (Field-Tested)@625.46@550.4048@740.36@703.342@skinport@shadowpay@77.88
★ Skeleton Knife | Slaughter (Factory New)@778.3@684.904@885.0@840.75@skinport@shadowpay@62.45
★ Skeleton Knife | Slaughter (Factory New)@778.3@684.904@1099.99@1077.9902@skinport@csdeals@299.69
★ Skeleton Knife | Slaughter (Factory New)@885.0@840.75@1099.99@1077.9902@shadowpay@csdeals@192.99
★ Skeleton Knife | Scorched (Well-Worn)@250.0@220.0@300.0@294.0@skinport@csdeals@44.0
★ Skeleton Knife | Scorched (Well-Worn)@266.99@253.6405@300.0@294.0@shadowpay@csdeals@27.01
★ Skeleton Knife | Scorched (Minimal Wear)@287.44@252.9472@314.99@299.2405@skinport@shadowpay@11.8
★ Skeleton Knife | Scorched (Field-Tested)@246.0@216.48@277.2@263.34@skinport@shadowpay@17.34
★ Skeleton Knife | Safari Mesh (Minimal Wear)@225.0@198.0@252.76@240.122@skinport@shadowpay@15.12
★ Skeleton Knife | Safari Mesh (Field-Tested)@199.95@175.956@240.54@235.7292@skinport@csdeals@35.78
★ Skeleton Knife | Safari Mesh (Field-Tested)@220.47@209.4465@240.54@235.7292@shadowpay@csdeals@15.26
★ Skeleton Knife | Night Stripe (Field-Tested)@280.11@246.4968@323.66@307.47700000000003@skinport@shadowpay@27.37
★ Skeleton Knife | Forest DDPAT (Minimal Wear)@218.58@192.3504@253.5@240.825@skinport@shadowpay@22.24
★ Skeleton Knife | Forest DDPAT (Field-Tested)@205.0@180.4@230.9@219.355@skinport@shadowpay@14.35
★ Skeleton Knife | Forest DDPAT (Factory New)@396.34@376.523@479.0@421.52@shadowpay@skinport@25.18
★ Skeleton Knife | Fade (Factory New)@1227.98@1080.6224@1455.99@1383.1905@skinport@shadowpay@155.21
★ Skeleton Knife | Fade (Factory New)@1227.98@1080.6224@2099.99@2057.9902@skinport@csdeals@830.01
★ Skeleton Knife | Fade (Factory New)@1455.99@1383.1905@2099.99@2057.9902@shadowpay@csdeals@602.0
★ Skeleton Knife | Crimson Web (Minimal Wear)@782.3@688.424@877.5@833.625@skinport@shadowpay@51.33
★ Skeleton Knife | Crimson Web (Minimal Wear)@782.3@688.424@1499.99@1469.9902@skinport@csdeals@687.69
★ Skeleton Knife | Crimson Web (Minimal Wear)@877.5@833.625@1499.99@1469.9902@shadowpay@csdeals@592.49
★ Skeleton Knife | Crimson Web (Field-Tested)@620.0@545.6@686.99@652.6405@skinport@shadowpay@32.64
★ Skeleton Knife | Crimson Web (Field-Tested)@620.0@545.6@1150.0@1127.0@skinport@csdeals@507.0
★ Skeleton Knife | Crimson Web (Field-Tested)@686.99@652.6405@1150.0@1127.0@shadowpay@csdeals@440.01
★ Skeleton Knife | Crimson Web (Factory New)@2136.79@1880.3752@2900.0@2755.0@skinport@shadowpay@618.21
★ Skeleton Knife | Crimson Web (Battle-Scarred)@436.33@383.9704@516.8@490.9599999999999@skinport@shadowpay@54.63
★ Skeleton Knife | Case Hardened (Minimal Wear)@498.76@438.9088@615.0@584.25@skinport@shadowpay@85.49
★ Skeleton Knife | Case Hardened (Field-Tested)@476.64@419.4432@532.49@505.8655@skinport@shadowpay@29.23
★ Skeleton Knife | Case Hardened (Factory New)@875.69@770.6072@1098.9@1043.955@skinport@shadowpay@168.26
★ Skeleton Knife | Boreal Forest (Minimal Wear)@236.21@207.8648@274.88@261.136@skinport@shadowpay@24.93
★ Skeleton Knife | Blue Steel (Well-Worn)@402.11@353.8568@465.0@441.75@skinport@shadowpay@39.64
★ Skeleton Knife | Blue Steel (Minimal Wear)@480.0@422.4@530.25@503.7375@skinport@shadowpay@23.74
★ Skeleton Knife | Blue Steel (Field-Tested)@460.0@404.8@507.0@481.65@skinport@shadowpay@21.65
★ Skeleton Knife | Blue Steel (Factory New)@668.19@588.0072@720.0@684.0@skinport@shadowpay@15.81
★ Skeleton Knife | Blue Steel (Battle-Scarred)@401.82@353.6016@541.16@514.102@skinport@shadowpay@112.28
★ Skeleton Knife@681.09@599.3592@738.86@701.917@skinport@shadowpay@20.83
★ Skeleton Knife@681.09@599.3592@856.68@839.5464@skinport@csdeals@158.46
★ Skeleton Knife@738.86@701.917@856.68@839.5464@shadowpay@csdeals@100.69
★ Shadow Daggers | Urban Masked (Minimal Wear)@102.29@90.01520000000001@118.39@112.4705@skinport@shadowpay@10.18
★ Shadow Daggers | Urban Masked (Minimal Wear)@102.29@90.01520000000001@122.99@120.5302@skinport@csdeals@18.24
★ Shadow Daggers | Ultraviolet (Minimal Wear)@129.98@114.3824@167.99@159.5905@skinport@shadowpay@29.61
★ Shadow Daggers | Ultraviolet (Minimal Wear)@129.98@114.3824@160.0@156.8@skinport@csdeals@26.82
★ Shadow Daggers | Tiger Tooth (Factory New)@148.0@130.24@229.99@225.3902@skinport@csdeals@77.39
★ Shadow Daggers | Tiger Tooth (Factory New)@164.98@156.731@229.99@225.3902@shadowpay@csdeals@60.41
★ Shadow Daggers | Stained (Well-Worn)@130.55@124.0225@160.54@141.27519999999998@shadowpay@skinport@10.73
★ Shadow Daggers | Stained (Field-Tested)@112.66@99.1408@141.02@133.969@skinport@shadowpay@21.31
★ Shadow Daggers | Slaughter (Field-Tested)@150.0@132.0@172.6@163.97@skinport@shadowpay@13.97
★ Shadow Daggers | Slaughter (Factory New)@171.0@150.48@207.52@197.144@skinport@shadowpay@26.14
★ Shadow Daggers | Slaughter (Factory New)@171.0@150.48@219.99@215.5902@skinport@csdeals@44.59
★ Shadow Daggers | Scorched (Well-Worn)@109.9@96.712@147.35@139.9825@skinport@shadowpay@30.08
★ Shadow Daggers | Scorched (Minimal Wear)@102.91@90.5608@127.57@121.1915@skinport@shadowpay@18.28
★ Shadow Daggers | Safari Mesh (Minimal Wear)@99.99@87.99119999999999@130.82@124.27899999999998@skinport@shadowpay@24.29
★ Shadow Daggers | Safari Mesh (Factory New)@150.0@142.5@188.0@165.44@shadowpay@skinport@15.44
★ Shadow Daggers | Night (Well-Worn)@105.26@92.6288@137.26@130.397@skinport@shadowpay@25.14
★ Shadow Daggers | Night (Battle-Scarred)@124.97@118.7215@323.06@284.2928@shadowpay@skinport@159.32
★ Shadow Daggers | Marble Fade (Factory New)@174.96@153.9648@200.11@190.1045@skinport@shadowpay@15.14
★ Shadow Daggers | Marble Fade (Factory New)@174.96@153.9648@239.99@235.1902@skinport@csdeals@60.23
★ Shadow Daggers | Marble Fade (Factory New)@200.11@190.1045@239.99@235.1902@shadowpay@csdeals@35.08
★ Shadow Daggers | Lore (Well-Worn)@119.14@104.8432@146.28@138.966@skinport@shadowpay@19.83
★ Shadow Daggers | Lore (Minimal Wear)@165.07@145.2616@215.0@210.7@skinport@csdeals@45.63
★ Shadow Daggers | Lore (Minimal Wear)@163.51@155.3345@215.0@210.7@shadowpay@csdeals@47.19
★ Shadow Daggers | Lore (Field-Tested)@123.41@108.6008@156.54@148.713@skinport@shadowpay@25.3
★ Shadow Daggers | Lore (Field-Tested)@123.41@108.6008@175.0@171.5@skinport@csdeals@48.09
★ Shadow Daggers | Lore (Field-Tested)@156.54@148.713@175.0@171.5@shadowpay@csdeals@14.96
★ Shadow Daggers | Lore (Battle-Scarred)@110.8@97.504@142.62@135.489@skinport@shadowpay@24.69
★ Shadow Daggers | Gamma Doppler (Minimal Wear)@182.0@160.16@276.0@262.2@skinport@shadowpay@80.2
★ Shadow Daggers | Gamma Doppler (Minimal Wear)@182.0@160.16@250.0@237.5@skinport@shadowpay@55.5
★ Shadow Daggers | Gamma Doppler (Factory New)@181.81@159.99280000000002@202.96@192.812@skinport@shadowpay@11.0
★ Shadow Daggers | Gamma Doppler (Factory New)@181.81@159.99280000000002@202.98@192.831@skinport@shadowpay@11.02
★ Shadow Daggers | Gamma Doppler (Factory New)@181.81@159.99280000000002@202.97@192.8215@skinport@shadowpay@11.01
★ Shadow Daggers | Gamma Doppler (Factory New)@181.81@159.99280000000002@202.97@192.8215@skinport@shadowpay@11.01
★ Shadow Daggers | Gamma Doppler (Factory New)@181.81@159.99280000000002@465.0@441.75@skinport@shadowpay@259.94
★ Shadow Daggers | Freehand (Well-Worn)@115.59@101.7192@137.97@131.0715@skinport@shadowpay@15.48
★ Shadow Daggers | Freehand (Field-Tested)@110.96@97.6448@133.34@126.673@skinport@shadowpay@15.71
★ Shadow Daggers | Freehand (Field-Tested)@110.96@97.6448@128.63@126.0574@skinport@csdeals@15.1
★ Shadow Daggers | Freehand (Factory New)@131.43@115.6584@150.0@147.0@skinport@csdeals@15.57
★ Shadow Daggers | Forest DDPAT (Field-Tested)@105.59@92.9192@122.0@115.9@skinport@shadowpay@10.31
★ Shadow Daggers | Forest DDPAT (Battle-Scarred)@99.99@87.99119999999999@117.8@111.91@skinport@shadowpay@11.92
★ Shadow Daggers | Fade (Minimal Wear)@231.4@203.632@328.66@312.22700000000003@skinport@shadowpay@80.83
★ Shadow Daggers | Fade (Factory New)@215.0@189.2@256.41@243.5895@skinport@shadowpay@28.59
★ Shadow Daggers | Fade (Factory New)@215.0@189.2@400.0@392.0@skinport@csdeals@177.0
★ Shadow Daggers | Fade (Factory New)@256.41@243.5895@400.0@392.0@shadowpay@csdeals@135.59
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@239.53@227.5535@skinport@shadowpay@15.26
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@309.75@294.2625@skinport@shadowpay@81.97
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@241.39@229.3205@skinport@shadowpay@17.03
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@249.47@236.9965@skinport@shadowpay@24.71
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@570.0@541.5@skinport@shadowpay@329.21
★ Shadow Daggers | Doppler (Factory New)@212.29@186.8152@475.0@451.25@skinport@shadowpay@238.96
★ Shadow Daggers | Damascus Steel (Factory New)@120.11@105.6968@144.06@136.857@skinport@shadowpay@16.75
★ Shadow Daggers | Crimson Web (Field-Tested)@111.87@98.4456@138.49@131.5655@skinport@shadowpay@19.7
★ Shadow Daggers | Crimson Web (Field-Tested)@111.87@98.4456@149.99@146.99020000000002@skinport@csdeals@35.12
★ Shadow Daggers | Case Hardened (Minimal Wear)@165.83@145.93040000000002@186.31@176.9945@skinport@shadowpay@11.16
★ Shadow Daggers | Case Hardened (Battle-Scarred)@165.92@157.62399999999997@332.29@292.4152@shadowpay@skinport@126.5
★ Shadow Daggers | Boreal Forest (Well-Worn)@101.95@89.71600000000001@119.2@113.24@skinport@shadowpay@11.29
★ Shadow Daggers | Blue Steel (Well-Worn)@129.73@114.1624@148.95@141.50249999999997@skinport@shadowpay@11.77
★ Shadow Daggers | Blue Steel (Battle-Scarred)@121.93@107.2984@138.89@131.94549999999998@skinport@shadowpay@10.02
★ Shadow Daggers | Black Laminate (Well-Worn)@99.72@87.7536@127.99@121.5905@skinport@shadowpay@21.87
★ Shadow Daggers | Black Laminate (Field-Tested)@95.58@84.1104@116.65@110.8175@skinport@shadowpay@15.24
★ Shadow Daggers | Black Laminate (Field-Tested)@95.58@84.1104@142.98@140.1204@skinport@csdeals@44.54
★ Shadow Daggers | Black Laminate (Field-Tested)@116.65@110.8175@142.98@140.1204@shadowpay@csdeals@23.47
★ Shadow Daggers | Autotronic (Minimal Wear)@125.18@110.1584@178.09@169.1855@skinport@shadowpay@44.01
★ Shadow Daggers | Autotronic (Minimal Wear)@125.18@110.1584@155.0@151.9@skinport@csdeals@26.72
★ Shadow Daggers | Autotronic (Minimal Wear)@155.0@151.9@178.09@169.1855@csdeals@shadowpay@14.19
★ Shadow Daggers | Autotronic (Field-Tested)@110.26@97.0288@137.8@130.91@skinport@shadowpay@20.65
★ Shadow Daggers@146.0@128.48@185.59@176.3105@skinport@shadowpay@30.31
★ Shadow Daggers@146.0@128.48@230.0@225.4@skinport@csdeals@79.4
★ Shadow Daggers@185.59@176.3105@230.0@225.4@shadowpay@csdeals@39.81
★ Paracord Knife | Urban Masked (Field-Tested)@135.18@118.9584@150.0@147.0@skinport@csdeals@11.82
★ Paracord Knife | Stained (Factory New)@230.94@219.393@285.0@250.8@shadowpay@skinport@19.86
★ Paracord Knife | Slaughter (Minimal Wear)@240.12@211.3056@290.99@276.4405@skinport@shadowpay@36.32
★ Paracord Knife | Slaughter (Minimal Wear)@240.12@211.3056@379.99@372.3902@skinport@csdeals@132.27
★ Paracord Knife | Slaughter (Minimal Wear)@290.99@276.4405@379.99@372.3902@shadowpay@csdeals@81.4
★ Paracord Knife | Slaughter (Field-Tested)@264.0@232.32@289.65@275.1675@skinport@shadowpay@11.17
★ Paracord Knife | Slaughter (Factory New)@259.67@228.5096@297.95@283.05249999999995@skinport@shadowpay@23.38
★ Paracord Knife | Scorched (Well-Worn)@120.0@105.6@141.3@134.235@skinport@shadowpay@14.24
★ Paracord Knife | Scorched (Minimal Wear)@124.86@109.8768@149.64@142.158@skinport@shadowpay@17.3
★ Paracord Knife | Night Stripe (Factory New)@304.81@289.5695@484.82@426.6416@shadowpay@skinport@121.83
★ Paracord Knife | Forest DDPAT (Field-Tested)@119.8@105.424@138.94@131.993@skinport@shadowpay@12.19
★ Paracord Knife | Fade (Factory New)@350.0@308.0@394.76@375.022@skinport@shadowpay@25.02
★ Paracord Knife | Crimson Web (Minimal Wear)@262.28@230.8064@301.5@286.425@skinport@shadowpay@24.15
★ Paracord Knife | Crimson Web (Field-Tested)@180.81@159.1128@208.43@198.0085@skinport@shadowpay@17.2
★ Paracord Knife | Crimson Web (Field-Tested)@180.81@159.1128@300.0@294.0@skinport@csdeals@113.19
★ Paracord Knife | Crimson Web (Field-Tested)@208.43@198.0085@300.0@294.0@shadowpay@csdeals@85.57
★ Paracord Knife | Case Hardened (Well-Worn)@167.6@147.488@193.68@183.996@skinport@shadowpay@16.4
★ Paracord Knife | Case Hardened (Minimal Wear)@204.32@179.8016@226.18@214.871@skinport@shadowpay@10.55
★ Paracord Knife | Case Hardened (Field-Tested)@163.99@144.3112@203.83@193.6385@skinport@shadowpay@29.65
★ Paracord Knife | Boreal Forest (Well-Worn)@144.6@127.248@188.16@178.75199999999998@skinport@shadowpay@34.15
★ Paracord Knife | Boreal Forest (Minimal Wear)@141.81@124.7928@161.76@153.672@skinport@shadowpay@11.86
★ Paracord Knife | Boreal Forest (Minimal Wear)@141.81@124.7928@155.0@151.9@skinport@csdeals@10.09
★ Paracord Knife | Boreal Forest (Field-Tested)@125.19@110.1672@145.0@142.1@skinport@csdeals@16.91
★ Paracord Knife | Blue Steel (Minimal Wear)@187.12@164.6656@215.0@210.7@skinport@csdeals@23.58
★ Paracord Knife | Blue Steel (Field-Tested)@150.33@132.2904@177.06@168.207@skinport@shadowpay@17.88
★ Paracord Knife | Blue Steel (Factory New)@267.92@235.76960000000005@293.13@278.4735@skinport@shadowpay@10.55
★ Paracord Knife | Blue Steel (Battle-Scarred)@165.99@146.0712@199.08@189.126@skinport@shadowpay@23.14
★ Paracord Knife@160.38@141.1344@190.22@180.709@skinport@shadowpay@20.33
★ Nomad Knife | Urban Masked (Field-Tested)@149.99@131.99120000000002@186.33@177.0135@skinport@shadowpay@27.02
★ Nomad Knife | Urban Masked (Field-Tested)@149.99@131.99120000000002@200.0@196.0@skinport@csdeals@46.01
★ Nomad Knife | Stained (Minimal Wear)@306.82@270.0016@349.95@332.4525@skinport@shadowpay@25.63
★ Nomad Knife | Stained (Field-Tested)@277.77@244.4376@308.36@292.942@skinport@shadowpay@15.17
★ Nomad Knife | Stained (Field-Tested)@277.77@244.4376@310.0@303.8@skinport@csdeals@26.03
★ Nomad Knife | Stained (Factory New)@385.68@339.3984@434.63@412.8985@skinport@shadowpay@27.22
★ Nomad Knife | Slaughter (Minimal Wear)@457.78@402.8464@525.56@499.2819999999999@skinport@shadowpay@41.5
★ Nomad Knife | Slaughter (Field-Tested)@411.5@362.12@498.32@473.404@skinport@shadowpay@61.9
★ Nomad Knife | Slaughter (Field-Tested)@411.5@362.12@509.99@499.7902@skinport@csdeals@88.29
★ Nomad Knife | Slaughter (Factory New)@454.05@399.564@557.38@529.511@skinport@shadowpay@75.46
★ Nomad Knife | Slaughter (Factory New)@454.05@399.564@600.0@588.0@skinport@csdeals@133.95
★ Nomad Knife | Slaughter (Factory New)@557.38@529.511@600.0@588.0@shadowpay@csdeals@30.62
★ Nomad Knife | Scorched (Well-Worn)@165.0@145.2@180.0@176.4@skinport@csdeals@11.4
★ Nomad Knife | Scorched (Minimal Wear)@195.57@172.1016@212.0@207.76@skinport@csdeals@12.19
★ Nomad Knife | Scorched (Field-Tested)@179.0@157.52@200.0@196.0@skinport@csdeals@17.0
★ Nomad Knife | Safari Mesh (Field-Tested)@173.32@164.654@216.9@190.872@shadowpay@skinport@17.55
★ Nomad Knife | Safari Mesh (Field-Tested)@175.0@171.5@216.9@190.872@csdeals@skinport@15.87
★ Nomad Knife | Safari Mesh (Factory New)@220.0@209.0@285.0@250.8@shadowpay@skinport@30.8
★ Nomad Knife | Night Stripe (Well-Worn)@190.0@167.2@222.6@211.47@skinport@shadowpay@21.47
★ Nomad Knife | Night Stripe (Field-Tested)@178.7@157.256@203.32@193.154@skinport@shadowpay@14.45
★ Nomad Knife | Night Stripe (Field-Tested)@178.7@157.256@229.99@225.3902@skinport@csdeals@46.69
★ Nomad Knife | Night Stripe (Field-Tested)@203.32@193.154@229.99@225.3902@shadowpay@csdeals@22.07
★ Nomad Knife | Forest DDPAT (Minimal Wear)@175.0@154.0@195.0@191.1@skinport@csdeals@16.1
★ Nomad Knife | Fade (Minimal Wear)@1042.98@990.831@1129.59@1106.9982@shadowpay@csdeals@64.02
★ Nomad Knife | Fade (Factory New)@773.03@680.2664@922.5@876.375@skinport@shadowpay@103.35
★ Nomad Knife | Crimson Web (Well-Worn)@312.0@274.56@352.35@334.7325@skinport@shadowpay@22.73
★ Nomad Knife | Crimson Web (Minimal Wear)@507.66@446.7408@555.98@528.181@skinport@shadowpay@20.52
★ Nomad Knife | Crimson Web (Field-Tested)@366.0@322.08@479.99@470.3902@skinport@csdeals@104.39
★ Nomad Knife | Crimson Web (Field-Tested)@371.51@352.9345@479.99@470.3902@shadowpay@csdeals@98.88
★ Nomad Knife | Crimson Web (Battle-Scarred)@248.91@219.0408@337.36@320.492@skinport@shadowpay@71.58
★ Nomad Knife | Crimson Web (Battle-Scarred)@248.91@219.0408@300.0@294.0@skinport@csdeals@45.09
★ Nomad Knife | Crimson Web (Battle-Scarred)@300.0@294.0@337.36@320.492@csdeals@shadowpay@20.49
★ Nomad Knife | Case Hardened (Well-Worn)@295.91@260.4008@330.0@313.5@skinport@shadowpay@17.59
★ Nomad Knife | Case Hardened (Minimal Wear)@411.96@362.5248@675.0@641.25@skinport@shadowpay@229.29
★ Nomad Knife | Case Hardened (Field-Tested)@342.0@300.96@365.0@357.7@skinport@csdeals@15.7
★ Nomad Knife | Case Hardened (Factory New)@544.19@478.88720000000006@653.15@620.4925@skinport@shadowpay@76.3
★ Nomad Knife | Case Hardened (Battle-Scarred)@285.55@251.284@776.99@738.1405@skinport@shadowpay@452.59
★ Nomad Knife | Case Hardened (Battle-Scarred)@290.0@284.2@776.99@738.1405@csdeals@shadowpay@448.14
★ Nomad Knife | Boreal Forest (Well-Worn)@147.61@129.8968@166.5@158.17499999999998@skinport@shadowpay@10.56
★ Nomad Knife | Blue Steel (Well-Worn)@270.0@237.6@331.15@314.5925@skinport@shadowpay@44.59
★ Nomad Knife | Blue Steel (Well-Worn)@270.0@237.6@325.0@318.5@skinport@csdeals@48.5
★ Nomad Knife | Blue Steel (Field-Tested)@343.77@302.5176@375.0@367.5@skinport@csdeals@23.73
★ Nomad Knife@409.65@360.492@459.61@436.6295@skinport@shadowpay@26.98
★ Nomad Knife@409.65@360.492@497.89@487.9322@skinport@csdeals@78.28
★ Nomad Knife@459.61@436.6295@497.89@487.9322@shadowpay@csdeals@28.32
★ Navaja Knife | Urban Masked (Minimal Wear)@105.59@92.9192@124.56@118.332@skinport@shadowpay@12.74
★ Navaja Knife | Urban Masked (Minimal Wear)@105.59@92.9192@125.0@122.5@skinport@csdeals@16.91
★ Navaja Knife | Ultraviolet (Field-Tested)@100.57@88.5016@121.33@115.2635@skinport@shadowpay@14.69
★ Navaja Knife | Ultraviolet (Factory New)@226.14@199.0032@522.16@496.052@skinport@shadowpay@269.91
★ Navaja Knife | Tiger Tooth (Minimal Wear)@144.91@127.5208@180.0@176.4@skinport@csdeals@31.49
★ Navaja Knife | Tiger Tooth (Minimal Wear)@163.06@154.90699999999998@180.0@176.4@shadowpay@csdeals@13.34
★ Navaja Knife | Tiger Tooth (Factory New)@143.3@126.104@160.0@156.8@skinport@csdeals@13.5
★ Navaja Knife | Stained (Minimal Wear)@133.01@126.35949999999998@276.0@242.88@shadowpay@skinport@109.87
★ Navaja Knife | Stained (Battle-Scarred)@117.39@111.5205@240.88@211.9744@shadowpay@skinport@94.58
★ Navaja Knife | Scorched (Battle-Scarred)@101.19@89.0472@122.66@116.527@skinport@shadowpay@15.34
★ Navaja Knife | Safari Mesh (Field-Tested)@86.63@76.2344@103.47@98.2965@skinport@shadowpay@11.67
★ Navaja Knife | Marble Fade (Minimal Wear)@210.11@184.8968@257.2@244.34@skinport@shadowpay@34.23
★ Navaja Knife | Marble Fade (Factory New)@163.87@144.2056@215.0@210.7@skinport@csdeals@46.83
★ Navaja Knife | Marble Fade (Factory New)@178.98@170.03099999999998@215.0@210.7@shadowpay@csdeals@31.72
★ Navaja Knife | Fade (Minimal Wear)@216.06@190.1328@295.0@289.1@skinport@csdeals@73.04
★ Navaja Knife | Fade (Minimal Wear)@232.71@221.0745@295.0@289.1@shadowpay@csdeals@56.39
★ Navaja Knife | Fade (Factory New)@182.5@160.6@208.47@198.0465@skinport@shadowpay@15.55
★ Navaja Knife | Fade (Factory New)@182.5@160.6@299.99@293.9902@skinport@csdeals@111.49
★ Navaja Knife | Fade (Factory New)@208.47@198.0465@299.99@293.9902@shadowpay@csdeals@85.52
★ Navaja Knife | Doppler (Minimal Wear)@202.53@178.2264@259.29@246.3255@skinport@shadowpay@43.8
★ Navaja Knife | Doppler (Minimal Wear)@202.53@178.2264@262.0@248.9@skinport@shadowpay@46.37
★ Navaja Knife | Doppler (Minimal Wear)@202.53@178.2264@247.45@235.0775@skinport@shadowpay@32.55
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@213.9@203.205@skinport@shadowpay@18.87
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@248.46@236.037@skinport@shadowpay@51.7
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@213.89@203.1955@skinport@shadowpay@18.86
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@213.88@203.186@skinport@shadowpay@18.85
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@599.85@569.8575@skinport@shadowpay@385.52
★ Navaja Knife | Doppler (Factory New)@184.34@162.2192@579.14@550.183@skinport@shadowpay@365.84
★ Navaja Knife | Crimson Web (Field-Tested)@131.05@115.324@149.42@141.94899999999998@skinport@shadowpay@10.9
★ Navaja Knife | Crimson Web (Factory New)@383.8@337.744@480.0@456.0@skinport@shadowpay@72.2
★ Navaja Knife | Case Hardened (Field-Tested)@141.08@124.1504@163.25@155.0875@skinport@shadowpay@14.01
★ Navaja Knife | Case Hardened (Battle-Scarred)@135.81@119.5128@165.72@157.434@skinport@shadowpay@21.62
★ Navaja Knife | Boreal Forest (Well-Worn)@107.99@95.0312@126.44@120.118@skinport@shadowpay@12.13
★ Navaja Knife | Boreal Forest (Minimal Wear)@107.79@94.8552@139.0@132.04999999999998@skinport@shadowpay@24.26
★ Navaja Knife | Blue Steel (Factory New)@145.0@127.6@183.02@173.869@skinport@shadowpay@28.87
★ Moto Gloves | Turtle (Minimal Wear)@265.57@233.7016@399.99@391.9902@skinport@csdeals@126.42
★ Moto Gloves | Turtle (Minimal Wear)@273.0@259.35@399.99@391.9902@shadowpay@csdeals@118.99
★ Moto Gloves | Turtle (Field-Tested)@144.48@127.1424@167.26@158.897@skinport@shadowpay@14.42
★ Moto Gloves | Turtle (Battle-Scarred)@125.0@110.0@152.78@145.141@skinport@shadowpay@20.14
★ Moto Gloves | Transport (Minimal Wear)@138.57@121.9416@190.41@186.6018@skinport@csdeals@48.03
★ Moto Gloves | Transport (Minimal Wear)@151.2@143.64@190.41@186.6018@shadowpay@csdeals@35.4
★ Moto Gloves | Transport (Field-Tested)@84.13@74.03439999999999@119.99@117.5902@skinport@csdeals@33.46
★ Moto Gloves | Transport (Field-Tested)@93.93@89.2335@119.99@117.5902@shadowpay@csdeals@23.66
