name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
USP-S | Business Class (Minimal Wear)@34.99@34.2902@54.16@51.45199999999999@csdeals@shadowpay@16.46
USP-S | Kill Confirmed (Well-Worn)@37.0@36.26@44.78@42.541@csdeals@shadowpay@5.54
USP-S | Serum (Field-Tested)@31.99@31.3502@38.0@36.1@csdeals@shadowpay@4.11
★ Bayonet | Black Laminate (Field-Tested)@399.99@391.9902@471.88@448.286@csdeals@shadowpay@48.3
★ Bayonet | Crimson Web (Field-Tested)@400.0@392.0@567.0@538.65@csdeals@shadowpay@138.65
★ Bayonet | Gamma Doppler (Factory New)@697.93@683.9713999999999@949.99@902.4905@csdeals@shadowpay@204.56
★ Bloodhound Gloves | Bronzed (Field-Tested)@80.0@78.4@109.82@104.329@csdeals@shadowpay@24.33
★ Bloodhound Gloves | Bronzed (Well-Worn)@69.99@68.5902@90.0@85.5@csdeals@shadowpay@15.51
★ Bloodhound Gloves | Guerrilla (Minimal Wear)@118.58@116.2084@145.97@138.67149999999998@csdeals@shadowpay@20.09
★ Butterfly Knife | Night (Field-Tested)@759.99@744.7902@1448.31@1375.8945@csdeals@shadowpay@615.9
★ Driver Gloves | Convoy (Well-Worn)@71.99@70.55019999999999@79.11@75.1545@csdeals@shadowpay@3.16
★ Falchion Knife | Fade (Factory New)@449.9@440.902@494.4@469.68@csdeals@shadowpay@19.78
★ Flip Knife | Autotronic (Field-Tested)@389.66@381.8668@479.3@455.335@csdeals@shadowpay@65.67
★ Flip Knife | Slaughter (Factory New)@479.3@469.714@545.0@517.75@csdeals@shadowpay@38.45
★ Gut Knife | Blue Steel (Field-Tested)@110.0@107.8@118.99@113.0405@csdeals@shadowpay@3.04
★ Gut Knife | Freehand (Field-Tested)@101.93@99.8914@120.0@114.0@csdeals@shadowpay@12.07
★ Gut Knife | Lore (Field-Tested)@186.69@182.9562@216.19@205.3805@csdeals@shadowpay@18.69
★ Gut Knife | Lore (Minimal Wear)@269.99@264.5902@299.0@284.05@csdeals@shadowpay@14.06
★ Gut Knife | Safari Mesh (Field-Tested)@87.81@86.0538@103.39@98.2205@csdeals@shadowpay@10.41
★ Huntsman Knife@350.0@343.0@464.12@440.914@csdeals@shadowpay@90.91
★ Huntsman Knife | Case Hardened (Minimal Wear)@267.76@262.4048@291.48@276.906@csdeals@shadowpay@9.15
