name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Bayonet | Crimson Web (Well-Worn)@464.0@440.8@622.11@547.4568@shadowpay@skinport@83.46
★ StatTrak™ Bayonet | Damascus Steel (Factory New)@475.0@451.25@645.48@568.0224000000001@shadowpay@skinport@93.02
★ StatTrak™ Bayonet | Freehand (Factory New)@644.71@612.4745@761.44@670.0672000000001@shadowpay@skinport@25.36
★ StatTrak™ Bowie Knife@240.0@228.0@279.09@245.5992@shadowpay@skinport@5.6
★ StatTrak™ Bowie Knife | Autotronic (Minimal Wear)@340.0@323.0@440.0@387.2@shadowpay@skinport@47.2
★ StatTrak™ Bowie Knife | Lore (Battle-Scarred)@273.88@260.186@389.51@342.7688@shadowpay@skinport@68.89
★ StatTrak™ Bowie Knife | Marble Fade (Factory New)@388.0@368.6@448.11@394.3368@shadowpay@skinport@6.34
★ StatTrak™ Butterfly Knife | Boreal Forest (Field-Tested)@719.99@683.9905@850.0@748.0@shadowpay@skinport@28.01
★ StatTrak™ Butterfly Knife | Case Hardened (Battle-Scarred)@885.92@841.6239999999999@1124.02@989.1376@shadowpay@skinport@103.22
★ StatTrak™ Butterfly Knife | Forest DDPAT (Field-Tested)@595.11@565.3545@758.99@667.9112@shadowpay@skinport@72.8
★ StatTrak™ Butterfly Knife | Slaughter (Factory New)@1890.0@1795.5@2500.01@2200.0088@shadowpay@skinport@310.01
★ StatTrak™ Butterfly Knife | Ultraviolet (Well-Worn)@830.0@788.5@1200.0@1056.0@shadowpay@skinport@226.0
★ StatTrak™ Classic Knife | Case Hardened (Factory New)@700.0@665.0@886.97@780.5336@shadowpay@skinport@80.53
★ StatTrak™ Classic Knife | Slaughter (Minimal Wear)@439.0@417.05@607.45@534.556@shadowpay@skinport@95.56
★ StatTrak™ Falchion Knife | Bright Water (Factory New)@161.98@153.88099999999997@210.0@184.8@shadowpay@skinport@22.82
★ StatTrak™ Falchion Knife | Fade (Factory New)@477.72@453.834@600.28@528.2464@shadowpay@skinport@50.53
★ StatTrak™ Falchion Knife | Lore (Field-Tested)@257.48@244.606@360.11@316.89680000000004@shadowpay@skinport@59.42
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested)@120.0@114.0@138.79@122.1352@shadowpay@skinport@2.14
★ StatTrak™ Falchion Knife | Slaughter (Factory New)@340.0@323.0@422.9@372.152@shadowpay@skinport@32.15
★ StatTrak™ Falchion Knife | Slaughter (Minimal Wear)@295.0@280.25@358.75@315.7@shadowpay@skinport@20.7
