name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Glock-18 | Gamma Doppler (Factory New)@40.98@36.0624@45.0@44.1@skinport@csdeals@3.12
Glock-18 | Ironwork (Factory New)@1.11@0.9768@7.0@6.859999999999999@skinport@csdeals@5.75
Glock-18 | Neo-Noir (Minimal Wear)@19.63@17.2744@24.99@24.4902@skinport@csdeals@4.86
Glock-18 | Neo-Noir (Well-Worn)@6.67@5.8696@19.8@19.404@skinport@csdeals@12.73
Glock-18 | Nuclear Garden (Factory New)@15.58@13.7104@26.5@25.97@skinport@csdeals@10.39
Glock-18 | Off World (Factory New)@1.29@1.1352@8.5@8.33@skinport@csdeals@7.04
Glock-18 | Reactor (Factory New)@24.72@21.7536@28.95@28.371@skinport@csdeals@3.65
Glock-18 | Reactor (Minimal Wear)@8.1@7.128@18.0@17.64@skinport@csdeals@9.54
Glock-18 | Sacrifice (Factory New)@1.37@1.2056@8.0@7.84@skinport@csdeals@6.47
Glock-18 | Synth Leaf (Factory New)@265.75@233.86@299.99@293.9902@skinport@csdeals@28.24
Glock-18 | Synth Leaf (Minimal Wear)@238.36@209.75680000000003@389.0@381.22@skinport@csdeals@142.86
Glock-18 | Warhawk (Factory New)@0.46@0.4048@14.0@13.72@skinport@csdeals@13.26
Glock-18 | Weasel (Factory New)@2.77@2.4376@22.0@21.56@skinport@csdeals@18.79
Glock-18 | Wraiths (Factory New)@0.53@0.4664@9.0@8.82@skinport@csdeals@8.29
Guardian 2 Pin@4.23@3.7224@8.0@7.84@skinport@csdeals@3.61
★ Gut Knife | Doppler (Factory New)@174.71@153.7448@184.71@181.0158@skinport@csdeals@6.31
★ Gut Knife | Lore (Field-Tested)@180.0@158.4@186.69@182.9562@skinport@csdeals@2.96
★ Gut Knife | Lore (Minimal Wear)@255.95@225.236@269.99@264.5902@skinport@csdeals@8.64
★ Gut Knife | Tiger Tooth (Factory New)@182.5@160.6@219.99@215.5902@skinport@csdeals@33.09
★ Hand Wraps | CAUTION! (Field-Tested)@237.03@208.5864@300.75@294.735@skinport@csdeals@57.71
★ Hand Wraps | Constrictor (Well-Worn)@61.5@54.12@79.99@78.3902@skinport@csdeals@16.89
★ Hand Wraps | Desert Shamagh (Battle-Scarred)@65.66@57.7808@79.99@78.3902@skinport@csdeals@12.73
★ Hand Wraps | Desert Shamagh (Field-Tested)@70.87@62.36560000000001@77.93@76.37140000000001@skinport@csdeals@5.5
★ Hand Wraps | Desert Shamagh (Well-Worn)@66.14@58.2032@82.49@80.8402@skinport@csdeals@14.7
★ Hand Wraps | Duct Tape (Field-Tested)@62.99@55.4312@69.99@68.5902@skinport@csdeals@5.6
★ Hand Wraps | Giraffe (Well-Worn)@92.36@81.2768@99.9@97.902@skinport@csdeals@5.54
★ Hand Wraps | Overprint (Field-Tested)@251.5@221.32@409.9@401.702@skinport@csdeals@150.2
★ Hand Wraps | Overprint (Minimal Wear)@500.8@440.704@640.0@627.2@skinport@csdeals@126.4
★ Hand Wraps | Spruce DDPAT (Field-Tested)@110.02@96.8176@129.9@127.302@skinport@csdeals@17.28
Health Pin@25.82@22.7216@34.99@34.2902@skinport@csdeals@8.47
Howl Pin@56.86@50.0368@89.99@88.19019999999999@skinport@csdeals@31.33
★ Huntsman Knife@300.15@264.132@350.0@343.0@skinport@csdeals@42.85
★ Huntsman Knife | Fade (Factory New)@500.8@440.704@725.0@710.5@skinport@csdeals@209.7
★ Huntsman Knife | Lore (Factory New)@480.0@422.4@500.0@490.0@skinport@csdeals@10.0
★ Huntsman Knife | Marble Fade (Factory New)@385.06@338.8528@475.4@465.892@skinport@csdeals@80.83
★ Huntsman Knife | Rust Coat (Battle-Scarred)@111.29@97.9352@134.99@132.2902@skinport@csdeals@21.0
★ Hydra Gloves | Case Hardened (Battle-Scarred)@65.94@58.0272@70.0@68.6@skinport@csdeals@2.66
★ Hydra Gloves | Case Hardened (Field-Tested)@93.49@82.2712@99.99@97.9902@skinport@csdeals@4.5
★ Hydra Gloves | Emerald (Battle-Scarred)@55.63@48.9544@67.99@66.63019999999999@skinport@csdeals@11.0
★ Hydra Gloves | Emerald (Field-Tested)@58.27@51.2776@79.99@78.3902@skinport@csdeals@20.12
★ Hydra Gloves | Emerald (Minimal Wear)@111.28@97.9264@122.47@120.0206@skinport@csdeals@8.74
★ Hydra Gloves | Mangrove (Field-Tested)@46.63@41.034400000000005@51.22@50.1956@skinport@csdeals@3.57
★ Hydra Gloves | Rattler (Battle-Scarred)@47.84@42.0992@57.0@55.86@skinport@csdeals@8.02
★ Hydra Gloves | Rattler (Field-Tested)@47.99@42.2312@57.0@55.86@skinport@csdeals@7.87
★ Hydra Gloves | Rattler (Minimal Wear)@68.44@60.2272@83.49@81.8202@skinport@csdeals@13.38
★ Karambit | Bright Water (Field-Tested)@637.29@560.8152@799.9@783.9019999999999@skinport@csdeals@146.61
★ Karambit | Freehand (Minimal Wear)@674.95@593.956@899.99@881.9902@skinport@csdeals@207.04
★ Karambit | Lore (Field-Tested)@1025.53@902.4664@1500.0@1470.0@skinport@csdeals@444.47
★ Karambit | Safari Mesh (Minimal Wear)@490.01@431.2088@538.22@527.4556@skinport@csdeals@37.45
Krakow 2017 Legends Autograph Capsule@44.47@39.1336@51.99@50.9502@skinport@csdeals@6.48
Little Kev | The Professionals@11.75@10.34@14.99@14.6902@skinport@csdeals@2.94
London 2018 Minor Challengers Autograph Capsule@8.9@7.832000000000001@12.99@12.7302@skinport@csdeals@3.83
London 2018 Mirage Souvenir Package@11.75@10.34@23.0@22.54@skinport@csdeals@10.79
London 2018 Returning Challengers Autograph Capsule@7.78@6.8464@9.99@9.7902@skinport@csdeals@2.01
M249 | Aztec (Factory New)@1.65@1.452@7.0@6.859999999999999@skinport@csdeals@5.21
M249 | Blizzard Marbleized (Field-Tested)@3.79@3.3352@9.0@8.82@skinport@csdeals@5.03
M249 | Deep Relief (Factory New)@1.44@1.2672@12.0@11.76@skinport@csdeals@10.32
M249 | Emerald Poison Dart (Factory New)@1.67@1.4696@10.0@9.8@skinport@csdeals@8.13
M249 | System Lock (Factory New)@0.81@0.7128000000000001@6.0@5.88@skinport@csdeals@5.07
M4A1-S | Atomic Alloy (Field-Tested)@33.68@29.6384@37.99@37.2302@skinport@csdeals@3.55
M4A1-S | Atomic Alloy (Minimal Wear)@44.94@39.5472@59.99@58.7902@skinport@csdeals@13.85
M4A1-S | Blood Tiger (Factory New)@4.55@4.004@24.0@23.52@skinport@csdeals@18.97
M4A1-S | Blue Phosphor (Factory New)@612.08@538.6304@674.95@661.451@skinport@csdeals@49.37
M4A1-S | Briefing (Field-Tested)@4.94@4.3472@8.0@7.84@skinport@csdeals@2.9
M4A1-S | Chantico's Fire (Minimal Wear)@41.59@36.5992@49.9@48.902@skinport@csdeals@7.31
M4A1-S | Emphorosaur-S (Field-Tested)@1.03@0.9064@3.74@3.6652@skinport@csdeals@2.64
M4A1-S | Hyper Beast (Battle-Scarred)@11.13@9.7944@15.4@15.092@skinport@csdeals@3.96
M4A1-S | Icarus Fell (Factory New)@445.16@391.7408@527.0@516.46@skinport@csdeals@71.3
M4A1-S | Mecha Industries (Factory New)@55.64@48.9632@99.99@97.9902@skinport@csdeals@42.35
M4A1-S | Mecha Industries (Field-Tested)@19.92@17.529600000000002@32.0@31.36@skinport@csdeals@11.44
M4A1-S | Mecha Industries (Minimal Wear)@31.31@27.5528@42.19@41.3462@skinport@csdeals@10.04
M4A1-S | Night Terror (Well-Worn)@1.03@0.9064@5.0@4.9@skinport@csdeals@3.87
M4A1-S | Player Two (Factory New)@94.54@83.1952@124.99@122.4902@skinport@csdeals@27.95
M4A1-S | Player Two (Field-Tested)@20.02@17.6176@25.99@25.4702@skinport@csdeals@5.45
M4A1-S | Printstream (Field-Tested)@153.18@134.79840000000002@179.99@176.3902@skinport@csdeals@23.21
M4A1-S | Printstream (Well-Worn)@133.61@117.5768@156.16@153.0368@skinport@csdeals@19.43
M4A1-S | Welcome to the Jungle (Battle-Scarred)@700.0@616.0@829.9@813.3019999999999@skinport@csdeals@113.3
M4A4 | Asiimov (Battle-Scarred)@50.08@44.0704@54.99@53.8902@skinport@csdeals@3.81
M4A4 | Asiimov (Field-Tested)@137.43@120.9384@210.0@205.8@skinport@csdeals@68.37
M4A4 | Buzz Kill (Minimal Wear)@12.12@10.6656@25.0@24.5@skinport@csdeals@12.38
M4A4 | Desolate Space (Factory New)@23.4@20.592@43.32@42.4536@skinport@csdeals@19.05
M4A4 | Desolate Space (Field-Tested)@4.99@4.3912@9.0@8.82@skinport@csdeals@3.83
M4A4 | In Living Color (Field-Tested)@4.55@4.004@29.49@28.9002@skinport@csdeals@24.35
M4A4 | In Living Color (Minimal Wear)@11.62@10.2256@14.99@14.6902@skinport@csdeals@3.07
M4A4 | Magnesium (Factory New)@1.45@1.276@9.0@8.82@skinport@csdeals@7.37
M4A4 | Neo-Noir (Factory New)@36.73@32.322399999999995@49.0@48.02@skinport@csdeals@11.29
M4A4 | Neo-Noir (Minimal Wear)@12.49@10.9912@20.0@19.6@skinport@csdeals@7.11
M4A4 | Poly Mag (Factory New)@0.53@0.4664@17.0@16.66@skinport@csdeals@16.13
M4A4 | Poseidon (Minimal Wear)@912.57@803.0616@1149.99@1126.9902@skinport@csdeals@214.42
M4A4 | Radiation Hazard (Field-Tested)@19.48@17.142400000000002@25.0@24.5@skinport@csdeals@5.02
M4A4 | Spider Lily (Factory New)@13.39@11.7832@16.15@15.826999999999998@skinport@csdeals@2.44
M4A4 | Spider Lily (Field-Tested)@1.99@1.7512@4.1@4.018@skinport@csdeals@2.03
M4A4 | Temukau (Factory New)@233.4@205.392@250.0@245.0@skinport@csdeals@11.6
M4A4 | The Battlestar (Field-Tested)@3.65@3.212@11.0@10.78@skinport@csdeals@7.13
M4A4 | The Coalition (Field-Tested)@25.03@22.0264@29.99@29.3902@skinport@csdeals@4.36
M4A4 | Tornado (Field-Tested)@1.28@1.1264@15.0@14.7@skinport@csdeals@13.42
M4A4 | X-Ray (Factory New)@18.54@16.3152@29.99@29.3902@skinport@csdeals@10.85
M4A4 | X-Ray (Minimal Wear)@12.8@11.264@445.34@436.4332@skinport@csdeals@423.63
M4A4 | Zirka (Field-Tested)@22.25@19.58@25.0@24.5@skinport@csdeals@2.25
★ M9 Bayonet | Freehand (Field-Tested)@552.77@486.4376@693.95@680.071@skinport@csdeals@127.3
★ M9 Bayonet | Night (Field-Tested)@472.83@416.0904@499.0@489.02@skinport@csdeals@16.19
★ M9 Bayonet | Scorched (Field-Tested)@397.23@349.5624@449.9@440.902@skinport@csdeals@43.67
MAC-10 | Button Masher (Factory New)@1.18@1.0384@13.0@12.74@skinport@csdeals@11.56
MAC-10 | Calf Skin (Factory New)@1.34@1.1792@9.0@8.82@skinport@csdeals@7.48
MAC-10 | Copper Borre (Factory New)@101.21@89.06479999999999@250.0@245.0@skinport@csdeals@143.79
MAC-10 | Disco Tech (Factory New)@16.87@14.8456@27.29@26.7442@skinport@csdeals@9.87
MAC-10 | Disco Tech (Minimal Wear)@5.17@4.5496@15.0@14.7@skinport@csdeals@9.53
MAC-10 | Heat (Factory New)@11.47@10.0936@25.0@24.5@skinport@csdeals@13.03
MAC-10 | Lapis Gator (Minimal Wear)@0.55@0.484@15.0@14.7@skinport@csdeals@14.15
MAC-10 | Last Dive (Factory New)@1.75@1.54@17.0@16.66@skinport@csdeals@14.91
MAC-10 | Neon Rider (Well-Worn)@8.79@7.735199999999999@14.0@13.72@skinport@csdeals@4.93
MAC-10 | Oceanic (Factory New)@0.16@0.1408@6.0@5.88@skinport@csdeals@5.72
MAC-10 | Pipe Down (Factory New)@1.52@1.3376@11.0@10.78@skinport@csdeals@9.26
MAC-10 | Stalker (Well-Worn)@12.23@10.7624@23.0@22.54@skinport@csdeals@10.31
MAC-10 | Tatter (Minimal Wear)@7.12@6.2656@19.0@18.62@skinport@csdeals@11.5
MAC-10 | Toybox (Field-Tested)@5.0@4.4@7.5@7.35@skinport@csdeals@2.35
MAC-10 | Ultraviolet (Factory New)@30.01@26.408800000000003@70.0@68.6@skinport@csdeals@38.59
MAC-10 | Urban DDPAT (Minimal Wear)@1.7@1.496@5.0@4.9@skinport@csdeals@3.2
MAC-10 | Whitefish (Factory New)@0.57@0.5015999999999999@8.0@7.84@skinport@csdeals@7.27
MAG-7 | BI83 Spectrum (Factory New)@2.23@1.9624@17.0@16.66@skinport@csdeals@14.43
MAG-7 | Cobalt Core (Factory New)@0.31@0.2728@7.0@6.859999999999999@skinport@csdeals@6.55
MAG-7 | Firestarter (Factory New)@5.55@4.884@20.0@19.6@skinport@csdeals@14.05
MAG-7 | Hard Water (Factory New)@4.95@4.356@16.0@15.68@skinport@csdeals@10.73
MAG-7 | Monster Call (Factory New)@1.56@1.3728@15.0@14.7@skinport@csdeals@13.14
MAG-7 | Petroglyph (Factory New)@1.64@1.4431999999999998@6.0@5.88@skinport@csdeals@4.24
MAG-7 | Popdog (Factory New)@0.17@0.1496@6.0@5.88@skinport@csdeals@5.71
'Medium Rare' Crasswater | Guerrilla Warfare@11.57@10.1816@15.99@15.6702@skinport@csdeals@4.1
Mirage Pin@11.01@9.6888@14.99@14.6902@skinport@csdeals@3.68
★ Moto Gloves | 3rd Commando Company (Field-Tested)@74.19@65.2872@114.99@112.6902@skinport@csdeals@38.5
★ Moto Gloves | Blood Pressure (Field-Tested)@171.26@150.7088@199.29@195.3042@skinport@csdeals@24.04
★ Moto Gloves | Eclipse (Battle-Scarred)@93.26@82.06880000000001@100.19@98.1862@skinport@csdeals@4.93
★ Moto Gloves | Polygon (Field-Tested)@184.73@162.5624@225.0@220.5@skinport@csdeals@35.77
★ Moto Gloves | Transport (Battle-Scarred)@56.16@49.4208@68.0@66.64@skinport@csdeals@10.48
★ Moto Gloves | Transport (Field-Tested)@79.0@69.52@84.99@83.2902@skinport@csdeals@4.29
MP5-SD | Autumn Twilly (Factory New)@6.23@5.4824@14.0@13.72@skinport@csdeals@7.49
MP5-SD | Co-Processor (Factory New)@1.44@1.2672@10.0@9.8@skinport@csdeals@8.36
MP5-SD | Desert Strike (Factory New)@0.23@0.2024@5.0@4.9@skinport@csdeals@4.67
MP5-SD | Kitbash (Factory New)@1.22@1.0736@10.0@9.8@skinport@csdeals@8.58
MP5-SD | Phosphor (Field-Tested)@3.32@2.9216@7.9@7.742@skinport@csdeals@4.42
MP5-SD | Phosphor (Minimal Wear)@4.74@4.1712@14.0@13.72@skinport@csdeals@8.98
MP7 | Abyssal Apparition (Field-Tested)@1.52@1.3376@4.3@4.214@skinport@csdeals@2.69
MP7 | Asterion (Well-Worn)@2.35@2.068@6.0@5.88@skinport@csdeals@3.53
MP7 | Cirrus (Factory New)@1.27@1.1176@8.0@7.84@skinport@csdeals@6.57
MP7 | Guerrilla (Factory New)@1.2@1.056@9.0@8.82@skinport@csdeals@7.62
MP7 | Impire (Factory New)@4.24@3.7312@7.3@7.154@skinport@csdeals@2.91
MP7 | Neon Ply (Minimal Wear)@2.87@2.5256000000000003@5.2@5.096@skinport@csdeals@2.23
MP7 | Ocean Foam (Factory New)@3.74@3.2912000000000003@7.0@6.859999999999999@skinport@csdeals@3.12
MP9 | Airlock (Field-Tested)@1.5@1.32@4.3@4.214@skinport@csdeals@2.71
MP9 | Airlock (Minimal Wear)@4.22@3.7136@9.0@8.82@skinport@csdeals@4.6
MP9 | Black Sand (Factory New)@0.4@0.352@7.0@6.859999999999999@skinport@csdeals@6.46
MP9 | Capillary (Factory New)@0.26@0.2288@6.0@5.88@skinport@csdeals@5.62
MP9 | Dart (Field-Tested)@0.28@0.2464@10.0@9.8@skinport@csdeals@9.52
MP9 | Deadly Poison (Factory New)@1.6@1.408@11.0@10.78@skinport@csdeals@9.18
MP9 | Hot Rod (Factory New)@55.63@48.9544@59.0@57.82@skinport@csdeals@2.19
MP9 | Hydra (Well-Worn)@4.48@3.942400000000001@9.8@9.604@skinport@csdeals@5.12
MP9 | Rose Iron (Factory New)@9.23@8.1224@17.0@16.66@skinport@csdeals@7.43
MP9 | Sand Scale (Factory New)@0.36@0.3167999999999999@8.0@7.84@skinport@csdeals@7.48
MP9 | Starlight Protector (Factory New)@27.32@24.0416@34.99@34.2902@skinport@csdeals@6.97
MP9 | Starlight Protector (Minimal Wear)@10.67@9.3896@13.11@12.8478@skinport@csdeals@2.18
MP9 | Wild Lily (Factory New)@2429.11@2137.6168@3500.0@3430.0@skinport@csdeals@1000.89
Music Kit | AWOLNATION, I Am@3.19@2.8072@11.0@10.78@skinport@csdeals@7.59
Music Kit | Lennie Moore, Java Havana Funkaloo@5.89@5.183199999999999@11.0@10.78@skinport@csdeals@4.89
Music Kit | Matt Levine, Drifter@1.7@1.496@4.0@3.92@skinport@csdeals@2.22
Music Kit | Scarlxrd, CHAIN$AW.LXADXUT.@2.0@1.76@5.0@4.9@skinport@csdeals@2.9
Music Kit | The Verkkars & n0thing, Flashbang Dance@3.22@2.8336@12.0@11.76@skinport@csdeals@8.54
★ Navaja Knife | Boreal Forest (Battle-Scarred)@81.24@71.49119999999999@102.1@100.058@skinport@csdeals@18.82
★ Navaja Knife | Fade (Factory New)@267.09@235.0392@294.9@289.00199999999995@skinport@csdeals@21.91
★ Navaja Knife | Marble Fade (Factory New)@189.71@166.9448@209.99@205.7902@skinport@csdeals@16.08
★ Navaja Knife | Rust Coat (Battle-Scarred)@84.37@74.24560000000001@89.99@88.19019999999999@skinport@csdeals@3.82
★ Navaja Knife | Safari Mesh (Field-Tested)@81.23@71.4824@85.99@84.27019999999999@skinport@csdeals@3.04
★ Navaja Knife | Urban Masked (Field-Tested)@75.72@66.6336@99.99@97.9902@skinport@csdeals@22.27
Negev | Dazzle (Minimal Wear)@0.17@0.1496@8.0@7.84@skinport@csdeals@7.67
Negev | Desert-Strike (Factory New)@0.43@0.3784@5.0@4.9@skinport@csdeals@4.47
Negev | Mjölnir (Factory New)@3205.97@2821.2536@3500.0@3430.0@skinport@csdeals@224.03
Negev | Phoenix Stencil (Field-Tested)@10.02@8.8176@15.8@15.484@skinport@csdeals@5.46
Negev | Phoenix Stencil (Minimal Wear)@6.73@5.9224000000000006@16.0@15.68@skinport@csdeals@8.95
Negev | Prototype (Factory New)@0.23@0.2024@8.0@7.84@skinport@csdeals@7.61
Negev | Ultralight (Factory New)@0.14@0.1232@5.0@4.9@skinport@csdeals@4.76
★ Nomad Knife | Blue Steel (Minimal Wear)@346.79@305.1752@434.2@425.516@skinport@csdeals@78.73
★ Nomad Knife | Crimson Web (Battle-Scarred)@333.86@293.7968@356.26@349.1348@skinport@csdeals@15.27
★ Nomad Knife | Crimson Web (Minimal Wear)@720.0@633.6@834.06@817.3788@skinport@csdeals@97.38
★ Nomad Knife | Fade (Factory New)@1079.76@950.1888@1299.99@1273.9902@skinport@csdeals@194.23
★ Nomad Knife | Forest DDPAT (Field-Tested)@148.65@130.812@165.99@162.6702@skinport@csdeals@14.02
★ Nomad Knife | Forest DDPAT (Minimal Wear)@174.2@153.296@199.99@195.9902@skinport@csdeals@21.79
★ Nomad Knife | Night Stripe (Field-Tested)@180.28@158.6464@229.99@225.3902@skinport@csdeals@45.11
Nova | Green Apple (Factory New)@14.46@12.7248@70.0@68.6@skinport@csdeals@54.14
Nova | Hyper Beast (Factory New)@29.0@25.52@32.0@31.36@skinport@csdeals@2.36
Nova | Ranger (Factory New)@0.99@0.8712@8.0@7.84@skinport@csdeals@6.85
Nova | Tempest (Factory New)@16.87@14.8456@30.0@29.4@skinport@csdeals@12.53
Nova | Tempest (Minimal Wear)@4.95@4.356@13.0@12.74@skinport@csdeals@7.79
Nova | Toy Soldier (Factory New)@2.82@2.4816@20.0@19.6@skinport@csdeals@16.78
Nova | Wood Fired (Factory New)@0.14@0.1232@4.0@3.92@skinport@csdeals@3.78
Nuke Pin@7.04@6.1952@16.0@15.68@skinport@csdeals@8.64
Operation Bravo Case@54.09@47.5992@64.99@63.6902@skinport@csdeals@9.6
Operation Phoenix Case Key@13.3@11.704@27.0@26.46@skinport@csdeals@13.16
P2000 | Acid Etched (Factory New)@2.55@2.244@12.0@11.76@skinport@csdeals@9.21
P2000 | Amber Fade (Field-Tested)@6.32@5.5616@8.65@8.477@skinport@csdeals@2.16
P2000 | Gnarled (Factory New)@0.17@0.1496@8.0@7.84@skinport@csdeals@7.67
P2000 | Handgun (Factory New)@2.97@2.6136000000000004@22.0@21.56@skinport@csdeals@18.59
P2000 | Lifted Spirits (Field-Tested)@0.04@0.0352@9.9@9.702@skinport@csdeals@9.66
P2000 | Urban Hazard (Factory New)@0.76@0.6688000000000001@9.0@8.82@skinport@csdeals@8.06
P2000 | Wicked Sick (Well-Worn)@3.14@2.7632000000000003@8.14@7.977200000000001@skinport@csdeals@4.84
P250 | Apep's Curse (Minimal Wear)@137.72@121.1936@196.0@192.08@skinport@csdeals@54.36
P250 | Bengal Tiger (Field-Tested)@6.89@6.0632@16.93@16.5914@skinport@csdeals@9.7
P250 | Contaminant (Factory New)@0.79@0.6952@10.0@9.8@skinport@csdeals@9.01
P250 | Contamination (Factory New)@2.49@2.1912000000000003@13.0@12.74@skinport@csdeals@10.25
P250 | Exchanger (Factory New)@1.34@1.1792@9.0@8.82@skinport@csdeals@7.48
P250 | Inferno (Factory New)@1.47@1.2936@15.0@14.7@skinport@csdeals@13.23
P250 | Iron Clad (Factory New)@0.41@0.3607999999999999@7.0@6.859999999999999@skinport@csdeals@6.45
P250 | Mint Kimono (Factory New)@3.24@2.8512000000000004@8.0@7.84@skinport@csdeals@4.6
P250 | Mint Kimono (Minimal Wear)@2.57@2.2616@5.0@4.9@skinport@csdeals@2.33
P250 | Nevermore (Well-Worn)@0.69@0.6072@4.0@3.92@skinport@csdeals@3.23
P250 | Sand Dune (Factory New)@0.53@0.4664@10.2@9.996@skinport@csdeals@9.47
P250 | Verdigris (Factory New)@0.36@0.3167999999999999@4.0@3.92@skinport@csdeals@3.56
P90 | Astral Jörmungandr (Factory New)@289.35@254.628@430.0@421.4@skinport@csdeals@132.05
P90 | Astral Jörmungandr (Minimal Wear)@333.87@293.8056@350.0@343.0@skinport@csdeals@9.13
P90 | Blind Spot (Minimal Wear)@9.24@8.1312@21.0@20.58@skinport@csdeals@11.34
P90 | Cocoa Rampage (Factory New)@0.75@0.66@10.0@9.8@skinport@csdeals@9.05
P90 | Desert Warfare (Minimal Wear)@1.84@1.6192@4.0@3.92@skinport@csdeals@2.08
P90 | Facility Negative (Factory New)@0.96@0.8448@14.0@13.72@skinport@csdeals@12.76
P90 | Freight (Factory New)@0.21@0.1848@11.0@10.78@skinport@csdeals@10.57
P90 | Grim (Factory New)@1.44@1.2672@10.0@9.8@skinport@csdeals@8.36
P90 | Neoqueen (Battle-Scarred)@4.0@3.52@50.0@49.0@skinport@csdeals@45.0
P90 | Nostalgia (Minimal Wear)@6.11@5.3768@8.73@8.5554@skinport@csdeals@2.45
P90 | Off World (Factory New)@0.99@0.8712@4.0@3.92@skinport@csdeals@2.93
P90 | Shapewood (Factory New)@15.46@13.6048@50.0@49.0@skinport@csdeals@33.54
P90 | Teardown (Factory New)@1.5@1.32@13.0@12.74@skinport@csdeals@11.24
P90 | Tiger Pit (Field-Tested)@9.46@8.324800000000002@16.25@15.925@skinport@csdeals@6.46
P90 | Tiger Pit (Well-Worn)@7.61@6.6968000000000005@15.84@15.5232@skinport@csdeals@7.91
P90 | Trigon (Minimal Wear)@11.41@10.0408@28.0@27.44@skinport@csdeals@16.03
P90 | Vent Rush (Minimal Wear)@1.14@1.0032@4.0@3.92@skinport@csdeals@2.78
P90 | Virus (Factory New)@6.67@5.8696@25.0@24.5@skinport@csdeals@17.83
★ Paracord Knife@300.0@264.0@419.9@411.502@skinport@csdeals@111.5
★ Paracord Knife | Forest DDPAT (Battle-Scarred)@101.6@89.408@126.78@124.2444@skinport@csdeals@22.64
★ Paracord Knife | Night Stripe (Field-Tested)@127.98@112.6224@134.99@132.2902@skinport@csdeals@4.31
★ Paracord Knife | Slaughter (Factory New)@450.55@396.484@539.9@529.102@skinport@csdeals@78.55
Paris 2023 Ancient Souvenir Package@2.72@2.3936@10.0@9.8@skinport@csdeals@7.08
Paris 2023 Inferno Souvenir Package@2.86@2.5168@10.0@9.8@skinport@csdeals@6.94
Paris 2023 Mirage Souvenir Package@2.78@2.4464@10.0@9.8@skinport@csdeals@7.02
Paris 2023 Nuke Souvenir Package@3.42@3.0096@10.0@9.8@skinport@csdeals@6.38
Paris 2023 Overpass Souvenir Package@2.79@2.4552@10.0@9.8@skinport@csdeals@7.01
Paris 2023 Vertigo Souvenir Package@3.18@2.7984@10.0@9.8@skinport@csdeals@6.62
Paris 2023 Viewer Pass + 3 Souvenir Tokens@17.8@15.664@31.18@30.5564@skinport@csdeals@12.76
Patch | Elder God@30.1@26.488000000000003@51.0@49.98@skinport@csdeals@19.88
Patch | Giant Squid@2.16@1.9008@5.0@4.9@skinport@csdeals@2.74
PP-Bizon | Brass (Factory New)@4.97@4.3736@17.0@16.66@skinport@csdeals@11.69
PP-Bizon | Candy Apple (Factory New)@0.16@0.1408@6.0@5.88@skinport@csdeals@5.72
PP-Bizon | Fuel Rod (Factory New)@3.03@2.6664@7.0@6.859999999999999@skinport@csdeals@3.83
PP-Bizon | Harvester (Factory New)@0.37@0.3256@3.5@3.43@skinport@csdeals@3.06
PP-Bizon | High Roller (Minimal Wear)@4.18@3.6784@11.0@10.78@skinport@csdeals@6.6
PP-Bizon | High Roller (Well-Worn)@2.44@2.1472@4.6@4.508@skinport@csdeals@2.07
PP-Bizon | Jungle Slipstream (Factory New)@0.24@0.2112@8.0@7.84@skinport@csdeals@7.6
PP-Bizon | Night Riot (Factory New)@0.83@0.7303999999999999@4.0@3.92@skinport@csdeals@3.09
PP-Bizon | Photic Zone (Factory New)@2.1@1.848@10.0@9.8@skinport@csdeals@7.7
Primeiro Tenente | Brazilian 1st Battalion@9.47@8.3336@12.99@12.7302@skinport@csdeals@3.26
R8 Revolver | Amber Fade (Factory New)@1.76@1.5488@12.0@11.76@skinport@csdeals@10.0
R8 Revolver | Crazy 8 (Minimal Wear)@1.16@1.0208@4.0@3.92@skinport@csdeals@2.76
R8 Revolver | Crimson Web (Factory New)@5.01@4.4088@26.0@25.48@skinport@csdeals@20.47
R8 Revolver | Fade (Minimal Wear)@10.02@8.8176@23.0@22.54@skinport@csdeals@12.52
R8 Revolver | Junk Yard (Factory New)@0.45@0.396@10.0@9.8@skinport@csdeals@9.35
R8 Revolver | Llama Cannon (Factory New)@13.91@12.2408@28.0@27.44@skinport@csdeals@13.53
R8 Revolver | Llama Cannon (Field-Tested)@2.11@1.8568@6.0@5.88@skinport@csdeals@3.77
R8 Revolver | Nitro (Factory New)@1.99@1.7512@9.5@9.31@skinport@csdeals@7.32
R8 Revolver | Reboot (Factory New)@3.22@2.8336@17.0@16.66@skinport@csdeals@13.44
R8 Revolver | Survivalist (Factory New)@0.23@0.2024@30.0@29.4@skinport@csdeals@29.17
Rio 2022 Dust II Souvenir Package@6.01@5.2888@13.37@13.1026@skinport@csdeals@7.09
Safecracker Voltzmann | The Professionals@10.57@9.3016@13.99@13.7102@skinport@csdeals@3.14
Sawed-Off | Apocalypto (Factory New)@4.66@4.1008@22.0@21.56@skinport@csdeals@16.9
Sawed-Off | Bamboo Shadow (Minimal Wear)@2.88@2.5344@6.0@5.88@skinport@csdeals@3.0
Sawed-Off | Black Sand (Factory New)@0.23@0.2024@13.0@12.74@skinport@csdeals@12.51
Sawed-Off | Jungle Thicket (Factory New)@2.13@1.8744@11.0@10.78@skinport@csdeals@8.65
Sawed-Off | Kiss♥Love (Battle-Scarred)@3.61@3.1768@8.0@7.84@skinport@csdeals@4.23
