name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
StatTrak™ Glock-18 | Warhawk (Factory New)@5.4@4.752000000000001@14.87@14.126499999999998@skinport@skinwallet@8.73
StatTrak™ M4A4 | Royal Paladin (Field-Tested)@21.13@18.5944@45.87@43.5765@skinport@skinwallet@22.45
StatTrak™ MAG-7 | BI83 Spectrum (Minimal Wear)@4.55@4.004@10.0@9.5@skinport@skinwallet@4.95
StatTrak™ Music Kit | Skog, II-Headshot@5.71@5.0248@8.82@8.379@skinport@skinwallet@2.67
StatTrak™ SSG 08 | Abyss (Factory New)@16.69@14.6872@60.0@57.0@skinport@skinwallet@40.31
StatTrak™ SSG 08 | Fever Dream (Factory New)@6.93@6.0984@27.87@26.4765@skinport@skinwallet@19.55
StatTrak™ USP-S | Overgrowth (Minimal Wear)@63.42@55.8096@80.71@76.6745@skinport@skinwallet@13.25
Sticker | 3DMAX | Katowice 2014@684.43@602.2984@3970.62@3772.089@skinport@skinwallet@3087.66
Sticker | adreN | MLG Columbus 2016@2.37@2.0856@12.0@11.4@skinport@skinwallet@9.03
Sticker | bondik | Boston 2018@4.53@3.9864@9.38@8.911@skinport@skinwallet@4.38
Sticker | Fnatic (Holo) | Katowice 2015@165.92@146.00959999999998@185.0@175.75@skinport@skinwallet@9.83
Sticker | G2 Esports | Cologne 2016@5.56@4.892799999999999@200.0@190.0@skinport@skinwallet@184.44
Sticker | Gambit Gaming | Cologne 2016@2.64@2.3232@5.57@5.2915@skinport@skinwallet@2.65
Sticker | GuardiaN (Foil) | Cluj-Napoca 2015@14.88@13.0944@23.0@21.85@skinport@skinwallet@6.97
Sticker | HellRaisers | DreamHack 2014@44.06@38.7728@600.0@570.0@skinport@skinwallet@525.94
Sticker | IHC Esports (Holo) | Rio 2022@1.83@1.6104@4.17@3.9615@skinport@skinwallet@2.13
Sticker | Natus Vincere (Holo) | Katowice 2015@511.93@450.4984@750.0@712.5@skinport@skinwallet@200.57
Sticker | Natus Vincere | Katowice 2015@30.05@26.444@38.0@36.1@skinport@skinwallet@6.05
Sticker | Ninjas in Pyjamas (Gold) | Antwerp 2022@3.04@2.6752@7.11@6.7545@skinport@skinwallet@3.71
