name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Navaja Knife | Crimson Web (Field-Tested)@93.93@89.2335@119.98@113.981@skinwallet@shadowpay@20.05
★ Navaja Knife | Tiger Tooth (Factory New)@137.88@130.986@179.99@170.9905@skinwallet@shadowpay@33.11
★ Navaja Knife | Ultraviolet (Field-Tested)@73.42@69.749@93.89@89.1955@skinwallet@shadowpay@15.78
★ Paracord Knife | Boreal Forest (Field-Tested)@95.07@90.3165@120.35@114.3325@skinwallet@shadowpay@19.26
★ Shadow Daggers | Autotronic (Minimal Wear)@107.25@101.8875@133.1@126.445@skinwallet@shadowpay@19.19
★ Shadow Daggers | Crimson Web (Field-Tested)@114.06@108.357@145.19@137.9305@skinwallet@shadowpay@23.87
★ Shadow Daggers | Gamma Doppler (Factory New)@173.41@164.7395@210.66@200.127@skinwallet@shadowpay@26.72
★ Shadow Daggers | Ultraviolet (Field-Tested)@88.34@83.923@131.1@124.545@skinwallet@shadowpay@36.2
★ StatTrak™ Bayonet | Safari Mesh (Field-Tested)@187.85@178.45749999999998@360.0@342.0@skinwallet@shadowpay@154.15
★ StatTrak™ Bowie Knife | Bright Water (Minimal Wear)@123.13@116.9735@200.0@190.0@skinwallet@shadowpay@66.87
★ StatTrak™ Huntsman Knife | Freehand (Field-Tested)@126.28@119.966@204.99@194.7405@skinwallet@shadowpay@68.46
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested)@429.66@408.177@640.0@608.0@skinwallet@shadowpay@178.34
★ StatTrak™ Shadow Daggers | Marble Fade (Factory New)@197.35@187.4825@309.98@294.481@skinwallet@shadowpay@97.13
★ StatTrak™ Shadow Daggers | Night (Field-Tested)@116.28@110.466@129.9@123.405@skinwallet@shadowpay@7.12
★ StatTrak™ Shadow Daggers | Tiger Tooth (Factory New)@180.35@171.33249999999998@327.78@311.391@skinwallet@shadowpay@131.04
★ StatTrak™ Skeleton Knife | Safari Mesh (Field-Tested)@236.72@224.884@402.41@382.2895@skinwallet@shadowpay@145.57
★ Talon Knife | Stained (Field-Tested)@322.59@306.4605@380.0@361.0@skinwallet@shadowpay@38.41
★ Talon Knife | Stained (Well-Worn)@297.8@282.91@378.9@359.955@skinwallet@shadowpay@62.15
★ Talon Knife | Tiger Tooth (Factory New)@672.88@639.236@829.55@788.0724999999999@skinwallet@shadowpay@115.19
★ Talon Knife | Urban Masked (Battle-Scarred)@228.65@217.2175@346.25@328.9375@skinwallet@shadowpay@100.29
★ Ursus Knife | Boreal Forest (Field-Tested)@104.08@98.876@127.94@121.543@skinwallet@shadowpay@17.46
★ Ursus Knife | Crimson Web (Field-Tested)@269.09@255.63549999999995@366.29@347.9755@skinwallet@shadowpay@78.89
★ Ursus Knife | Night Stripe (Field-Tested)@120.45@114.4275@138.4@131.48@skinwallet@shadowpay@11.03
★ Ursus Knife | Ultraviolet (Field-Tested)@161.84@153.748@209.96@199.462@skinwallet@shadowpay@37.62
★ Ursus Knife | Ultraviolet (Minimal Wear)@227.21@215.8495@289.68@275.196@skinwallet@shadowpay@47.99
