name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Predator (Factory New)@68.0@66.64@81.0@71.28@csdeals@skinport@3.28
Autograph Capsule | Challengers (Foil) | Atlanta 2017@70.0@68.6@103.62@91.1856@csdeals@skinport@21.19
Autograph Capsule | Team Dignitas | Cluj-Napoca 2015@15.62@15.3076@24.37@21.4456@csdeals@skinport@5.83
Autograph Capsule | Titan | Cologne 2015@35.0@34.3@44.52@39.177600000000005@csdeals@skinport@4.18
CZ75-Auto | Poison Dart (Factory New)@5.75@5.635@11.12@9.7856@csdeals@skinport@4.04
CZ75-Auto | Tread Plate (Factory New)@10.18@9.9764@19.28@16.9664@csdeals@skinport@6.79
Desert Eagle | Heirloom (Factory New)@12.0@11.76@21.13@18.5944@csdeals@skinport@6.59
Desert Eagle | Sunset Storm 弐 (Field-Tested)@380.0@372.4@602.06@529.8127999999999@csdeals@skinport@149.81
Dual Berettas | Anodized Navy (Factory New)@0.94@0.9212@4.79@4.2152@csdeals@skinport@3.28
Galil AR | Cerberus (Field-Tested)@13.37@13.1026@18.23@16.0424@csdeals@skinport@2.67
M4A4 | Radiation Hazard (Minimal Wear)@71.8@70.36399999999999@97.93@86.17840000000001@csdeals@skinport@14.38
MAG-7 | Counter Terrace (Field-Tested)@99.0@97.02@120.19@105.7672@csdeals@skinport@6.77
Negev | Bratatat (Minimal Wear)@3.0@2.94@6.33@5.5704@csdeals@skinport@2.57
Negev | Power Loader (Factory New)@4.15@4.067@7.78@6.8464@csdeals@skinport@2.7
Nova | Moon in Libra (Minimal Wear)@2.68@2.6264000000000003@11.13@9.7944@csdeals@skinport@7.11
P2000 | Fire Elemental (Battle-Scarred)@8.54@8.3692@14.61@12.8568@csdeals@skinport@4.32
P250 | Crimson Kimono (Minimal Wear)@15.58@15.2684@20.78@18.2864@csdeals@skinport@2.71
Sealed Graffiti | FaZe Clan | Atlanta 2017@7.0@6.859999999999999@16.18@14.2384@csdeals@skinport@7.24
Sealed Graffiti | Flickshot@1.4@1.372@4.5@3.96@csdeals@skinport@2.56
Sealed Graffiti | Team EnVyUs | Atlanta 2017@5.0@4.9@23.73@20.8824@csdeals@skinport@15.88
Sealed Graffiti | Welcome to the Clutch@1.5@1.47@4.25@3.74@csdeals@skinport@2.24
Souvenir AUG | Radiation Hazard (Minimal Wear)@4.6@4.508@8.62@7.585599999999999@csdeals@skinport@2.99
Souvenir Dual Berettas | Briar (Factory New)@1.99@1.9502@7.07@6.2216000000000005@csdeals@skinport@4.23
Souvenir Five-SeveN | Contractor (Factory New)@30.0@29.4@50.08@44.0704@csdeals@skinport@14.07
Souvenir Galil AR | Cerberus (Field-Tested)@30.99@30.3702@99.99@87.99119999999999@csdeals@skinport@57.0
Souvenir MP9 | Dark Age (Minimal Wear)@14.99@14.6902@46.3@40.744@csdeals@skinport@25.75
Souvenir Negev | Nuclear Waste (Well-Worn)@4.99@4.8902@10.09@8.879199999999999@csdeals@skinport@3.89
Souvenir P250 | Contamination (Minimal Wear)@3.0@2.94@16.69@14.6872@csdeals@skinport@11.69
Souvenir P250 | Sand Dune (Well-Worn)@1.0@0.98@3.54@3.1152@csdeals@skinport@2.12
