name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785@6.12@5.3856@skinwallet@skinport@2.36
★ StatTrak™ Bayonet | Safari Mesh (Field-Tested)@187.85@178.45749999999998@272.66@239.9408@skinwallet@skinport@52.09
★ StatTrak™ Bowie Knife | Bright Water (Minimal Wear)@123.13@116.9735@200.32@176.2816@skinwallet@skinport@53.15
★ StatTrak™ Bowie Knife | Ultraviolet (Minimal Wear)@158.02@150.119@222.24@195.5712@skinwallet@skinport@37.55
★ StatTrak™ Huntsman Knife | Freehand (Field-Tested)@126.28@119.966@180.38@158.7344@skinwallet@skinport@32.45
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested)@429.66@408.177@545.32@479.8816000000001@skinwallet@skinport@50.22
★ StatTrak™ Shadow Daggers@175.79@167.0005@254.85@224.268@skinwallet@skinport@48.48
★ StatTrak™ Shadow Daggers | Marble Fade (Factory New)@197.35@187.4825@285.0@250.8@skinwallet@skinport@53.45
★ StatTrak™ Shadow Daggers | Tiger Tooth (Factory New)@180.35@171.33249999999998@244.37@215.0456@skinwallet@skinport@34.7
★ Talon Knife | Stained (Field-Tested)@322.59@306.4605@380.0@334.4@skinwallet@skinport@11.81
★ Talon Knife | Stained (Well-Worn)@297.8@282.91@455.01@400.4088@skinwallet@skinport@102.61
★ Talon Knife | Tiger Tooth (Factory New)@672.88@639.236@775.11@682.0968@skinwallet@skinport@9.22
★ Talon Knife | Urban Masked (Battle-Scarred)@228.65@217.2175@330.72@291.03360000000004@skinwallet@skinport@62.38
★ Ursus Knife | Boreal Forest (Field-Tested)@104.08@98.876@132.43@116.5384@skinwallet@skinport@12.46
★ Ursus Knife | Crimson Web (Field-Tested)@269.09@255.63549999999995@309.63@272.4744@skinwallet@skinport@3.38
★ Ursus Knife | Ultraviolet (Field-Tested)@161.84@153.748@201.09@176.9592@skinwallet@skinport@15.12
★ Ursus Knife | Ultraviolet (Minimal Wear)@227.21@215.8495@271.31@238.7528@skinwallet@skinport@11.54
