name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785@6.12@5.3856@skinwallet@skinport@2.36
MAC-10 | Toybox (Well-Worn)@1.79@1.7005@4.67@4.1096@skinwallet@skinport@2.32
MAC-10 | Ultraviolet (Minimal Wear)@1.61@1.5295@5.45@4.796@skinwallet@skinport@3.19
MAG-7 | Bulldozer (Minimal Wear)@10.28@9.765999999999998@30.35@26.708@skinwallet@skinport@16.43
MAG-7 | Chainmail (Minimal Wear)@12.54@11.912999999999998@18.31@16.1128@skinwallet@skinport@3.57
MAG-7 | Copper Coated (Minimal Wear)@1.72@1.634@4.73@4.162400000000001@skinwallet@skinport@2.44
MP5-SD | Bamboo Garden (Factory New)@1.72@1.634@4.44@3.907200000000001@skinwallet@skinport@2.19
MP5-SD | Liquidation (Factory New)@0.32@0.304@2.77@2.4376@skinwallet@skinport@2.12
MP5-SD | Phosphor (Factory New)@5.78@5.491@8.91@7.8408@skinwallet@skinport@2.06
MP7 | Asterion (Factory New)@2.5@2.375@5.55@4.884@skinwallet@skinport@2.38
MP7 | Bloodsport (Well-Worn)@1.43@1.3584999999999998@4.05@3.564@skinwallet@skinport@2.13
MP7 | Nemesis (Field-Tested)@3.37@3.2015@6.64@5.8432@skinwallet@skinport@2.47
MP9 | Starlight Protector (Factory New)@21.5@20.425@27.32@24.0416@skinwallet@skinport@2.54
Negev | Boroque Sand (Factory New)@1.75@1.6625@4.44@3.907200000000001@skinwallet@skinport@2.16
Negev | Bratatat (Minimal Wear)@1.48@1.406@6.33@5.5704@skinwallet@skinport@4.09
Negev | Power Loader (Factory New)@3.42@3.249@7.78@6.8464@skinwallet@skinport@3.43
Nova | Antique (Minimal Wear)@6.96@6.612@12.87@11.3256@skinwallet@skinport@4.37
Nova | Moon in Libra (Minimal Wear)@2.0@1.9@11.13@9.7944@skinwallet@skinport@7.79
Nova | Tempest (Field-Tested)@3.39@3.2205@7.52@6.6176@skinwallet@skinport@3.23
Number K | The Professionals@23.1@21.945@31.68@27.8784@skinwallet@skinport@4.78
Operation Hydra Case@15.97@15.1715@22.93@20.1784@skinwallet@skinport@4.21
P2000 | Scorpion (Factory New)@6.93@6.583499999999999@10.19@8.9672@skinwallet@skinport@2.04
P2000 | Woodsman (Field-Tested)@5.73@5.4435@8.9@7.832000000000001@skinwallet@skinport@2.1
P250 | Apep's Curse (Field-Tested)@64.09@60.8855@89.03@78.3464@skinwallet@skinport@14.26
P250 | Hive (Factory New)@3.05@2.8974999999999995@6.41@5.6408000000000005@skinwallet@skinport@2.59
P90 | Asiimov (Minimal Wear)@11.97@11.3715@17.73@15.6024@skinwallet@skinport@3.63
P90 | Neoqueen (Battle-Scarred)@1.37@1.3015@4.0@3.52@skinwallet@skinport@2.15
P90 | ScaraB Rush (Field-Tested)@8.06@7.657@12.0@10.56@skinwallet@skinport@2.5
P90 | ScaraB Rush (Minimal Wear)@12.14@11.533@25.03@22.0264@skinwallet@skinport@9.89
P90 | Shallow Grave (Battle-Scarred)@1.75@1.6625@5.56@4.892799999999999@skinwallet@skinport@3.14
P90 | Shallow Grave (Well-Worn)@1.54@1.463@10.57@9.3016@skinwallet@skinport@7.76
P90 | Shapewood (Battle-Scarred)@0.99@0.9405@33.74@29.6912@skinwallet@skinport@28.7
P90 | Sunset Lily (Minimal Wear)@9.53@9.0535@14.43@12.6984@skinwallet@skinport@3.17
PP-Bizon | Bamboo Print (Factory New)@3.01@2.8595@11.12@9.7856@skinwallet@skinport@6.78
PP-Bizon | Brass (Factory New)@2.31@2.1945@4.97@4.3736@skinwallet@skinport@2.06
PP-Bizon | Seabird (Factory New)@1.72@1.634@4.61@4.0568@skinwallet@skinport@2.34
R8 Revolver | Desert Brush (Factory New)@0.29@0.2754999999999999@4.5@3.96@skinwallet@skinport@3.67
R8 Revolver | Fade (Field-Tested)@4.14@3.933@8.9@7.832000000000001@skinwallet@skinport@3.69
Safecracker Voltzmann | The Professionals@7.23@6.8685@10.57@9.3016@skinwallet@skinport@2.07
Sawed-Off | Apocalypto (Factory New)@1.28@1.216@4.66@4.1008@skinwallet@skinport@2.82
Sawed-Off | Highwayman (Factory New)@1.91@1.8145@13.12@11.5456@skinwallet@skinport@9.64
Sawed-Off | Kiss♥Love (Minimal Wear)@5.46@5.186999999999999@16.69@14.6872@skinwallet@skinport@9.23
Sawed-Off | Wasteland Princess (Factory New)@5.4@5.13@10.0@8.8@skinwallet@skinport@3.4
Sawed-Off | Wasteland Princess (Minimal Wear)@2.09@1.9855@5.0@4.4@skinwallet@skinport@2.31
SCAR-20 | Cardiac (Battle-Scarred)@1.86@1.767@4.9@4.312@skinwallet@skinport@2.45
SCAR-20 | Emerald (Factory New)@33.59@31.910500000000003@51.87@45.6456@skinwallet@skinport@12.06
SCAR-20 | Enforcer (Factory New)@1.39@1.3204999999999998@4.8@4.224@skinwallet@skinport@2.83
SCAR-20 | Powercore (Factory New)@1.86@1.767@5.0@4.4@skinwallet@skinport@2.54
Sealed Graffiti | Astralis | Krakow 2017@0.96@0.912@3.87@3.4056@skinwallet@skinport@2.45
Sealed Graffiti | BIG | Krakow 2017@0.65@0.6174999999999999@3.63@3.1944@skinwallet@skinport@2.54
Sealed Graffiti | Immortals | Krakow 2017@0.74@0.703@4.74@4.1712@skinwallet@skinport@3.43
Sealed Graffiti | Misfits Gaming | Boston 2018@1.16@1.102@3.73@3.2824@skinwallet@skinport@2.12
Sealed Graffiti | North | Krakow 2017@0.54@0.513@4.95@4.356@skinwallet@skinport@3.82
Sealed Graffiti | SK Gaming | Krakow 2017@0.71@0.6745@3.32@2.9216@skinwallet@skinport@2.21
Sealed Graffiti | Team EnVyUs | Atlanta 2017@1.9@1.805@23.73@20.8824@skinwallet@skinport@18.98
Sealed Graffiti | Vega Squadron | Krakow 2017@0.68@0.646@3.98@3.5024@skinwallet@skinport@2.82
SG 553 | Hazard Pay (Minimal Wear)@176.87@168.0265@268.31@236.1128@skinwallet@skinport@59.24
SG 553 | Traveler (Field-Tested)@4.01@3.8095@9.45@8.315999999999999@skinwallet@skinport@4.31
Sir Bloody Loudmouth Darryl | The Professionals@21.76@20.672@30.0@26.4@skinwallet@skinport@4.64
Sir Bloody Miami Darryl | The Professionals@43.42@41.249@54.53@47.9864@skinwallet@skinport@4.57
Sir Bloody Skullhead Darryl | The Professionals@13.37@12.7015@18.36@16.1568@skinwallet@skinport@2.79
Souvenir Five-SeveN | Orange Peel (Well-Worn)@2.44@2.318@11.12@9.7856@skinwallet@skinport@7.35
Souvenir MP9 | Old Roots (Battle-Scarred)@6.0@5.699999999999999@9.99@8.7912@skinwallet@skinport@2.79
SSG 08 | Big Iron (Battle-Scarred)@4.08@3.876@7.23@6.3624@skinwallet@skinport@2.28
SSG 08 | Detour (Minimal Wear)@5.36@5.092@11.57@10.1816@skinwallet@skinport@4.82
SSG 08 | Dragonfire (Battle-Scarred)@7.38@7.010999999999999@12.82@11.2816@skinwallet@skinport@3.9
SSG 08 | Turbo Peek (Field-Tested)@3.34@3.173@6.35@5.588@skinwallet@skinport@2.25
StatTrak™ AK-47 | Frontside Misty (Well-Worn)@22.21@21.0995@33.44@29.4272@skinwallet@skinport@7.22
StatTrak™ AK-47 | Head Shot (Minimal Wear)@149.72@142.23399999999998@193.81@170.5528@skinwallet@skinport@20.83
StatTrak™ AK-47 | Ice Coaled (Well-Worn)@15.1@14.345@19.92@17.529600000000002@skinwallet@skinport@2.43
StatTrak™ AK-47 | Legion of Anubis (Field-Tested)@16.73@15.8935@23.93@21.0584@skinwallet@skinport@4.33
StatTrak™ AK-47 | Nightwish (Field-Tested)@30.4@28.88@42.5@37.4@skinwallet@skinport@7.0
StatTrak™ AK-47 | Redline (Field-Tested)@37.02@35.169000000000004@46.17@40.6296@skinwallet@skinport@3.61
StatTrak™ AK-47 | Slate (Minimal Wear)@9.9@9.405@14.41@12.6808@skinwallet@skinport@2.78
StatTrak™ AWP | Fever Dream (Well-Worn)@12.87@12.226499999999998@20.59@18.1192@skinwallet@skinport@5.25
StatTrak™ AWP | PAW (Well-Worn)@3.42@3.249@7.01@6.1688@skinwallet@skinport@2.75
StatTrak™ CZ75-Auto | Tread Plate (Factory New)@10.6@10.07@25.6@22.528@skinwallet@skinport@11.93
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)@9.25@8.7875@12.99@11.4312@skinwallet@skinport@2.18
StatTrak™ Desert Eagle | Naga (Battle-Scarred)@2.37@2.2515@5.44@4.7872@skinwallet@skinport@2.42
StatTrak™ FAMAS | Doomkitty (Minimal Wear)@2.44@2.318@6.68@5.8784@skinwallet@skinport@3.44
StatTrak™ FAMAS | Neural Net (Factory New)@3.94@3.743@7.06@6.2128@skinwallet@skinport@2.27
StatTrak™ FAMAS | ZX Spectron (Minimal Wear)@4.49@4.2655@8.35@7.348@skinwallet@skinport@2.86
StatTrak™ Five-SeveN | Boost Protocol (Field-Tested)@1.74@1.653@4.99@4.3912@skinwallet@skinport@2.65
StatTrak™ Five-SeveN | Monkey Business (Well-Worn)@2.99@2.8405@5.89@5.183199999999999@skinwallet@skinport@2.19
StatTrak™ Galil AR | Kami (Factory New)@2.66@2.527@5.55@4.884@skinwallet@skinport@2.22
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@2.45@2.3275@79.95@70.35600000000001@skinwallet@skinport@67.91
StatTrak™ Glock-18 | Grinder (Factory New)@5.42@5.149@10.29@9.0552@skinwallet@skinport@3.64
StatTrak™ Glock-18 | Grinder (Field-Tested)@3.47@3.2965@126.47@111.2936@skinwallet@skinport@107.82
StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear)@3.26@3.0969999999999995@6.64@5.8432@skinwallet@skinport@2.58
StatTrak™ Glock-18 | Vogue (Factory New)@21.91@20.8145@28.94@25.4672@skinwallet@skinport@3.56
StatTrak™ Glock-18 | Winterized (Factory New)@2.07@1.9665@5.33@4.6904@skinwallet@skinport@2.62
StatTrak™ M249 | Spectre (Factory New)@0.59@0.5605@3.86@3.3968@skinwallet@skinport@2.81
StatTrak™ M4A1-S | Atomic Alloy (Factory New)@130.74@124.203@176.53@155.3464@skinwallet@skinport@24.61
StatTrak™ M4A1-S | Decimator (Field-Tested)@16.87@16.0265@21.65@19.052@skinwallet@skinport@2.18
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred)@2.39@2.2705@5.01@4.4088@skinwallet@skinport@2.02
StatTrak™ M4A1-S | Guardian (Factory New)@73.62@69.93900000000001@99.0@87.12@skinwallet@skinport@13.5
StatTrak™ M4A4 | Neo-Noir (Factory New)@80.78@76.741@96.8@85.184@skinwallet@skinport@4.4
StatTrak™ M4A4 | Spider Lily (Battle-Scarred)@2.21@2.0995@5.0@4.4@skinwallet@skinport@2.19
StatTrak™ M4A4 | Tooth Fairy (Factory New)@15.66@14.877@30.05@26.444@skinwallet@skinport@10.78
StatTrak™ MAC-10 | Neon Rider (Minimal Wear)@16.47@15.646499999999998@21.37@18.8056@skinwallet@skinport@2.34
StatTrak™ MAC-10 | Sakkaku (Field-Tested)@2.9@2.755@7.51@6.6088@skinwallet@skinport@3.71
StatTrak™ MAG-7 | Petroglyph (Factory New)@2.07@1.9665@7.72@6.7936@skinwallet@skinport@4.72
StatTrak™ MAG-7 | SWAG-7 (Minimal Wear)@0.96@0.912@26.7@23.496@skinwallet@skinport@22.54
StatTrak™ MP7 | Neon Ply (Field-Tested)@1.59@1.5105@26.09@22.9592@skinwallet@skinport@21.37
StatTrak™ MP7 | Ocean Foam (Factory New)@14.87@14.126499999999998@33.38@29.3744@skinwallet@skinport@14.5
StatTrak™ MP9 | Dart (Factory New)@1.69@1.6055@14.63@12.8744@skinwallet@skinport@11.18
StatTrak™ MP9 | Food Chain (Minimal Wear)@5.58@5.301@10.0@8.8@skinwallet@skinport@3.22
StatTrak™ MP9 | Mount Fuji (Well-Worn)@1.75@1.6625@4.69@4.1272@skinwallet@skinport@2.38
StatTrak™ Negev | Power Loader (Field-Tested)@2.33@2.2135@5.29@4.6552@skinwallet@skinport@2.33
StatTrak™ P2000 | Oceanic (Minimal Wear)@0.26@0.247@7.5@6.6@skinwallet@skinport@6.34
StatTrak™ P250 | Muertos (Factory New)@19.99@18.9905@27.82@24.4816@skinwallet@skinport@4.49
StatTrak™ P90 | Chopper (Factory New)@3.75@3.5625@7.47@6.5736@skinwallet@skinport@2.82
StatTrak™ P90 | Grim (Factory New)@2.02@1.919@4.69@4.1272@skinwallet@skinport@2.11
StatTrak™ P90 | Shallow Grave (Field-Tested)@2.42@2.299@5.55@4.884@skinwallet@skinport@2.46
StatTrak™ PP-Bizon | High Roller (Battle-Scarred)@2.43@2.3085@5.33@4.6904@skinwallet@skinport@2.26
StatTrak™ PP-Bizon | High Roller (Field-Tested)@3.71@3.5245@6.68@5.8784@skinwallet@skinport@2.17
StatTrak™ R8 Revolver | Crimson Web (Minimal Wear)@0.85@0.8075@9.99@8.7912@skinwallet@skinport@7.94
StatTrak™ R8 Revolver | Llama Cannon (Field-Tested)@3.26@3.0969999999999995@8.57@7.5416@skinwallet@skinport@4.28
StatTrak™ SG 553 | Dragon Tech (Minimal Wear)@2.21@2.0995@50.32@44.2816@skinwallet@skinport@42.07
StatTrak™ SG 553 | Phantom (Factory New)@2.22@2.109@34.72@30.5536@skinwallet@skinport@28.33
StatTrak™ SG 553 | Wave Spray (Field-Tested)@4.07@3.8665@7.08@6.2304@skinwallet@skinport@2.16
StatTrak™ SSG 08 | Abyss (Minimal Wear)@1.39@1.3204999999999998@4.13@3.6344@skinwallet@skinport@2.24
StatTrak™ SSG 08 | Dark Water (Field-Tested)@1.41@1.3395@4.66@4.1008@skinwallet@skinport@2.69
StatTrak™ Tec-9 | Cut Out (Field-Tested)@2.61@2.4795@5.95@5.236@skinwallet@skinport@2.63
StatTrak™ Tec-9 | Fuel Injector (Well-Worn)@2.93@2.7835@6.67@5.8696@skinwallet@skinport@2.94
StatTrak™ Tec-9 | Re-Entry (Factory New)@2.72@2.584@11.3@9.944@skinwallet@skinport@7.22
StatTrak™ UMP-45 | Primal Saber (Field-Tested)@2.82@2.679@5.55@4.884@skinwallet@skinport@2.06
