name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AWP | Electric Hive (Factory New)@63.13@55.5544@71.73@68.1435@skinport@shadowpay@5.01
AWP | Fade (Factory New)@1122.91@988.1608@1195.0@1135.25@skinport@shadowpay@12.34
AWP | Graphite (Factory New)@187.14@164.6832@204.9@194.655@skinport@shadowpay@7.52
AWP | Graphite (Minimal Wear)@194.74@171.37120000000002@219.1@208.145@skinport@shadowpay@13.4
AWP | Hyper Beast (Factory New)@89.58@78.8304@149.99@142.4905@skinport@shadowpay@52.91
AWP | Lightning Strike (Factory New)@545.25@479.82@620.0@589.0@skinport@shadowpay@43.75
AWP | Medusa (Battle-Scarred)@1947.56@1713.8528@2195.84@2086.048@skinport@shadowpay@138.49
AWP | Medusa (Field-Tested)@2448.36@2154.5568000000003@2850.0@2707.5@skinport@shadowpay@259.14
AWP | Medusa (Well-Worn)@2122.35@1867.668@2599.0@2469.05@skinport@shadowpay@346.7
AWP | Oni Taiji (Factory New)@623.22@548.4336000000001@668.16@634.752@skinport@shadowpay@11.53
AWP | Oni Taiji (Minimal Wear)@422.9@372.152@527.0@500.65@skinport@shadowpay@77.75
AWP | Pink DDPAT (Factory New)@172.5@151.8@196.77@186.9315@skinport@shadowpay@14.43
AWP | Silk Tiger (Field-Tested)@122.42@107.7296@248.15@235.7425@skinport@shadowpay@113.32
AWP | Silk Tiger (Minimal Wear)@267.09@235.0392@300.0@285.0@skinport@shadowpay@17.91
AWP | Wildfire (Battle-Scarred)@28.81@25.3528@33.36@31.692@skinport@shadowpay@2.88
AWP | Wildfire (Factory New)@143.89@126.62319999999998@154.86@147.11700000000002@skinport@shadowpay@3.23
★ Bayonet@756.75@665.94@929.0@882.55@skinport@shadowpay@125.8
★ Bayonet | Autotronic (Battle-Scarred)@449.13@395.2344@580.69@551.6555000000001@skinport@shadowpay@102.53
★ Bayonet | Autotronic (Factory New)@1030.31@906.6728@1300.0@1235.0@skinport@shadowpay@204.69
★ Bayonet | Autotronic (Field-Tested)@567.56@499.4528@663.93@630.7334999999999@skinport@shadowpay@63.17
★ Bayonet | Autotronic (Minimal Wear)@698.71@614.8648000000001@756.91@719.0645@skinport@shadowpay@20.35
★ Bayonet | Autotronic (Well-Worn)@562.01@494.5688@666.94@633.5930000000001@skinport@shadowpay@71.58
