name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Driver Gloves | Crimson Weave (Battle-Scarred)@179.58@158.0304@206.58@196.251@skinport@shadowpay@16.67
★ Driver Gloves | Crimson Weave (Well-Worn)@345.0@303.6@410.0@389.5@skinport@shadowpay@44.5
★ Driver Gloves | Diamondback (Battle-Scarred)@86.81@76.39280000000001@139.92@132.92399999999998@skinport@shadowpay@46.11
★ Driver Gloves | Imperial Plaid (Field-Tested)@329.84@290.2592@374.98@356.231@skinport@shadowpay@26.39
★ Driver Gloves | King Snake (Battle-Scarred)@255.95@225.236@337.5@320.625@skinport@shadowpay@64.68
★ Driver Gloves | King Snake (Well-Worn)@445.16@391.7408@549.82@522.3290000000001@skinport@shadowpay@77.17
★ Driver Gloves | Lunar Weave (Battle-Scarred)@92.38@81.2944@100.0@95.0@skinport@shadowpay@2.62
★ Driver Gloves | Lunar Weave (Minimal Wear)@399.51@351.5688@779.71@740.7245@skinport@shadowpay@341.21
★ Driver Gloves | Overtake (Battle-Scarred)@67.88@59.7344@76.67@72.8365@skinport@shadowpay@4.96
★ Driver Gloves | Overtake (Well-Worn)@82.35@72.46799999999999@95.08@90.326@skinport@shadowpay@7.98
★ Driver Gloves | Queen Jaguar (Battle-Scarred)@63.09@55.519200000000005@72.48@68.856@skinport@shadowpay@5.77
★ Driver Gloves | Queen Jaguar (Field-Tested)@79.52@69.9776@96.24@91.428@skinport@shadowpay@11.91
★ Driver Gloves | Queen Jaguar (Minimal Wear)@175.0@154.0@214.1@203.395@skinport@shadowpay@28.4
★ Driver Gloves | Racing Green (Field-Tested)@44.5@39.16@54.8@52.06@skinport@shadowpay@7.56
★ Driver Gloves | Racing Green (Minimal Wear)@70.1@61.688@85.62@81.339@skinport@shadowpay@11.24
★ Driver Gloves | Rezan the Red (Battle-Scarred)@66.22@58.2736@73.16@69.502@skinport@shadowpay@3.28
★ Driver Gloves | Rezan the Red (Minimal Wear)@200.9@176.792@231.69@220.1055@skinport@shadowpay@19.21
★ Driver Gloves | Rezan the Red (Well-Worn)@81.23@71.4824@95.07@90.3165@skinport@shadowpay@9.09
★ Driver Gloves | Snow Leopard (Battle-Scarred)@422.0@371.36@447.54@425.163@skinport@shadowpay@3.16
★ Driver Gloves | Snow Leopard (Field-Tested)@621.93@547.2984@739.26@702.2969999999999@skinport@shadowpay@80.37
★ Driver Gloves | Snow Leopard (Minimal Wear)@1250.0@1100.0@1488.94@1414.493@skinport@shadowpay@164.49
Dual Berettas | Cobra Strike (Factory New)@60.49@53.2312@113.93@108.2335@skinport@shadowpay@47.74
Dual Berettas | Marina (Factory New)@19.0@16.72@26.12@24.814@skinport@shadowpay@5.81
Dual Berettas | Pyre (Factory New)@23.92@21.0496@29.0@27.55@skinport@shadowpay@3.63
ESL One Cologne 2014 Legends@97.89@86.14320000000001@105.87@100.5765@skinport@shadowpay@2.69
★ Falchion Knife | Autotronic (Battle-Scarred)@163.58@143.9504@182.53@173.40349999999998@skinport@shadowpay@9.82
★ Falchion Knife | Autotronic (Field-Tested)@178.05@156.684@221.73@210.6435@skinport@shadowpay@32.59
★ Falchion Knife | Autotronic (Minimal Wear)@223.22@196.4336@276.37@262.5515@skinport@shadowpay@39.33
★ Falchion Knife | Black Laminate (Battle-Scarred)@127.37@112.0856@139.24@132.278@skinport@shadowpay@4.91
★ Falchion Knife | Blue Steel (Battle-Scarred)@128.77@113.3176@172.46@163.837@skinport@shadowpay@35.07
★ Falchion Knife | Blue Steel (Minimal Wear)@150.0@132.0@169.41@160.93949999999998@skinport@shadowpay@10.94
★ Falchion Knife | Case Hardened (Battle-Scarred)@178.61@157.1768@273.72@260.034@skinport@shadowpay@81.42
★ Falchion Knife | Case Hardened (Field-Tested)@170.49@150.0312@187.97@178.5715@skinport@shadowpay@8.08
★ Falchion Knife | Case Hardened (Minimal Wear)@204.6@180.048@247.65@235.2675@skinport@shadowpay@30.67
★ Falchion Knife | Crimson Web (Well-Worn)@194.76@171.3888@216.09@205.2855@skinport@shadowpay@10.53
★ Falchion Knife | Damascus Steel (Battle-Scarred)@125.97@110.8536@164.91@156.66449999999998@skinport@shadowpay@30.69
★ Falchion Knife | Damascus Steel (Factory New)@177.88@156.5344@216.98@206.131@skinport@shadowpay@28.25
★ Falchion Knife | Damascus Steel (Field-Tested)@148.9@131.032@168.45@160.02749999999995@skinport@shadowpay@11.13
★ Falchion Knife | Damascus Steel (Minimal Wear)@192.05@169.00400000000002@204.79@194.5505@skinport@shadowpay@2.5
★ Falchion Knife | Doppler (Factory New)@347.21@305.5448@398.0@378.1@skinport@shadowpay@30.89
★ Falchion Knife | Doppler (Minimal Wear)@445.16@391.7408@479.75@455.7625@skinport@shadowpay@10.6
★ Falchion Knife | Fade (Factory New)@389.5@342.76@494.4@469.68@skinport@shadowpay@80.18
★ Falchion Knife | Fade (Minimal Wear)@445.16@391.7408@587.43@558.0585@skinport@shadowpay@112.9
★ Falchion Knife | Forest DDPAT (Well-Worn)@108.55@95.524@144.37@137.1515@skinport@shadowpay@28.6
★ Falchion Knife | Freehand (Battle-Scarred)@144.68@127.3184@160.0@152.0@skinport@shadowpay@7.32
★ Falchion Knife | Freehand (Factory New)@180.28@158.6464@205.02@194.769@skinport@shadowpay@14.49
★ Falchion Knife | Gamma Doppler (Factory New)@361.69@318.2872@398.16@378.252@skinport@shadowpay@16.56
★ Falchion Knife | Gamma Doppler (Minimal Wear)@445.04@391.6352@480.0@456.0@skinport@shadowpay@10.96
★ Falchion Knife | Lore (Factory New)@280.0@246.4@433.96@412.262@skinport@shadowpay@132.26
★ Falchion Knife | Marble Fade (Factory New)@338.96@298.2848@397.99@378.0905@skinport@shadowpay@39.13
★ Falchion Knife | Night (Battle-Scarred)@119.06@104.7728@133.78@127.091@skinport@shadowpay@8.03
★ Falchion Knife | Safari Mesh (Field-Tested)@90.95@80.036@101.46@96.387@skinport@shadowpay@5.44
★ Falchion Knife | Safari Mesh (Minimal Wear)@113.25@99.66@207.46@197.087@skinport@shadowpay@83.84
★ Falchion Knife | Scorched (Battle-Scarred)@110.0@96.8@120.0@114.0@skinport@shadowpay@4.0
★ Falchion Knife | Scorched (Field-Tested)@99.87@87.88560000000001@107.27@101.9065@skinport@shadowpay@2.04
★ Falchion Knife | Slaughter (Field-Tested)@263.23@231.6424@290.0@275.5@skinport@shadowpay@12.27
★ Falchion Knife | Slaughter (Minimal Wear)@247.11@217.4568@279.99@265.9905@skinport@shadowpay@18.88
★ Falchion Knife | Stained (Battle-Scarred)@110.0@96.8@133.43@126.7585@skinport@shadowpay@16.76
★ Falchion Knife | Tiger Tooth (Minimal Wear)@295.81@260.3128@390.0@370.5@skinport@shadowpay@74.69
★ Falchion Knife | Ultraviolet (Minimal Wear)@172.49@151.7912@199.98@189.981@skinport@shadowpay@17.49
FAMAS | Dark Water (Field-Tested)@11.57@10.1816@20.12@19.114@skinport@shadowpay@7.54
FAMAS | Dark Water (Minimal Wear)@10.91@9.6008@16.07@15.2665@skinport@shadowpay@4.36
FAMAS | Prime Conspiracy (Minimal Wear)@70.87@62.36560000000001@123.92@117.724@skinport@shadowpay@46.85
FAMAS | Pulse (Well-Worn)@6.31@5.5528@11.26@10.697@skinport@shadowpay@4.39
FAMAS | Sundown (Minimal Wear)@81.23@71.4824@140.46@133.437@skinport@shadowpay@52.21
FAMAS | Waters of Nephthys (Factory New)@220.0@193.6@247.0@234.65@skinport@shadowpay@14.65
FAMAS | Waters of Nephthys (Minimal Wear)@172.25@151.58@319.94@303.943@skinport@shadowpay@131.69
Five-SeveN | Anodized Gunmetal (Factory New)@8.85@7.787999999999999@35.0@33.25@skinport@shadowpay@24.4
Five-SeveN | Berries And Cherries (Minimal Wear)@69.43@61.098400000000005@85.47@81.1965@skinport@shadowpay@11.77
Five-SeveN | Candy Apple (Field-Tested)@56.76@49.9488@75.0@71.25@skinport@shadowpay@14.49
Five-SeveN | Candy Apple (Minimal Wear)@77.56@68.25280000000001@117.92@112.024@skinport@shadowpay@34.46
Five-SeveN | Case Hardened (Factory New)@24.35@21.428@27.98@26.581@skinport@shadowpay@2.23
Five-SeveN | Case Hardened (Well-Worn)@14.47@12.7336@18.13@17.223499999999998@skinport@shadowpay@2.75
Five-SeveN | Copper Galaxy (Factory New)@12.79@11.2552@61.46@58.387@skinport@shadowpay@45.6
Five-SeveN | Hyper Beast (Factory New)@91.26@80.3088@162.03@153.9285@skinport@shadowpay@62.67
Five-SeveN | Hyper Beast (Well-Worn)@19.38@17.054399999999998@24.99@23.7405@skinport@shadowpay@4.36
Five-SeveN | Nitro (Minimal Wear)@20.02@17.6176@24.0@22.8@skinport@shadowpay@2.78
★ Flip Knife | Autotronic (Field-Tested)@323.64@284.8032@479.3@455.335@skinport@shadowpay@131.7
★ Flip Knife | Autotronic (Minimal Wear)@424.46@373.5248@519.14@493.183@skinport@shadowpay@68.72
★ Flip Knife | Boreal Forest (Field-Tested)@160.8@141.50400000000002@185.2@175.93999999999997@skinport@shadowpay@15.14
★ Flip Knife | Boreal Forest (Minimal Wear)@203.66@179.2208@256.08@243.276@skinport@shadowpay@39.62
★ Flip Knife | Bright Water (Factory New)@261.53@230.1464@329.99@313.4905@skinport@shadowpay@51.96
★ Flip Knife | Bright Water (Minimal Wear)@234.04@205.9552@273.56@259.882@skinport@shadowpay@25.84
★ Flip Knife | Case Hardened (Battle-Scarred)@222.57@195.8616@269.98@256.481@skinport@shadowpay@33.91
★ Flip Knife | Case Hardened (Minimal Wear)@304.92@268.3296@439.0@417.05@skinport@shadowpay@112.13
★ Flip Knife | Case Hardened (Well-Worn)@297.19@261.5272@334.72@317.98400000000004@skinport@shadowpay@20.79
★ Flip Knife | Crimson Web (Battle-Scarred)@217.01@190.9688@300.0@285.0@skinport@shadowpay@67.99
★ Flip Knife | Crimson Web (Field-Tested)@354.11@311.6168@440.88@418.836@skinport@shadowpay@64.73
★ Flip Knife | Crimson Web (Minimal Wear)@630.2@554.576@1004.48@954.256@skinport@shadowpay@324.06
★ Flip Knife | Crimson Web (Well-Worn)@323.16@284.3808@470.0@446.5@skinport@shadowpay@123.34
★ Flip Knife | Damascus Steel (Factory New)@278.04@244.6752@374.39@355.67049999999995@skinport@shadowpay@77.63
★ Flip Knife | Damascus Steel (Field-Tested)@219.01@192.7288@254.32@241.604@skinport@shadowpay@22.59
★ Flip Knife | Damascus Steel (Minimal Wear)@243.1@213.928@329.99@313.4905@skinport@shadowpay@70.39
★ Flip Knife | Doppler (Factory New)@443.28@390.0864@500.0@475.0@skinport@shadowpay@31.72
★ Flip Knife | Doppler (Minimal Wear)@468.18@411.9984@635.0@603.25@skinport@shadowpay@135.07
★ Flip Knife | Fade (Factory New)@835.98@735.6624@940.0@893.0@skinport@shadowpay@57.02
★ Flip Knife | Forest DDPAT (Battle-Scarred)@178.56@157.1328@201.41@191.3395@skinport@shadowpay@12.78
★ Flip Knife | Forest DDPAT (Minimal Wear)@203.99@179.5112@264.22@251.009@skinport@shadowpay@47.02
★ Flip Knife | Freehand (Well-Worn)@237.96@209.4048@281.79@267.70050000000003@skinport@shadowpay@29.74
★ Flip Knife | Gamma Doppler (Factory New)@575.35@506.3080000000001@700.0@665.0@skinport@shadowpay@89.65
★ Flip Knife | Lore (Factory New)@779.01@685.5288@1423.34@1352.1729999999998@skinport@shadowpay@573.16
★ Flip Knife | Lore (Field-Tested)@379.5@333.96@434.99@413.2405@skinport@shadowpay@33.74
★ Flip Knife | Lore (Minimal Wear)@489.67@430.9096@585.99@556.6904999999999@skinport@shadowpay@67.02
★ Flip Knife | Lore (Well-Worn)@368.01@323.8488@470.0@446.5@skinport@shadowpay@78.49
★ Flip Knife | Marble Fade (Factory New)@621.56@546.9728@832.28@790.6659999999999@skinport@shadowpay@169.11
★ Flip Knife | Night (Battle-Scarred)@175.48@154.42239999999998@233.83@222.1385@skinport@shadowpay@46.66
★ Flip Knife | Night (Field-Tested)@187.22@164.7536@229.41@217.9395@skinport@shadowpay@30.72
★ Flip Knife | Night (Well-Worn)@191.41@168.4408@230.0@218.5@skinport@shadowpay@27.09
★ Flip Knife | Rust Coat (Battle-Scarred)@181.82@160.0016@195.79@186.0005@skinport@shadowpay@4.18
★ Flip Knife | Safari Mesh (Field-Tested)@166.92@146.8896@181.99@172.8905@skinport@shadowpay@5.97
★ Flip Knife | Scorched (Battle-Scarred)@200.31@176.2728@287.79@273.4005@skinport@shadowpay@73.09
★ Flip Knife | Scorched (Field-Tested)@155.83@137.1304@184.92@175.67399999999998@skinport@shadowpay@19.84
★ Flip Knife | Scorched (Well-Worn)@167.63@147.5144@205.0@194.75@skinport@shadowpay@27.12
★ Flip Knife | Slaughter (Factory New)@478.53@421.1064@545.0@517.75@skinport@shadowpay@39.22
★ Flip Knife | Slaughter (Field-Tested)@376.68@331.4784@476.63@452.7985@skinport@shadowpay@76.12
★ Flip Knife | Stained (Field-Tested)@214.78@189.0064@234.99@223.2405@skinport@shadowpay@8.46
★ Flip Knife | Stained (Minimal Wear)@223.78@196.9264@251.1@238.545@skinport@shadowpay@14.76
★ Flip Knife | Stained (Well-Worn)@211.34@185.9792@246.66@234.327@skinport@shadowpay@22.99
★ Flip Knife | Tiger Tooth (Factory New)@432.91@380.9608@514.98@489.231@skinport@shadowpay@56.32
★ Flip Knife | Ultraviolet (Field-Tested)@210.04@184.8352@238.58@226.651@skinport@shadowpay@16.61
★ Flip Knife | Ultraviolet (Minimal Wear)@378.37@332.9656@415.98@395.181@skinport@shadowpay@16.81
G3SG1 | Demeter (Factory New)@13.62@11.9856@19.53@18.5535@skinport@shadowpay@4.93
G3SG1 | The Executioner (Minimal Wear)@18.35@16.148@22.66@21.527@skinport@shadowpay@3.18
Galil AR | Aqua Terrace (Factory New)@127.43@112.1384@207.57@197.1915@skinport@shadowpay@69.76
Galil AR | CAUTION! (Factory New)@45.62@40.1456@50.64@48.108@skinport@shadowpay@2.49
Galil AR | Cerberus (Well-Worn)@11.52@10.1376@17.94@17.043@skinport@shadowpay@5.52
Galil AR | Chatterbox (Field-Tested)@63.43@55.8184@75.14@71.383@skinport@shadowpay@7.95
Galil AR | Dusk Ruins (Minimal Wear)@12.07@10.6216@18.09@17.185499999999998@skinport@shadowpay@5.12
Galil AR | Sugar Rush (Battle-Scarred)@38.95@34.276@54.81@52.0695@skinport@shadowpay@13.12
Glock-18 | Brass (Factory New)@60.88@53.5744@68.96@65.51199999999999@skinport@shadowpay@4.63
Glock-18 | Dragon Tattoo (Factory New)@75.24@66.21119999999999@87.41@83.03949999999999@skinport@shadowpay@7.8
Glock-18 | Fade (Factory New)@1488.0@1309.44@1980.0@1881.0@skinport@shadowpay@393.0
Glock-18 | Gamma Doppler (Battle-Scarred)@24.37@21.4456@27.97@26.5715@skinport@shadowpay@2.2
Glock-18 | Gamma Doppler (Factory New)@40.98@36.0624@45.62@43.339@skinport@shadowpay@2.36
Glock-18 | Gamma Doppler (Field-Tested)@22.64@19.9232@27.5@26.125@skinport@shadowpay@3.48
Glock-18 | Gamma Doppler (Minimal Wear)@30.05@26.444@34.1@32.395@skinport@shadowpay@2.35
Glock-18 | Groundwater (Well-Worn)@11.33@9.9704@16.0@15.2@skinport@shadowpay@3.87
Glock-18 | Neo-Noir (Factory New)@50.7@44.616@64.62@61.389@skinport@shadowpay@10.69
Glock-18 | Nuclear Garden (Well-Worn)@6.15@5.412@8.94@8.492999999999999@skinport@shadowpay@2.34
Glock-18 | Pink DDPAT (Field-Tested)@48.97@43.0936@57.74@54.853@skinport@shadowpay@5.88
Glock-18 | Ramese's Reach (Well-Worn)@10.85@9.548@21.01@19.9595@skinport@shadowpay@9.11
Glock-18 | Red Tire (Battle-Scarred)@1.51@1.3288@3.83@3.6385@skinport@shadowpay@2.13
Glock-18 | Synth Leaf (Factory New)@265.75@233.86@498.64@473.708@skinport@shadowpay@207.96
Glock-18 | Twilight Galaxy (Factory New)@261.67@230.26960000000005@300.0@285.0@skinport@shadowpay@23.33
Glock-18 | Twilight Galaxy (Minimal Wear)@158.01@139.0488@294.15@279.44249999999994@skinport@shadowpay@121.43
★ Gut Knife | Autotronic (Battle-Scarred)@158.02@139.0576@204.13@193.9235@skinport@shadowpay@35.9
★ Gut Knife | Autotronic (Field-Tested)@182.5@160.6@218.44@207.518@skinport@shadowpay@25.02
★ Gut Knife | Autotronic (Minimal Wear)@222.58@195.8704@240.91@228.8645@skinport@shadowpay@6.28
★ Gut Knife | Black Laminate (Battle-Scarred)@114.62@100.8656@173.4@164.73@skinport@shadowpay@50.11
★ Gut Knife | Black Laminate (Field-Tested)@117.96@103.8048@129.99@123.4905@skinport@shadowpay@5.53
★ Gut Knife | Black Laminate (Well-Worn)@114.62@100.8656@125.75@119.4625@skinport@shadowpay@4.84
★ Gut Knife | Blue Steel (Minimal Wear)@120.18@105.7584@150.0@142.5@skinport@shadowpay@22.32
★ Gut Knife | Bright Water (Well-Worn)@104.6@92.048@128.37@121.9515@skinport@shadowpay@17.35
★ Gut Knife | Case Hardened (Field-Tested)@158.02@139.0576@232.56@220.932@skinport@shadowpay@62.91
★ Gut Knife | Case Hardened (Well-Worn)@136.1@119.768@167.0@158.65@skinport@shadowpay@22.55
★ Gut Knife | Crimson Web (Field-Tested)@129.1@113.608@138.99@132.0405@skinport@shadowpay@2.94
★ Gut Knife | Damascus Steel (Field-Tested)@114.28@100.5664@134.02@127.319@skinport@shadowpay@13.04
★ Gut Knife | Damascus Steel (Minimal Wear)@149.44@131.5072@245.96@233.662@skinport@shadowpay@84.22
★ Gut Knife | Doppler (Minimal Wear)@205.77@181.0776@229.81@218.3195@skinport@shadowpay@12.55
★ Gut Knife | Fade (Minimal Wear)@367.25@323.18@425.0@403.75@skinport@shadowpay@36.5
★ Gut Knife | Forest DDPAT (Battle-Scarred)@91.8@80.78399999999999@114.5@108.775@skinport@shadowpay@16.98
★ Gut Knife | Forest DDPAT (Field-Tested)@94.58@83.2304@109.83@104.3385@skinport@shadowpay@9.76
★ Gut Knife | Freehand (Factory New)@134.62@118.4656@245.8@233.51@skinport@shadowpay@98.89
★ Gut Knife | Freehand (Minimal Wear)@110.88@97.5744@134.97@128.2215@skinport@shadowpay@17.34
★ Gut Knife | Gamma Doppler (Factory New)@207.24@182.3712@272.2@258.59@skinport@shadowpay@51.35
★ Gut Knife | Lore (Battle-Scarred)@166.92@146.8896@179.0@170.04999999999998@skinport@shadowpay@3.13
★ Gut Knife | Lore (Factory New)@366.54@322.5552@619.44@588.4680000000001@skinport@shadowpay@221.93
★ Gut Knife | Lore (Field-Tested)@180.0@158.4@216.19@205.3805@skinport@shadowpay@25.38
★ Gut Knife | Lore (Minimal Wear)@255.95@225.236@299.0@284.05@skinport@shadowpay@28.1
★ Gut Knife | Marble Fade (Factory New)@196.02@172.4976@240.44@228.418@skinport@shadowpay@32.4
★ Gut Knife | Night (Battle-Scarred)@111.18@97.8384@134.05@127.3475@skinport@shadowpay@16.17
★ Gut Knife | Night (Field-Tested)@91.25@80.3@98.37@93.4515@skinport@shadowpay@2.2
★ Gut Knife | Night (Minimal Wear)@144.66@127.3008@167.38@159.011@skinport@shadowpay@14.35
★ Gut Knife | Safari Mesh (Field-Tested)@89.47@78.7336@103.39@98.2205@skinport@shadowpay@8.75
★ Gut Knife | Scorched (Minimal Wear)@116.85@102.828@148.32@140.904@skinport@shadowpay@24.05
★ Gut Knife | Slaughter (Factory New)@199.2@175.296@244.81@232.5695@skinport@shadowpay@33.37
★ Gut Knife | Slaughter (Field-Tested)@130.68@114.9984@203.06@192.907@skinport@shadowpay@62.23
★ Gut Knife | Stained (Minimal Wear)@112.02@98.5776@218.34@207.423@skinport@shadowpay@95.4
★ Gut Knife | Ultraviolet (Battle-Scarred)@93.58@82.3504@100.99@95.9405@skinport@shadowpay@2.36
★ Gut Knife | Ultraviolet (Minimal Wear)@127.97@112.6136@215.0@204.25@skinport@shadowpay@76.28
★ Gut Knife | Urban Masked (Battle-Scarred)@110.73@97.4424@149.0@141.54999999999998@skinport@shadowpay@30.82
★ Hand Wraps | Badlands (Field-Tested)@111.91@98.4808@123.9@117.705@skinport@shadowpay@5.8
★ Hand Wraps | CAUTION! (Minimal Wear)@470.0@413.6@629.0@597.55@skinport@shadowpay@127.55
★ Hand Wraps | Cobalt Skulls (Field-Tested)@415.48@365.6224@488.16@463.752@skinport@shadowpay@48.27
★ Hand Wraps | Cobalt Skulls (Minimal Wear)@945.96@832.4448@1029.0@977.55@skinport@shadowpay@31.59
★ Hand Wraps | Cobalt Skulls (Well-Worn)@373.42@328.6096@419.57@398.5915@skinport@shadowpay@25.17
★ Hand Wraps | Constrictor (Minimal Wear)@102.37@90.0856@115.78@109.991@skinport@shadowpay@7.62
★ Hand Wraps | Constrictor (Well-Worn)@61.5@54.12@67.68@64.296@skinport@shadowpay@2.8
★ Hand Wraps | Duct Tape (Field-Tested)@62.99@55.4312@68.48@65.056@skinport@shadowpay@2.07
★ Hand Wraps | Duct Tape (Minimal Wear)@120.14@105.7232@129.59@123.1105@skinport@shadowpay@2.97
★ Hand Wraps | Giraffe (Field-Tested)@89.03@78.3464@97.21@92.3495@skinport@shadowpay@3.32
★ Hand Wraps | Overprint (Battle-Scarred)@139.11@122.4168@163.97@155.7715@skinport@shadowpay@16.66
★ Hand Wraps | Overprint (Field-Tested)@251.5@221.32@269.84@256.348@skinport@shadowpay@4.85
★ Hand Wraps | Slaughter (Field-Tested)@243.71@214.4648@341.29@324.2255@skinport@shadowpay@80.52
★ Hand Wraps | Slaughter (Minimal Wear)@505.09@444.4792@1026.93@975.5835@skinport@shadowpay@470.49
★ Hand Wraps | Spruce DDPAT (Battle-Scarred)@88.76@78.1088@101.28@96.216@skinport@shadowpay@7.46
★ Huntsman Knife@300.15@264.132@464.12@440.914@skinport@shadowpay@140.76
★ Huntsman Knife | Autotronic (Factory New)@417.33@367.2504@535.0@508.25@skinport@shadowpay@90.92
★ Huntsman Knife | Autotronic (Field-Tested)@195.35@171.908@239.1@227.145@skinport@shadowpay@31.8
★ Huntsman Knife | Black Laminate (Battle-Scarred)@214.78@189.0064@279.99@265.9905@skinport@shadowpay@51.21
★ Huntsman Knife | Black Laminate (Factory New)@357.2@314.336@433.99@412.2905@skinport@shadowpay@55.09
★ Huntsman Knife | Black Laminate (Field-Tested)@173.6@152.768@213.77@203.0815@skinport@shadowpay@29.48
★ Huntsman Knife | Black Laminate (Minimal Wear)@185.04@162.8352@254.14@241.433@skinport@shadowpay@56.39
★ Huntsman Knife | Black Laminate (Well-Worn)@176.33@155.1704@232.99@221.3405@skinport@shadowpay@45.01
★ Huntsman Knife | Boreal Forest (Field-Tested)@120.6@106.128@137.6@130.72@skinport@shadowpay@10.12
★ Huntsman Knife | Boreal Forest (Minimal Wear)@139.42@122.68959999999998@167.5@159.125@skinport@shadowpay@19.71
★ Huntsman Knife | Bright Water (Factory New)@180.8@159.104@193.75@184.0625@skinport@shadowpay@3.26
★ Huntsman Knife | Bright Water (Field-Tested)@122.42@107.7296@134.2@127.48999999999998@skinport@shadowpay@5.07
★ Huntsman Knife | Bright Water (Minimal Wear)@155.68@136.9984@174.72@165.98399999999998@skinport@shadowpay@10.3
★ Huntsman Knife | Crimson Web (Minimal Wear)@402.55@354.244@589.99@560.4905@skinport@shadowpay@157.94
★ Huntsman Knife | Damascus Steel (Factory New)@211.54@186.1552@249.1@236.645@skinport@shadowpay@25.11
★ Huntsman Knife | Damascus Steel (Field-Tested)@133.59@117.5592@159.87@151.8765@skinport@shadowpay@18.29
★ Huntsman Knife | Damascus Steel (Minimal Wear)@174.49@153.55120000000002@318.04@302.13800000000003@skinport@shadowpay@127.65
★ Huntsman Knife | Doppler (Factory New)@382.83@336.8904@410.0@389.5@skinport@shadowpay@6.67
★ Huntsman Knife | Doppler (Minimal Wear)@520.0@457.6@594.26@564.5469999999999@skinport@shadowpay@44.55
★ Huntsman Knife | Fade (Factory New)@500.8@440.704@729.63@693.1485@skinport@shadowpay@192.35
★ Huntsman Knife | Forest DDPAT (Field-Tested)@117.29@103.2152@135.8@129.01@skinport@shadowpay@11.72
★ Huntsman Knife | Freehand (Field-Tested)@139.1@122.408@149.99@142.4905@skinport@shadowpay@3.39
★ Huntsman Knife | Freehand (Minimal Wear)@175.46@154.4048@283.79@269.6005@skinport@shadowpay@94.14
★ Huntsman Knife | Gamma Doppler (Minimal Wear)@450.0@396.0@580.0@551.0@skinport@shadowpay@101.0
★ Huntsman Knife | Lore (Battle-Scarred)@178.06@156.6928@205.98@195.681@skinport@shadowpay@17.62
★ Huntsman Knife | Lore (Field-Tested)@255.96@225.2448@307.73@292.3435@skinport@shadowpay@36.38
★ Huntsman Knife | Lore (Minimal Wear)@297.14@261.4832@400.0@380.0@skinport@shadowpay@82.86
★ Huntsman Knife | Rust Coat (Battle-Scarred)@111.29@97.9352@119.64@113.658@skinport@shadowpay@2.37
★ Huntsman Knife | Safari Mesh (Field-Tested)@111.28@97.9264@131.02@124.469@skinport@shadowpay@13.19
★ Huntsman Knife | Safari Mesh (Well-Worn)@124.45@109.516@162.0@153.9@skinport@shadowpay@29.45
★ Huntsman Knife | Scorched (Battle-Scarred)@114.36@100.6368@136.15@129.3425@skinport@shadowpay@14.98
★ Huntsman Knife | Scorched (Field-Tested)@114.62@100.8656@129.19@122.7305@skinport@shadowpay@8.11
★ Huntsman Knife | Scorched (Well-Worn)@126.86@111.6368@146.15@138.8425@skinport@shadowpay@11.98
★ Huntsman Knife | Slaughter (Factory New)@430.87@379.1656@464.13@440.9235@skinport@shadowpay@10.05
★ Huntsman Knife | Slaughter (Field-Tested)@300.0@264.0@325.24@308.978@skinport@shadowpay@8.98
★ Huntsman Knife | Slaughter (Minimal Wear)@344.98@303.5824@397.22@377.359@skinport@shadowpay@32.38
★ Huntsman Knife | Stained (Field-Tested)@137.0@120.56@152.1@144.49499999999998@skinport@shadowpay@7.49
★ Huntsman Knife | Tiger Tooth (Minimal Wear)@355.0@312.4@430.0@408.5@skinport@shadowpay@53.5
★ Huntsman Knife | Ultraviolet (Field-Tested)@115.66@101.7808@126.91@120.5645@skinport@shadowpay@4.9
★ Huntsman Knife | Ultraviolet (Minimal Wear)@189.18@166.4784@218.35@207.4325@skinport@shadowpay@18.25
★ Huntsman Knife | Urban Masked (Field-Tested)@114.62@100.8656@157.15@149.2925@skinport@shadowpay@34.67
★ Hydra Gloves | Case Hardened (Battle-Scarred)@65.94@58.0272@75.31@71.5445@skinport@shadowpay@5.6
★ Hydra Gloves | Case Hardened (Minimal Wear)@180.28@158.6464@201.79@191.7005@skinport@shadowpay@11.42
★ Hydra Gloves | Case Hardened (Well-Worn)@89.35@78.628@102.81@97.6695@skinport@shadowpay@8.32
★ Hydra Gloves | Emerald (Battle-Scarred)@55.63@48.9544@67.12@63.764@skinport@shadowpay@8.13
★ Hydra Gloves | Emerald (Field-Tested)@58.27@51.2776@64.1@60.89499999999999@skinport@shadowpay@2.62
★ Hydra Gloves | Emerald (Well-Worn)@59.17@52.0696@66.65@63.3175@skinport@shadowpay@4.15
★ Hydra Gloves | Mangrove (Factory New)@334.63@294.4744@393.59@373.9105@skinport@shadowpay@39.28
★ Hydra Gloves | Mangrove (Minimal Wear)@64.54@56.79520000000001@71.83@68.2385@skinport@shadowpay@3.7
★ Hydra Gloves | Mangrove (Well-Worn)@50.47@44.4136@55.64@52.858@skinport@shadowpay@2.39
★ Hydra Gloves | Rattler (Battle-Scarred)@47.84@42.0992@53.59@50.9105@skinport@shadowpay@3.07
★ Hydra Gloves | Rattler (Field-Tested)@47.99@42.2312@53.34@50.673@skinport@shadowpay@2.68
★ Karambit | Autotronic (Field-Tested)@1112.89@979.3432@1236.99@1175.1405@skinport@shadowpay@62.25
