name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
FAMAS | Mecha Industries (Well-Worn)@3.18@3.021@6.4@6.272@shadowpay@csdeals@3.09
FAMAS | Meow 36 (Factory New)@0.35@0.3324999999999999@15.0@14.7@shadowpay@csdeals@14.35
FAMAS | Roll Cage (Battle-Scarred)@2.48@2.356@6.0@5.88@shadowpay@csdeals@3.4
FAMAS | Sergeant (Minimal Wear)@4.27@4.0565@8.0@7.84@shadowpay@csdeals@3.57
FAMAS | Teardown (Factory New)@1.03@0.9785@17.0@16.66@shadowpay@csdeals@15.63
FAMAS | Valence (Factory New)@5.16@4.902@14.0@13.72@shadowpay@csdeals@8.56
FAMAS | ZX Spectron (Minimal Wear)@2.16@2.052@5.6@5.488@shadowpay@csdeals@3.33
Five-SeveN | Berries And Cherries (Factory New)@67.44@64.068@72.36@70.9128@shadowpay@csdeals@3.47
Five-SeveN | Candy Apple (Minimal Wear)@117.92@112.024@144.74@141.8452@shadowpay@csdeals@23.93
Five-SeveN | Copper Galaxy (Minimal Wear)@8.94@8.492999999999999@23.0@22.54@shadowpay@csdeals@13.6
Five-SeveN | Fall Hazard (Factory New)@376.98@358.13100000000003@450.0@441.0@shadowpay@csdeals@64.02
Five-SeveN | Fowl Play (Battle-Scarred)@1.63@1.5484999999999998@4.3@4.214@shadowpay@csdeals@2.58
Five-SeveN | Fowl Play (Minimal Wear)@3.96@3.762@10.0@9.8@shadowpay@csdeals@5.84
Five-SeveN | Hyper Beast (Battle-Scarred)@22.0@20.9@25.73@25.2154@shadowpay@csdeals@3.22
Five-SeveN | Kami (Factory New)@1.51@1.4345@20.0@19.6@shadowpay@csdeals@18.09
Five-SeveN | Monkey Business (Minimal Wear)@11.36@10.792@33.0@32.34@shadowpay@csdeals@20.98
Five-SeveN | Orange Peel (Factory New)@0.82@0.7789999999999999@4.5@4.41@shadowpay@csdeals@3.59
Five-SeveN | Scrawl (Battle-Scarred)@0.11@0.1045@9.9@9.702@shadowpay@csdeals@9.59
Five-SeveN | Scumbria (Factory New)@0.34@0.323@10.0@9.8@shadowpay@csdeals@9.46
Five-SeveN | Silver Quartz (Factory New)@0.85@0.8075@3.0@2.94@shadowpay@csdeals@2.09
G3SG1 | Desert Storm (Factory New)@0.2@0.19@4.0@3.92@shadowpay@csdeals@3.72
G3SG1 | Digital Mesh (Factory New)@0.69@0.6555@8.0@7.84@shadowpay@csdeals@7.15
G3SG1 | Hunter (Factory New)@0.28@0.266@10.0@9.8@shadowpay@csdeals@9.52
G3SG1 | Keeping Tabs (Factory New)@1.08@1.026@18.0@17.64@shadowpay@csdeals@16.56
G3SG1 | Murky (Factory New)@0.48@0.4559999999999999@3.0@2.94@shadowpay@csdeals@2.46
G3SG1 | The Executioner (Minimal Wear)@22.66@21.527@60.0@58.8@shadowpay@csdeals@36.14
Galil AR | Black Sand (Factory New)@0.39@0.3705@4.5@4.41@shadowpay@csdeals@4.02
Galil AR | Cerberus (Minimal Wear)@36.59@34.7605@40.0@39.2@shadowpay@csdeals@2.61
Galil AR | Cerberus (Well-Worn)@17.94@17.043@26.0@25.48@shadowpay@csdeals@7.54
Galil AR | Chromatic Aberration (Field-Tested)@1.41@1.3395@3.8@3.724@shadowpay@csdeals@2.31
Galil AR | Stone Cold (Factory New)@4.81@4.5695@9.19@9.0062@shadowpay@csdeals@4.2
Galil AR | Sugar Rush (Minimal Wear)@45.0@42.75@49.99@48.9902@shadowpay@csdeals@3.99
Getaway Sally | The Professionals@31.0@29.45@33.95@33.271@shadowpay@csdeals@2.27
Glock-18 | Blue Fissure (Factory New)@14.24@13.528@25.0@24.5@shadowpay@csdeals@10.26
Glock-18 | Brass (Factory New)@68.96@65.51199999999999@77.93@76.37140000000001@shadowpay@csdeals@7.41
Glock-18 | Bullet Queen (Well-Worn)@5.92@5.624@11.8@11.564@shadowpay@csdeals@5.64
Glock-18 | Bunsen Burner (Factory New)@2.35@2.2325@8.0@7.84@shadowpay@csdeals@5.49
Glock-18 | Catacombs (Factory New)@0.46@0.437@7.0@6.859999999999999@shadowpay@csdeals@6.4
Glock-18 | Fade (Factory New)@1980.0@1881.0@2100.0@2058.0@shadowpay@csdeals@78.0
Glock-18 | Franklin (Factory New)@36.15@34.342499999999994@44.99@44.0902@shadowpay@csdeals@7.94
Glock-18 | Ironwork (Factory New)@0.84@0.7979999999999999@7.0@6.859999999999999@shadowpay@csdeals@6.02
Glock-18 | Neo-Noir (Well-Worn)@8.25@7.837499999999999@19.8@19.404@shadowpay@csdeals@11.15
Glock-18 | Nuclear Garden (Factory New)@16.59@15.7605@26.5@25.97@shadowpay@csdeals@9.38
Glock-18 | Off World (Factory New)@0.65@0.6174999999999999@8.5@8.33@shadowpay@csdeals@7.68
Glock-18 | Reactor (Factory New)@15.4@14.63@28.95@28.371@shadowpay@csdeals@12.97
Glock-18 | Reactor (Minimal Wear)@7.94@7.543@18.0@17.64@shadowpay@csdeals@9.7
Glock-18 | Sacrifice (Factory New)@0.91@0.8644999999999999@8.0@7.84@shadowpay@csdeals@6.93
Glock-18 | Warhawk (Factory New)@0.51@0.4845@14.0@13.72@shadowpay@csdeals@13.21
Glock-18 | Weasel (Factory New)@2.32@2.204@22.0@21.56@shadowpay@csdeals@19.24
Glock-18 | Wraiths (Factory New)@0.66@0.627@9.0@8.82@shadowpay@csdeals@8.16
Guardian 2 Pin@3.65@3.4675@8.0@7.84@shadowpay@csdeals@4.19
Guardian Elite Pin@38.73@36.7935@45.99@45.0702@shadowpay@csdeals@6.34
Health Pin@21.23@20.1685@34.99@34.2902@shadowpay@csdeals@13.06
Howl Pin@59.99@56.9905@89.99@88.19019999999999@shadowpay@csdeals@28.2
Krakow 2017 Challengers Autograph Capsule@45.97@43.6715@54.99@53.8902@shadowpay@csdeals@7.92
Krakow 2017 Legends Autograph Capsule@45.46@43.187@51.99@50.9502@shadowpay@csdeals@5.49
Lambda Pin@4.79@4.5505@7.0@6.859999999999999@shadowpay@csdeals@2.07
Little Kev | The Professionals@10.52@9.994@14.99@14.6902@shadowpay@csdeals@4.17
London 2018 Minor Challengers Autograph Capsule@7.5@7.125@12.99@12.7302@shadowpay@csdeals@5.23
M249 | Aztec (Factory New)@2.0@1.9@7.0@6.859999999999999@shadowpay@csdeals@4.86
M249 | Deep Relief (Factory New)@0.85@0.8075@12.0@11.76@shadowpay@csdeals@10.91
M249 | Emerald Poison Dart (Factory New)@1.77@1.6815@10.0@9.8@shadowpay@csdeals@8.03
M249 | System Lock (Factory New)@0.75@0.7124999999999999@6.0@5.88@shadowpay@csdeals@5.13
M4A1-S | Atomic Alloy (Minimal Wear)@50.78@48.241@59.99@58.7902@shadowpay@csdeals@8.01
M4A1-S | Blood Tiger (Factory New)@6.27@5.956499999999999@24.0@23.52@shadowpay@csdeals@17.25
M4A1-S | Briefing (Field-Tested)@5.11@4.8545@8.0@7.84@shadowpay@csdeals@2.73
M4A1-S | Chantico's Fire (Minimal Wear)@44.98@42.731@49.9@48.902@shadowpay@csdeals@3.92
M4A1-S | Decimator (Field-Tested)@8.04@7.637999999999999@10.8@10.584@shadowpay@csdeals@2.54
M4A1-S | Decimator (Minimal Wear)@12.96@12.312@15.87@15.552599999999998@shadowpay@csdeals@2.59
M4A1-S | Emphorosaur-S (Field-Tested)@1.16@1.102@3.74@3.6652@shadowpay@csdeals@2.51
M4A1-S | Hyper Beast (Battle-Scarred)@12.77@12.1315@15.4@15.092@shadowpay@csdeals@2.32
M4A1-S | Mecha Industries (Factory New)@60.55@57.5225@99.99@97.9902@shadowpay@csdeals@37.44
M4A1-S | Mecha Industries (Field-Tested)@21.14@20.083@32.0@31.36@shadowpay@csdeals@10.22
M4A1-S | Mecha Industries (Minimal Wear)@38.96@37.012@42.19@41.3462@shadowpay@csdeals@2.39
M4A1-S | Night Terror (Well-Worn)@0.98@0.931@5.0@4.9@shadowpay@csdeals@3.92
M4A1-S | Player Two (Factory New)@93.0@88.35@124.99@122.4902@shadowpay@csdeals@29.49
M4A1-S | Player Two (Field-Tested)@21.32@20.254@25.99@25.4702@shadowpay@csdeals@4.15
M4A1-S | Printstream (Field-Tested)@158.9@150.955@179.99@176.3902@shadowpay@csdeals@17.49
M4A1-S | Welcome to the Jungle (Battle-Scarred)@799.0@759.05@829.9@813.3019999999999@shadowpay@csdeals@14.3
M4A4 | Asiimov (Field-Tested)@137.4@130.53@210.0@205.8@shadowpay@csdeals@68.4
M4A4 | Buzz Kill (Minimal Wear)@13.08@12.426@25.0@24.5@shadowpay@csdeals@11.42
M4A4 | Desolate Space (Factory New)@23.7@22.515@43.32@42.4536@shadowpay@csdeals@18.75
M4A4 | Desolate Space (Field-Tested)@5.06@4.807@9.0@8.82@shadowpay@csdeals@3.76
M4A4 | In Living Color (Field-Tested)@5.0@4.75@29.49@28.9002@shadowpay@csdeals@23.9
M4A4 | In Living Color (Minimal Wear)@10.85@10.3075@14.99@14.6902@shadowpay@csdeals@3.84
M4A4 | Magnesium (Factory New)@0.97@0.9215@9.0@8.82@shadowpay@csdeals@7.85
M4A4 | Neo-Noir (Factory New)@33.6@31.92@49.0@48.02@shadowpay@csdeals@14.42
M4A4 | Neo-Noir (Minimal Wear)@11.37@10.8015@20.0@19.6@shadowpay@csdeals@8.23
M4A4 | Poly Mag (Factory New)@0.62@0.589@17.0@16.66@shadowpay@csdeals@16.04
M4A4 | Radiation Hazard (Field-Tested)@17.9@17.005@25.0@24.5@shadowpay@csdeals@6.6
M4A4 | Spider Lily (Field-Tested)@1.82@1.729@4.1@4.018@shadowpay@csdeals@2.2
M4A4 | The Battlestar (Field-Tested)@4.3@4.085@11.0@10.78@shadowpay@csdeals@6.48
M4A4 | The Coalition (Field-Tested)@23.89@22.6955@29.99@29.3902@shadowpay@csdeals@5.5
M4A4 | The Coalition (Minimal Wear)@72.89@69.24549999999999@79.99@78.3902@shadowpay@csdeals@5.5
M4A4 | Tornado (Field-Tested)@0.98@0.931@15.0@14.7@shadowpay@csdeals@13.72
M4A4 | X-Ray (Factory New)@18.58@17.650999999999996@29.99@29.3902@shadowpay@csdeals@10.81
M4A4 | X-Ray (Minimal Wear)@11.73@11.1435@445.34@436.4332@shadowpay@csdeals@424.7
MAC-10 | Allure (Factory New)@1.3@1.235@4.0@3.92@shadowpay@csdeals@2.62
MAC-10 | Button Masher (Factory New)@0.97@0.9215@13.0@12.74@shadowpay@csdeals@11.77
MAC-10 | Calf Skin (Factory New)@0.44@0.418@9.0@8.82@shadowpay@csdeals@8.38
MAC-10 | Copper Borre (Factory New)@173.86@165.167@250.0@245.0@shadowpay@csdeals@71.14
MAC-10 | Disco Tech (Battle-Scarred)@1.62@1.539@3.8@3.724@shadowpay@csdeals@2.1
MAC-10 | Disco Tech (Factory New)@16.64@15.808@27.29@26.7442@shadowpay@csdeals@10.1
MAC-10 | Disco Tech (Field-Tested)@2.72@2.584@5.09@4.9882@shadowpay@csdeals@2.27
MAC-10 | Disco Tech (Minimal Wear)@4.78@4.541@15.0@14.7@shadowpay@csdeals@9.92
MAC-10 | Fade (Factory New)@31.99@30.3905@36.99@36.2502@shadowpay@csdeals@4.26
MAC-10 | Heat (Factory New)@5.72@5.433999999999999@25.0@24.5@shadowpay@csdeals@18.78
MAC-10 | Lapis Gator (Minimal Wear)@0.59@0.5605@15.0@14.7@shadowpay@csdeals@14.11
MAC-10 | Last Dive (Factory New)@1.76@1.672@17.0@16.66@shadowpay@csdeals@14.9
MAC-10 | Neon Rider (Well-Worn)@6.28@5.966@14.0@13.72@shadowpay@csdeals@7.44
MAC-10 | Pipe Down (Factory New)@1.82@1.729@11.0@10.78@shadowpay@csdeals@8.96
MAC-10 | Propaganda (Factory New)@27.44@26.068@34.99@34.2902@shadowpay@csdeals@6.85
MAC-10 | Sakkaku (Well-Worn)@1.03@0.9785@5.0@4.9@shadowpay@csdeals@3.87
MAC-10 | Stalker (Well-Worn)@11.75@11.1625@23.0@22.54@shadowpay@csdeals@10.79
MAC-10 | Tatter (Minimal Wear)@7.81@7.419499999999999@19.0@18.62@shadowpay@csdeals@10.81
MAC-10 | Toybox (Field-Tested)@3.41@3.2395@7.5@7.35@shadowpay@csdeals@3.94
MAC-10 | Ultraviolet (Factory New)@31.58@30.001@70.0@68.6@shadowpay@csdeals@37.02
MAC-10 | Whitefish (Factory New)@0.56@0.532@8.0@7.84@shadowpay@csdeals@7.28
MAG-7 | BI83 Spectrum (Factory New)@2.46@2.337@17.0@16.66@shadowpay@csdeals@14.2
MAG-7 | Cobalt Core (Factory New)@0.42@0.3989999999999999@7.0@6.859999999999999@shadowpay@csdeals@6.44
MAG-7 | Core Breach (Field-Tested)@1.3@1.235@4.0@3.92@shadowpay@csdeals@2.62
MAG-7 | Firestarter (Factory New)@4.99@4.7405@20.0@19.6@shadowpay@csdeals@14.61
MAG-7 | Hard Water (Factory New)@5.39@5.1205@16.0@15.68@shadowpay@csdeals@10.29
MAG-7 | Monster Call (Factory New)@1.68@1.596@15.0@14.7@shadowpay@csdeals@13.02
MAG-7 | Petroglyph (Factory New)@1.63@1.5484999999999998@6.0@5.88@shadowpay@csdeals@4.25
MAG-7 | Popdog (Factory New)@0.28@0.266@6.0@5.88@shadowpay@csdeals@5.6
Mirage Pin@9.29@8.825499999999998@14.99@14.6902@shadowpay@csdeals@5.4
MP5-SD | Autumn Twilly (Factory New)@5.12@4.864@14.0@13.72@shadowpay@csdeals@8.6
MP5-SD | Co-Processor (Factory New)@1.08@1.026@10.0@9.8@shadowpay@csdeals@8.72
MP5-SD | Desert Strike (Factory New)@0.34@0.323@5.0@4.9@shadowpay@csdeals@4.56
MP5-SD | Kitbash (Factory New)@1.15@1.0924999999999998@10.0@9.8@shadowpay@csdeals@8.65
MP5-SD | Phosphor (Field-Tested)@3.17@3.0115@7.9@7.742@shadowpay@csdeals@4.57
MP5-SD | Phosphor (Minimal Wear)@5.02@4.768999999999999@14.0@13.72@shadowpay@csdeals@8.7
MP7 | Abyssal Apparition (Field-Tested)@1.97@1.8715@4.3@4.214@shadowpay@csdeals@2.24
MP7 | Asterion (Well-Worn)@3.53@3.3534999999999995@6.0@5.88@shadowpay@csdeals@2.35
MP7 | Bloodsport (Well-Worn)@2.4@2.28@4.7@4.606@shadowpay@csdeals@2.21
MP7 | Cirrus (Factory New)@0.57@0.5415@8.0@7.84@shadowpay@csdeals@7.27
MP7 | Guerrilla (Factory New)@1.04@0.988@9.0@8.82@shadowpay@csdeals@7.78
MP7 | Impire (Factory New)@3.71@3.5245@7.3@7.154@shadowpay@csdeals@3.44
MP7 | Mischief (Minimal Wear)@0.31@0.2945@10.0@9.8@shadowpay@csdeals@9.49
MP7 | Neon Ply (Minimal Wear)@2.8@2.66@5.2@5.096@shadowpay@csdeals@2.3
MP7 | Ocean Foam (Factory New)@3.73@3.5435@7.0@6.859999999999999@shadowpay@csdeals@3.13
MP9 | Airlock (Field-Tested)@1.69@1.6055@4.3@4.214@shadowpay@csdeals@2.52
MP9 | Airlock (Minimal Wear)@3.46@3.287@9.0@8.82@shadowpay@csdeals@5.36
MP9 | Black Sand (Factory New)@0.18@0.1709999999999999@7.0@6.859999999999999@shadowpay@csdeals@6.68
MP9 | Capillary (Factory New)@0.27@0.2565@6.0@5.88@shadowpay@csdeals@5.61
MP9 | Dart (Field-Tested)@0.37@0.3515@10.0@9.8@shadowpay@csdeals@9.43
MP9 | Deadly Poison (Factory New)@1.75@1.6625@11.0@10.78@shadowpay@csdeals@9.03
MP9 | Hydra (Well-Worn)@5.62@5.339@9.8@9.604@shadowpay@csdeals@3.98
MP9 | Rose Iron (Factory New)@6.33@6.0135@17.0@16.66@shadowpay@csdeals@10.33
MP9 | Sand Scale (Factory New)@0.2@0.19@8.0@7.84@shadowpay@csdeals@7.64
MP9 | Starlight Protector (Factory New)@26.08@24.776@34.99@34.2902@shadowpay@csdeals@8.21
MP9 | Starlight Protector (Minimal Wear)@10.23@9.7185@13.11@12.8478@shadowpay@csdeals@2.62
Music Kit | Amon Tobin, All for Dust@2.71@2.5745@6.0@5.88@shadowpay@csdeals@3.17
Music Kit | AWOLNATION, I Am@2.98@2.831@11.0@10.78@shadowpay@csdeals@7.8
Music Kit | Lennie Moore, Java Havana Funkaloo@3.27@3.1065@11.0@10.78@shadowpay@csdeals@7.51
Music Kit | Matt Levine, Drifter@1.05@0.9975@4.0@3.92@shadowpay@csdeals@2.87
Music Kit | Meechy Darko, Gothic Luxury@0.72@0.6839999999999999@3.0@2.94@shadowpay@csdeals@2.22
Music Kit | Midnight Riders, All I Want for Christmas@3.1@2.945@9.0@8.82@shadowpay@csdeals@5.72
Music Kit | New Beat Fund, Sponge Fingerz@2.87@2.7265@10.0@9.8@shadowpay@csdeals@6.93
Music Kit | Scarlxrd, CHAIN$AW.LXADXUT.@1.68@1.596@5.0@4.9@shadowpay@csdeals@3.22
Music Kit | The Verkkars & n0thing, Flashbang Dance@2.84@2.698@12.0@11.76@shadowpay@csdeals@8.92
Negev | Dazzle (Minimal Wear)@0.27@0.2565@8.0@7.84@shadowpay@csdeals@7.57
Negev | Desert-Strike (Factory New)@0.18@0.1709999999999999@5.0@4.9@shadowpay@csdeals@4.72
Negev | Phoenix Stencil (Field-Tested)@11.18@10.621@15.8@15.484@shadowpay@csdeals@4.3
Negev | Phoenix Stencil (Minimal Wear)@9.16@8.702@16.0@15.68@shadowpay@csdeals@6.52
Negev | Prototype (Factory New)@0.15@0.1425@8.0@7.84@shadowpay@csdeals@7.69
Negev | Ultralight (Factory New)@0.16@0.152@5.0@4.9@shadowpay@csdeals@4.74
Nova | Green Apple (Factory New)@11.61@11.0295@70.0@68.6@shadowpay@csdeals@56.99
Nova | Tempest (Factory New)@14.7@13.964999999999998@30.0@29.4@shadowpay@csdeals@14.7
Nova | Tempest (Minimal Wear)@6.91@6.5645@13.0@12.74@shadowpay@csdeals@5.83
Nova | Toy Soldier (Factory New)@2.73@2.5935@20.0@19.6@shadowpay@csdeals@16.87
Nova | Wood Fired (Factory New)@0.17@0.1615@4.0@3.92@shadowpay@csdeals@3.75
Nuke Pin@6.16@5.851999999999999@16.0@15.68@shadowpay@csdeals@9.52
Number K | The Professionals@25.05@23.7975@29.99@29.3902@shadowpay@csdeals@4.34
Operation Bravo Case@56.23@53.4185@64.99@63.6902@shadowpay@csdeals@7.46
Operation Hydra Case@21.93@20.8335@24.99@24.4902@shadowpay@csdeals@2.56
Operation Phoenix Pass@144.99@137.7405@184.81@181.1138@shadowpay@csdeals@36.12
P2000 | Acid Etched (Factory New)@1.78@1.6909999999999998@12.0@11.76@shadowpay@csdeals@9.98
P2000 | Amber Fade (Factory New)@11.5@10.925@14.0@13.72@shadowpay@csdeals@2.22
P2000 | Gnarled (Factory New)@0.21@0.1994999999999999@8.0@7.84@shadowpay@csdeals@7.63
P2000 | Grassland Leaves (Field-Tested)@7.79@7.4005@12.0@11.76@shadowpay@csdeals@3.97
P2000 | Handgun (Factory New)@3.42@3.249@22.0@21.56@shadowpay@csdeals@18.14
P2000 | Lifted Spirits (Field-Tested)@0.07@0.0665@9.9@9.702@shadowpay@csdeals@9.63
P2000 | Urban Hazard (Factory New)@0.34@0.323@9.0@8.82@shadowpay@csdeals@8.48
P2000 | Wicked Sick (Well-Worn)@3.08@2.926@8.14@7.977200000000001@shadowpay@csdeals@4.9
P250 | Apep's Curse (Minimal Wear)@160.99@152.9405@196.0@192.08@shadowpay@csdeals@31.09
P250 | Bengal Tiger (Field-Tested)@8.64@8.208@16.93@16.5914@shadowpay@csdeals@7.95
P250 | Contaminant (Factory New)@0.94@0.8929999999999999@10.0@9.8@shadowpay@csdeals@8.86
P250 | Exchanger (Factory New)@0.83@0.7885@9.0@8.82@shadowpay@csdeals@7.99
P250 | Inferno (Factory New)@1.79@1.7005@15.0@14.7@shadowpay@csdeals@12.91
P250 | Iron Clad (Factory New)@0.53@0.5035@7.0@6.859999999999999@shadowpay@csdeals@6.33
P250 | Mint Kimono (Factory New)@3.51@3.3345@8.0@7.84@shadowpay@csdeals@4.33
P250 | Nevermore (Well-Worn)@0.64@0.608@4.0@3.92@shadowpay@csdeals@3.28
P250 | Sand Dune (Factory New)@0.3@0.285@10.2@9.996@shadowpay@csdeals@9.7
P250 | Verdigris (Factory New)@0.37@0.3515@4.0@3.92@shadowpay@csdeals@3.55
P90 | Astral Jörmungandr (Factory New)@325.0@308.75@430.0@421.4@shadowpay@csdeals@96.4
P90 | Blind Spot (Minimal Wear)@11.82@11.229@21.0@20.58@shadowpay@csdeals@8.76
P90 | Cocoa Rampage (Factory New)@0.76@0.722@10.0@9.8@shadowpay@csdeals@9.04
P90 | Facility Negative (Factory New)@0.96@0.912@14.0@13.72@shadowpay@csdeals@12.76
P90 | Freight (Factory New)@0.23@0.2185@11.0@10.78@shadowpay@csdeals@10.55
P90 | Grim (Factory New)@0.66@0.627@10.0@9.8@shadowpay@csdeals@9.14
P90 | Neoqueen (Battle-Scarred)@2.75@2.6125@50.0@49.0@shadowpay@csdeals@46.25
P90 | Off World (Factory New)@0.45@0.4275@4.0@3.92@shadowpay@csdeals@3.47
P90 | ScaraB Rush (Battle-Scarred)@8.45@8.027499999999998@11.33@11.1034@shadowpay@csdeals@2.65
P90 | Shapewood (Factory New)@20.22@19.209@50.0@49.0@shadowpay@csdeals@28.78
P90 | Teardown (Factory New)@0.95@0.9025@13.0@12.74@shadowpay@csdeals@11.79
P90 | Tiger Pit (Field-Tested)@7.71@7.3245@16.25@15.925@shadowpay@csdeals@8.22
P90 | Trigon (Minimal Wear)@20.83@19.7885@28.0@27.44@shadowpay@csdeals@6.61
P90 | Vent Rush (Minimal Wear)@1.02@0.969@4.0@3.92@shadowpay@csdeals@2.9
P90 | Virus (Factory New)@6.15@5.8425@25.0@24.5@shadowpay@csdeals@18.35
Paris 2023 Ancient Souvenir Package@2.3@2.185@10.0@9.8@shadowpay@csdeals@7.5
Paris 2023 Inferno Souvenir Package@2.33@2.2135@10.0@9.8@shadowpay@csdeals@7.47
Paris 2023 Mirage Souvenir Package@2.25@2.1375@10.0@9.8@shadowpay@csdeals@7.55
Paris 2023 Nuke Souvenir Package@2.46@2.337@10.0@9.8@shadowpay@csdeals@7.34
Paris 2023 Overpass Souvenir Package@2.39@2.2705@10.0@9.8@shadowpay@csdeals@7.41
Paris 2023 Vertigo Souvenir Package@6.19@5.8805000000000005@10.0@9.8@shadowpay@csdeals@3.61
Paris 2023 Viewer Pass + 3 Souvenir Tokens@16.06@15.256999999999998@31.18@30.5564@shadowpay@csdeals@14.5
Patch | Elder God@41.67@39.5865@51.0@49.98@shadowpay@csdeals@8.31
Patch | G2 Esports | Stockholm 2021@3.67@3.4865@10.0@9.8@shadowpay@csdeals@6.13
Patch | Giant Squid@1.35@1.2825@5.0@4.9@shadowpay@csdeals@3.55
PP-Bizon | Brass (Factory New)@3.18@3.021@17.0@16.66@shadowpay@csdeals@13.48
PP-Bizon | Candy Apple (Factory New)@0.16@0.152@6.0@5.88@shadowpay@csdeals@5.72
PP-Bizon | Fuel Rod (Factory New)@3.12@2.964@7.0@6.859999999999999@shadowpay@csdeals@3.74
PP-Bizon | Harvester (Factory New)@0.4@0.38@3.5@3.43@shadowpay@csdeals@3.03
PP-Bizon | High Roller (Minimal Wear)@3.91@3.7145@11.0@10.78@shadowpay@csdeals@6.87
PP-Bizon | High Roller (Well-Worn)@1.93@1.8335@4.6@4.508@shadowpay@csdeals@2.58
PP-Bizon | Jungle Slipstream (Factory New)@0.2@0.19@8.0@7.84@shadowpay@csdeals@7.64
PP-Bizon | Night Riot (Factory New)@0.15@0.1425@4.0@3.92@shadowpay@csdeals@3.77
PP-Bizon | Photic Zone (Factory New)@1.76@1.672@10.0@9.8@shadowpay@csdeals@8.04
Primeiro Tenente | Brazilian 1st Battalion@8.56@8.132@12.99@12.7302@shadowpay@csdeals@4.17
R8 Revolver | Amber Fade (Factory New)@1.56@1.482@12.0@11.76@shadowpay@csdeals@10.2
R8 Revolver | Crazy 8 (Minimal Wear)@1.14@1.083@4.0@3.92@shadowpay@csdeals@2.78
R8 Revolver | Crimson Web (Factory New)@4.52@4.294@26.0@25.48@shadowpay@csdeals@20.96
R8 Revolver | Fade (Minimal Wear)@8.12@7.713999999999999@23.0@22.54@shadowpay@csdeals@14.42
R8 Revolver | Junk Yard (Factory New)@0.39@0.3705@10.0@9.8@shadowpay@csdeals@9.41
R8 Revolver | Llama Cannon (Factory New)@11.0@10.45@28.0@27.44@shadowpay@csdeals@16.44
R8 Revolver | Llama Cannon (Field-Tested)@2.36@2.242@6.0@5.88@shadowpay@csdeals@3.52
R8 Revolver | Nitro (Factory New)@0.54@0.513@9.5@9.31@shadowpay@csdeals@8.77
R8 Revolver | Reboot (Factory New)@2.88@2.736@17.0@16.66@shadowpay@csdeals@13.78
R8 Revolver | Survivalist (Factory New)@0.28@0.266@30.0@29.4@shadowpay@csdeals@29.12
Rio 2022 Dust II Souvenir Package@5.72@5.433999999999999@13.37@13.1026@shadowpay@csdeals@7.38
Safecracker Voltzmann | The Professionals@8.68@8.245999999999999@13.99@13.7102@shadowpay@csdeals@5.03
Sawed-Off | Apocalypto (Factory New)@1.7@1.615@22.0@21.56@shadowpay@csdeals@19.86
Sawed-Off | Bamboo Shadow (Minimal Wear)@2.7@2.565@6.0@5.88@shadowpay@csdeals@3.18
Sawed-Off | Black Sand (Factory New)@0.2@0.19@13.0@12.74@shadowpay@csdeals@12.54
Sawed-Off | Highwayman (Factory New)@2.69@2.5555@15.0@14.7@shadowpay@csdeals@12.01
Sawed-Off | Jungle Thicket (Factory New)@1.97@1.8715@11.0@10.78@shadowpay@csdeals@8.81
Sawed-Off | Kiss♥Love (Battle-Scarred)@3.67@3.4865@8.0@7.84@shadowpay@csdeals@4.17
Sawed-Off | Kiss♥Love (Well-Worn)@4.41@4.1895@8.4@8.232@shadowpay@csdeals@3.82
Sawed-Off | Limelight (Factory New)@2.03@1.9285@10.0@9.8@shadowpay@csdeals@7.77
Sawed-Off | Morris (Factory New)@0.43@0.4085@4.0@3.92@shadowpay@csdeals@3.49
Sawed-Off | Spirit Board (Battle-Scarred)@0.06@0.0569999999999999@9.9@9.702@shadowpay@csdeals@9.64
Sawed-Off | Yorick (Factory New)@0.39@0.3705@8.0@7.84@shadowpay@csdeals@7.45
SCAR-20 | Assault (Factory New)@0.26@0.247@5.0@4.9@shadowpay@csdeals@4.64
SCAR-20 | Cardiac (Field-Tested)@3.8@3.61@9.0@8.82@shadowpay@csdeals@5.02
SCAR-20 | Cardiac (Well-Worn)@3.06@2.907@7.0@6.859999999999999@shadowpay@csdeals@3.8
SCAR-20 | Crimson Web (Factory New)@15.32@14.554@50.0@49.0@shadowpay@csdeals@33.68
SCAR-20 | Fragments (Factory New)@0.29@0.2754999999999999@25.0@24.5@shadowpay@csdeals@24.21
SCAR-20 | Green Marine (Factory New)@0.51@0.4845@3.75@3.675@shadowpay@csdeals@3.16
SCAR-20 | Powercore (Factory New)@1.53@1.4535@10.0@9.8@shadowpay@csdeals@8.27
SG 553 | Colony IV (Field-Tested)@7.74@7.353@17.0@16.66@shadowpay@csdeals@8.92
SG 553 | Damascus Steel (Factory New)@2.02@1.919@20.0@19.6@shadowpay@csdeals@17.58
SG 553 | Darkwing (Factory New)@1.65@1.5675@18.0@17.64@shadowpay@csdeals@15.99
SG 553 | Phantom (Factory New)@1.08@1.026@9.0@8.82@shadowpay@csdeals@7.74
SG 553 | Tiger Moth (Factory New)@2.24@2.128@45.0@44.1@shadowpay@csdeals@41.86
SG 553 | Triarch (Factory New)@2.03@1.9285@18.0@17.64@shadowpay@csdeals@15.61
