name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
★ Nomad Knife | Forest DDPAT (Field-Tested)@157.19@149.3305@165.99@162.6702@shadowpay@csdeals@5.48
★ Nomad Knife | Night Stripe (Field-Tested)@192.74@183.103@229.99@225.3902@shadowpay@csdeals@32.65
★ Paracord Knife@285.98@271.681@419.9@411.502@shadowpay@csdeals@125.52
★ Paracord Knife | Slaughter (Factory New)@418.0@397.1@539.9@529.102@shadowpay@csdeals@111.1
★ Shadow Daggers | Bright Water (Factory New)@118.8@112.86@129.99@127.3902@shadowpay@csdeals@8.59
★ Shadow Daggers | Marble Fade (Factory New)@209.29@198.8255@235.0@230.3@shadowpay@csdeals@21.01
★ Skeleton Knife | Forest DDPAT (Field-Tested)@296.99@282.1405@320.0@313.6@shadowpay@csdeals@16.61
★ Skeleton Knife | Scorched (Field-Tested)@295.15@280.3925@399.9@391.902@shadowpay@csdeals@96.75
★ Skeleton Knife | Stained (Battle-Scarred)@400.0@380.0@469.9@460.502@shadowpay@csdeals@60.5
★ Specialist Gloves | Fade (Field-Tested)@418.18@397.271@439.99@431.1902@shadowpay@csdeals@13.01
★ Specialist Gloves | Field Agent (Field-Tested)@354.99@337.2405@399.9@391.902@shadowpay@csdeals@36.91
★ Specialist Gloves | Foundation (Battle-Scarred)@141.59@134.5105@159.99@156.7902@shadowpay@csdeals@15.2
★ Specialist Gloves | Tiger Strike (Battle-Scarred)@199.99@189.9905@334.0@327.32@shadowpay@csdeals@127.33
★ Sport Gloves | Big Game (Well-Worn)@297.64@282.758@330.0@323.4@shadowpay@csdeals@25.76
★ Sport Gloves | Bronze Morph (Battle-Scarred)@129.0@122.55@154.76@151.6648@shadowpay@csdeals@22.66
★ Sport Gloves | Nocts (Field-Tested)@269.0@255.55@339.95@333.151@shadowpay@csdeals@64.15
★ Sport Gloves | Omega (Field-Tested)@678.05@644.1474999999999@849.99@832.9902@shadowpay@csdeals@154.94
★ Sport Gloves | Scarlet Shamagh (Field-Tested)@293.63@278.9485@325.39@318.88219999999995@shadowpay@csdeals@25.25
★ Sport Gloves | Scarlet Shamagh (Minimal Wear)@689.99@655.4905@899.5@881.51@shadowpay@csdeals@191.52
★ StatTrak™ Flip Knife@427.99@406.5905@499.99@489.9902@shadowpay@csdeals@62.0
★ StatTrak™ Flip Knife | Marble Fade (Factory New)@635.0@603.25@749.99@734.9902@shadowpay@csdeals@99.99
★ StatTrak™ Navaja Knife@131.98@125.381@155.0@151.9@shadowpay@csdeals@19.92
★ StatTrak™ Skeleton Knife@1054.98@1002.231@1199.99@1175.9902@shadowpay@csdeals@121.01
★ StatTrak™ Skeleton Knife | Night Stripe (Field-Tested)@423.48@402.306@449.99@440.9902@shadowpay@csdeals@17.51
★ StatTrak™ Stiletto Knife@490.67@466.1365@549.99@538.9902@shadowpay@csdeals@48.32
★ StatTrak™ Stiletto Knife | Boreal Forest (Battle-Scarred)@192.17@182.5615@244.93@240.0314@shadowpay@csdeals@47.86
★ Stiletto Knife | Damascus Steel (Field-Tested)@339.42@322.449@359.99@352.7902@shadowpay@csdeals@13.37
★ Stiletto Knife | Safari Mesh (Field-Tested)@184.0@174.79999999999998@249.9@244.902@shadowpay@csdeals@60.9
★ Stiletto Knife | Safari Mesh (Minimal Wear)@197.98@188.081@501.0@490.98@shadowpay@csdeals@293.0
★ Stiletto Knife | Ultraviolet (Field-Tested)@266.0@252.7@294.42@288.5316@shadowpay@csdeals@22.53
★ Stiletto Knife | Urban Masked (Field-Tested)@210.0@199.5@240.0@235.2@shadowpay@csdeals@25.2
★ Survival Knife | Crimson Web (Well-Worn)@273.66@259.97700000000003@285.9@280.182@shadowpay@csdeals@6.52
★ Talon Knife | Blue Steel (Well-Worn)@405.16@384.902@440.9@432.082@shadowpay@csdeals@26.92
★ Talon Knife | Damascus Steel (Field-Tested)@416.67@395.8365@439.9@431.102@shadowpay@csdeals@14.43
★ Talon Knife | Damascus Steel (Minimal Wear)@507.88@482.486@539.65@528.857@shadowpay@csdeals@20.98
★ Talon Knife | Forest DDPAT (Battle-Scarred)@310.0@294.5@349.9@342.902@shadowpay@csdeals@32.9
